,https://roic.ai/company/PKOH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,10300000,19600000,- -,27700000,27300000,25000000,17900000,15300000,20500000,30100000,101200000,99700000,147200000,176900000,208800000,213368000,180284000,143310000,148919000,169836000,204922000,268434000,270939000,252873000,222748000,219193000,291454000,272255000,298300000,318300000,324400000,310800000,393500000,421700000,420700000,399300000,426000000
82,Other Non-Cash Items,-14000000,-14500000,- -,19700000,-6600000,5300000,18600000,35200000,-11200000,-17000000,-101000000,-24600000,-83600000,-58500000,-74500000,-7326000,69365000,108446000,3955000,-48951000,-42214000,-97136000,-17189000,125483000,59758000,37686000,-71281000,15039000,-30745000,-41500000,-48400000,11900000,-114500000,-72500000,-13600000,47100000,-105700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,5800000,5700000,2400000,4900000,9000000,-4000000,7700000,-10000000,3600000,-700000,24025000,23766000,28578000,13305000,1633000,34501000,6063000,31466000,8547000,43865000,67059000,35861000,55881000,60300000,53600000,44700000,72900000,46700000,54800000,63700000,69300000,-43000000
84,CAPEX,- -,- -,- -,- -,- -,-5300000,-5500000,-6100000,-5000000,-11700000,-13600000,-15600000,-15900000,-62900000,-88100000,-24968000,-13923000,-14731000,-10869000,-11955000,-20295000,-20756000,-21876000,-17466000,-5575000,-3951000,-12673000,-29625000,-30100000,-25800000,-36500000,-28500000,-27900000,-45100000,-40100000,-26300000,-31000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3890000,- -,-5748000,- -,-9997000,-12181000,-23271000,- -,-5322000,- -,-25900000,- -,-96963000,-45800000,-72700000,- -,-23400000,-39700000,-46900000,-8100000,- -,-5000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,-1400000,-100000,-400000,- -,- -,- -,- -,- -,- -,- -,-5142000,-853000,-62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,662000,2983000,865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1400000,- -,-2100000,-7400000,-5100000,-35800000,46300000,-60500000,- -,- -,3077000,6051000,2486000,7340000,- -,1100000,12620000,4365000,260000,- -,- -,1575000,6304000,21600000,2100000,- -,- -,- -,2800000,- -,1400000,20000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-3900000,-5500000,-8200000,-12400000,-16800000,-49400000,31600000,-77200000,-63000000,-88500000,-25781000,-7872000,-17993000,-3529000,-21952000,-31376000,-31407000,-21991000,-20398000,-4772000,-29851000,-11098000,-120284000,-54300000,-96400000,-36500000,-51900000,-67600000,-89200000,-48200000,-24900000,-16000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34352000,-24086000,-227153000,-3650000,-4200000,-6600000,-3600000,-40700000,-297400000,-15500000,-10300000,-42300000,-6000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,- -,200000,3200000,300000,300000,123000,- -,- -,29000,498000,217000,193000,340000,147000,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-1800000,-3000000,-2800000,-3700000,-1295000,- -,- -,- -,- -,-145000,-58000,-2189000,-5937000,-251000,-1059000,-2105000,-3968000,-2200000,-4400000,-15500000,-1900000,-4200000,-9000000,-900000,-7500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,-6300000,-6200000,-6900000,-6400000,-7000000,-3200000,-7000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-1200000,-1700000,2900000,7700000,5600000,53900000,-35700000,84200000,64300000,94200000,-327000,-14634000,-5645000,-14899000,23260000,8342000,28150000,-14751000,20954000,783000,150000,247185000,38191000,9500000,64300000,26100000,31600000,342200000,40300000,2900000,5700000,72000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-1200000,-1700000,2900000,7500000,9800000,53900000,-37300000,84400000,61800000,90800000,-1499000,-14634000,-5645000,-14870000,23758000,8414000,28285000,-16600000,15164000,-33820000,-24995000,17927000,30573000,3900000,48600000,700000,-17200000,33700000,9400000,-15300000,-47300000,59000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,900000,-3000000,-4900000,-1500000,5700000,-2100000,100000,1900000,-1000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-1200000,-1700000,2900000,7500000,9800000,53900000,-37300000,84400000,61800000,1600000,-3255000,1260000,4940000,-5094000,3439000,11539000,2941000,-7125000,3313000,5273000,12213000,42690000,-33564000,10800000,2800000,4000000,2300000,18500000,-27100000,300000,-1000000,-1000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,2612000,3872000,8812000,3718000,7157000,18696000,21637000,14512000,17825000,23098000,35311000,78001000,44437000,55200000,58000000,62000000,64300000,82800000,55700000,56000000,55000000,54000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4000000,4700000,3100000,100000,100000,2200000,2700000,4700000,1800000,4300000,5867000,2612000,3872000,8812000,3718000,7157000,18696000,21637000,14512000,17825000,23098000,35311000,78001000,44400000,55200000,58000000,62000000,64300000,82800000,55700000,56000000,55000000
100,Free Cash Flow,- -,- -,- -,- -,- -,500000,200000,-3700000,-100000,-2700000,-17600000,-7900000,-25900000,-59300000,-88800000,-943000,9843000,13847000,2436000,-10322000,14206000,-14693000,9590000,-8919000,38290000,63108000,23188000,26256000,30200000,27800000,8200000,44400000,18800000,9700000,23600000,43000000,-74000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76282/000095015205002164/0000950152-05-002164-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015206002179/l17876ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015207002198/l23669ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015208002006/l29179ae10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000095015209002659/0000950152-09-002659-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012310024652/0000950123-10-024652-index.html,https://www.sec.gov/Archives/edgar/data/76282/000095012311023097/l42052e10vk.htm,https://www.sec.gov/Archives/edgar/data/76282/000119312512116583/0001193125-12-116583-index.html,https://www.sec.gov/Archives/edgar/data/76282/000119312513109489/0001193125-13-109489-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628214000011/pkoh20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628215000016/pkoh20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628216000171/0000076282-16-000171-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628217000017/0000076282-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628218000013/0000076282-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628219000021/0000076282-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628220000012/0000076282-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/76282/000007628221000013/0000076282-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/76282/000007628222000014/0000076282-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
