,https://roic.ai/company/MLAB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-770000,-1282000,-1552000,-1271000,-1140000,-1272000,-1343000,-1488000,-1645000,-1815000,-1989000,-2182000,-2303000,-2355000,-2413000,-2462000,-2722000,-3165000
94,Other Financing Activites,- -,- -,400000,-300000,-300000,200000,-300000,- -,-100000,-300000,- -,-100000,-168689,- -,- -,- -,40000,- -,- -,- -,29000,36000,59000,7247000,-5687000,11894000,22845000,24504000,26923000,70063000,13919000,6415000,172004000,3458000
95,Cash Used/Provided by Financing Activities,- -,- -,400000,-400000,-300000,- -,-300000,-400000,100000,-200000,-500000,-1400000,-1968968,-1498774,-1069631,-1534630,-1232000,-2317000,-3362000,-1620000,-1840000,-1203000,-1456000,4876000,-7424000,2981000,12334000,9072000,18620000,10708000,-8119000,-21672000,231277000,146228000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000,-22000,72000,138000,-286000,-1056000,1176000
97,Net Change In Cash,- -,- -,400000,-400000,-300000,- -,-300000,-400000,100000,-200000,-500000,-1400000,-3825708,-532940,1145209,1299124,-91000,308000,-512000,-1120000,2424000,3341000,1360000,-6925000,3645000,-3185000,1569000,-3541000,3661000,125000,-351000,4716000,71195000,182485000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2849709,2316769,3461978,4761102,4670000,4978000,4466000,3346000,5770000,9111000,10471000,3546000,7191000,4006000,5575000,2034000,5695000,5820000,5469000,10185000,81380000,263865000
99,Cash at the Beginning of Period,- -,- -,500000,400000,900000,1600000,100000,900000,400000,1800000,3900000,3400000,6675417,2849709,2316769,3461978,4761000,4670000,4978000,4466000,3346000,5770000,9111000,10471000,3546000,7191000,4006000,5575000,2034000,5695000,5820000,5469000,10185000,81380000
100,Free Cash Flow,- -,- -,300000,900000,1000000,500000,700000,-100000,1300000,2300000,2000000,2700000,-1773613,965834,2214840,2833754,3239000,2431000,2191000,2252000,4264000,4399000,2816000,6228000,11806000,10494000,11332000,7988000,9174000,-3855000,22015000,29292000,25061000,35081000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724004/000094930305000043/0000949303-05-000043-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000119312506137111/0001193125-06-137111-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000119312507146952/0001193125-07-146952-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465908043149/0001104659-08-043149-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465909040622/0001104659-09-040622-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465910036198/0001104659-10-036198-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465911037127/0001104659-11-037127-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465912046862/0001104659-12-046862-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000110465913047358/0001104659-13-047358-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774914010696/0001437749-14-010696-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774915011723/0001437749-15-011723-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774916033334/0001437749-16-033334-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774917010820/0001437749-17-010820-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774918011240/0001437749-18-011240-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774919011234/0001437749-19-011234-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774920012142/0001437749-20-012142-index.htm,https://www.sec.gov/Archives/edgar/data/724004/000143774921013801/0001437749-21-013801-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
