,https://roic.ai/company/RH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
75,Deferred Income Tax,214000,-2976000,-3539000,-7615000,-4105000,-2267000,-2442000,25864000,-554000,-197000,- -,-179000,-427000,4299000,-4686000,5602000,2693000,-6011000,-221000,6572000,263000,-7709000,-4920000,-6921000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592000,2142000,1557000,116183000,67622000,17072000,24223000,29214000,50709000,23983000,21832000,145704000,48478000
77,Change in Working Capital,4749000,14602000,-11383000,12343000,11107000,-7691000,-1604000,35692000,22343000,-7316000,- -,-34210000,46566000,46037000,112497000,23000000,271415000,293307000,-139034000,-596493000,-414214000,-97341000,265812000,2147832000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3804000,- -,-7280000,-5282000,-4995000,-3991000,-2629000,588000,2758000,-8883000,-7309000,-10485000,1564000
79,Inventory,-22828000,-20504000,4779000,21782000,-32910000,-8426000,-41259000,-14462000,-34158000,-7581000,- -,34953000,-57103000,-39475000,-107454000,-100937000,-106036000,-166505000,-4304000,220767000,-7399000,93266000,-104621000,-190074000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43435000
81,Other Working Capital,34417000,49019000,37636000,49979000,61086000,53395000,51791000,87483000,109826000,102510000,- -,68300000,114866000,160903000,273400000,296400000,567815000,861122000,722088000,125595000,-288619000,-385960000,-120148000,2027684000
82,Other Non-Cash Items,- -,-15076000,21467000,12850000,-41561000,6337000,-23408000,-47451000,-47047000,14975000,- -,76451000,-83280000,-84546000,-241806000,-54557000,-334154000,-305331000,126490000,1026778000,480447000,101292000,-278569000,-2311843000
83,Cash Provided by Operating Activities,16306000,4298000,19369000,4335000,-19521000,11459000,-9804000,4401000,-310000,-21354000,- -,57068000,-11810000,17121000,-3864000,87521000,82491000,141886000,78845000,555102000,300556000,339188000,500770000,662114000
84,CAPEX,-38546000,-46620000,-23506000,-3798000,-19390000,-9229000,-13380000,-29695000,-15152000,-13282000,- -,-2024000,-39907000,-25593000,-49368000,-93868000,-110812000,-133799000,-157966000,-112494000,-136736000,-93623000,-111126000,-185383000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116100000,- -,- -,- -,-98623000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91604000,-217379000,-248485000,-16109000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11118000,143830000,224434000,191910000,- -,- -,- -,- -
