,https://roic.ai/company/ATRC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1323885/000119312506070752/0001193125-06-070752-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312507072408/0001193125-07-072408-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312508059018/0001193125-08-059018-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312509054917/0001193125-09-054917-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312510071029/0001193125-10-071029-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312511084132/0001193125-11-084132-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312512108839/0001193125-12-108839-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312513097386/0001193125-13-097386-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312514093364/0001193125-14-093364-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312515073256/d846540d10k.htm,https://www.sec.gov/Archives/edgar/data/1323885/000132388516000025/0001323885-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388517000017/0001323885-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388518000017/0001323885-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388519000009/0001323885-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388520000009/0001323885-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388521000011/0001323885-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000132388522000011/0001323885-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-9451868,-12682964,-13717275,-11253066,-10167252,-16494988,-3791623,-5455503,-7534000,-11462000,-16211000,-27212000,-33338000,-26892000,-21137000,-35194000,-48155000,50199000
74,Depreciation and Amortization,- -,- -,- -,962355,1554238,1885303,2321786,2682204,2413800,2363284,1922148,1899000,2020000,4774000,6278000,9299000,9128000,8754000,9366000,9548000,10441000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2671003,3885596,2771850,2938988,3468000,3080000,7571000,8997000,11697000,14615000,16495000,17977000,22642000,28078000
77,Change in Working Capital,- -,- -,- -,-246492,29284589,-12843751,1592710,-6627209,1548166,-1931550,2770786,-4049914,9440000,42091000,-24701000,13725000,-6534000,84102000,-41213000,164356000,-4846000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,609337,-685986,-2299937,-198947,-417000,-1248000,-4168000,-900000,-1982000,-1464000,-2837000,-3201000,5087000,-10087000
79,Inventory,- -,- -,- -,-448413,-193559,-1254259,-1380956,-1149231,1504706,-850147,-923512,865000,-2288000,-4343000,-2950000,-79000,-4477000,-146000,-5151000,-5265000,-4274000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,597461,-1550090,893281,787499,-132000,1445000,-944000,4013000,-1072000,1290000,-2398000,2790000,-1560000,4710000
81,Other Working Capital,- -,- -,- -,6590173,35874762,23031011,24623721,17996512,19544678,17613128,20383914,16334000,25774000,67865000,43164000,56889000,50355000,134457000,93244000,257600000,-2766000
82,Other Non-Cash Items,- -,- -,- -,4935934,-25771772,12209993,-777058,5731314,9067374,554605,-4162845,4280914,-8300000,-59825000,28796000,-16502000,739000,-92385000,33253000,-168260000,-97652000
83,Cash Provided by Operating Activities,- -,- -,- -,-3800071,-7615909,-12465730,-8115628,-5709940,419948,-33434,-1986426,-1936000,-5222000,-21600000,-7842000,-15119000,-8944000,-4171000,-15811000,-19869000,-13780000
84,CAPEX,- -,- -,- -,-1513273,-1951733,-1680520,-3044546,-1747590,-1360459,-1813812,-1522311,-2985000,-2864000,-9207000,-23997000,-7692000,-6384000,-6211000,-12182000,-5259000,-9753000
85,Acquisitions Net,- -,- -,- -,- -,-6420681,- -,-3341349,-417292,- -,- -,- -,- -,3708000,- -,-7581000,- -,- -,- -,-17240000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-6368408,-6289837,-8208668,-1900756,-8015866,-11124852,-12649107,-9236000,-21243000,-41107000,-19525000,-28592000,-16455000,-106588000,-73249000,-227045000,-173105000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,8065000,5808000,8894670,1201877,9598491,16506154,9400000,6200000,19614000,40602000,24202000,26600000,27389000,100485000,75306000,206362000
88,Other Investing Activites,- -,- -,- -,- -,- -,20000,- -,-6000000,6002000,5238,389476,24000,48000,77000,- -,3000,- -,6000,39000,800000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1513273,-14740822,114643,-8786563,-1170968,-2172448,-3334935,2724212,-2797000,-14151000,-30623000,-10501000,-12079000,3761000,-85404000,-2147000,-156198000,23504000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1062849,-7728379,-2295050,-4127427,-8096000,-2055000,-6382000,-263000,-439000,-1689000,-1755000,-629000,-667000,-5816000
91,Common Stock Issued,- -,- -,- -,89183,43219208,92470,15421883,103640,281035,498520,669048,627000,26872000,65830000,1539000,1618000,2110000,82873000,- -,188958000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-782506,-401000,-398000,-331000,-782000,-1701000,-2013000,-4457000,-9033000,-13029000,-18011000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,1395294,-369835,-393675,6239873,6533335,353356,9088065,10532000,2409000,6754000,13467000,28217000,4352000,23515000,24035000,14130000,16185000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,89183,44614502,-277365,15028208,5280664,-914009,-1443174,4847180,2662000,26828000,65871000,13961000,27695000,2760000,100176000,14373000,189392000,-7642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,85887,-15748,48043,123483,136827,-56772,65000,-316000,-156000,-238000,-53000,24000,-179000,-163000,136000,-372000
97,Net Change In Cash,- -,- -,- -,-5224161,22257771,-12542565,-1889731,-1552201,-2543026,-4674716,5528194,-2006000,7139000,13492000,-4620000,444000,-2399000,10422000,-3748000,13461000,1710000
98,Cash at the End of Period,- -,- -,- -,5175177,27432948,14890383,13000652,11448451,8905425,4230709,9758903,7753000,14892000,28384000,23764000,24208000,21809000,32231000,28483000,41944000,43654000
99,Cash at the Beginning of Period,- -,- -,- -,10399338,5175177,27432948,14890383,13000652,11448451,8905425,4230709,9759000,7753000,14892000,28384000,23764000,24208000,21809000,32231000,28483000,41944000
100,Free Cash Flow,- -,- -,- -,-5313344,-9567642,-14146250,-11160174,-7457530,-940511,-1847246,-3508737,-4921000,-8086000,-30807000,-31839000,-22811000,-15328000,-10382000,-27993000,-25128000,-23533000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1323885/000119312506070752/0001193125-06-070752-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312507072408/0001193125-07-072408-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312508059018/0001193125-08-059018-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312509054917/0001193125-09-054917-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312510071029/0001193125-10-071029-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312511084132/0001193125-11-084132-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312512108839/0001193125-12-108839-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312513097386/0001193125-13-097386-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000119312514093364/0001193125-14-093364-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000119312515073256/d846540d10k.htm,https://www.sec.gov/Archives/edgar/data/1323885/000132388516000025/0001323885-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388517000017/0001323885-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388518000017/0001323885-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388519000009/0001323885-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388520000009/0001323885-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1323885/000132388521000011/0001323885-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1323885/000132388522000011/0001323885-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
