,https://roic.ai/company/OPY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,700000,- -,- -,- -,-440000,-995000,-38134000,-2564000,-4000000,-2589000,341000,-3633000,-27826000,-6600000,-4589000,-7272000,-11553000,-65578000,-7762000,-12157000,-5192000,-14739000,-14012000,-4398000,-5889000,39717000,-3867000,-8191000,-8304000,-3941000,-6267000
90,Debt Repayment,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,-29400000,-31262000,- -,- -,-40423000,-13265000,- -,-24984000,-119636000,-22675000,-244417000,-103671000,-58162000,-15160000,-10000000,-242003000,- -,- -,-45000000,- -,- -,-150000000,- -,-65000000,-150000000,-12500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5740000,3043000,2312000,337000,- -,150000,185000,- -,- -,26000,70000,83000,56000,126558000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17187000,-559000,- -,- -,-1866000,-3625000,- -,-8250000,-3935000,-7464000,-5894000,-8400000,-15048000,-8191000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1827000,-4296000,-3002000,-3531000,-3500000,-3758000,-4443000,-4509000,-4616000,-4828000,-4700000,-5106000,-5560000,-5890000,-5776000,-5871000,-6010000,-5986000,-5978000,-5983000,-6008000,-5887000,-5836000,-5833000,-5944000,-18578000,-19444000
94,Other Financing Activites,- -,- -,- -,- -,13800000,- -,- -,- -,4920000,2489000,1329000,14934000,21300000,-2968000,4574000,3280000,132482000,7984000,120321000,129875000,11277000,100301000,-6270000,146929000,188806000,97080000,-10178000,-57606000,40523000,39120000,166518000,-106201000,-2702000,197444000,-1842000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,12300000,- -,- -,- -,3093000,-31207000,-32935000,11403000,17800000,-47149000,-13134000,-1229000,102882000,-116480000,92946000,-119648000,-97954000,24802000,-24722000,133370000,-58870000,89228000,-19631000,-108404000,26265000,29298000,3244000,-117858000,-81963000,13874000,84581000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,12300000,- -,- -,- -,-1336000,-344000,1421000,717000,-700000,3831000,9548000,-8102000,18363000,-1088000,-1377000,-8471000,4160000,18983000,22233000,-16064000,17475000,65037000,-37072000,-34487000,-443000,1549000,-16759000,42521000,-11125000,-44126000,306100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,9707000,9363000,10784000,11501000,10800000,14669000,24217000,16115000,34478000,33390000,32013000,23542000,27702000,46685000,68918000,52854000,70329000,135366000,98294000,63807000,63364000,64913000,48154000,90675000,79550000,35424000,341524000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5000000,- -,- -,- -,11043000,9707000,9363000,10784000,11500000,10838000,14669000,24217000,16115000,34478000,33390000,32013000,23542000,27702000,46685000,68918000,52854000,70329000,135366000,98294000,63807000,63364000,64913000,48154000,90675000,79550000,35424000
100,Free Cash Flow,- -,- -,- -,- -,-11700000,- -,- -,- -,-4586000,30863000,32998000,-10686000,-19100000,51748000,21332000,-4600000,-68908000,115392000,-94323000,111177000,102114000,44516000,46955000,-149434000,76345000,-24191000,-17441000,73917000,-26708000,-73197000,-21747000,159498000,69118000,-58587000,219518000
101,SEC Link,undefined,undefined,undefined,undefined,- -,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196302000001/f10k01z.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196303000006/f10k02.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196304000001/sec10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196305000005/t15975.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196306000003/f10k05v8ab.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196307000001/f10k06v5hedgar.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196308000003/f10k07.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196309000002/0000791963-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196310000003/0000791963-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196311000001/f10kv4e.htm,https://www.sec.gov/Archives/edgar/data/791963/000119312512098787/0001193125-12-098787-index.html,https://www.sec.gov/Archives/edgar/data/791963/000119312513092605/0001193125-13-092605-index.html,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196315000004/opy-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196316000032/0000791963-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196317000004/0000791963-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196318000005/0000791963-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196319000006/0000791963-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196320000006/0000791963-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196321000008/0000791963-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196322000032/0000791963-22-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
