,https://roic.ai/company/ROK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-71800000,-100000,105600000,-24400000,12400000,-88300000,-191000000,-201000000,-81000000,-40000000,-29000000,-69000000,-3000000,53000000,26000000,-28500000,9000000,-27500000,-67700000,-76200000,127500000,-166400000,-41900000,21400000,800000,12900000,-2500000,4600000,-30400000,-37400000,-4900000,30400000,-202800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101100000,117200000,15000000,90200000,3300000,-20700000,17300000,32300000,81100000,67200000,14500000,-5000000,184800000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1714000000,2113000000,1474000000,1386000000,830000000,809000000,916000000,1162500000,1245700000,894700000,637500000,1133500000,1187600000,1364300000,1745200000,1855900000,2135200000,2242100000,2720300000,2209100000,2274900000,593800000,1048900000,875000000,321000000
82,Other Non-Cash Items,- -,- -,- -,- -,-258300000,-220500000,-373500000,1190500000,-121400000,-251000000,-270000000,52000000,-2169000000,317000000,601000000,-157000000,312000000,148000000,-182000000,-314800000,-243900000,32700000,-846000000,-603200000,74500000,-368900000,-655400000,-394000000,-202700000,-88300000,-292800000,586600000,-98700000,2072000000,-135200000,117900000,-319400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-55000000,1056600000,742600000,701900000,930200000,920600000,1121000000,1196000000,667000000,551000000,873000000,926000000,335000000,440000000,436000000,596900000,666300000,426200000,458800000,590800000,525900000,493200000,643700000,718700000,1014800000,1033300000,1187700000,947300000,1034000000,1300000000,1182000000,1120500000,1261000000
84,CAPEX,- -,- -,- -,- -,-608600000,-575700000,-501300000,-409500000,-550900000,-587400000,-1872000000,-866000000,-683000000,-566000000,-618000000,-315000000,-157000000,-104000000,-109000000,-98000000,-124100000,-150100000,-131000000,-151000000,-98000000,-99400000,-120100000,-139600000,-146200000,-141000000,-122900000,-116900000,-141700000,-125500000,-132800000,-113900000,-120300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000000,-250000000,-111000000,-31000000,- -,-46000000,-16000000,-85000000,-82000000,-21000000,-139000000,93000000,-10000000,-21000000,- -,-2488500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,- -,- -,-487500000,-372200000,-705700000,-867600000,-1070700000,-1444200000,-1296900000,-5100000,-10700000,-13600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,34700000,36300000,4800000,4100000,- -,137500000,350000000,447800000,762700000,886300000,975200000,1261400000,379100000,43900000,600000
88,Other Investing Activites,- -,- -,- -,- -,299400000,73400000,702000000,95100000,29800000,103500000,38000000,-243000000,938000000,101000000,198000000,-134000000,310000000,-71000000,-24000000,32800000,1300000,248500000,1745200000,5000000,-97800000,-93100000,-114900000,-137200000,-149600000,-143500000,-121000000,-116600000,-140700000,-124900000,-128000000,-651200000,-125100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-309200000,-502300000,200700000,-314400000,-521100000,-483900000,-1834000000,-1109000000,255000000,-465000000,-420000000,-449000000,153000000,-175000000,-133000000,-65200000,-122800000,82500000,1398900000,-220700000,-132400000,-89000000,-160900000,-503200000,-256800000,-483400000,-246900000,-440000000,-516700000,-170400000,225000000,-618000000,-2626600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,- -,-700700000,-2500000
91,Common Stock Issued,- -,- -,- -,- -,10800000,26700000,31500000,18900000,63200000,38000000,50000000,42000000,56000000,75000000,125000000,20000000,44000000,25000000,70000000,78500000,91600000,60100000,64900000,13200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-278000000,-302900000,-338200000,-230400000,-64900000,-154900000,-137000000,-48000000,-856000000,-980000000,-172000000,-325000000,-63000000,- -,-128000000,-258400000,-499200000,-722500000,-1519300000,-359100000,-53500000,-118800000,-298700000,-259400000,-402700000,-485700000,-598400000,-507600000,-342600000,-1482300000,-1009000000,-264200000,-299700000
93,Dividends Paid,- -,- -,- -,- -,-192200000,-195800000,-201500000,-206100000,-211400000,-225200000,-235000000,-253000000,-248000000,-202000000,-194000000,-192000000,-170000000,-122000000,-122000000,-122500000,-142700000,-159300000,-184700000,-170200000,-164500000,-173600000,-211000000,-247400000,-276300000,-320500000,-350100000,-378200000,-390700000,-440800000,-459800000,-472800000,-497100000
94,Other Financing Activites,- -,- -,- -,- -,255900000,-3500000,-342500000,128900000,-25800000,-239100000,1072000000,201000000,-254000000,855000000,21000000,-173000000,-357000000,- -,-155000000,-9600000,-300000,265300000,-34800000,73300000,10600000,51000000,211800000,224100000,224400000,284400000,340400000,488100000,83700000,284200000,482900000,638800000,2097100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-203500000,-475500000,-850700000,-288700000,-238900000,-581200000,750000000,-58000000,-1302000000,-252000000,-220000000,-670000000,-546000000,-97000000,-335000000,-312000000,-550600000,-556400000,-1673900000,-442800000,-307400000,-241400000,-297900000,-282700000,-454600000,-521800000,-608100000,-397700000,-649600000,-1888900000,-985900000,-798900000,1297800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,9000000,- -,-31000000,1800000,-3100000,-1200000,38800000,30700000,-24500000,6800000,-5800000,-16800000,600000,-37700000,-96700000,-10500000,16800000,-32800000,-21500000,8400000,16800000
97,Net Change In Cash,- -,- -,- -,- -,-203500000,-475500000,-850700000,-288700000,-238900000,-581200000,750000000,-58000000,- -,- -,233000000,-166000000,-49000000,168000000,-63000000,221500000,-10200000,-48900000,216100000,-42000000,61600000,169600000,175500000,-85000000,297000000,-9600000,236000000,99100000,-115500000,-792100000,399600000,-288000000,-51000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356000000,190000000,121000000,289000000,226000000,473800000,463600000,414700000,624200000,582200000,643800000,813400000,988900000,903900000,1200900000,1191300000,1427300000,1526400000,1410900000,618800000,1018400000,730400000,679400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900100000,332400000,411200000,503800000,602600000,772800000,628000000,686000000,663000000,269000000,123000000,356000000,170000000,121000000,289000000,252300000,473800000,463600000,408100000,624200000,582200000,643800000,813400000,988900000,903900000,1200900000,1191300000,1427300000,1526400000,1410900000,618800000,1018400000,730400000
100,Free Cash Flow,- -,- -,- -,- -,-663600000,480900000,241300000,292400000,379300000,333200000,-751000000,330000000,-16000000,-15000000,255000000,611000000,178000000,336000000,327000000,498900000,542200000,276100000,327800000,439800000,427900000,393800000,523600000,579100000,868600000,892300000,1064800000,830400000,892300000,1174500000,1049200000,1006600000,1140700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024478/000095012302011324/y65666e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012303013398/y92046ke10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012304013937/y68901e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012305013478/e14450e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012306013812/y26663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000119312507250273/0001193125-07-250273-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000119312508241034/0001193125-08-241034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012309063897/0000950123-09-063897-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/0000950123-10-106922-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012311098301/0000950123-11-098301-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447812000024/0001024478-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447813000035/0001024478-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447814000031/0001024478-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447815000028/0001024478-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447816000071/0001024478-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000034/0001024478-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000032/0001024478-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447819000044/0001024478-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447820000038/0001024478-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/0001024478-21-000083-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
