,https://roic.ai/company/JCI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,9900000,11700000,-9100000,-6500000,-23900000,-9400000,-1700000,39500000,-45400000,-41300000,-110700000,56300000,66600000,-7400000,122700000,100400000,-25200000,-404000000,-63000000,-40000000,6000000,-85000000,-144000000,-206000000,273000000,-329000000,327000000,-1241000000,1125000000,-636000000,612000000,-537000000,36000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,48000000,60000000,49000000,59000000,56000000,64000000,82000000,90000000,142000000,147000000,115000000,95000000,74000000,76000000
77,Change in Working Capital,- -,- -,- -,- -,-49400000,- -,- -,- -,- -,- -,- -,- -,- -,695000000,1326000000,-884000000,12291000000,-13480000000,6720000000,725000000,-691000000,1386000000,-4844000000,-360000000,367000000,-1166000000,18000000,-866000000,-401000000,444000000,-457000000,-45000000,-340000000,135000000,2750000000,-1518000000,571000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-608000000,-721000000,-114000000,-182000000,-18000000,-297000000,-344000000,-520000000,-513000000,-312000000,534000000,-143000000
79,Inventory,- -,- -,- -,- -,-7700000,-29100000,32700000,7100000,19400000,-8000000,-40000000,-42300000,-41700000,-34800000,-93400000,-39300000,900000,10500000,-7600000,-8500000,-59400000,-77000000,-150000000,-49000000,557000000,-260000000,-387000000,39000000,-97000000,-311000000,-99000000,1000000,-398000000,-92000000,-72000000,45000000,-219000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000000,686000000,448000000,348000000,398000000,217000000,15000000,56000000,-717000000,813000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695000000,2021000000,1137000000,13428000000,-52000000,6668000000,7393000000,6702000000,8088000000,3244000000,2884000000,3251000000,2085000000,2103000000,1237000000,836000000,1280000000,823000000,778000000,438000000,573000000,3323000000,1805000000,-44000000
82,Other Non-Cash Items,- -,- -,- -,- -,42000000,71900000,49600000,105600000,287600000,33100000,-112400000,-136300000,10900000,-1654600000,-1671000000,-3408200000,-15871500000,23139600000,-7611800000,-2833000000,-2024800000,-3860000000,7782000000,-56000000,1537000000,893000000,-1321000000,1279000000,1262000000,-595000000,229000000,2954000000,-3719000000,-348000000,-8754000000,2747000000,-678000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,225400000,327900000,304600000,410900000,491700000,447200000,370200000,467600000,608900000,558300000,1011900000,745900000,973000000,989000000,768900000,1488000000,927400000,1417000000,1913000000,1928000000,917000000,1514000000,1076000000,1559000000,2686000000,2395000000,1600000000,1895000000,12000000,2513000000,1202000000,2219000000,2487000000
84,CAPEX,- -,- -,- -,- -,-366500000,-235500000,-155900000,-263900000,-298300000,-347500000,-450700000,-370400000,-370900000,-468300000,-675100000,-546700000,-621500000,-496200000,-664400000,-862200000,-664100000,-711000000,-828000000,-807000000,-647000000,-777000000,-1325000000,-1831000000,-1377000000,-1199000000,-1135000000,-1249000000,-1343000000,-1030000000,-586000000,-443000000,-552000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30600000,-153800000,-1264500000,-546000000,- -,-80900000,-231100000,-644700000,-384700000,-419600000,350700000,-2629000000,72000000,-277000000,-38000000,-61000000,-1226000000,75000000,638000000,-1508000000,1624000000,385000000,214000000,2181000000,-13000000,58000000,-706000000
86,Purchases of Investments,- -,- -,- -,- -,-76300000,- -,- -,-2300000,-11400000,-21700000,- -,- -,- -,- -,- -,- -,-48800000,- -,- -,- -,- -,- -,- -,-78000000,-110000000,-101000000,-140000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,21000000,- -,- -,8900000,13100000,11500000,- -,- -,- -,- -,- -,- -,- -,- -,38200000,- -,11600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,- -,43000000
88,Other Investing Activites,- -,- -,- -,- -,11200000,-69100000,-3500000,57700000,-38900000,-139400000,29300000,16900000,621800000,211600000,395800000,77500000,141000000,-436900000,-620300000,-890500000,-634700000,-447000000,-1123000000,-915000000,-680000000,-806000000,-1271000000,-1867000000,-1218000000,-1085000000,-1154000000,-1272000000,-1351000000,-966000000,12052000000,-316000000,-427000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-410600000,-304600000,-159400000,-199600000,-335500000,-497100000,-452000000,-507300000,-1013600000,-802700000,-279300000,-550100000,-760400000,-1081600000,-966800000,-1310100000,-272400000,-3076000000,-1051000000,-1270000000,-828000000,-968000000,-2637000000,-1792000000,-580000000,-2593000000,470000000,-887000000,-1137000000,1215000000,12078000000,-258000000,-1090000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553900000,-383400000,-869900000,-373700000,-890000000,-548000000,-935000000,-391000000,-526000000,-787000000,-36000000,-490000000,-833000000,-191000000,-1299000000,-1297000000,-3729000000,-2333000000,-1386000000,-524000000
91,Common Stock Issued,- -,- -,- -,- -,175000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000000,- -,- -,- -,-102000000,-350000000,-1249000000,-1362000000,-501000000,-651000000,-300000000,-5983000000,-2204000000,-1307000000
93,Dividends Paid,- -,- -,- -,- -,-48100000,-60900000,-62400000,-64300000,-68100000,-71400000,-76300000,-80000000,-83400000,-93800000,-95800000,-106200000,-117600000,-125300000,-136300000,-170700000,-191900000,-218000000,-195000000,-297000000,-309000000,-339000000,-413000000,-477000000,-513000000,-568000000,-657000000,-915000000,-702000000,-954000000,-920000000,-790000000,-762000000
94,Other Financing Activites,- -,- -,- -,- -,65900000,64900000,-45400000,-151100000,-85200000,163200000,128800000,179700000,442000000,366200000,-491700000,-74100000,20400000,667200000,582400000,890500000,22400000,2849000000,201000000,406000000,978000000,-30000000,2439000000,822000000,139000000,2238000000,389000000,1782000000,3367000000,1231000000,-1318000000,1443000000,462000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,192200000,4000000,-107800000,-215400000,-153300000,91800000,52500000,99700000,358600000,272400000,-587500000,-180300000,-97200000,-12000000,62700000,-150100000,-543200000,1741000000,-542000000,-895000000,278000000,-895000000,1239000000,207000000,-1214000000,-412000000,-1821000000,-933000000,717000000,-3752000000,-10554000000,-2937000000,-2131000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,8600000,-11400000,3000000,500000,300000,-7300000,-5800000,-2900000,-16100000,-16400000,-8000000,9300000,5600000,29500000,40000000,61000000,-53000000,10000000,148000000,19000000,34000000,-98000000,-20000000,-81000000,12000000,54000000,-106000000,-120000000,115000000,116000000
97,Net Change In Cash,- -,- -,- -,- -,192200000,4000000,-107800000,-215400000,-153300000,91800000,-28800000,60300000,-53400000,22200000,142200000,-600000,99000000,104600000,-116600000,39000000,72100000,122000000,381000000,-290000000,377000000,-201000000,-303000000,8000000,790000000,-646000000,188000000,87000000,-258000000,-121000000,2605000000,-870000000,-624000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103800000,164100000,111800000,134000000,276200000,275600000,374600000,262000000,136100000,169500000,171300000,293000000,674000000,384000000,761000000,560000000,257000000,265000000,1055000000,409000000,597000000,684000000,321000000,200000000,2805000000,1951000000,1336000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,20000000,27000000,54300000,91700000,96200000,87700000,132600000,103800000,165200000,111800000,134000000,276200000,275600000,157400000,252700000,130500000,99200000,171000000,293000000,674000000,384000000,761000000,560000000,257000000,265000000,1055000000,409000000,597000000,579000000,321000000,200000000,2821000000,1960000000
100,Free Cash Flow,- -,- -,- -,- -,-141100000,92400000,148700000,147000000,193400000,99700000,-80500000,97200000,238000000,90000000,336800000,199200000,351500000,492800000,104500000,625800000,263300000,706000000,1085000000,1121000000,270000000,737000000,-249000000,-272000000,1309000000,1196000000,465000000,646000000,-1331000000,1483000000,616000000,1776000000,1935000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833444/000091205701544874/0000912057-01-544874-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746902008641/0001047469-02-008641-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746903041163/a2122987z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746904036967/a2146767z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746905028024/a2165075z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746906014899/a2174482z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746907009551/0001047469-07-009551-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746908012419/0001047469-08-012419-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746909010234/0001047469-09-010234-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746910009627/0001047469-10-009627-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746911009619/0001047469-11-009619-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746912010665/0001047469-12-010665-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344413000045/0000833444-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344414000124/0000833444-14-000124-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344415000091/0000833444-15-000091-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344416000216/0000833444-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344417000060/0000833444-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344418000053/0000833444-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344419000051/0000833444-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344420000048/0000833444-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/833444/000083344421000046/0000833444-21-000046-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
