,https://roic.ai/company/AXGN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-500000,-600000,-2600000,- -,-200000,-600000,-300000,100000,-500000,-563001,6164943,-102072,773094,862677,-60000,- -,- -,-29913,-8682,-2000269,7112172,-127284,-243965,-594047,-555518,-1189555,-1292218,-98193000,27271000,-16963000,-23649000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4732857,-161292,- -,-1750000,- -,-9131570,-57645087,-53002000,- -,-7834000,-15000
91,Common Stock Issued,- -,- -,- -,- -,200000,500000,100000,100000,200000,500000,100000,- -,- -,53586,28085,2272,3194,26531,6447,- -,18087,- -,- -,- -,1000000,- -,16777746,1625748,30968386,18668092,15662905,132964000,- -,3500000,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,-400000,- -,- -,- -,- -,-200000,-100000,-200000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-246824,- -,- -,- -,- -,-4298350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-400000,-700000,- -,-100000,-100000,-100000,- -,- -,100000,- -,859420,6646,101204,-936732,-12573,81255,- -,- -,- -,- -,39000,10091708,14667054,73326,-684601,332660,6962380,59004218,29880000,4031000,44808000,20467000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-500000,-900000,500000,- -,- -,100000,300000,- -,-100000,-500000,913006,34731,103476,-933538,13958,-159122,- -,18087,- -,- -,-4259350,6358851,14505762,16851072,-808853,31301046,16498902,17022036,109842000,4031000,40474000,20452000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-500000,-900000,500000,- -,- -,100000,300000,- -,-100000,-1200000,-921854,3276552,-753617,-187744,1755474,-928740,-28793,-448860,-500077,15433259,-8689280,6391733,5716620,6162349,-11853959,17693709,4104905,6492219,-6213000,11430000,13885000,-16602000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,100171,3376723,671588,483844,2239318,1310578,1281785,832925,332848,15766107,7076827,8190781,13907401,20069750,8215791,25909500,30014405,36506624,30294000,41724000,55609000,39007000
99,Cash at the Beginning of Period,- -,- -,- -,500000,600000,500000,1500000,400000,800000,800000,800000,700000,2200000,1022025,100171,1425205,671588,483844,2239318,1310578,1281785,832925,332848,15766107,1799048,8190781,13907401,20069750,8215791,25909500,30014405,36507000,30294000,41724000,55609000
100,Free Cash Flow,- -,- -,- -,400000,700000,400000,900000,-1800000,-1400000,-200000,-100000,1100000,-600000,-1696307,-3295028,-776091,-49301,804289,-709618,-28793,-466947,-500077,15433259,-2470357,-7168756,-8789142,-10688723,-11045106,-13607337,-12393997,-10529817,-24465000,-25098000,-32223000,-41805000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710195000371/0000897101-95-000371-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710196000842/0000897101-96-000842-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710197001039/0000897101-97-001039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710100000947/0000897101-00-000947-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000095013708005338/0000950137-08-005338-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095013709002466/0000950137-09-002466-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000114420410017650/0001144204-10-017650-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095012311030929/0000950123-11-030929-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312512116287/0001193125-12-116287-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312513103379/0001193125-13-103379-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465914017051/0001104659-14-017051-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465915017126/0001104659-15-017126-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837016003691/0001558370-16-003691-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837017001241/0001558370-17-001241-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837018001268/0001558370-18-001268-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837019001095/0001558370-19-001095-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837020001238/0001558370-20-001238-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592821000044/0000805928-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592822000026/0000805928-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
