,https://roic.ai/company/OMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48464000,19255000,- -,-37273000,27161000,-38645000,-17803000,18333000,-25244000,-100010000,- -,- -,-34818000,-2201000
79,Inventory,- -,- -,- -,- -,- -,-20600000,-3800000,400000,-28200000,-81300000,-6200000,43600000,-6100000,8900000,-42400000,23935000,-78198000,33538000,-35737000,-55247000,-9896000,-107965000,60185000,-56156000,-13528000,-41315000,-99950000,54540000,-7064000,-57329000,-69727000,22589000,-57032000,-65451000,127921000,-85154000,-263439000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13584000,-18755000,86146000,44058000,-18694000,47374000,-52148000,114011000,43430000,143947000,92179000,-235631000,193240000,3548000
81,Other Working Capital,89100000,106500000,- -,133300000,118000000,122700000,99900000,139100000,281800000,331700000,193000000,233800000,235200000,219400000,233637000,311778000,385023000,385743000,433945000,405684000,596267000,521393000,644283000,641951000,709308000,793460000,704607000,736753000,866151000,911111000,927401000,872172000,1066567000,991124000,790138000,973207000,977791000
82,Other Non-Cash Items,-5800000,-24100000,- -,-38300000,9200000,2900000,20700000,-61800000,-180400000,-224700000,123200000,118200000,-35400000,-12800000,22463000,-88296000,-128376000,-70173000,-32873000,2484000,-134951000,-86031000,-9443000,-82368000,-39607000,12780000,-12533000,30996000,-160406000,-183453000,78711000,61723000,-231780000,544759000,314363000,-2627000,-187897000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,21700000,16100000,3700000,-10000000,-153900000,-11400000,188100000,8000000,32500000,92300000,43155000,1641000,-14262000,94904000,58654000,135374000,-73580000,219840000,55763000,175577000,242923000,68141000,218506000,140554000,-3761000,269597000,186934000,56774000,115589000,166085000,339223000,124177000
84,CAPEX,- -,- -,- -,- -,- -,-6500000,-5900000,-5000000,-6300000,-6600000,-7400000,-6200000,-12000000,-12600000,-104800000,-8005000,-10147000,-9757000,-17651000,-18194000,-30166000,-38733000,-30546000,-26950000,-32289000,-41349000,-36315000,-38963000,-60129000,-70808000,-36616000,-30121000,-50737000,-65685000,-52228000,-59193000,-49690000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000000,-171000000,15000000,-97000000,7000000,- -,- -,-155000000,- -,-249000000,- -,- -,-367000000,-752000000,- -,133000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1937000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,300000,-3400000,48400000,-5800000,-42200000,-10300000,-200000,1900000,- -,-2400000,-11774000,-7544000,9000,520000,-1156000,-448000,176000,768000,-8662000,-8469000,-6202000,-8904000,-26043000,-28959000,-21764000,-15942000,-4444000,-15030000,-18956000,-9478000,-2503000,-12645000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-4200000,-9300000,43400000,-12100000,-48800000,-17700000,-6400000,-10100000,-12600000,-107200000,-19779000,-17691000,-9748000,-17131000,-19350000,-95614000,-209557000,-14778000,-123331000,-21215000,-37423000,-33885000,-190875000,-57078000,-317251000,-36473000,-24746000,-416643000,-815829000,-51897000,80073000,-53630000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150578000,-101400000,- -,- -,- -,-217352000,-33700000,- -,-3125000,-16250000,-117792000,-696951000,-656340000
91,Common Stock Issued,- -,- -,- -,- -,- -,800000,2400000,- -,1000000,1300000,500000,1800000,2600000,- -,100000,4837000,8255000,1992000,4672000,5263000,4315000,4317000,9621000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189971000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,- -,- -,- -,-6594000,-31323000,- -,- -,- -,- -,- -,- -,- -,-16124000,-15000000,-18876000,-9934000,-20000000,-71028000,-5000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2200000,-2600000,-3200000,-4200000,-7700000,-10700000,-10900000,-11000000,-9300000,-7500000,-8156000,-9182000,-10567000,-12727000,-17322000,-20713000,-24092000,-27637000,-33048000,-38370000,-44780000,-50909000,-55681000,-60731000,-63104000,-63651000,-63382000,-63151000,-48200000,-5226000,-648000,-731000
94,Other Financing Activites,- -,- -,- -,- -,- -,-16000000,-9200000,-37600000,20300000,207500000,39000000,-172100000,10300000,104200000,22400000,-20100000,17304000,41587000,-25421000,12216000,2516000,236105000,-190007000,98311000,59836000,3757000,9502000,2266000,-2373000,568950000,-6882000,-7533000,344082000,765521000,-7179000,128242000,527593000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-17400000,-9400000,-40800000,17100000,201100000,28800000,-181200000,1900000,-20100000,15000000,-23419000,16377000,26418000,-64799000,157000,-13882000,216330000,-208023000,65263000,-129112000,-142423000,-57531000,-68415000,-81980000,278560000,-124233000,-141943000,272806000,701071000,-130197000,-379386000,-129478000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2734000,2521000,-2681000,-4643000,4223000,6097000,-1986000,-2671000,9909000,-3540000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,-43000,327000,2408000,12974000,39461000,16101000,-66807000,-2961000,-2509000,88250000,63077000,-23275000,-38050000,4017000,-45133000,104248000,24468000,-80966000,-1155000,-18680000,49819000,-62471000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,626000,953000,3361000,16335000,55796000,71897000,5090000,2129000,7886000,96136000,159213000,135938000,97888000,101905000,56772000,161020000,185488000,104522000,103367000,84687000,134506000,72035000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3300000,3300000,800000,7100000,2000000,500000,200000,700000,600000,500000,669000,626000,953000,3361000,16335000,55796000,71897000,5090000,10395000,7886000,96136000,159213000,135938000,97888000,101905000,56772000,161020000,185488000,104522000,103367000,84687000,134506000
100,Free Cash Flow,- -,- -,- -,- -,- -,15200000,10200000,-1300000,-16300000,-160500000,-18800000,181900000,-4000000,19900000,-12500000,35150000,-8506000,-24019000,77253000,40460000,105208000,-112313000,189294000,28813000,143288000,201574000,31826000,179543000,80425000,-74569000,232981000,156813000,6037000,49904000,113857000,280030000,74487000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664195000086/0000916641-95-000086-index.html,https://www.sec.gov/Archives/edgar/data/75252/000091664196000151/0000916641-96-000151-index.html,- -,https://www.sec.gov/Archives/edgar/data/75252/0000916641-98-000355-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664103000504/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312504031265/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312505037398/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312506038705/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312507039764/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312508041911/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312509041161/0001193125-09-041161-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312510040816/0001193125-10-040816-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312511047429/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312512077718/0001193125-12-077718-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312513071696/0001193125-13-071696-index.html,https://www.sec.gov/Archives/edgar/data/75252/000144530514000570/omi1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75252/000162828015000917/omi1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525216000137/0000075252-16-000137-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525217000037/0000075252-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525218000042/0000075252-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525219000037/0000075252-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525220000021/0000075252-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525221000034/0000075252-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525222000009/0000075252-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
