,https://roic.ai/company/FRPH,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,6400000,8600000,7500000,8300000,8500000,10000000,10100000,14681000,13982000,13557000,15032000,9566000,9626000,24947000,16056000,17050000,10535000,22772000,23322000,22299000,24973000,13349000,20601000,20484000,27126000,23354000,17226000,19490000,21059000,-37186000,47023000,18613000,22242000
84,CAPEX,- -,- -,- -,- -,- -,-8700000,-9800000,-4200000,-7200000,-7200000,-8700000,-15500000,-15102000,-14570000,-16823000,-25590000,-25406000,-23732000,-19056000,-22507000,-52569000,-29951000,-42289000,-17354000,-41536000,-14124000,-10703000,-6743000,-23309000,-15612000,-9631000,-6493000,-27554000,-16610000,- -,- -,- -,-880000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3518000,-525000,-475000,-495000,- -,- -,-116000,-15289000,-625000,-929000,1602000,-71007000,-73529000,-12315000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11243000,-11164000,-116000,- -,-625000,-929000,-693000,-446974000,-86261000,-24584000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279553000,116434000,85735000,69865000
88,Other Investing Activites,- -,- -,- -,- -,- -,300000,-2700000,- -,100000,-300000,1700000,100000,1882000,-1938000,2591000,8844000,7953000,9854000,1078000,1625000,46442000,19307000,3376000,1672000,6849000,1219000,2018000,6383000,2817000,-6681000,-14451000,-1965000,14373000,-1620000,329373000,9537000,1691000,-2384000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-8400000,-12500000,-4200000,-7100000,-7500000,-7000000,-15400000,-13220000,-16508000,-14232000,-16746000,-17453000,-13878000,-17978000,-20882000,-6127000,-10644000,-38913000,-19200000,-35212000,-13380000,-9180000,-11603000,-31656000,-22525000,-39371000,-9708000,-15039000,-17321000,90945000,-33819000,50527000,66601000
90,Debt Repayment,- -,- -,- -,- -,- -,-1500000,-4100000,-3800000,-1700000,-600000,-11100000,-3500000,-2347000,-338000,-432000,-535000,-750000,-877000,-9673000,-1340000,-4874000,-5004000,-2312000,-14368000,-3762000,-4019000,-4293000,-4588000,-4902000,-19766000,-17611000,-26671000,-35449000,-103693000,-1552000,- -,- -,-90000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,22000,4179000,574000,2200000,545000,- -,457000,6530000,1489000,877000,699000,1001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-1900000,-1100000,-800000,-1400000,-4400000,-2500000,-3915000,-3300000,- -,-2200000,-2013000,-3404000,-32000,-6118000,-2510000,-877000,-699000,- -,-4388000,- -,- -,-1395000,-315000,-233000,- -,- -,-43000,-74000,-5733000,-8210000,-21312000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,3500000,10000000,2000000,1100000,1000000,12900000,10800000,4700000,2101000,767000,4179000,8145000,8340000,2368000,5982000,-5586000,7880000,15641000,36035000,1897000,451000,1472000,860000,2076000,9187000,34139000,18559000,30622000,104553000,-28451000,-934000,-526000,88769000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,1900000,4000000,-2900000,-1400000,-1000000,-2500000,4800000,-1540000,2642000,909000,3644000,5927000,4059000,-6880000,5054000,-11481000,2876000,13329000,22668000,-6253000,-3568000,-2821000,-5123000,-3141000,-10812000,16528000,-8112000,-4870000,786000,-35736000,-9144000,-21838000,-1231000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,1900000,4000000,-2900000,-1400000,-1000000,400000,-400000,-79000,116000,234000,1930000,-1960000,-193000,89000,228000,-558000,2767000,-2812000,26790000,-19166000,8025000,1348000,3875000,-14313000,-6211000,511000,-594000,-4870000,786000,18023000,4060000,47302000,87612000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,400000,313000,429000,663000,2593000,633000,440000,529000,757000,199000,2966000,154000,26944000,7778000,15803000,17151000,21026000,6713000,502000,1013000,419000,- -,4524000,22547000,26607000,73909000,161521000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,100000,100000,100000,500000,400000,400000,800000,392000,313000,429000,663000,2593000,633000,440000,529000,757000,199000,2966000,154000,26944000,7778000,15803000,17151000,21026000,6713000,502000,1013000,419000,- -,4524000,22547000,26607000,73909000
100,Free Cash Flow,- -,- -,- -,- -,- -,-2300000,-1200000,3300000,1100000,1300000,1300000,-5400000,-421000,-588000,-3266000,-10558000,-15840000,-14106000,5891000,-6451000,-35519000,-19416000,-19517000,5968000,-19237000,10849000,2646000,13858000,-2825000,11514000,13723000,17226000,19490000,21059000,-37186000,47023000,18613000,21362000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405996000008/0000844059-96-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405900000006/0000844059-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405901500007/0000844059-01-500007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405907000008/0000844059-07-000008-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405908000010/0000844059-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405909000010/0000844059-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405910000012/0000844059-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405911000015/0000844059-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405912000019/0000844059-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405913000021/0000844059-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405914000023/0000844059-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405915000024/0000844059-15-000024-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405919000003/0000844059-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405920000010/0000844059-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405921000008/0000844059-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405922000007/0000844059-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
