,https://roic.ai/company/PVH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,-26000000,- -,- -,- -,- -,316000000,-54000000,-21000000,-130000000,124300000,65700000,1000000,-11000000,33000000,-18000000,-22000000,155000000,63000000,-26000000,39000000,117002000,270998000,-208000000,580000000,172000000,-89300000,-72300000,29400000,-155600000,185500000,66700000,645000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39446000,-1202000,-114767000,-40840000,55694000,-31650000,-17400000,33200000,22300000,3300000,-151400000,-17100000,138400000,-138100000
79,Inventory,- -,- -,- -,- -,-17500000,-23100000,-9600000,-32400000,-11100000,14600000,16300000,39400000,-12100000,16800000,26931000,-10173000,39331000,2733000,27039000,-24457000,-14834000,-16133000,-26782000,38562000,20768000,-124525000,-111248000,-57518000,-44307000,-71700000,-96200000,2200000,-163500000,-212100000,121400000,283300000,-33900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48224000,86593000,-41246000,-41700000,58600000,166900000,185900000,112900000,47800000,140900000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,262000000,241000000,111000000,235300000,301000000,302000000,291000000,324000000,306000000,284000000,439000000,502000000,476000000,515000000,632002000,903000000,695000000,1275000000,1447000000,1357700000,1285400000,1314800000,1159200000,1344700000,-72000000,73300000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,900000,-19700000,-7700000,-30900000,4700000,-314600000,-7200000,73600000,205100000,-139500000,-36230000,-25647000,33063000,2556000,27009000,50378000,-164667000,-45840000,12794000,60498000,-133519000,-140496000,166694000,-668205000,-213011000,177000000,108800000,15100000,172400000,-357100000,231500000,958600000,-176000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,7500000,14900000,35800000,21500000,53500000,49400000,-42500000,102600000,-8400000,26000000,73980000,35389000,63653000,105228000,56223000,142649000,189385000,254463000,221040000,238747000,214452000,352227000,490721000,569537000,411859000,789100000,899600000,954800000,699800000,852500000,1020300000,697700000,1071200000
84,CAPEX,- -,- -,- -,- -,-12800000,-25200000,-21100000,-36800000,-47900000,-53100000,-39800000,-22600000,-17900000,-38200000,-31291000,-31898000,-33406000,-29451000,-31970000,-46195000,-37443000,-46161000,-94749000,-88141000,-23856000,-100995000,-169841000,-210554000,-237142000,-255800000,-263800000,-246600000,-358100000,-379500000,-345200000,-226600000,-267900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74865000,-5600000,- -,-401565000,-70539000,-194000,-113262000,1630000,-90407000,-1582000,-2633615000,-134020000,-97379000,-1828796000,-91400000,-77900000,-243400000,-110700000,-15900000,-220100000,167500000,222900000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17234000,743000,- -,32811000,3335000,1864000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,9800000,600000,6900000,17800000,9300000,17700000,-109700000,-600000,300000,- -,65251000,- -,- -,- -,-16955000,-22246000,-26249000,-30769000,-37520000,- -,-37435000,-43655000,- -,- -,8609000,-10500000,20200000,9100000,9700000,- -,59400000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3000000,-24600000,-7100000,-19000000,-38600000,-35400000,-149500000,-23200000,-17600000,-38200000,33960000,-106763000,-39006000,-29451000,-433256000,-138237000,-63886000,-157381000,-127304000,-176684000,-62873000,-2778265000,-303861000,-307933000,-2057329000,-357700000,-321500000,-480900000,-459100000,-395400000,-505900000,-59100000,-45000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553645000,-521105000,-312627000,-1638712000,-1101800000,-340400000,-945800000,-970500000,-162100000,-1725400000,-73500000,-1046000000
91,Common Stock Issued,- -,- -,- -,- -,100000,600000,2300000,142700000,7400000,2600000,1700000,400000,800000,800000,16000,1196000,2845000,1985000,252827000,24758000,52648000,17580000,12557000,- -,- -,364529000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-121100000,-3900000,- -,- -,- -,- -,- -,- -,-326000,- -,-60000,-68000,-125000,-69000,-50000,-200287000,-27000,-400000,-2481000,-5270000,-13984000,-61435000,-11100000,-138400000,-322100000,-259100000,-325200000,-345100000,-117300000,-361300000
93,Dividends Paid,- -,- -,- -,- -,-10700000,-10700000,-10800000,-5700000,- -,-4000000,-4000000,-4100000,-4100000,-4100000,-4092000,-4094000,-4136000,-4160000,-4555000,-25757000,-20630000,-11086000,-8452000,-7760000,-7811000,-10015000,-10874000,-10985000,-12293000,-12500000,-12500000,-12200000,-11900000,-11600000,-11300000,-2700000,-2700000
94,Other Financing Activites,- -,- -,- -,- -,2800000,19000000,-19100000,51700000,-27400000,-200000,131400000,-81700000,29400000,14700000,-20000000,- -,- -,- -,144696000,-12162000,-14205000,-4784000,6261000,3977000,9347000,2635082000,93588000,722411000,3067333000,610900000,12900000,976900000,733300000,20400000,1630200000,670900000,11500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-7800000,8900000,-27600000,67600000,-23900000,-1600000,129100000,-85400000,26100000,11400000,-24076000,-3224000,-1291000,-2235000,392900000,-13286000,17744000,1660000,-189921000,-3810000,1136000,2433470000,-443661000,384815000,1354893000,-514500000,-478400000,-303200000,-508200000,-478500000,-451600000,477400000,-1398500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10404000,-8720000,12593000,-8473000,-30800000,-22600000,3000000,31300000,-20500000,-11400000,32000000,-36600000
97,Net Change In Cash,- -,- -,- -,- -,-7800000,8900000,-27600000,67600000,-23900000,-1600000,129100000,-85400000,26100000,11400000,83864000,-74598000,23356000,73542000,15867000,-8874000,143243000,98742000,-96185000,58253000,152715000,17836000,-265521000,659012000,-299050000,-113900000,77100000,173700000,-236200000,-41900000,51400000,1148000000,-408900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94821000,20223000,43579000,117121000,132988000,124114000,267357000,366099000,269914000,328167000,480882000,498718000,233197000,892209000,593159000,479300000,556400000,730100000,493900000,452000000,503400000,1651400000,1242500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9900000,6600000,5800000,7000000,77100000,68100000,80500000,17500000,11600000,11700000,10957000,94821000,20223000,43579000,117121000,132988000,124114000,267357000,366099000,269914000,328167000,480882000,498718000,233197000,892209000,593200000,479300000,556400000,730100000,493900000,452000000,503400000,1651400000
100,Free Cash Flow,- -,- -,- -,- -,-5300000,-10300000,14700000,-15300000,5600000,-3700000,-82300000,80000000,-26300000,-12200000,42689000,3491000,30247000,75777000,24253000,96454000,151942000,208302000,126291000,150606000,190596000,251232000,320880000,358983000,174717000,533300000,635800000,708200000,341700000,473000000,675100000,471100000,803300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823995000012/0000078239-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823996000003/0000078239-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823997000002/0000078239-97-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823900000004/0000078239-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823901500008/0000078239-01-500008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823902000006/ten01k.htm,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823904000021/tenk2104.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823905000009/tenk1302005edgar.htm,https://www.sec.gov/Archives/edgar/data/78239/000104746906005175/a2169334z10-k.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823907000011/0000078239-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823908000010/0000078239-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823909000013/0000078239-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823910000015/0000078239-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823911000015/formtenkjan302011.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823912000024/0000078239-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823913000019/0000078239-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823914000017/0000078239-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823915000008/0000078239-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823916000062/0000078239-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823917000009/0000078239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823918000007/0000078239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823919000011/0000078239-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823920000023/0000078239-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823921000017/0000078239-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823922000031/0000078239-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
