,https://roic.ai/company/NKE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170600000,159000000,105000000,130000000,174000000,177000000,191000000,236000000,215000000,218000000,325000000,429000000,611000000
77,Change in Working Capital,- -,- -,- -,-7700000,- -,- -,- -,- -,- -,938400000,321400000,704200000,-135200000,-10800000,-361600000,382200000,482900000,343200000,838300000,848900000,383800000,756800000,25300000,939200000,1138000000,-256000000,327000000,2034000000,-1031000000,973000000,25000000,920000000,-1493000000,-435000000,3613000000,4345000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82500000,- -,- -,- -,- -,-238000000,181700000,-273000000,-323000000,142000000,-298000000,-216000000,60000000,-426000000,187000000,-270000000,1239000000,-1606000000
79,Inventory,- -,- -,- -,-24500000,-86600000,-275000000,115400000,-97500000,160800000,-69700000,-301400000,-416700000,-58000000,197300000,-275400000,-16700000,55400000,-102800000,-55900000,-103300000,-200300000,-49500000,-249800000,32200000,284600000,-551000000,-805000000,-197000000,-505000000,-621000000,-590000000,-231000000,-255000000,-490000000,-1854000000,507000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,470000000,- -,- -,- -,- -,- -,- -,- -,24000000,1326000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,938400000,1259800000,1964000000,1828800000,1818000000,1456400000,1838600000,2321500000,2664700000,3503000000,4351900000,4735700000,5492500000,5517800000,6457000000,7595000000,7339000000,7666000000,9700000000,8669000000,9642000000,9667000000,10587000000,9094000000,8659000000,12272000000,16617000000
82,Other Non-Cash Items,- -,- -,- -,3800000,-132100000,-304600000,51500000,-164400000,237100000,-1148700000,-603700000,-1298100000,133500000,253700000,282000000,-609300000,-356500000,-212700000,-646100000,-798800000,-372800000,-673900000,6700000,-949600000,-443300000,-452000000,-1126000000,-2200000000,543000000,-293000000,-1507000000,-2178000000,2876000000,1230000000,-4835000000,-4438000000
83,Cash Provided by Operating Activities,- -,- -,- -,169400000,127100000,14200000,436600000,265300000,576500000,254900000,330000000,323100000,517500000,961000000,759900000,656500000,1081500000,917400000,1514400000,1570700000,1667900000,1878700000,1936300000,1736100000,3164200000,1812000000,1899000000,3027000000,3003000000,4680000000,3096000000,3640000000,4955000000,5903000000,2485000000,6657000000
84,CAPEX,- -,- -,- -,-42000000,-87200000,-164800000,-106500000,-97000000,-95300000,-154100000,-216400000,-465900000,-505900000,-384100000,-419900000,-317600000,-282800000,-185900000,-213900000,-257100000,-333700000,-313500000,-449200000,-455700000,-335100000,-432000000,-597000000,-636000000,-880000000,-963000000,-1143000000,-1105000000,-1028000000,-1119000000,-1086000000,-695000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000000,- -,- -,-325000000,- -,- -,- -,- -,786000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400800000,-1527200000,-2619700000,-2133800000,-1865600000,-2908700000,-3724400000,-7639000000,-2705000000,-3702000000,-5386000000,-5086000000,-5217000000,-5928000000,-4783000000,-2937000000,-2426000000,-9961000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491900000,1709800000,2516200000,2246000000,2581300000,2793100000,7079000000,3851000000,2499000000,5058000000,5871000000,5310000000,6046000000,6109000000,3787000000,2453000000,6685000000
88,Other Investing Activites,- -,- -,- -,1500000,-2200000,-46400000,-3400000,-75900000,3700000,-427300000,-13600000,-30400000,-89100000,-32400000,-20100000,-24700000,-20000000,-29700000,-331800000,-21000000,-33000000,24000000,-20000000,-15000000,-1100000,-29000000,-35000000,-14000000,1000000,3000000,16000000,-21000000,-22000000,5000000,31000000,171000000
89,Cash Used for Investing Activites,- -,- -,- -,-40500000,-89400000,-211200000,-109900000,-172900000,-91600000,-581400000,-230000000,-496300000,-595000000,-416500000,-440000000,-342300000,-302800000,-215600000,-946500000,-360400000,-1276600000,92900000,-413800000,-798100000,-1267500000,-1021000000,514000000,-1067000000,-1207000000,-175000000,-1034000000,-1008000000,276000000,-264000000,-1028000000,-3800000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-206900000,- -,- -,- -,- -,-6800000,-32200000,-8000000,-203000000,-49000000,-77000000,-26000000,-113000000,-61000000,-29000000,-33000000,- -,-197000000
91,Common Stock Issued,- -,- -,- -,2500000,1700000,3200000,4200000,7100000,4300000,6200000,21200000,26300000,32200000,54400000,23900000,56000000,59500000,44200000,- -,226800000,225300000,322900000,343300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-140100000,-142900000,-18800000,- -,-202300000,-299800000,-646300000,-157000000,-226900000,-196300000,-419800000,-556200000,-761100000,-985200000,-1248000000,-649200000,-741200000,-1859000000,-1814000000,-1674000000,-2628000000,-2534000000,-3238000000,-3223000000,-4254000000,-4286000000,-3067000000,-608000000
93,Dividends Paid,- -,- -,- -,-20500000,-28100000,-39100000,-44500000,-53000000,-60300000,-65400000,-78800000,-100900000,-127300000,-136200000,-133100000,-129700000,-128900000,-137800000,-179200000,-236700000,-290900000,-343700000,-412900000,-466700000,-505400000,-555000000,-619000000,-703000000,-799000000,-899000000,-1022000000,-1133000000,-1243000000,-1332000000,-1452000000,-1638000000
94,Other Financing Activites,- -,- -,- -,-100100000,-9300000,264400000,-152300000,-6400000,-53900000,227000000,22600000,388200000,26000000,-62500000,503400000,-119200000,-181900000,-315300000,407400000,-90900000,-24200000,-105500000,91500000,388800000,217600000,450000000,518000000,1386000000,590000000,669000000,1702000000,2475000000,691000000,358000000,7010000000,984000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-118100000,-35700000,228500000,-192600000,-52300000,-250000000,24900000,-53800000,313600000,-271400000,-444100000,-252100000,-349900000,-478200000,-605200000,-398500000,-657000000,-850900000,-1111500000,-1226100000,-733900000,-1061200000,-1972000000,-2118000000,-1040000000,-2914000000,-2790000000,-2671000000,-1942000000,-4835000000,-5293000000,2491000000,-1459000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-500000,2800000,-2200000,6200000,-8900000,-7300000,-1100000,-200000,42800000,12100000,-10900000,-11600000,85400000,-29000000,-38100000,24600000,6800000,25700000,42400000,-19200000,-46900000,-47500000,57000000,67000000,100000000,1000000,-83000000,-105000000,-20000000,45000000,-129000000,-66000000,143000000
97,Net Change In Cash,- -,- -,- -,-118100000,-35700000,228500000,-192600000,-52300000,-250000000,- -,- -,- -,- -,- -,56200000,49700000,271500000,58500000,194000000,560100000,-433900000,902500000,277200000,157200000,788000000,-1124000000,362000000,1020000000,-1117000000,1632000000,-714000000,670000000,441000000,217000000,3882000000,1541000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254300000,304000000,575500000,634000000,828000000,1388100000,954200000,1856700000,2133900000,2291100000,3079100000,1955000000,2317000000,3337000000,2220000000,3852000000,3138000000,3808000000,4249000000,4466000000,8348000000,9889000000
99,Cash at the Beginning of Period,- -,- -,- -,75400000,85700000,90400000,119800000,260100000,291300000,518800000,216100000,262100000,445400000,108600000,198100000,254300000,304000000,575500000,634000000,828000000,1388100000,954200000,1856700000,2133900000,2291100000,3079000000,1955000000,2317000000,3337000000,2220000000,3852000000,3138000000,3808000000,4249000000,4466000000,8348000000
100,Free Cash Flow,- -,- -,- -,127400000,39900000,-150600000,330100000,168300000,481200000,100800000,113600000,-142800000,11600000,576900000,340000000,338900000,798700000,731500000,1300500000,1313600000,1334200000,1565200000,1487100000,1280400000,2829100000,1380000000,1302000000,2391000000,2123000000,3717000000,1953000000,2535000000,3927000000,4784000000,1399000000,5962000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320187/000032018795000013/0000320187-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/320187/000032018796000014/0000320187-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/320187/000091205797029601/0000912057-97-029601-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/0000320187-99-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/0001095811-01-503828-index.html,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/0000891020-02-001248-index.html,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/0001193125-03-031022-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/0001193125-04-128270-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/0000950124-05-004551-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/0001193125-06-156152-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/0001193125-07-164166-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/0001193125-08-159004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/0001193125-10-161874-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/0001193125-11-194791-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/0001193125-12-312306-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/0000320187-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
