,https://roic.ai/company/TARO,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2800000,-8400000,-4900000,-3500000,-5400000,-8800000,-6900000,-5900000,-8860000,-13722000,-20798000,-49870000,-104886000,-127872000,-36036000,-1616000,4063000,-20281000,-13450000,-24011000,-80330000,-53752000,-243931000,-173297000,-92081000,-284731000,-117778000,-241638000,257136000,-298162000,67741000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30036000,-28696000,-26373000,-31776000,-30403000,-34579000,-12898000,-21930000,-10748000,-11874000,-10944000,-5888000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,2700000,4300000,4700000,1000000,- -,100000,- -,100000,357000,276000,127563000,651000,2110000,1863000,403000,- -,56499000,34000,163000,21775000,8850000,303000,6584000,1262000,26000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-765000,-251000,-272000,- -,-60000,- -,-571000,- -,- -,- -,- -,- -,- -,- -,- -,-192999000,- -,-9450000,-294897000,-106986000,-88849000,-26984000,-24196000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,700000,4300000,1200000,2200000,4200000,7400000,4200000,3400000,7353000,11668000,9699000,-459000,125603000,67304000,36683000,-1665000,-6388000,2818000,1660000,-73309000,- -,- -,838000,149000,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3400000,8600000,5900000,3200000,4200000,7500000,4200000,3500000,6945000,11693000,136990000,192000,127653000,69167000,6479000,-30361000,23738000,-28924000,-28580000,-86113000,-4048000,-21627000,-3326000,-203462000,-10918000,-15338000,-294897000,-106986000,-588849000,-26984000,-24196000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,20000,-28000,-99000,21000,380000,24000,-67000,48000,94000,-2031000,2590000,477000,-1172000,-370000,-2375000,-8202000,-32115000,57000,-1218000,1147000,-1156000,-556000,2508000
97,Net Change In Cash,- -,- -,- -,- -,3400000,8600000,5900000,3200000,4200000,7500000,4200000,300000,1897000,4242000,143487000,-20015000,28404000,-60491000,-12502000,-56688000,29047000,23641000,24479000,-39163000,95857000,159394000,-982000,-27317000,271674000,95116000,23642000,-23788000,-9160000,-54097000,91823000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,3003000,7245000,150732000,130717000,159121000,98630000,72828000,16140000,45187000,68828000,93307000,54144000,150001000,238266000,237284000,209967000,481641000,576757000,600399000,576611000,567451000,513354000,605177000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,600000,200000,1300000,1300000,800000,600000,800000,1106000,3003000,7245000,150732000,130717000,159121000,85330000,72828000,16140000,45187000,68828000,93307000,54144000,78872000,238266000,237284000,209967000,481641000,576757000,600399000,576611000,567451000,513354000
100,Free Cash Flow,- -,- -,- -,- -,-2200000,-7100000,-2600000,-3100000,-4100000,-7600000,-4100000,-3400000,-4510000,-5810000,8136000,-13604000,-89164000,-74080000,-32255000,-46973000,-5061000,70711000,58774000,59731000,175114000,228127000,238407000,331840000,386633000,376022000,401712000,294153000,293025000,243191000,28618000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906338/000095012305008051/y10288e20vf.htm,https://www.sec.gov/Archives/edgar/data/906338/000120677407000711/taro_20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752310002012/a6243401.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005486/a6866933.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005487/a6866939.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005489/a6866956.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311003832/a6775777.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/d321886d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/0001193125-12-150475-index.html,https://www.sec.gov/Archives/edgar/data/906338/000119312513279895/d449828d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312514259627/d739586d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312515241661/0001193125-15-241661-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459016020459/0001564590-16-020459-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459017012807/0001564590-17-012807-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459018015952/0001564590-18-015952-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459019022978/0001564590-19-022978-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
