,https://roic.ai/company/BDN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7010000,-40359000,-25146000,-67490000,-569343000,-92674000,-935856000,-88890000,- -,- -,- -,- -,-65354000,-16106000,-46098000,-62449000,-7588000,138778000,59438000,7296000,-719000,-31643000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-846000,-363112000,- -,-32319000,-14980000,-5180000,-5277000,-105250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423000,181556000,- -,- -,31385000,- -,- -,105250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,2500000,10100000,-1000,-1483000,-5905000,-14874000,109562000,-15604000,-40469000,55776000,101433000,587972000,110658000,433615000,223150000,226224000,-91944000,-116075000,-1980000,-7683000,120814000,-224687000,-104003000,508498000,-58977000,-273944000,-137955000,19009000,-68672000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,2500000,9600000,-701000,-35369000,-418256000,-898337000,70174000,-32372000,-123682000,5038000,-34068000,-682945000,-252417000,-915794000,44473000,164455000,-102549000,-171936000,-47931000,-73037000,104708000,-270785000,-166452000,500910000,79801000,-214506000,-130659000,18290000,-100315000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-13200000,-6968000,-50873000,-182460000,-823044000,-431503000,-151912000,-161852000,-149313000,-301622000,-748633000,-457549000,-1505629000,-1465301000,-775124000,-1666726000,-802236000,-1086239000,-894095000,-297637000,-648037000,-311836000,-702070000,-974521000,-485180000,-448595000,-412993000,-131000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91297000,305055000,301023000,95366000,- -,6494000,- -,250529000,406767000,19238000,105886000,65437000,- -,242332000,70867000,7930000,- -,181527000,335016000,- -,- -,51225000,416000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1657000,-22177000,-15342000,-6494000,-20165000,-182844000,- -,-239000,-94472000,-59426000,- -,- -,- -,- -,-118212000,- -,- -,-67320000,- -,-100000000,-28884000,-17282000,-60000000,-2334000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,-2227000,-510000,-18069000,-51440000,-63144000,-69010000,-72534000,-75022000,-78754000,-90457000,-106608000,-151102000,-162368000,-169341000,-70605000,-87345000,-89559000,-96030000,-97367000,-104731000,-114328000,-116636000,-116311000,-129924000,-134887000,-131150000,-130255000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,5200000,8473000,10358000,291321000,1387847000,255389000,176741000,214114000,134120000,209717000,968879000,664256000,2337750000,1337589000,547000000,1374786000,820521000,1020629000,1025230000,186943000,493833000,264029000,282799000,886049000,450498000,565152000,315954000,154253000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,-9600000,-722000,50272000,395847000,812729000,-166069000,-59523000,-20272000,-110380000,-102974000,536556000,119098000,692433000,-284069000,-397465000,-120213000,1807000,-147239000,-83107000,-26534000,76081000,-229455000,-535907000,-253558000,-193074000,-35612000,-288189000,-109336000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,-9600000,-926000,17439000,11163000,-16367000,-7383000,10348000,-2581000,13342000,-18249000,6794000,-8172000,18205000,-19779000,-1676000,-2357000,14998000,-16155000,1139000,261658000,-5705000,-200808000,137225000,8260000,-180231000,67959000,-44093000,-18777000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,18279000,29442000,13075000,5692000,16040000,13459000,26801000,8552000,15346000,7174000,25379000,5600000,3924000,1567000,16565000,410000,1549000,263207000,257502000,56694000,193919000,202179000,23211000,91170000,47077000,28300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1766000,840000,18279000,29442000,13075000,5692000,16040000,13459000,26801000,8552000,15346000,7174000,25379000,5600000,3924000,1567000,16565000,410000,1549000,263207000,257502000,56694000,193919000,203442000,23211000,91170000,47077000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-203000,-31350000,-378779000,-1723986000,-21077000,-30410000,-51740000,28713000,-103000,-548391000,-144831000,-464944000,-226860000,55710000,-12916000,-46497000,7185000,58171000,62372000,-47931000,-131046000,-82269000,19837000,14750000,35934000,65556000,55753000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790816/000095011603002102/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000095011604000806/tenk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000095011605001046/0000950116-05-001046-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095011606000809/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322007000550/w29720e10vk.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322008000550/w50264e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000089322009000441/0000893220-09-000441-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000095012310019030/0000950123-10-019030-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095012311018901/c10378e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000079081612000009/0000790816-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081613000018/0000790816-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081614000020/bdn1231201310-kq4.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081615000030/bdn1231201410-kq4x2014.htm,https://www.sec.gov/Archives/edgar/data/1060386/000156459016013601/0001564590-16-013601-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459017003119/0001564590-17-003119-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459018003023/0001564590-18-003023-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459019003921/0001564590-19-003921-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081620000008/0000790816-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081621000008/0000790816-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081622000009/0000790816-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
