,https://roic.ai/company/GD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,360900000,378000000,303000000,56000000,56000000,39000000,38000000,67000000,91000000,126000000,200000000,226000000,271000000,213000000,277000000,326000000,342000000,384000000,423000000,447000000,562000000,569000000,592000000,620000000,556000000,496000000,482000000,454000000,441000000,763000000,829000000,878000000,890000000
75,Deferred Income Tax,- -,- -,- -,- -,-65100000,-470000000,-554000000,-93000000,5000000,4000000,36000000,-61000000,-15000000,-2000000,41000000,128000000,117000000,179000000,134000000,279000000,144000000,45000000,122000000,196000000,227000000,56000000,14000000,-148000000,104000000,136000000,167000000,376000000,401000000,-3000000,92000000,-127000000,-66000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,86000000,105000000,117000000,118000000,128000000,114000000,120000000,128000000,110000000,100000000,123000000,140000000,133000000,128000000,126000000
77,Change in Working Capital,- -,- -,- -,- -,-344600000,- -,- -,- -,- -,1171000000,-17000000,-129000000,-627000000,14000000,-374000000,612000000,-336000000,202000000,262000000,1135000000,353000000,-210000000,1078000000,-1544000000,1288000000,131000000,1214000000,-99000000,1568000000,-2036000000,-1530000000,475000000,2628000000,-1779000000,-471000000,2600000000,681000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000000,-90000000,48000000,-66000000,-555000000,-160000000,-519000000,-386000000,-151000000,-152000000,-420000000,240000000,-205000000,330000000,604000000,-161000000,-195000000,417000000,176000000,371000000,138000000
79,Inventory,- -,- -,- -,- -,-519100000,132000000,237000000,-76000000,-10000000,91000000,6000000,41000000,86000000,-209000000,-189000000,-71000000,-223000000,-141000000,188000000,-54000000,-120000000,-237000000,-135000000,-183000000,-72000000,-23000000,-186000000,-329000000,-23000000,-22000000,75000000,-1187000000,-182000000,-591000000,-376000000,502000000,405000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,137000000,58000000,168000000,190000000,180000000,340000000,-38000000,-92000000,366000000,17000000,-441000000,-223000000,-161000000,-89000000,567000000,657000000,-197000000,6000000,-215000000,194000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1171000000,1154000000,1025000000,398000000,412000000,38000000,650000000,314000000,516000000,778000000,1913000000,2266000000,2056000000,3134000000,1590000000,2878000000,3009000000,4223000000,4124000000,5692000000,3656000000,2126000000,2601000000,5229000000,3450000000,2979000000,5579000000,354000000
82,Other Non-Cash Items,- -,- -,- -,- -,-50400000,1279000000,419000000,-288000000,-1094000000,-1313000000,-148000000,889000000,792000000,-132000000,269000000,-796000000,108000000,-386000000,46000000,-1165000000,-244000000,-8000000,-856000000,1447000000,-1748000000,-514000000,-1236000000,2532000000,-1599000000,2471000000,305000000,-2162000000,-2626000000,682000000,-1086000000,-2788000000,-617000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,193900000,609000000,673000000,490000000,-148000000,139000000,230000000,1036000000,557000000,370000000,1016000000,1071000000,1103000000,1125000000,1723000000,1802000000,2056000000,2128000000,2925000000,3110000000,2840000000,2984000000,3238000000,2687000000,3106000000,3728000000,2499000000,2198000000,3879000000,3148000000,2981000000,3858000000,4271000000
84,CAPEX,- -,- -,- -,- -,-418800000,-321000000,-82000000,-18000000,-14000000,-23000000,-32000000,-75000000,-1313000000,-414000000,-1287000000,-288000000,-356000000,-264000000,-224000000,-266000000,-279000000,-334000000,-474000000,-490000000,-385000000,-370000000,-458000000,-450000000,-440000000,-521000000,-569000000,-392000000,-428000000,-690000000,-987000000,-967000000,-887000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71000000,-1451000000,-275000000,-3044000000,-543000000,-277000000,-2342000000,-330000000,-3224000000,-811000000,-233000000,-1560000000,-444000000,-1000000,- -,- -,- -,-399000000,-10099000000,-19000000,-203000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-307000000,-125000000,-109000000,- -,- -,-986000000,-440000000,-443000000,-37000000,-23000000,-45000000,-41000000,-30000000,-46000000,-10000000,- -,-2798000000,-1406000000,-489000000,-694000000,-832000000,-512000000,-135000000,-636000000,-123000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4300000,- -,- -,32000000,60000000,17000000,13000000,484000000,916000000,493000000,91000000,29000000,42000000,39000000,31000000,37000000,18000000,- -,2619000000,1423000000,254000000,731000000,676000000,731000000,113000000,139000000,628000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-31600000,12000000,240000000,1039000000,1534000000,259000000,-273000000,-28000000,29000000,95000000,10000000,24000000,-292000000,-123000000,-189000000,-231000000,88000000,26000000,-343000000,-455000000,-346000000,-212000000,-258000000,-431000000,-344000000,-605000000,-305000000,-426000000,-392000000,-135000000,-975000000,-771000000,-882000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-446100000,-309000000,-149000000,928000000,1471000000,253000000,-292000000,-605000000,-808000000,-269000000,-1223000000,-329000000,-1746000000,-400000000,-3232000000,-783000000,-181000000,-2316000000,-852000000,-3662000000,-1392000000,-408000000,-1974000000,-656000000,-367000000,-1102000000,200000000,-426000000,-791000000,-10234000000,-994000000,-974000000,-882000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000000,-527000000,-551000000,-247000000,-6000000,- -,- -,-650000000,- -,-700000000,-750000000,-2400000000,- -,- -,-500000000,-500000000,-900000000,- -,-850000000,-3361000000,-4997000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,57000000,8000000,14000000,4000000,8000000,30000000,23000000,51000000,111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-14400000,-2000000,- -,-960000000,- -,-22000000,- -,-23000000,-60000000,-28000000,-59000000,-208000000,-113000000,-100000000,-300000000,- -,-348000000,-85000000,-505000000,-1522000000,-209000000,-1185000000,-1468000000,-602000000,-740000000,-3382000000,-3233000000,-1996000000,-1558000000,-1769000000,-231000000,-587000000,-1828000000
93,Dividends Paid,- -,- -,- -,- -,-41700000,-41000000,-42000000,-55000000,-56000000,-84000000,-92000000,-101000000,-102000000,-108000000,-136000000,-202000000,-219000000,-236000000,-249000000,-278000000,-314000000,-359000000,-445000000,-533000000,-577000000,-631000000,-673000000,-893000000,-591000000,-822000000,-873000000,-911000000,-986000000,-1075000000,-1152000000,-1240000000,-1315000000
94,Other Financing Activites,- -,- -,- -,- -,94900000,-156000000,-78000000,-454000000,-1692000000,-12000000,-17000000,-14000000,203000000,-197000000,411000000,-536000000,548000000,27000000,3141000000,-379000000,148000000,-95000000,164000000,1987000000,-20000000,290000000,1690000000,2513000000,606000000,629000000,347000000,1238000000,1045000000,7930000000,236000000,4285000000,3550000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,38800000,-199000000,-120000000,-1412000000,-1740000000,-104000000,-105000000,-130000000,71000000,-310000000,267000000,-835000000,908000000,-836000000,2041000000,-904000000,-520000000,-539000000,-786000000,-718000000,-806000000,-2226000000,-1201000000,-1382000000,-725000000,-3575000000,-4259000000,-2169000000,-2399000000,5086000000,-1997000000,-903000000,-4590000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,38800000,-199000000,-120000000,-1412000000,-1740000000,-104000000,-105000000,-130000000,71000000,-310000000,60000000,-93000000,265000000,-111000000,532000000,115000000,1355000000,-727000000,1287000000,-1270000000,642000000,350000000,36000000,647000000,2005000000,-913000000,-1603000000,-451000000,649000000,-2020000000,-61000000,1922000000,-1221000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,177000000,442000000,328000000,860000000,976000000,2331000000,1604000000,2891000000,1621000000,2263000000,2613000000,2649000000,3296000000,5301000000,4388000000,2785000000,2334000000,2983000000,963000000,902000000,2824000000,1603000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,227800000,14000000,109000000,507000000,511000000,94000000,382000000,215000000,516000000,336000000,210000000,270000000,177000000,439000000,328000000,861000000,976000000,2331000000,1604000000,2891000000,1621000000,2263000000,2613000000,2649000000,3296000000,5301000000,4388000000,2785000000,2334000000,2983000000,963000000,902000000,2824000000
100,Free Cash Flow,- -,- -,- -,- -,-224900000,288000000,591000000,472000000,-162000000,116000000,198000000,961000000,-756000000,-44000000,-271000000,783000000,747000000,861000000,1499000000,1536000000,1777000000,1794000000,2451000000,2620000000,2455000000,2614000000,2780000000,2237000000,2666000000,3207000000,1930000000,1806000000,3451000000,2458000000,1994000000,2891000000,3384000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40533/000095013395000118/0000950133-95-000118-index.html,https://www.sec.gov/Archives/edgar/data/40533/0000950133-96-000230-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013397000914/0000950133-97-000914-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40533/000095013301001070/0000950133-01-001070-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013302001284/w58696e10-k405.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013303000882/w84261e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013304000738/w94591e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312505042255/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312506044567/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312507037776/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312508035841/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312509033556/0001193125-09-033556-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312510034883/0001193125-10-034883-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312511039769/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312512066385/0001193125-12-066385-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053313000005/0000040533-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053314000002/gd-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000009/gd-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/0000040533-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/0000040533-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/0000040533-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/0000040533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/0000040533-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053321000010/0000040533-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053322000007/0000040533-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
