,https://roic.ai/company/CNO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,4374400000,4753000000,-2050400000,2817600000,3902200000,4519800000,4713100000,4235900000,1619200000,3532400000,4325300000,5032600000,5049300000,4955200000,4688200000,4138500000,4486900000,4847500000,3370900000,4677000000,5484200000,5259700000
68,Total Liabilities And Stockholders Equity,58589200000,61432200000,46509000000,29920100000,30755500000,31557300000,32717300000,33514800000,28769700000,30343800000,31899600000,33332700000,34131400000,34780600000,31184200000,31125100000,31975200000,33110300000,31439800000,33630900000,35339900000,36204400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24110700000,-26653000000,-28246000000,-27438600000,-25151800000,-24724400000,-26478100000,-28100400000,-23263200000,-25388700000,- -,- -
70,Total Liabilities & Equity,58589200000,61432200000,46509000000,29920100000,30755500000,31557300000,32717300000,33514800000,28769700000,30343800000,7788900000,6679700000,5885400000,7342000000,6032400000,6400700000,5497100000,5009900000,8176600000,8242200000,35339900000,36204400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1224608/000122460809000012/0001224608-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1224608/000122460810000008/0001224608-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460811000009/0001224608-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460812000011/0001224608-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460813000017/0001224608-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460814000006/0001224608-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460815000007/0001224608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460816000053/0001224608-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460817000013/0001224608-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460818000011/0001224608-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460819000010/0001224608-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460820000009/0001224608-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460821000008/0001224608-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1224608/000122460822000012/0001224608-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-7835700000,2298000000,294800000,324900000,96500000,-179900000,-1126700000,85700000,284600000,382500000,221000000,478000000,51400000,270700000,358200000,175600000,-315000000,409400000,301800000,441000000
74,Depreciation and Amortization,- -,- -,822900000,474300000,371200000,388400000,423400000,483200000,412000000,460900000,465300000,458600000,315000000,324600000,274200000,283400000,275000000,265400000,292200000,267900000,303900000,319500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71800000,-181200000,119700000,92900000,-11700000,227500000,18400000,-132800000,14100000,146500000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-25803000000,-291000000,-92000000,-817000000,-1082000000,2263000000,571000000,-753000000,-1002000000,-490000000,2139000000,3072000000,-134000000,-368200000,-925600000,217700000,-1092900000,28973000000,- -
78,Accounts Receivable,- -,- -,- -,20100000,- -,- -,- -,-114300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,207200000,- -,- -,- -,744800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-25803000000,-26094000000,-26186000000,-27003000000,-28085000000,-25822000000,-25251000000,-26004000000,-27006000000,-27496000000,-25357000000,-22285000000,-22419000000,-22787200000,-23712800000,-23495100000,-24588000000,4385000000,- -
82,Other Non-Cash Items,- -,- -,8308500000,24217100000,672600000,540800000,1228300000,1482000000,-561500000,-473600000,737100000,935700000,660700000,-2040000000,-3395500000,230900000,506200000,870200000,104500000,1245100000,-28857300000,-308700000
83,Cash Provided by Operating Activities,- -,- -,1295700000,1186400000,1047600000,1162100000,931200000,703300000,986800000,644000000,734000000,774800000,634900000,720400000,121800000,743900000,759500000,613100000,317800000,696700000,735500000,598300000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-27757300000,-12979200000,-16000900000,-14454300000,-9490800000,-9248700000,-8193700000,-12540400000,-10739200000,-8156100000,-4271100000,-5367100000,-3731600000,-4779500000,-6244000000,-6141000000,-6205800000,-5590500000,-4280700000,-6154700000
87,Sales/Maturities of Investments,- -,- -,31759600000,13419900000,14603200000,12935200000,9502000000,8141300000,7527800000,11626900000,9526600000,6898200000,4085400000,4837700000,3713100000,4031000000,5349000000,5920900000,5705100000,5136900000,3712100000,4703900000
