,https://roic.ai/company/ARCH,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,4800000,6600000,5800000,22400000,35900000,-1400000,24600000,13600000,37200000,28700000,373256000,-140373000,-27038000,-194981000,-131585000,6127000,174088000,-79342000,-168182000,303765000,-156450000,172364000,-1186681000,1384159000,1219375000,5874138000,-1697175000,-1352790000,117016000,222847000,248148000,340589000,89152000
83,Cash Provided by Operating Activities,- -,- -,56500000,58900000,88200000,78800000,74200000,104100000,121900000,118000000,190300000,188000000,280000000,135772000,145661000,176417000,162361000,146728000,254607000,308102000,330810000,679137000,382980000,697147000,642242000,332804000,55742000,-33582000,-44367000,-144026000,396473000,417963000,419714000,61106000,238284000
84,CAPEX,- -,- -,-21000000,-38500000,-102900000,-97100000,-20600000,-42800000,-58200000,-52600000,-77300000,-1268400000,-98700000,-115080000,-123414000,-137089000,-132427000,-292605000,-357142000,-623187000,-488363000,-517111000,-349905000,-342012000,-570893000,-408494000,-311931000,-154603000,-124895000,-98016000,-64501000,-95856000,-267605000,-287069000,-246626000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-387751000,- -,- -,- -,-6800000,-773586000,-1262000,-2895168000,-35258000,442322000,45701000,-9311000,-5466000,2747000,-1398000,636000,-542000,17925000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5540000,-7466000,-10925000,-46185000,-61909000,-236862000,-213726000,-211929000,-246735000,-98750000,-258948000,-143328000,-205216000,-120624000,- -
87,Sales/Maturities of Investments,- -,- -,- -,10400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1754000,194537000,215075000,292464000,208859000,190064000,136630000,233074000,158708000,87486000
88,Other Investing Activites,- -,- -,-40000000,-147400000,-2900000,-233700000,56300000,-16300000,-18800000,-17400000,-2700000,-3000000,14300000,7584000,-5795000,8786000,139259000,85062000,65599000,-64818000,68908000,-513279000,-345871000,-341682000,-539839000,-365531000,-282741000,-147286000,-210888000,-71157000,11631000,-95272000,-266356000,-262303000,-245440000
89,Cash Used for Investing Activites,- -,- -,-61000000,-175500000,-105800000,-330800000,35700000,-59100000,-77000000,-70000000,-80000000,-1271400000,-84400000,-107496000,-129209000,-128303000,6832000,-595294000,-291543000,-688005000,-424995000,-527545000,-1130382000,-389129000,-3496916000,-649166000,125445000,-105756000,-180341000,33118000,-59802000,-103952000,-239111000,-226009000,-141215000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2986000,-702176000,-605178000,-941859000,-646422000,-25195000,-58742000,-15015000,-330988000,-9127000,-8373000,-18922000,-19090000
91,Common Stock Issued,- -,- -,- -,100000,- -,48300000,2600000,1500000,400000,400000,1100000,700000,2500000,93000,381100000,336000,152751000,267468000,31947000,7045000,5109000,6319000,326536000,1764000,1270249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3900000,-1500000,- -,-5700000,-15600000,- -,-5047000,- -,- -,- -,- -,-43876000,-38945000,-53848000,- -,- -,- -,- -,- -,- -,- -,- -,-301512000,-280871000,-244998000,- -,- -
93,Dividends Paid,- -,- -,-4500000,-6500000,-7100000,-7700000,-8100000,-8300000,-9100000,-9100000,-13600000,-18300000,-17600000,-8778000,-11565000,-12045000,-17481000,-24043000,-27639000,-31815000,- -,-48847000,-54969000,-63373000,-80748000,-42440000,-25475000,-2123000,- -,- -,-24369000,-31269000,-30220000,-8245000,-3830000
94,Other Financing Activites,- -,- -,2200000,123400000,32000000,240800000,-141400000,-37700000,-31600000,-38700000,-102300000,1124900000,-189000000,-16846000,-380078000,-33738000,-59479000,273767000,-30038000,190571000,130578000,10353000,469310000,488222000,2314907000,1947134000,617187000,-10212000,- -,-19486000,288213000,-1409000,-8929000,232495000,57526000
95,Cash Used/Provided by Financing Activities,- -,- -,-2300000,117000000,24900000,281400000,-146900000,-44500000,-44200000,-48900000,-114800000,1101600000,-219700000,-25531000,-15590000,-45447000,75791000,517192000,-25730000,121925000,96742000,-86023000,737891000,-275563000,2899230000,962835000,-54710000,-37530000,-58742000,-34501000,-368656000,-322676000,-292520000,205328000,35781000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-2300000,117000000,24900000,281400000,-146900000,-44500000,-44200000,-48900000,-114800000,1101600000,-24100000,2745000,862000,2667000,244984000,68626000,-62666000,-257978000,2557000,65569000,-9511000,32455000,44556000,646473000,126477000,-176868000,-283450000,-145409000,-31985000,-8665000,-111917000,40425000,132850000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,6028000,6890000,9557000,254541000,323167000,260501000,2523000,5080000,70649000,61138000,93593000,138149000,784622000,911099000,734231000,450781000,305372000,273387000,264937000,153020000,193445000,326295000
99,Cash at the Beginning of Period,- -,- -,7500000,600000,1000000,8200000,37600000,600000,1100000,1800000,13700000,9200000,27400000,3283000,6028000,6890000,9557000,254541000,323167000,260501000,2523000,5080000,70649000,61138000,93593000,138149000,784622000,911099000,734231000,450781000,305372000,273602000,264937000,153020000,193445000
100,Free Cash Flow,- -,- -,35500000,20400000,-14700000,-18300000,53600000,61300000,63700000,65400000,113000000,-1080400000,181300000,20692000,22247000,39328000,29934000,-145877000,-102535000,-315085000,-157553000,162026000,33075000,355135000,71349000,-75690000,-256189000,-188185000,-169262000,-242042000,331972000,322107000,152109000,-225963000,-8342000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000103767698000014/0001037676-98-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000095013403003881/0000950134-03-003881-index.html,https://www.sec.gov/Archives/edgar/data/1037676/000095013704001558/0000950137-04-001558-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013705002871/0000950137-05-002871-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013706002989/0000950137-06-002989-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013707003097/0000950137-07-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013708003067/0000950137-08-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095015209001922/0000950152-09-001922-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012310019343/0000950123-10-019343-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012311020753/0000950123-11-020753-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746912001909/0001047469-12-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746913002059/0001047469-13-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746914001604/0001047469-14-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746915001419/0001047469-15-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000110465916105176/0001104659-16-105176-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828017001690/0001628280-17-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828018002109/0001628280-18-002109-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828019001406/0001628280-19-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828020001344/0001628280-20-001344-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837021000957/0001558370-21-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837022001243/0001558370-22-001243-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
