,https://roic.ai/company/TKR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,178600000,178600000,247900000,265700000,275600000,359900000,275800000,311090000,187224000,334222000,322549000,691964000,908834000,1064711000,1140829000,1235152000,1482127000,1679300000,1447700000,1506200000,957400000,948100000,701100000,751300000,828400000,1051600000,1138000000,894000000,-7400000
82,Other Non-Cash Items,- -,- -,- -,- -,9200000,28700000,85900000,-1300000,157400000,-55000000,-95500000,-120000000,-2100000,-53600000,128200000,-89698000,169923000,-143429000,-35431000,-637474000,-455284000,-211673000,-189258000,-44033000,235469000,-424673000,-320200000,-267200000,502400000,40000000,713500000,59700000,-205700000,-350400000,-77200000,362500000,-13800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,165100000,184500000,143300000,115500000,153700000,146700000,224000000,186400000,312000000,291900000,277400000,153112000,179871000,206103000,202634000,139067000,318701000,336928000,336668000,569380000,587658000,312700000,211700000,625900000,430000000,307000000,374800000,402000000,236800000,332500000,550100000,577600000,387300000
84,CAPEX,- -,- -,- -,- -,-91500000,-120100000,-144700000,-136100000,-89000000,-114200000,-128800000,-236200000,-312100000,-279500000,-194100000,-152506000,-86377000,-85277000,-116276000,-155180000,-220985000,-296093000,-313921000,-271776000,-114150000,-115800000,-205300000,-297200000,-325800000,-126800000,-105600000,-137500000,-104700000,-112600000,-140600000,-121600000,-148300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12957000,-6751000,-725120000,-9359000,-48996000,185363000,-203724000,-86024000,-353000,-22600000,-292100000,-19500000,-64200000,-21700000,-167100000,-72600000,-346800000,-751400000,-226500000,-24000000,-7500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-22700000,- -,- -,- -,- -,- -,- -,- -,-4200000,-9400000,-18000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1500000,-194500000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12616000,32321000,55958000,27179000,-46561000,21075000,-234671000,194624000,-115300000,-193200000,-278200000,-311800000,-173000000,-98100000,-138400000,-101900000,-113800000,-134200000,-120100000,-148300000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-90000000,-314600000,-143000000,-136100000,-89000000,-114200000,-128800000,-236200000,-312100000,-279500000,-194100000,-152506000,-99334000,-79412000,-662740000,-108581000,-242802000,-157291000,-496570000,-320695000,194271000,-152900000,-508000000,-297700000,-376000000,-194700000,-265200000,-211000000,-448700000,-865200000,-364900000,-153500000,-173800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1130721000,-379828000,-17500000,-8900000,-26900000,-9900000,-340700000,-257600000,-395400000,-727200000,-803700000,-633800000,-943700000,-707200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234995000,- -,39793000,22963000,37804000,16909000,934000,50400000,23800000,21900000,22000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4300000,-48800000,-2300000,- -,- -,- -,- -,-13800000,-18100000,-80500000,-14300000,-24149000,-2931000,- -,- -,- -,- -,- -,- -,- -,- -,-29200000,-43800000,-112300000,-189200000,-270900000,-309700000,-101000000,-43400000,-98500000,-62700000,-49300000,-93000000
93,Dividends Paid,- -,- -,- -,- -,-23400000,-24000000,-23100000,-22400000,-25200000,-26200000,-28600000,-30200000,-38700000,-44800000,-44500000,-43562000,-40166000,-31713000,-42078000,-46767000,-55149000,-58231000,-62966000,-67462000,-43268000,-51300000,-76000000,-89000000,-87500000,-90300000,-87000000,-81600000,-83300000,-85700000,-84900000,-87000000,-92200000
94,Other Financing Activites,- -,- -,- -,- -,-40200000,183200000,5000000,49500000,-41800000,300000,-71100000,92100000,62700000,103500000,-17200000,70748000,-12390000,-48794000,208928000,26367000,-40938000,-141442000,104241000,1035353000,244130000,14700000,-1700000,-4100000,15300000,499700000,412700000,408600000,1020900000,1541000000,680700000,748900000,623100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-67900000,110400000,-20400000,27100000,-67000000,-25900000,-99700000,48100000,5900000,-21800000,-76000000,3037000,-55487000,-80507000,401845000,-20400000,-56294000,-176710000,79079000,-145921000,-178032000,-32900000,-106600000,-210400000,-249300000,-202200000,-241600000,-169400000,167000000,553100000,-100700000,-331100000,-269300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,300000,-400000,-900000,-200000,300000,-400000,-300000,-1300000,- -,300000,-622000,-2585000,2474000,4837000,12255000,-5155000,6305000,9895000,-16602000,18265000,-5300000,-9400000,3800000,-6500000,-15900000,-17200000,-2400000,17700000,-12700000,-1400000,11900000,-7400000
97,Net Change In Cash,- -,- -,- -,- -,-67900000,110400000,-20400000,27100000,-67000000,-25900000,-99700000,48100000,5900000,-21800000,7600000,3021000,22465000,48658000,-53424000,22341000,14450000,35655000,-70928000,86162000,622162000,121600000,-412300000,121600000,-201800000,-105800000,-149200000,19200000,-27200000,7700000,83100000,104900000,-63200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,10927000,33392000,82050000,28626000,50967000,65417000,101072000,30144000,116306000,755545000,877100000,464800000,586400000,384600000,278800000,129600000,148800000,121600000,133100000,216200000,321100000,257900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,34700000,42200000,22800000,2300000,7900000,5300000,12100000,7300000,5300000,9800000,300000,7906000,10927000,33392000,82050000,28626000,50967000,65417000,101072000,30144000,133383000,755500000,877100000,464800000,586400000,384600000,278800000,129600000,148800000,125400000,133100000,216200000,321100000
100,Free Cash Flow,- -,- -,- -,- -,73600000,64400000,-1400000,-20600000,64700000,32500000,95200000,-49800000,-100000,12400000,83300000,606000,93494000,120826000,86358000,-16113000,97716000,40835000,22747000,297604000,473508000,196900000,6400000,328700000,104200000,180200000,269200000,264500000,132100000,219900000,409500000,456000000,239000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98362/000009836295000012/0000098362-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98362/000095015207001621/l24292ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015208001527/l30237ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015209001781/0000950152-09-001781-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012310017047/0000950123-10-017047-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012311016536/0000950123-11-016536-index.html,https://www.sec.gov/Archives/edgar/data/98362/000119312512066958/0001193125-12-066958-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836213000057/0000098362-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836214000045/tkr10k2013.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836215000025/tkr10k123114.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836216000097/0000098362-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836217000031/0000098362-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836218000033/0000098362-18-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/98362/000009836220000045/0000098362-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836221000039/0000098362-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836222000022/0000098362-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
