,https://roic.ai/company/EBF,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-3600000,-3700000,-2500000,-1300000,-2200000,-4000000,-6100000,-13600000,-9600000,-3700000,-20307000,-3594000,-2254000,-3763000,-4543000,-6143000,-10236000,-4999000,-4294000,-6399000,-20280000,-33753000,-5087000,-2560000,-4646000,-2479000,-4823000,-3065000,-2667000,-4824000,-3394000,-3679000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34339000,- -,-20522000,- -,-115429000,- -,-17637000,-14638000,- -,- -,-2237000,-45956000,- -,-61857000,-27082000,-331000,88491000,-1350000,-27389000,-18733000,-19202000
86,Purchases of Investments,- -,- -,- -,- -,-31700000,-11800000,-7500000,- -,- -,-17600000,-6100000,- -,- -,- -,-9003000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,21700000,30500000,8700000,1800000,- -,- -,23700000,- -,- -,- -,- -,5853000,1348000,1802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,200000,-13500000,-200000,-1000000,400000,100000,-7300000,2200000,-1800000,1971000,1141000,125000,138000,-3000,481000,294000,2811000,1647000,-5350000,-20244000,-33748000,-4854000,1195000,-3654000,-2328000,-3785000,-2401000,-2603000,-4381000,-2713000,-1981000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13400000,15200000,-14800000,300000,-3200000,-21200000,11600000,-20900000,-7400000,-5500000,-27339000,-30939000,-781000,-22345000,-4546000,-121091000,-9942000,-19825000,-17285000,-5350000,-20244000,-35985000,-50810000,1195000,-65511000,-29410000,-4116000,86090000,-3953000,-31770000,-21446000,-21183000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21755000,-34210000,- -,- -,-37500000,-25000000,-25000000,-66500000,-10000000,- -,- -,-30000000,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,100000,200000,200000,- -,- -,- -,- -,- -,- -,- -,173000,22000,593000,695000,423000,393000,661000,673000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-6500000,-18100000,-1700000,-17900000,-11900000,- -,- -,- -,- -,-3300000,-1537000,-2000,-3000,-55000,-7000,-2000,- -,- -,- -,-599000,-486000,-2000,-2000,-2000,-1838000,-7034000,- -,-8443000,-3313000,-4811000,-2471000,-1235000
93,Dividends Paid,- -,- -,- -,- -,-8200000,-8800000,-9300000,-9400000,-9300000,-9500000,-9800000,-10100000,-10200000,-10100000,-10068000,-10075000,-10089000,-10093000,-10146000,-11574000,-15780000,-15834000,-15916000,-15999000,-16001000,-16057000,-16132000,-22864000,-13765000,-18191000,-18044000,-57200000,-22260000,-22611000,-23486000,-23467000
94,Other Financing Activites,- -,- -,- -,- -,-1300000,-1000000,-1100000,-900000,-1800000,- -,-100000,-100000,100000,-200000,213000,25013000,-9526000,6964000,-11038000,107825000,-19508000,-24805000,1727000,5889000,209000,10054000,39825000,5151000,73111000,25948000,-46000,3175000,- -,69000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-15800000,-27800000,-11900000,-28000000,-23000000,-9500000,-9900000,-10200000,-10100000,-13600000,-11392000,15109000,-19596000,-2591000,-20496000,96672000,-34895000,-39978000,-13516000,-32464000,-50488000,-6005000,23691000,-55215000,32508000,-24277000,-84590000,-72468000,-25573000,-27353000,-55957000,-24702000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576000,8000,168000,-509000,-58000,466000,651000,-115000,-668000,-1552000,-3378000,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-15800000,-27800000,-11900000,-28000000,-23000000,-9500000,-9900000,-10200000,-10100000,-13600000,-18654000,6927000,7216000,-2320000,1207000,-4373000,3166000,-10278000,-189000,5893000,11777000,-8758000,-1895000,-4178000,-916000,10030000,-4921000,72509000,15764000,-7788000,-20184000,6932000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2037000,8964000,16180000,13860000,15067000,10694000,13860000,3582000,3393000,9286000,21063000,12305000,10410000,6232000,5316000,15346000,10425000,80466000,96230000,88442000,68258000,75190000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9100000,7700000,24300000,25100000,22600000,21600000,10500000,38600000,18500000,22700000,20691000,2037000,8964000,16180000,13860000,15067000,10694000,13860000,3582000,3393000,9286000,21063000,12305000,10410000,6232000,5316000,15346000,7957000,80466000,96230000,88442000,68258000
100,Free Cash Flow,- -,- -,- -,- -,24200000,25500000,24900000,23900000,23000000,15700000,20200000,-2600000,12100000,13400000,-230000,19163000,25339000,18853000,21706000,13903000,37191000,44518000,26150000,37817000,62287000,-987000,19486000,47397000,28109000,62790000,82340000,55822000,42623000,46511000,53825000,49138000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000003300202000009/0000033002-02-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000095013406009796/0000950134-06-009796-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013407010922/0000950134-07-010922-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013408009039/0000950134-08-009039-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013409010267/0000950134-09-010267-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012310047124/0000950123-10-047124-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012311048069/0000950123-11-048069-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312512227898/0001193125-12-227898-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312513214067/0001193125-13-214067-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312514192331/0001193125-14-192331-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312515178878/0001193125-15-178878-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312516587329/0001193125-16-587329-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312517168434/0001193125-17-168434-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459018013187/0001564590-18-013187-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459019015928/0001564590-19-015928-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459020020699/0001564590-20-020699-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459021025391/0001564590-21-025391-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
