,https://roic.ai/company/RRC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19034000,- -,- -,- -,- -,- -,40014000,8146000,13155000,19572000,20410000,58084000,30701000,28084000,29243000,40035000,89178000,49190000,22005000,22173000,31295000
88,Other Investing Activites,- -,- -,700000,400000,-15900000,-6400000,3000000,-9300000,56000000,20600000,127000000,50708000,3771000,18317000,12655000,32060000,9440000,-26604000,219582000,68231000,- -,327765000,883042000,163457000,309597000,168645000,886385000,190703000,66758000,323072000,783775000,243254000,-928000
89,Cash Used for Investing Activites,- -,- -,-6200000,-4200000,-43500000,-29500000,-76100000,-69700000,-506500000,-172300000,95800000,-5303000,-78189000,-98670000,-187635000,-628335000,-432377000,-925155000,-1027947000,-1731777000,-473807000,-798858000,-547981000,-1528558000,-983436000,-1245456000,-218772000,-308835000,-1139057000,-695434000,39478000,-184082000,-417879000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1104769000,-1307458000,-1388523000,-1480375000,-2182063000,-2196000000,-3415875000,-2357012000,-1712500000,-2338000000,-2972432000,-2971634000,-2199324000
91,Common Stock Issued,- -,- -,- -,100000,20200000,800000,38400000,8300000,67600000,2000000,2200000,1798000,1488000,1004000,2777000,250460000,114470000,16265000,302734000,296486000,19938000,11149000,13518000,2073000,343000,396562000,8298000,- -,4482000,9747000,667000,696000,- -
92,Common Stock Repurchased,- -,- -,-400000,-400000,-200000,-500000,-300000,-100000,-100000,-3000000,-1100000,- -,-73000,- -,- -,- -,-2808000,- -,-5426000,-3326000,-55000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6908000,-22992000,- -
93,Dividends Paid,- -,- -,-400000,-300000,-300000,-400000,-900000,-3300000,-4400000,-5800000,-2300000,-1444000,-10000,- -,-803000,-6169000,-9827000,-12189000,-19082000,-24625000,-25169000,-25574000,-25756000,-25981000,-26129000,-26610000,-27083000,-16682000,-19839000,-19940000,-20070000,- -,- -
94,Other Financing Activites,- -,- -,5600000,700000,19200000,21300000,20500000,31900000,362100000,135300000,-145200000,-79611000,-52046000,-13572000,59481000,188512000,-8835000,425340000,101691000,635210000,992201000,1609500000,1314349000,2385902000,2447843000,2117469000,2969755000,2295304000,2050794000,2053034000,2277423000,2909244000,2038219000
95,Cash Used/Provided by Financing Activities,- -,- -,4800000,100000,38900000,21200000,57700000,36800000,425200000,128500000,-146400000,-79257000,-50641000,-12568000,61455000,432803000,93000000,429416000,379917000,903745000,-117854000,287617000,-86412000,881619000,239994000,291421000,-464905000,-78390000,322937000,-295159000,-721320000,-84686000,-161105000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,4800000,100000,38900000,21200000,57700000,36800000,425200000,128500000,1900000,-10452000,768000,-2046000,-703000,17751000,-13632000,-2368000,1636000,-3265000,14000,2081000,-2756000,160000,96000,100000,23000,-157000,134000,97000,1000,-88000,213964000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,2485000,3380000,1334000,631000,18382000,4750000,2382000,4018000,753000,767000,2848000,92000,252000,348000,448000,471000,314000,448000,545000,546000,458000,214422000
99,Cash at the Beginning of Period,- -,- -,1300000,1200000,2300000,2000000,4900000,3000000,8600000,9700000,11000000,12937000,2612000,3380000,1334000,631000,18382000,4750000,2382000,4018000,753000,767000,2848000,92000,252000,348000,448000,471000,314000,448000,545000,546000,458000
100,Free Cash Flow,- -,- -,-5700000,600000,-23300000,-11900000,-62500000,-22000000,-480100000,-135300000,26800000,25082000,40233000,-2689000,30874000,38452000,37528000,-37518000,-166151000,-93259000,17395000,-615158000,-794408000,-1042594000,-547859000,-458255000,-421824000,-122666000,-390572000,-30829000,-65420000,-163753000,375508000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/0000950152-96-001063-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/000095015201001323/0000950152-01-001323-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013402001785/0000950134-02-001785-index.html,- -,https://www.sec.gov/Archives/edgar/data/315852/000095013404002820/0000950134-04-002820-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013405004035/d22834e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013406003597/d33224e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013407004234/d43924e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013408003528/d53953e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013409003627/0000950134-09-003627-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012310015884/0000950123-10-015884-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012311020409/d78300e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000119312512071388/0001193125-12-071388-index.html,https://www.sec.gov/Archives/edgar/data/315852/000119312513077384/0001193125-13-077384-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459014000349/rrc-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459015000899/rrc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459016013402/0001564590-16-013402-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459017002025/0001564590-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459018003566/0001564590-18-003566-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459019004113/0001564590-19-004113-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459020007459/0001564590-20-007459-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459021007606/0001564590-21-007606-index.htm,https://www.sec.gov/Archives/edgar/data/315852/000095017022001634/0000950170-22-001634-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
