,https://roic.ai/company/OSTK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,30401000,21714000,63956000,97732000,376264000,325913000,256165000,232529000,172445000,216500000,217959000,179559000,181985000,319767000,376865000,429129000,485076000,433815000,461219000,417727000,830214000,1065966000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1130713/000104746903006454/0001047469-03-006454-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746904005489/a2129464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746905006713/a2153715z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465906017414/a06-2931_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465907019224/a07-5835_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746908002930/a2183892z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465909011509/0001104659-09-011509-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746910003040/0001047469-10-003040-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746911001488/a2202311z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746912002034/0001047469-12-002034-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746913001400/0001047469-13-001400-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071314000014/ostk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071315000009/ostk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071316000071/0001130713-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071317000013/0001130713-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071318000019/0001130713-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071319000016/0001130713-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071320000014/0001130713-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071321000019/0001130713-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071322000009/0001130713-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-13806000,-4560000,-11887000,-5002000,-24918000,-101706000,-45015000,-12658000,7747000,13889000,-19438000,14669000,88509000,8854000,2446000,12522000,-109878000,-206070000,-121841000,56001000,389372000
74,Depreciation and Amortization,- -,5809000,5391000,3171000,4444000,16306000,32744000,29839000,22667000,12883000,14580000,16350000,16009000,14522000,18064000,25097000,31251000,32847000,31697000,31031000,30816000,18564000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72651000,3741000,1483000,7719000,65199000,-2386000,-69000,- -,-53829000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3281000,4785000,5056000,3051000,3527000,3251000,4035000,3526000,4891000,4077000,14356000,18229000,12930000,11133000
77,Change in Working Capital,- -,-2701000,32608000,9605000,221384000,-186506000,-15090000,6167000,-31560000,11557000,-36490000,-28875000,21626000,18212000,-10449000,-25568000,21733000,39109000,-76753000,-12417000,293795000,-43585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,4769000,-4540000,-1920000,59000,-5772000,3226000,-2916000,3463000,-10006000,-1938000,-5558000,13385000,-11482000,1677000
79,Inventory,- -,1081000,-6368000,-15972000,-15353000,-46711000,67009000,-5659000,7920000,1344000,-8739000,9121000,-3471000,-579000,835000,6166000,1105000,5234000,628000,8268000,-403000,1106000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-8238000,18642000,-9315000,2944000,-7902000,28180000,21652000,10482000,-18823000,-20995000,16499000,-27158000,34327000,-7787000
81,Other Working Capital,- -,3071000,35679000,45284000,266668000,80162000,65072000,71239000,39679000,51236000,14746000,-14129000,7497000,25709000,15260000,-10308000,11425000,50534000,-26219000,-38636000,255159000,-12778000
82,Other Non-Cash Items,- -,239000,-30950000,-11301000,-195788000,189010000,58324000,18782000,20230000,9145000,19287000,54575000,-27686000,31802000,56589000,47532000,-38552000,-66675000,100222000,3455000,-197068000,-240736000
83,Cash Provided by Operating Activities,- -,-10459000,2489000,-10412000,25038000,-6108000,-25728000,9773000,1960000,46117000,16322000,25663000,28145000,83645000,80834000,54516000,39564000,-35321000,-138934000,-81612000,196474000,80919000
84,CAPEX,- -,-1669000,-1746000,-6707000,-8734000,-44740000,-23441000,-2643000,-18690000,-7275000,-20907000,-8745000,-12495000,-18080000,-41481000,-59738000,-72281000,-23586000,-38277000,-21774000,-19132000,-13617000
85,Acquisitions Net,- -,- -,- -,- -,- -,-24620000,- -,9892000,- -,- -,- -,- -,- -,- -,-250000,-10753000,1248000,-3000000,-20912000,4886000,-4045000,- -
86,Purchases of Investments,- -,- -,-34824000,-41535000,-92877000,-185543000,-100000,-75217000,-35548000,- -,-1793000,-160000,-1479000,-8212000,-2819000,-7014000,-6383000,-2188000,-48731000,-12641000,-5388000,-41122000
87,Sales/Maturities of Investments,- -,- -,13243000,51388000,15373000,216265000,56756000,29258000,72282000,10143000,- -,- -,154000,292000,77000,35000,1610000,11917000,- -,7339000,6306000,- -
88,Other Investing Activites,- -,-35000,- -,- -,-1582000,1350000,-414000,5143000,-17184000,-7275000,-20907000,-8745000,50000,-13000,-92000,-5186000,-3641000,-1103000,-12600000,-4662000,-1296000,-45014000
89,Cash Used for Investing Activites,- -,-1704000,-23327000,3146000,-87820000,-37288000,32801000,-33567000,19550000,2868000,-22700000,-8905000,-13764000,-26000000,-44430000,-82431000,-79447000,-17960000,-110923000,-26852000,-23555000,-86136000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-23309000,-6741000,-25552000,-35345000,-17112000,-2563000,-325000,-1216000,-1906000,-61165000,-40496000,-3141000,-2635000,-3030000
91,Common Stock Issued,- -,6392000,32929000,23968000,117352000,7315000,66940000,3230000,- -,- -,- -,- -,- -,- -,- -,- -,7591000,- -,94554000,82954000,195540000,- -
92,Common Stock Repurchased,- -,-100000,- -,- -,- -,-71640000,- -,- -,-13452000,-340000,-825000,-1604000,-471000,-1391000,-2301000,-2367000,-840000,-11229000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109000,-77000,-77000,- -,- -
94,Other Financing Activites,- -,1252000,-4761000,1086000,115240000,-34819000,-2957000,-5261000,14434000,1396000,17019000,-6845000,-236000,1427000,-802000,20119000,47874000,145901000,135020000,812000,38459000,-7568000
95,Cash Used/Provided by Financing Activities,- -,7544000,28168000,25054000,232592000,-99144000,63983000,-2031000,-22327000,-5685000,-9358000,-43794000,-17819000,-2527000,-3428000,16536000,52719000,73398000,189001000,80548000,231364000,-10598000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1000,22000,86000,34000,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-4619000,7330000,17787000,169832000,-142454000,71090000,-25828000,-817000,43300000,-15736000,-27036000,-3438000,55118000,32976000,-11379000,12836000,20117000,-60856000,-27916000,404283000,-15815000
98,Cash at the End of Period,- -,3729000,11059000,28846000,198678000,56224000,126965000,101394000,100577000,139757000,124021000,96985000,93547000,148665000,181641000,170262000,183098000,203215000,142814000,114898000,519181000,503366000
99,Cash at the Beginning of Period,- -,8348000,3729000,11059000,28846000,198678000,55875000,127222000,101394000,96457000,139757000,124021000,96985000,93547000,148665000,181641000,170262000,183098000,203670000,142814000,114898000,519181000
100,Free Cash Flow,- -,-12128000,743000,-17119000,16304000,-50848000,-49169000,7130000,-16730000,38842000,-4585000,16918000,15650000,65565000,39353000,-5222000,-32717000,-58907000,-177211000,-103386000,177342000,67302000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1130713/000104746903006454/0001047469-03-006454-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746904005489/a2129464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746905006713/a2153715z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465906017414/a06-2931_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465907019224/a07-5835_110k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746908002930/a2183892z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000110465909011509/0001104659-09-011509-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746910003040/0001047469-10-003040-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746911001488/a2202311z10-k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000104746912002034/0001047469-12-002034-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000104746913001400/0001047469-13-001400-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071314000014/ostk-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071315000009/ostk-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071316000071/0001130713-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071317000013/0001130713-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071318000019/0001130713-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071319000016/0001130713-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071320000014/0001130713-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130713/000113071321000019/0001130713-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1130713/000113071322000009/0001130713-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
