,https://roic.ai/company/FEIM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,2600000,5600000,-300000,12400000,3400000,6700000,4300000,7000000,4000000,3200000,-1800000,3543000,3951000,4895000,2448000,-2569000,2536000,-2504000,-6646000,-1846000,7222000,7633000,1879000,2144000,2833000,3642000,1882000,2923000,3888000,4533000,-97000,-1407000,12157000
84,CAPEX,- -,- -,- -,-2600000,-4500000,-2700000,-5900000,-5700000,-400000,-200000,-300000,-1100000,-1000000,-1400000,-668000,-1929000,-1541000,-834000,-1343000,-1640000,-2104000,-2712000,-2106000,-627000,-975000,-1953000,-1396000,-2250000,-5405000,-4157000,-3437000,-5233000,-1418000,-2767000,-1483000,-1239000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8138000,- -,- -,-2538000,-135000,-84000,- -,- -,- -,- -,- -,-4483000,- -,- -,- -,- -,- -,188000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11100000,- -,-25900000,-13000000,-22900000,-24611000,-4318000,-21154000,-7378000,-6053000,-6393000,-11518000,-1490000,-3140000,-6600000,-1000000,-8771000,-8782000,-2836000,-3162000,-1956000,-1356000,-575000,-4961000,-3705000,-5489000,-2452000
87,Sales/Maturities of Investments,- -,- -,- -,1300000,100000,- -,- -,- -,- -,3400000,5900000,10500000,9600000,20600000,27468000,9384000,23615000,8598000,10435000,12514000,13068000,9568000,18566000,1036000,1514000,4000000,6636000,3006000,4993000,7271000,1267000,4397000,6477000,1812000,3539000,2498000
88,Other Investing Activites,- -,- -,- -,400000,100000,- -,200000,100000,- -,100000,500000,- -,6500000,- -,- -,- -,-313000,120000,28000,-763000,955000,-3317000,- -,-847000,-1066000,-1953000,-1372000,-2183000,-5405000,-4157000,-3437000,-5233000,-1418000,-2767000,-1483000,-1239000
89,Cash Used for Investing Activites,- -,- -,- -,-900000,-4300000,-2700000,-5700000,-5600000,-400000,-7800000,6100000,-16500000,2100000,-3700000,2189000,-5001000,607000,506000,529000,3583000,317000,2049000,13320000,-6411000,-552000,-6724000,-8001000,-2013000,-3574000,1158000,-3526000,-1411000,286000,-4660000,-3433000,-1193000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6788000,-1399000,-258000,-660000,-5357000,-15000,-6400000,- -,-6000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,900000,100000,755000,716000,95000,67000,153000,177000,144000,293000,158000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3100000,-800000,-1000000,- -,-600000,-1400000,-700000,- -,- -,-500000,-1532000,- -,- -,-501000,- -,-66000,- -,- -,-311000,-3107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-1500000,- -,-1627000,-1661000,-1664000,-1671000,-1692000,-1706000,-1717000,-1739000,- -,- -,- -,- -,-1684000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-900000,-2800000,3300000,1600000,1700000,-11100000,-1900000,-700000,- -,2000000,-700000,-528000,-929000,-662000,-630000,2981000,-3699000,-9000,5000000,-151000,2500000,- -,109000,6366000,5172000,4282000,2500000,141000,-671000,- -,- -,4965000,-4965000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-900000,-5900000,2500000,600000,1700000,-11700000,-3300000,-1400000,- -,- -,-2600000,-1305000,-1840000,-2228000,-2728000,1463000,-5280000,-1571000,3576000,-2043000,-7395000,-1399000,-149000,5706000,-1869000,4267000,-3900000,141000,-6671000,- -,- -,4965000,-4965000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,343000,324000,163000,-304000,-282000,262000,466000,-639000,315000,-342000,-273000,-97000,384000,-678000,890000,257000,606000,- -,- -
97,Net Change In Cash,- -,- -,- -,-900000,-5900000,2500000,600000,1700000,-11700000,- -,- -,- -,- -,- -,4427000,-2890000,3262000,569000,-253000,1002000,-4062000,-1303000,9693000,-6118000,5043000,-4679000,-493000,-1322000,4238000,-476000,-1140000,-3344000,5131000,-4151000,125000,5999000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4994000,-2873000,5383000,5952000,5699000,6701000,2639000,1336000,11029000,4911000,9954000,5275000,4782000,3460000,7698000,7222000,6082000,2738000,7869000,3718000,3808000,9807000
99,Cash at the Beginning of Period,- -,- -,- -,14100000,14900000,10300000,9700000,17000000,16500000,11200000,4300000,15900000,3400000,8700000,567000,17000,2121000,5383000,5952000,5699000,6701000,2639000,1336000,11029000,4911000,9954000,5275000,4782000,3460000,7698000,7222000,6082000,2738000,7869000,3683000,3808000
100,Free Cash Flow,- -,- -,- -,- -,1100000,-3000000,6500000,-2300000,6300000,4100000,6700000,2900000,2200000,-3200000,2875000,2022000,3354000,1614000,-3912000,896000,-4608000,-9358000,-3952000,6595000,6658000,-74000,748000,583000,-1763000,-2275000,-514000,-1345000,3115000,-2864000,-2890000,10918000
101,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39020/000003902095000012/0000039020-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902096000011/0000039020-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902097000004/0000039020-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902098000011/0000039020-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902099000007/0000039020-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/39020/000003902001500010/0000039020-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/39020/000100944802000026/0001009448-02-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39020/000091412105001432/0000914121-05-001432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/39020/000114420407038678/0001144204-07-038678-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420408042528/0001144204-08-042528-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420409039329/0001144204-09-039329-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420410040139/0001144204-10-040139-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420411042784/0001144204-11-042784-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420412041625/0001144204-12-041625-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518513001529/0001185185-13-001529-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518514001912/0001185185-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518515001955/0001185185-15-001955-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518516005052/frequencyele10k043016.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518517001617/0001185185-17-001617-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518518001293/0001185185-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518519001020/0001185185-19-001020-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518520001054/0001185185-20-001054-index.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518521000886/0001185185-21-000886-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
