,https://roic.ai/company/XEL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122785000,-29749000,-79701000,-197236000,-108911000,-125146000,65826000,-83170000,-60000000,-105000000,-20000000,-154000000,-164000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21933000,-178530000,8620000,3230000,-46185000,-94605000,28967000,-25464000,-135099000,100504000,9239000,-57432000,82658000,-43588000,-20558000,-11240000,1349000,-3000000,-65000000,-84000000,-80000000,-126000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50015000,-188855000,13748000,-100327000,132441000,-53242000,-120002000,117744000,43000000,90000000,-12000000,-33000000,138000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,16400000,-35100000,65200000,-478200000,-792300000,-1543734000,-2138666000,-8611668000,460173000,235246000,-530965000,-231095000,-833931000,-30716000,-251846000,196110000,-606075000,-311934000,-436458000,-700203000,-1147852000,-404962000,-1115000000,-1366000000,-1455000000,-964000000,-1108000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,269100000,283000000,352100000,358100000,964100000,789900000,1569615000,1372788000,11243731000,-8426711000,627416000,1211328000,1125286000,1313490000,-28298000,96753000,-737670000,845207000,-769421000,126472000,143550000,664094000,-872321000,387038000,68000000,-125000000,-1263000000,-173000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,500600000,573800000,544500000,689800000,702100000,681200000,1407725000,1584012000,1771207000,1381507000,803938000,1163147000,1937067000,1553279000,1679516000,1918464000,1893942000,2405522000,2004756000,2584036000,2648192000,3025839000,3052299000,3126000000,3122000000,3263000000,2848000000,2189000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-409300000,-401000000,-412500000,-396600000,-411100000,-462100000,-3181103000,-5365780000,-2408942000,-42287000,-1276450000,-1311444000,-1627620000,-2096857000,-2113246000,-1786902000,-2949822000,-2205567000,-2570209000,-3395325000,-3199791000,-3683359000,-3255550000,-3319000000,-3957000000,-4225000000,-5369000000,-4244000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,38950000,- -,-42490000,-8046000,-2446000,-980000,-7504000,-2376000,-1392000,-3962000,-17000000,- -,- -,684000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1644278000,-3781438000,-2098642000,-1102025000,-1481881000,-595569000,-1257924000,-546612000,-1697000000,-853000000,-995000000,-1398000000,-757000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1664957000,3788518000,2098642000,1087076000,1461291000,588430000,1236873000,478866000,1669000000,833000000,975000000,1378000000,743000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149200000,-94800000,-235500000,-392300000,-195900000,-1851300000,-165891000,197821000,-308832000,-883809000,41243000,85809000,77510000,35116000,-43071000,-1712856000,144064000,-39788000,-2317013000,-3185290000,-3107736000,-3600331000,-3189705000,-3251000000,-3966000000,-4323000000,-5404000000,-4273000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-559400000,-495100000,-648000000,-948500000,-607000000,-2313400000,-3346994000,-5167959000,-2717774000,-926096000,-1235207000,-1225635000,-1550110000,-2022791000,-2156317000,-1734667000,-2806724000,-2247801000,-2332942000,-3213384000,-3117251000,-3622774000,-3261413000,-3296000000,-3986000000,-4343000000,-4740000000,-4287000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-621296000,-560383000,-105623000,-1302763000,-652451000,-275948000,-250882000,-1035901000,-1030000000,-452000000,-949000000,-1001000000,-417000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,56200000,41700000,268000000,72300000,55100000,570383000,607439000,581212000,3219000,6985000,9085000,16275000,10539000,352871000,20133000,457258000,38691000,8050000,231767000,180798000,7011000,- -,- -,230000000,458000000,727000000,366000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000000,- -,-20000,- -,- -,- -,-32023000,- -,- -,- -,- -,- -,- -,-104980000,-18529000,- -,- -,- -,-32209000,-3000000,-1000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186600000,-191400000,-198200000,-207700000,-219700000,-225500000,-494992000,-518894000,-496375000,-303316000,-320444000,-343092000,-358746000,-378892000,-382282000,-414922000,-432110000,-474760000,-486757000,-514042000,-561411000,-606574000,-680521000,-721000000,-730000000,-791000000,-856000000,-935000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,227300000,44300000,282400000,202100000,135000000,1816300000,1940298000,3624787000,1495250000,-66775000,234790000,445330000,-79224000,851527000,700437000,693665000,1440806000,441198000,2149824000,1588895000,1098084000,1452712000,1957281000,1922000000,1881000000,2463000000,2903000000,3121000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42100000,-90900000,125900000,262400000,-107400000,1645900000,2015669000,3713332000,1580087000,-366872000,-110692000,111323000,-421695000,483174000,671026000,-322420000,905571000,-205474000,349825000,654169000,441523000,602267000,208650000,168000000,928000000,1181000000,1773000000,2135000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,-4566000,6448000,- -,3439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16700000,-12300000,22300000,3700000,-12400000,13600000,76760000,124819000,639968000,88539000,-538522000,48835000,-34738000,13662000,194225000,-141409000,-7211000,-47753000,21639000,24821000,-27536000,5332000,-464000,-2000000,64000000,101000000,-119000000,37000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,41100000,28800000,51100000,54800000,42400000,56000000,216491000,341310000,901273000,573239000,29761000,72196000,37458000,51120000,249198000,107789000,108437000,60684000,82323000,107144000,79608000,84940000,84476000,83000000,147000000,248000000,129000000,166000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000,41100000,28800000,51100000,54800000,42400000,139731000,216491000,261305000,484700000,568283000,23361000,72196000,37458000,54973000,249198000,115648000,108437000,60684000,82323000,107144000,79608000,84940000,85000000,83000000,147000000,248000000,129000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,91300000,172800000,132000000,293200000,291000000,219100000,-1773378000,-3781768000,-637735000,1339220000,-472512000,-148297000,309447000,-543578000,-433730000,131562000,-1055880000,199955000,-565453000,-811289000,-551599000,-657520000,-203251000,-193000000,-835000000,-962000000,-2521000000,-2055000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72903/000091205701008515/0000912057-01-008515-index.html,https://www.sec.gov/Archives/edgar/data/72903/000095013702001868/c68394e10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013403005065/c75712e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013404003528/c83272e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465905009425/a05-4263_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465906012011/a06-1891_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465907013272/a07-5000_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746908001516/a2182843z10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746909002013/0001047469-09-002013-index.html,https://www.sec.gov/Archives/edgar/data/72903/000104746910001536/0001047469-10-001536-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036111012444/form10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000114036112010717/0001140361-12-010717-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036113008903/0001140361-13-008903-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290314000009/xcel1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290315000011/xcel1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/0000072903-16-000123-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/0000072903-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/0000072903-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/0000072903-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/0000072903-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290321000012/0000072903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000010/0000072903-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
