,https://roic.ai/company/GSK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,- -,- -,881000000,1033000000,1207000000,1299000000,1458000000,1997000000,1850000000,1836000000,1811000000,4162000000,3099787920,3935000000,4478320000,4300177280,4687636560,5387377550,5218987500,4712000000,5531000000,1634000000,5261000000,4565000000,5436000000,2756000000,8422000000,912000000,1532000000,3623000000,4645000000,5749000000,4385000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,151000000,191000000,225000000,282000000,533000000,410000000,373000000,358000000,428000000,735000000,812799630,824000000,859040000,890482880,903703800,958039570,1023123250,1231000000,1562000000,1679000000,1423000000,1445000000,1414000000,1484000000,1630000000,1774000000,1922000000,1856000000,2334000000,2351000000,2524000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,179000000,198000000,220000000,319000000,332000000,368000000,319000000,333000000,360000000,365000000,381000000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-116000000,-73000000,4000000,50000000,-46000000,-302000000,-207000000,-552000000,-278000000,297000000,829317150,941000000,-407680000,-510411440,-75550800,-743156960,-846635750,477000000,-151000000,2777000000,-1771000000,-2420000000,267000000,757000000,1488000000,3987000000,1689000000,3423000000,294000000,2427000000,1260000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-57000000,-47000000,29000000,5000000,8000000,-96000000,-184000000,-297000000,-391000000,-16000000,252580410,-2000000,-76160000,-32845680,47073960,-298079440,-457354750,-411000000,-132000000,238000000,-157000000,37000000,-95000000,-529000000,-111000000,70000000,-461000000,51000000,300000000,119000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-301000000,-494000000,-509000000,-578000000,-693000000,-1256000000,-1401000000,-1232000000,-1451000000,-3342000000,-132828390,-2640000000,-77840000,20854400,441100440,-1246421220,771502500,785000000,720000000,528000000,1139000000,565000000,-214000000,-153000000,-9339000000,-495000000,1442000000,-841000000,382000000,-2467000000,-217000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,615000000,657000000,927000000,1053000000,1252000000,849000000,615000000,410000000,510000000,1852000000,4609076310,3060000000,4851840000,4701103120,5956890000,4355838940,6166977500,7205000000,7841000000,6797000000,6250000000,4375000000,7222000000,5176000000,2569000000,6497000000,6918000000,8421000000,8020000000,8441000000,7952000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-606000000,-594000000,-608000000,-575000000,-684000000,-401000000,-415000000,-475000000,-597000000,-1103000000,-1117685520,-1226000000,-868000000,-864414880,-902541480,-1589416740,-2145079500,-2069000000,-1873000000,-1635000000,-1328000000,-1520000000,-1701000000,-1751000000,-1901000000,-2352000000,-2202000000,-1796000000,-2163000000,-2239000000,-2931000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-2000000,-6845000000,341000000,-38000000,-152000000,-29000000,66000000,-849964050,-20000000,-11760000,-296653840,-1025747400,-267965250,-1028165750,-454000000,-2792000000,-354000000,-264000000,-2535000000,1951000000,235000000,7528000000,592000000,356000000,-292000000,-3780000000,3008000000,185000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-6000000,-25000000,-4000000,-3000000,-25000000,-19000000,-61000000,-428000000,-1294000000,-46799640,-76000000,-63000000,-102707920,-23000000,-69926170,-186000000,-96000000,-183000000,-340000000,-111000000,-229000000,-133000000,1000000,-2000000,- -,4000000,-309000000,-258000000,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,3000000,- -,54000000,118000000,495000000,139022460,123000000,125000000,57870960,35000000,32155830,44878250,947000000,146000000,118000000,1132000000,224000000,15000000,205000000,357000000,683000000,64000000,- -,1000000,3269000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-245000000,228000000,-222000000,-782000000,2702000000,-22000000,-185000000,-196000000,40000000,1352000000,-565725060,111000000,-120800000,102186560,256495920,374640940,302481750,-109000000,234000000,-278000000,54000000,960000000,-121000000,-331000000,-466000000,-1001000000,-322000000,392000000,-52000000,-2889000000,-790000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-851000000,-372000000,-858000000,-1363000000,-4793000000,-104000000,-657000000,-830000000,-896000000,-484000000,-2441151810,-1088000000,-938560000,-1103719120,-1659792960,-1520511390,-3011885250,-1149000000,-4013000000,-1868000000,-112000000,-2631000000,524000000,-1078000000,6037000000,-1269000000,-1443000000,-1553000000,-5354000000,2161000000,-1777000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1859000000,-1561000000,-1875000000,-1650000000,-7290000000,-1255000000,-504000000,-63000000,-9000000,-756000000,- -,-631000000,- -,-422000000,-927000000,-739000000,-207000000,-3107000000,-796000000,-1341000000,-8000000,-2559000000,-1872000000,-1709000000,-2412000000,-919000000,-3200000000,-2067000000,-4160000000,-7305000000,-1995000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,20000000,24000000,69000000,51000000,106000000,215000000,188000000,284000000,104000000,185000000,144528300,56000000,40880000,65170000,319638000,467025150,533496500,71000000,56000000,79000000,295000000,414000000,585000000,167000000,73000000,89000000,56000000,74000000,51000000,29000000,21000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1735027830,-2220000000,-978880000,-1488482800,-999014040,-1347482400,-3754645500,-3725000000,-57000000,-16000000,-2227000000,-2530000000,-1549000000,-333000000,-99000000,-74000000,-65000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2330346780,-2327000000,-2330160000,-2473853200,-2475160440,-2596966080,-2795562000,-3008000000,-3092000000,-3205000000,-3406000000,-3814000000,-3680000000,-3843000000,-3874000000,-4850000000,-3906000000,-3927000000,-3953000000,-3977000000,-3999000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,2312000000,1071000000,1902000000,1638000000,10840000000,382000000,257000000,118000000,255000000,25000000,1139708880,3555000000,-672000000,386026160,1168181400,-574284930,4481023000,4861000000,1115000000,-1088000000,-886000000,5138000000,243000000,333000000,-791000000,-638000000,735000000,-469000000,6222000000,1121000000,-1616000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,473000000,-466000000,96000000,39000000,3656000000,-658000000,-59000000,339000000,350000000,-546000000,-2781137430,-1567000000,-3940160000,-3933139840,-2913355080,-4790708260,-1742688000,-4908000000,-2774000000,-5571000000,-6232000000,-3351000000,-6273000000,-5385000000,-7103000000,-6392000000,-6380000000,-6389000000,-1840000000,-10132000000,-7589000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-9000000,72000000,-32000000,18000000,4000000,177000000,-1000000,-30000000,10000000,-23000000,- -,-146000000,- -,- -,233045160,-253673770,47903750,1103000000,-158000000,81000000,-108000000,-92000000,-148000000,84000000,-45000000,283000000,-100000000,8000000,-82000000,-39000000,-29000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,228000000,-109000000,133000000,-253000000,119000000,264000000,-102000000,-111000000,-26000000,799000000,-613212930,-893000000,-26880000,-335755840,1616787120,-2209564890,1460308000,2251000000,896000000,-561000000,-202000000,-1699000000,1325000000,-1203000000,1458000000,-881000000,-1005000000,487000000,744000000,431000000,-1443000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,417000000,308000000,441000000,188000000,-2771000000,-1285000000,481000000,568000000,161000000,1311000000,717823890,-234000000,960960000,-1983253440,3971066280,1761424910,3224174500,5472000000,6368000000,5807000000,5605000000,3906000000,5231000000,4028000000,5486000000,4605000000,3600000000,4087000000,4831000000,5262000000,3819000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,189000000,417000000,308000000,441000000,-2890000000,-1549000000,583000000,679000000,187000000,512000000,1331036820,659000000,987840000,-1647497600,2354279160,3970989800,1763866500,3221000000,5472000000,6368000000,5807000000,5605000000,3906000000,5231000000,4028000000,5486000000,4605000000,3600000000,4087000000,4831000000,5262000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,9000000,63000000,319000000,478000000,568000000,448000000,200000000,-65000000,-87000000,749000000,3491390790,1834000000,3983840000,3836688240,5054348520,2766422200,4021898000,5136000000,5968000000,5162000000,4922000000,2855000000,5521000000,3425000000,668000000,4145000000,4716000000,6625000000,5857000000,6202000000,5021000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131399/000102123104000207/0001021231-04-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123105000197/0001021231-05-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123106000123/0001021231-06-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697307000334/0001156973-07-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697308000248/0001156973-08-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697309000126/0001156973-09-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012310019098/0000950123-10-019098-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012311022182/0000950123-11-022182-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312512112357/0001193125-12-112357-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312513098802/0001193125-13-098802-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312514077405/0001193125-14-077405-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312515070125/0001193125-15-070125-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312516510261/0001193125-16-510261-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312517087259/0001193125-17-087259-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312518086062/0001193125-18-086062-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312519076716/0001193125-19-076716-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312520065064/0001193125-20-065064-index.htm,- -,- -
102,Forex Rate,undefined,1.5319,1.5953,1.7109,1.5519,1.749,1.6215,1.9038,1.4893,1.5444,1.5508,1.713,1.6475,1.6542,1.6181,1.4959,1.4545,1.6113,1.7857,1.9186,1.7214,1.959,1.9849,1.4628,1.6157,1.5601,1.5535,1.6251,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673,1.3529
