,https://roic.ai/company/PPG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,-89000000,- -,155000000,36000000,45000000,-5000000,-47000000,35000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,73000000,56000000,39000000,42000000,37000000,39000000,44000000,57000000
77,Change in Working Capital,- -,- -,- -,- -,-154000000,- -,- -,- -,- -,743700000,-97600000,-118600000,394500000,-174000000,-70000000,-128000000,198000000,277000000,373000000,435000000,-163000000,135000000,670000000,-337000000,266000000,1029000000,-441000000,262000000,-175000000,-1105000000,-76000000,314000000,371000000,-995000000,207000000,172000000,-188000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,44000000,-119000000,-149000000,-59000000,-76000000,-69000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-44300000,-124100000,55100000,85100000,27400000,-25600000,-47100000,-56100000,-60000000,-73000000,-7000000,-92000000,187000000,-9000000,11000000,-45000000,-59000000,-78000000,-55000000,79000000,232000000,-34000000,-73000000,29000000,43000000,-95000000,46000000,61000000,-116000000,-109000000,145000000,111000000,-279000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,127000000,295000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,743700000,646100000,527500000,922000000,748000000,678000000,550000000,748000000,1025000000,1398000000,1833000000,1670000000,1805000000,2475000000,2138000000,2404000000,3433000000,2992000000,3254000000,3079000000,1974000000,1898000000,2212000000,2583000000,1588000000,1795000000,1967000000,-109000000
82,Other Non-Cash Items,- -,- -,- -,- -,-41400000,93700000,-95300000,-22400000,368300000,-902400000,50400000,19900000,-474500000,-68000000,-15000000,-69000000,28000000,266000000,-138000000,-488000000,260000000,-96000000,-888000000,594000000,263000000,-958000000,315000000,119000000,-1785000000,71000000,-44000000,-522000000,-932000000,542000000,85000000,393000000,-342000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,580000000,913300000,478900000,670200000,740700000,691100000,1072000000,1007900000,1007000000,942000000,902000000,870000000,1060000000,872000000,1123000000,1018000000,1065000000,1130000000,996000000,1358000000,1345000000,1310000000,1436000000,1787000000,1791000000,1528000000,1837000000,1325000000,1568000000,1467000000,2080000000,2130000000,1562000000
84,CAPEX,- -,- -,- -,- -,-536800000,-524000000,-335400000,-282300000,-257600000,-321800000,-447800000,-475900000,-466000000,-487000000,-490000000,-561000000,-291000000,-238000000,-217000000,-244000000,-288000000,-372000000,-353000000,-383000000,-239000000,-307000000,-390000000,-411000000,-515000000,-587000000,-476000000,-402000000,-360000000,-411000000,-413000000,-304000000,-371000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33900000,-6600000,-12600000,-363000000,-390000000,-1343000000,-115000000,-10000000,-22000000,-3000000,-67000000,-91000000,-402000000,-231000000,-1448000000,-26000000,-34000000,-56000000,-122000000,-43000000,-488000000,-273000000,745000000,268000000,-378000000,-643000000,-1169000000,-2137000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1990000000,-963000000,- -,- -,- -,-624000000,-125000000,-1355000000,-1269000000,-1249000000,-131000000,-36000000,-35000000,-28000000,-8000000,-5000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,25500000,42700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2040000000,963000000,- -,- -,- -,- -,749000000,251000000,1833000000,1384000000,458000000,116000000,37000000,23000000,28000000,22000000,- -
88,Other Investing Activites,- -,- -,- -,- -,99400000,10500000,17800000,26200000,21100000,110300000,178900000,20100000,246000000,296000000,189000000,40000000,56000000,48000000,54000000,51000000,-36000000,112000000,-1623000000,1956000000,62000000,16000000,175000000,26000000,-518000000,-504000000,-449000000,-389000000,-337000000,-381000000,-386000000,-295000000,-267000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-437400000,-488000000,-274900000,-256100000,-236500000,-245400000,-275500000,-468400000,-583000000,-581000000,-1644000000,-636000000,-245000000,-212000000,-166000000,-260000000,-365000000,-662000000,-2207000000,125000000,-203000000,-949000000,353000000,-1611000000,3000000,-857000000,-395000000,436000000,-67000000,-764000000,-1009000000,-1447000000,-2404000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3691000000,-1076000000,-262000000,-398000000,-203000000,-605000000,-1803000000,-340000000,-379000000,-588000000,-6000000,-660000000,-2423000000,-1457000000
91,Common Stock Issued,- -,- -,- -,- -,253200000,2800000,9800000,28100000,13200000,19400000,7400000,26800000,14000000,22000000,9000000,4000000,13000000,32000000,86000000,121000000,148000000,67000000,194000000,13000000,12000000,146000000,81000000,122000000,68000000,57000000,53000000,31000000,52000000,15000000,61000000,54000000,47000000
92,Common Stock Repurchased,- -,- -,- -,- -,-306400000,-135900000,-15200000,-26600000,-81200000,-280000000,-588000000,-635100000,-343000000,-217000000,-82000000,-247000000,-5000000,- -,- -,-100000000,-607000000,-153000000,-274000000,-7000000,-59000000,-586000000,-858000000,-92000000,-1000000000,-750000000,-751000000,-1050000000,-813000000,-1721000000,-325000000,- -,-210000000
93,Dividends Paid,- -,- -,- -,- -,-165400000,-175900000,-182600000,-199600000,-220800000,-237800000,-238900000,-236600000,-239000000,-252000000,-264000000,-276000000,-283000000,-287000000,-294000000,-307000000,-316000000,-316000000,-335000000,-343000000,-430000000,-447000000,-355000000,-358000000,-345000000,-361000000,-383000000,-414000000,-434000000,-453000000,-468000000,-496000000,-536000000
94,Other Financing Activites,- -,- -,- -,- -,33800000,-119600000,-38900000,-190900000,-163100000,800000,66600000,269800000,208000000,86000000,1110000000,241000000,-541000000,-400000000,-385000000,-299000000,-82000000,-99000000,1698000000,3050000000,430000000,1045000000,-102000000,180000000,-97000000,1888000000,667000000,628000000,-171000000,960000000,634000000,2806000000,2249000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-184800000,-428600000,-226900000,-389000000,-451900000,-497600000,-752900000,-575100000,-360000000,-361000000,773000000,-278000000,-816000000,-655000000,-593000000,-585000000,-857000000,-501000000,1283000000,-978000000,-1123000000,-104000000,-1632000000,-351000000,-1979000000,-969000000,-754000000,-1184000000,-1954000000,-1205000000,-758000000,-59000000,93000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3400000,-2000000,1200000,-1300000,-1800000,2100000,-100000,-400000,-5000000,-1000000,-1000000,-3000000,-2000000,4000000,18000000,37000000,-36000000,22000000,11000000,-10000000,17000000,27000000,-41000000,24000000,-5000000,-132000000,-63000000,-68000000,69000000,-32000000,1000000,6000000,-72000000
97,Net Change In Cash,- -,- -,- -,- -,-184800000,-428600000,-226900000,-389000000,-451900000,-49800000,43500000,-36000000,59000000,-1000000,30000000,-47000000,-3000000,9000000,382000000,210000000,-193000000,-11000000,83000000,495000000,36000000,284000000,116000000,-151000000,-190000000,-430000000,625000000,509000000,-384000000,-534000000,314000000,610000000,-821000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,62100000,105600000,69600000,129000000,128000000,158000000,111000000,108000000,117000000,499000000,709000000,466000000,455000000,526000000,1021000000,1057000000,1341000000,1457000000,1306000000,1116000000,686000000,1311000000,1820000000,1436000000,902000000,1216000000,1826000000,1005000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,103400000,64600000,59300000,37600000,61400000,111900000,62100000,105600000,70000000,129000000,128000000,158000000,111000000,108000000,117000000,499000000,659000000,466000000,443000000,526000000,1021000000,1057000000,1341000000,1457000000,1306000000,1116000000,686000000,1311000000,1820000000,1436000000,902000000,1216000000,1826000000
100,Free Cash Flow,- -,- -,- -,- -,43200000,389300000,143500000,387900000,483100000,369300000,624200000,532000000,541000000,455000000,412000000,309000000,769000000,634000000,906000000,774000000,777000000,758000000,643000000,975000000,1106000000,1003000000,1046000000,1376000000,1276000000,941000000,1361000000,923000000,1208000000,1056000000,1667000000,1826000000,1191000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79879/000095013295000042/0000950132-95-000042-index.html,https://www.sec.gov/Archives/edgar/data/79879/000095013296000098/0000950132-96-000098-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79879/000119312504026989/0001193125-04-026989-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312505031817/0001193125-05-031817-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312506033428/0001193125-06-033428-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312507036001/0001193125-07-036001-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312508035206/0001193125-08-035206-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312509032796/0001193125-09-032796-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312510033939/0001193125-10-033939-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312511038642/0001193125-11-038642-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312512064763/0001193125-12-064763-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987913000016/0000079879-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/0000079879-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/0000079879-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987916000065/0000079879-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987917000009/0000079879-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987918000010/0000079879-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/0000079879-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987920000008/0000079879-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987921000008/0000079879-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987922000009/0000079879-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
