,https://roic.ai/company/TYL,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-13800000,-29200000,-9500000,-10200000,-73900000,48100000,5200000,-2300000,-36700000,-24743000,65401000,-9706000,-7974000,-590000,-9914000,1820000,-24326000,-34275000,-9554000,-13658000,-8694000,-28809000,-34736000,-25658000,-11555000,-398459000,-50720000,-85395000,-238255000,-245015000,-98320000,-2090935000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145000000
91,Common Stock Issued,- -,- -,3200000,1000000,800000,100000,200000,- -,- -,4100000,200000,19000,9289000,230000,1622000,1673000,2613000,2836000,3918000,4740000,- -,- -,1901000,2045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3600000,-400000,-1200000,-2200000,-3200000,- -,- -,-1600000,- -,- -,- -,- -,-4000000,-24104000,-12518000,-17683000,-10531000,-14037000,-59847000,-18263000,-65793000,-71802000,- -,- -,-22817000,-645000,-111838000,-7474000,-146553000,-17786000,-15484000,-12977000
93,Dividends Paid,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,31600000,- -,100000,- -,63500000,-62700000,- -,- -,27700000,24936000,-61311000,-6214000,-1020000,-2990000,-35000,- -,614000,1891000,13719000,4914000,29654000,41343000,-18852000,32038000,38226000,137011000,-26237000,46889000,82958000,106484000,129656000,1582707000
95,Cash Used/Provided by Financing Activities,- -,- -,30800000,600000,-300000,-2100000,60500000,-62700000,- -,2500000,27900000,24955000,-52022000,-5984000,-3398000,-25421000,-9940000,-14847000,-5999000,-7406000,-46128000,-21349000,-34238000,-28414000,-18852000,32038000,15409000,136366000,-138075000,39415000,-63595000,88698000,114172000,1424730000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,30800000,600000,-300000,-2100000,60500000,-62700000,- -,2500000,27900000,866000,6943000,-2946000,8473000,-3476000,2305000,8160000,-3521000,-7570000,-7880000,7934000,-7582000,-788000,5080000,72470000,127291000,-173080000,3064000,149775000,-51647000,98403000,370941000,-294452000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2424000,8930000,5271000,13744000,10268000,12573000,20733000,17212000,9642000,1762000,9696000,2114000,1326000,6406000,78876000,206167000,33087000,36151000,185926000,134279000,232682000,603623000,309171000
99,Cash at the Beginning of Period,- -,- -,1000000,17300000,10300000,12100000,18000000,1900000,3200000,15400000,8400000,1558000,1987000,8217000,5271000,13744000,10268000,12573000,20733000,17212000,9642000,1762000,9696000,2114000,1326000,6406000,78876000,206167000,33087000,36151000,185926000,134279000,232682000,603623000
100,Free Cash Flow,- -,- -,-14800000,16500000,2800000,7400000,-16600000,13800000,3700000,-13700000,-37400000,-5891000,-11282000,8290000,10127000,20739000,19892000,19453000,22480000,30266000,26272000,30589000,30420000,44157000,49566000,39232000,114094000,76512000,154133000,152698000,222779000,212680000,326623000,316141000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860731/000095013405004575/d23024e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013406004110/d33441e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013407004537/d43944e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013408003695/d54229e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013409003823/0000950134-09-003823-index.html,https://www.sec.gov/Archives/edgar/data/860731/000095012310016745/0000950123-10-016745-index.html,https://www.sec.gov/Archives/edgar/data/860731/000095012311017571/d79879e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000119312512075092/0001193125-12-075092-index.html,https://www.sec.gov/Archives/edgar/data/860731/000119312513067262/0001193125-13-067262-index.html,https://www.sec.gov/Archives/edgar/data/860731/000119312514058350/d639171d10k.htm,https://www.sec.gov/Archives/edgar/data/860731/000156459015000744/tyl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/860731/000156459016013137/0001564590-16-013137-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073117000006/0000860731-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073118000011/0000860731-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073119000009/0000860731-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073120000008/0000860731-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073121000014/0000860731-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/860731/000086073122000011/0000860731-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
