,https://roic.ai/company/JW-A,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,58900000,41700000,61900000,70300000,30800000,31800000,35000000,11200000,31500000,39700000,59200000,60900000,-78200000,-57300000,-45100000,-60800000,17700000,-2400000,-35800000,-199600000,-243600000,-157400000,-188700000,-228900000,-66300000,-32200000,60100000,-62764000,-111128000,-428121000,-394340000,-379782000,-312342000,-462675000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,8700000,25900000,-21700000,17800000,49000000,7800000,2100000,32300000,-11800000,-2100000,-2600000,37100000,163575000,-6197000,15203000,23341000,-53140000,84149000,78731000,192866000,49928000,27011000,196827000,139408000,-103091000,108135000,2175000,179495000,127253000,386522000,-9362000,-111472000,100146000,139829000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,25500000,30700000,28700000,51800000,28700000,36700000,39700000,51900000,68100000,63900000,104100000,117900000,131839000,131014000,140366000,169128000,212212000,243486000,242642000,220594000,280135000,341255000,418789000,375619000,379648000,337037000,348224000,355122000,349957000,314501000,381838000,250831000,288435000,359923000
84,CAPEX,- -,- -,- -,- -,- -,-4400000,-3600000,-8400000,-5100000,-6600000,-24100000,-31600000,-39800000,-39800000,-138300000,-72600000,-21000000,-15804000,-28656000,-33643000,-63221000,-29222000,-26826000,-52709000,-107670000,-163384000,-46009000,-48110000,-54393000,-67377000,-58704000,-57564000,-69121000,-93705000,-110700000,-140908000,-86661000,-90433000,-133212000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145111000,-10052000,-232393000,-10500000,-3070000,-22527000,- -,-972909000,-6802000,-23960000,-6430000,-7166000,-92174000,-233330000,-51215000,-171129000,-20418000,-154766000,- -,-190415000,-229629000,-299942000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5203000,10000000,42334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,60417000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-21800000,1700000,-14000000,-10200000,-19800000,1900000,9200000,- -,- -,- -,26500000,-32100000,-33153000,-33213000,-48039000,-51835000,-59426000,-64407000,-70921000,- -,- -,-131666000,-155367000,-51471000,-52501000,-50434000,-40568000,-39421000,-37272000,-37559000,-63186000,-33920000,-28448000,-55805000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-26200000,-1900000,-22400000,-15300000,-26400000,-22200000,-22400000,-39800000,-39800000,-138300000,-46100000,-53100000,-194068000,-71921000,-314075000,-125556000,-91718000,-123760000,-113630000,-1038245000,-170186000,-201635000,-209907000,-113030000,-212052000,-342468000,-149347000,-279671000,-151395000,-242608000,-177411000,-301502000,-346670000,-433154000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618512000,-951010000,-504800000,-888411000,-472500000,-658224000,-718365000,-610085000,-923007000,-467915000,-476246000,-630599000,-562752000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,1500000,300000,400000,1200000,2800000,600000,2300000,1200000,2300000,5200000,3891000,1911000,2813000,1500000,4958000,3444000,5173000,6462000,15190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,300000,1400000,- -,- -,-24700000,- -,- -,-200000,-3300000,-10500000,-4300000,-38500000,-35317000,-9456000,-1880000,-11661000,-26126000,-94786000,-108867000,-7278000,-3679000,-35110000,- -,-27958000,-87072000,-73721000,-63393000,-61981000,-69977000,-50326000,-39688000,-59994000,-46589000,-15765000
93,Dividends Paid,- -,- -,- -,- -,- -,-4600000,-4600000,-4700000,-4700000,-4100000,-4100000,-4200000,-4800000,-5500000,-6200000,-7000000,-7900000,-8608000,-9726000,-11015000,-12344000,-16270000,-18125000,-21103000,-22839000,-25613000,-30478000,-32986000,-38764000,-48257000,-57426000,-58953000,-68498000,-69896000,-71545000,-73542000,-75752000,-76658000,-76938000
94,Other Financing Activites,- -,- -,- -,- -,- -,1300000,-24400000,37900000,-1500000,-16300000,-4000000,-4000000,-31500000,-800000,113200000,-200000,- -,- -,-30000000,170000000,-30000000,-35000000,-4008000,-32544000,833862000,-110408000,595045000,827578000,341478000,919025000,694048000,727036000,787886000,464295000,698706000,484314000,594397000,926523000,608369000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-3000000,-27600000,34700000,-5900000,-44700000,-6900000,-5400000,-35900000,-7300000,97700000,-9200000,-41200000,-40034000,-47271000,159918000,-52505000,-72438000,-113475000,-157341000,810207000,-124510000,-89055000,-156418000,-230044000,-104715000,90401000,-53534000,-60958000,-285663000,-346172000,-96831000,-17595000,172677000,-47086000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,900000,-400000,-400000,-100000,300000,-1300000,-800000,800000,-300000,500000,-500000,-2000000,-4408000,-1174000,549000,2469000,730000,1123000,-315000,2437000,2379000,-7048000,-1779000,15795000,-4904000,-10660000,6894000,-43429000,-6534000,-31011000,3661000,-8443000,-4943000,11629000
97,Net Change In Cash,- -,- -,- -,- -,- -,-2900000,800000,34700000,-5900000,-44700000,-6900000,-5400000,-23000000,-7300000,97700000,48300000,-41200000,-106671000,10648000,-13242000,-6464000,48786000,7374000,-28644000,-5007000,-12182000,43517000,50685000,48340000,57977000,74310000,152237000,-28936000,-93635000,-305290000,111257000,-76709000,109499000,-108688000
98,Cash at the End of Period,- -,- -,- -,- -,- -,10000000,10800000,- -,- -,- -,- -,- -,34500000,- -,- -,127400000,- -,42299000,52947000,39705000,33241000,82027000,89401000,60757000,55750000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,169773000,93548000,203047000,94359000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,12900000,10000000,10800000,51500000,82000000,40000000,46300000,57500000,34400000,55300000,79100000,127400000,148970000,42299000,52947000,39705000,33241000,82027000,89401000,60757000,71493000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,170257000,93548000,203047000
100,Free Cash Flow,- -,- -,- -,- -,- -,21100000,27100000,20300000,46700000,22100000,12600000,8100000,12100000,28300000,-74400000,31500000,96900000,116035000,102358000,106723000,105907000,182990000,216660000,189933000,112924000,116751000,295246000,370679000,321226000,312271000,278333000,290660000,286001000,256252000,203801000,240930000,164170000,198002000,226711000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714008000068/0000107140-08-000068-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714013000009/0000107140-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714015000020/0000107140-15-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714017000008/0000107140-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714018000021/0000107140-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714019000026/0000107140-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714020000052/0000107140-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
