,https://roic.ai/company/CCK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,9400000,-3000000,-12500000,39400000,45500000,-23300000,-3200000,91700000,92900000,113000000,86000000,11000000,482000000,-31000000,6000000,12000000,-35000000,-110000000,-486000000,23000000,-81000000,52000000,83000000,-101000000,50000000,-83000000,25000000,16000000,247000000,35000000,-35000000,33000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,18000000,20000000,18000000,18000000,21000000,22000000,27000000,20000000,23000000,27000000,29000000,32000000,33000000
77,Change in Working Capital,- -,- -,- -,- -,-61800000,185500000,141000000,-221000000,-122700000,78800000,307300000,-800500000,-531500000,-639900000,969000000,1225000000,-736000000,-162000000,332000000,177000000,-361000000,204000000,45000000,234000000,-68000000,-45000000,46000000,-86000000,28000000,438000000,-557000000,-196000000,-121000000,342000000,-63000000,519000000,-586000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000000,- -,- -,- -,-113000000,-51000000,45000000,34000000,29000000,-132000000,-493000000,60000000,- -,- -
79,Inventory,- -,- -,- -,- -,7700000,28500000,26800000,-108400000,5200000,-37800000,-55100000,20300000,-69800000,-24000000,28000000,-26000000,377000000,20000000,37000000,-37000000,-28000000,-66000000,-19000000,-23000000,50000000,-119000000,-119000000,21000000,-45000000,-62000000,60000000,-85000000,-65000000,-201000000,61000000,-2000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,246000000,219000000,59000000,163000000,253000000,209000000,-87000000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,61000000,246500000,387500000,166500000,43800000,122600000,429900000,-370600000,-902100000,-1542000000,-573000000,652000000,-84000000,-246000000,86000000,263000000,-98000000,106000000,151000000,385000000,317000000,272000000,318000000,232000000,260000000,698000000,141000000,-55000000,-176000000,166000000,103000000,622000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,13600000,-273100000,-209400000,96800000,138900000,-398000000,-470700000,840100000,6700000,560900000,-931000000,-1287000000,1037000000,1438000000,-198000000,-144000000,354000000,-278000000,193000000,-293000000,359000000,67000000,-226000000,53000000,328000000,-42000000,831000000,347000000,41000000,-697000000,232000000,-329000000,1555000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,117200000,118500000,175600000,213000000,352500000,6800000,164600000,911200000,402100000,672000000,827000000,270000000,310000000,415000000,434000000,404000000,-122000000,355000000,509000000,422000000,756000000,590000000,379000000,621000000,885000000,912000000,956000000,930000000,760000000,571000000,1163000000,1315000000,905000000
84,CAPEX,- -,- -,- -,- -,-88600000,-128000000,-92200000,-150600000,-271300000,-439800000,-433500000,-631200000,-514800000,-518000000,-329000000,-262000000,-168000000,-115000000,-135000000,-138000000,-192000000,-191000000,-156000000,-174000000,-180000000,-320000000,-401000000,-324000000,-275000000,-328000000,-354000000,-473000000,-498000000,-462000000,-432000000,-587000000,-816000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -,- -,- -,7000000,7000000,- -,-22000000,7000000,4000000,-78000000,-6000000,-711000000,-1174000000,- -,- -,-3937000000,-11000000,- -,2255000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,8000000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-331200000,-329000000,-202100000,-499900000,34700000,-59500000,-4500000,-1403500000,116900000,66000000,132000000,25000000,5000000,706000000,35000000,31000000,656000000,73000000,55000000,-186000000,-178000000,-288000000,-376000000,-332000000,-248000000,-310000000,-374000000,-442000000,-509000000,94000000,-363000000,-535000000,-748000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-419800000,-457000000,-294300000,-650500000,-236600000,-499300000,-438000000,-2034700000,-397900000,-452000000,-197000000,-248000000,-163000000,591000000,-100000000,-107000000,464000000,-111000000,-94000000,-186000000,-200000000,-281000000,-372000000,-362000000,-246000000,-1021000000,-1548000000,-442000000,-509000000,-3843000000,-374000000,-535000000,1507000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94000000,-1044000000,-734000000,-1069000000,-66000000,-1022000000,-2071000000,-907000000,-1946000000,-1137000000,-333000000,-2870000000,-272000000,- -
91,Common Stock Issued,- -,- -,- -,- -,136200000,6200000,75600000,17100000,30000000,16300000,21200000,11000000,10500000,6000000,- -,2000000,- -,3000000,2000000,3000000,16000000,18000000,14000000,10000000,23000000,13000000,11000000,15000000,21000000,14000000,6000000,10000000,9000000,1000000,4000000,2000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-66700000,-5100000,-69100000,-61400000,-86500000,-12700000,-300000,- -,-17200000,-467000000,-30000000,-49000000,- -,- -,- -,- -,-38000000,-135000000,-118000000,-35000000,-4000000,-255000000,-312000000,-257000000,-300000000,-2000000,-9000000,-8000000,-339000000,-4000000,-7000000,-66000000,-950000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-21500000,-145400000,-151800000,-143000000,-138000000,-127000000,- -,- -,-24000000,-41000000,-45000000,- -,-38000000,-65000000,-87000000,-112000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000000
94,Other Financing Activites,- -,- -,- -,- -,246700000,360800000,121100000,498400000,-30200000,481900000,299200000,1352200000,225700000,452000000,-449000000,301000000,-63000000,-1131000000,-306000000,-208000000,-430000000,-41000000,-254000000,107000000,411000000,789000000,1241000000,54000000,995000000,2504000000,1316000000,1328000000,1067000000,3869000000,2087000000,97000000,-1889000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,316200000,361900000,127600000,454100000,-86700000,476500000,298600000,1217800000,67200000,-152000000,-617000000,127000000,-63000000,-1128000000,-328000000,-246000000,-497000000,-158000000,-396000000,-77000000,-701000000,-299000000,-129000000,-254000000,-306000000,445000000,406000000,-616000000,-400000000,3533000000,-786000000,-239000000,-2944000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-17200000,-16100000,-10500000,-9900000,-1900000,5300000,-600000,-2000000,-26200000,10000000,-30000000,-34000000,-10000000,29000000,32000000,19000000,-22000000,27000000,31000000,-20000000,8000000,-6000000,1000000,3000000,6000000,-60000000,-62000000,-30000000,14000000,-37000000,1000000,34000000,-113000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,115000000,74000000,-93000000,38000000,70000000,-177000000,113000000,50000000,139000000,-137000000,4000000,-121000000,8000000,339000000,276000000,-248000000,-158000000,-135000000,224000000,4000000,575000000,-645000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000000,382000000,456000000,363000000,401000000,471000000,294000000,407000000,457000000,596000000,459000000,463000000,342000000,350000000,689000000,965000000,717000000,559000000,424000000,659000000,663000000,1238000000,593000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18000000,14400000,21800000,20200000,26900000,54200000,43500000,68100000,160400000,206000000,284000000,267000000,382000000,456000000,363000000,401000000,471000000,294000000,407000000,457000000,596000000,459000000,463000000,342000000,350000000,689000000,965000000,717000000,559000000,435000000,659000000,663000000,1238000000
100,Free Cash Flow,- -,- -,- -,- -,28600000,-9500000,83400000,62400000,81200000,-433000000,-268900000,280000000,-112700000,154000000,498000000,8000000,142000000,300000000,299000000,266000000,-314000000,164000000,353000000,248000000,576000000,270000000,-22000000,297000000,610000000,584000000,602000000,457000000,262000000,109000000,731000000,728000000,89000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1219601/000095015904000274/0000950159-04-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960105000069/0001219601-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960106000014/0001219601-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960107000007/0001219601-07-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960108000009/0001219601-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960109000010/0001219601-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960110000012/0001219601-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312511050127/0001193125-11-050127-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312512087983/0001193125-12-087983-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960113000007/0001219601-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960114000007/0001219601-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960115000009/0001219601-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960116000052/0001219601-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960117000009/0001219601-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960118000009/0001219601-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960119000005/0001219601-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960120000006/0001219601-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960121000005/0001219601-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960122000011/0001219601-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
