,https://roic.ai/company/SIG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
82,Other Non-Cash Items,- -,- -,- -,- -,3600000,838700000,88500000,-560500000,727500000,-549900000,410900000,-70000000,-6400000,-84204000,-307404000,-55925000,-220611000,-192586000,-28495000,-642443000,-228523000,-57299610,418800384,204500000,-334400000,-153000000,-359300000,-948800000,2856500000,-3680200000,940600000,1821200000,1581200000,152700000,978500000,278600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-7000000,9500000,86800000,24300000,87000000,85900000,127300000,234100000,168900000,126293000,95176000,265475000,178535000,225910000,200152000,199416000,189201000,136400000,164399536,515400000,323900000,325200000,312700000,235500000,283000000,443300000,678300000,1940500000,697700000,555700000,1372300000,1257000000
84,CAPEX,- -,- -,- -,- -,-148400000,-56900000,-17800000,-38700000,-40300000,-26800000,-24300000,-46600000,-50800000,-63470000,-82164000,-85714000,-81527000,-92882000,-132744000,-125347000,-130063000,-140400000,-114900002,-43600000,-57500000,-97800000,-134200000,-152700000,-220200000,-226500000,-278000000,-237400000,-133500000,-136300000,-83000000,-129600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56700000,-7700000,-1429200000,- -,- -,-331800000,- -,- -,- -,-515800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5700000,-6200000,-10400000,-2400000,-600000,-13300000,- -,-1000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,4000000,10000000,2200000,9600000,8300000,5200000,- -
88,Other Investing Activites,- -,- -,- -,- -,28900000,13600000,54200000,-7700000,-500000,-5400000,-13800000,-53700000,-42700000,4845000,3216000,- -,2142000,365000,376000,7834000,22397000,7300000,1600620,-7700000,-9600000,- -,- -,- -,- -,- -,- -,- -,5500000,500000,- -,4400000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-119500000,-43300000,36400000,-46400000,-40800000,-32200000,-38100000,-100300000,-93500000,-58625000,-236113000,-85714000,-79385000,-92517000,-132368000,-117513000,-107666000,-133100000,-113299382,-43500000,-55600000,-97800000,-190900000,-160400000,-1652600000,-228700000,-278400000,-569400000,-119000000,-140800000,-77800000,-642000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-243400000,-293100000,-31000000,- -,- -,-1612700000,-2693000000,-3644900000,-3588300000,-818300000,-1124700000,-1357400000,-3900000
91,Common Stock Issued,- -,- -,- -,- -,- -,99500000,- -,- -,- -,- -,- -,- -,100000,646000,2924000,12568000,7082000,11496000,13745000,6944000,8055000,6000000,99498,1000000,11300000,10600000,21600000,9300000,6100000,5000000,2100000,300000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17888000,-3561000,-66210000,-29000000,- -,- -,- -,-12700000,-287200000,-104700000,-29800000,-130000000,-1000000000,-460000000,-485000000,- -,- -,-311800000
93,Dividends Paid,- -,- -,- -,- -,-69400000,-84800000,- -,- -,- -,- -,- -,- -,- -,-33754000,-36258000,-39115000,-50728000,-66970000,-82471000,-93832000,-113560000,-123900000,-123800026,- -,- -,-8700000,-38400000,-46000000,-55300000,-67100000,-75600000,-111200000,-110200000,-108600000,-27200000,-19000000
94,Other Financing Activites,- -,- -,- -,- -,352000000,177600000,-182800000,-63100000,-90600000,-31200000,-75300000,-106800000,-112500000,-53295000,156727000,-169734000,-69174000,-99452000,30880000,-82972000,142048000,31100000,160599866,-9300000,-1300000,1800000,-4100000,16600000,3012600000,2618500000,4280200000,2905600000,810800000,996300000,886000000,-31300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,282600000,192300000,-182800000,-63100000,-90600000,-31200000,-75300000,-106800000,-112400000,-86403000,123393000,-196281000,-112820000,-154926000,-55734000,-173421000,-29667000,-115800000,36899338,-251700000,-283100000,-40000000,-308100000,-124800000,1320900000,-266600000,-438200000,-1253600000,-602700000,-237000000,-498600000,-366000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,14000000,-9700000,7400000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2671000,-3144000,1900000,-32900672,-800000,700000,-2700000,500000,-3700000,-5300000,-3900000,-700000,8900000,-5700000,1200000,2100000,-2000000
97,Net Change In Cash,- -,- -,- -,- -,282600000,192300000,-182800000,-63100000,-90600000,-31200000,13800000,27100000,-37000000,-18734000,-17544000,-16522000,-13670000,-21533000,12051000,-88847000,48724000,-110600000,55098820,219400000,-14100000,184700000,-185800000,-53400000,-54000000,-55900000,-39000000,126400000,-29700000,179100000,798000000,245500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,42300000,107300000,147450000,54825000,77383000,146912000,233574000,192809000,93476000,151871000,41700000,-90700358,316200000,302100000,486800000,301000000,247600000,193600000,137700000,98700000,225100000,195400000,374500000,1172500000,1418000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,168000000,301700000,305400000,257800000,266100000,208900000,247200000,15200000,144300000,166184000,72369000,93905000,160582000,255107000,180758000,182323000,103147000,152300000,-145799178,96800000,316200000,302100000,486800000,301000000,247600000,193600000,137700000,98700000,225100000,195400000,374500000,1172500000
100,Free Cash Flow,- -,- -,- -,- -,-155400000,-47400000,69000000,-14400000,46700000,59100000,103000000,187500000,118100000,62823000,13012000,179761000,97008000,133028000,67408000,74069000,59138000,-4000000,49499534,471800000,266400000,227400000,178500000,82800000,62800000,216800000,400300000,1703100000,564200000,419400000,1289300000,1257000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832988/000115697307000735/0001156973-07-000735-index.html,- -,https://www.sec.gov/Archives/edgar/data/832988/000119312509070078/0001193125-09-070078-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312510071072/0001193125-10-071072-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312511082150/d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000119312512126437/0001193125-12-126437-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312513130663/0001193125-13-130663-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312514117532/d646375d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828015001969/a10k-1312015xq4.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828016012998/0001628280-16-012998-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828017002652/0001628280-17-002652-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828018003906/0001628280-18-003906-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298819000003/0000832988-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298820000018/0000832988-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298821000025/0000832988-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298822000019/0000832988-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
