,https://roic.ai/company/ARKR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2400000,3600000,2900000,2700000,3200000,3700000,4000000,4600000,7300000,7000000,4896950,6771000,9044000,9874000,10391000,9521000,10510000,11764000,11357000,7707000,5548000,8530000,13423000,13059000,11905000,11301000,7602000,10350000,9575000,10615000,-4528000,9294000
84,CAPEX,- -,- -,- -,- -,- -,-2500000,-1300000,-1300000,-1100000,-2800000,-6600000,-6800000,-11000000,-4400000,-7000000,-22262509,-3014000,-704000,-1884000,-1529000,-4252000,-5352000,-3655000,-8080000,-3817000,-2900000,-3372000,-8395000,-3283000,-3712000,-3604000,-2160000,-13904000,-5063000,-3419000,-2486000,-2138000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,121000,129000,1259000,- -,-7165000,-2174000,-222000,-717000,-791000,- -,-25000,- -,-1817000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1000000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29189000,-14645000,-10992000,-10916000,-3145000,-616000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,100000,100000,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20037000,14500000,12121000,11654000,7879000,3062000,75000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,200000,- -,- -,-500000,-200000,-2500000,-100000,600000,200000,900000,-2980971,1123000,551000,33000,193000,416000,418000,14690000,1297000,-303000,294000,-598000,-313000,-7000,-920000,-233000,-168000,54000,13000,248000,29000,505000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-2300000,-2200000,-1400000,-1600000,-3000000,-9100000,-6700000,-10400000,-4200000,-6100000,-25243480,-1891000,-153000,-1851000,-1336000,-3836000,-4934000,-117000,-6928000,-2870000,-1739000,2623000,-5862000,-10380000,-6692000,-3659000,-3045000,-14641000,-5050000,-3196000,-2457000,-3450000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194000,- -,- -,-78000,-1468000,-2339000,-1794000,-2533000,-3951000,-2067000,-2258000,-2701000,-3442000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,400000,300000,6100000,100000,200000,343572,- -,44000,- -,2257000,655000,624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,-1500000,-4200000,-1350237,-3000,- -,- -,-35000,- -,- -,- -,-1209000,-500000,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4801000,-4847000,-16078000,-6331000,-1556000,-7102000,-5211000,-3245000,-2433000,-3281000,-4240000,-3420000,-2569000,-3443000,-3481000,-1750000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,100000,-1200000,-600000,-1300000,500000,3300000,2000000,-500000,-1400000,2400000,21716959,-5574000,-8116000,-8356000,-7328000,-251000,595000,769000,2080000,-113000,-148000,-173000,-2313000,1265000,321000,-535000,-1100000,4978000,4591000,485000,21145000,-117000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-300000,-1200000,-600000,-800000,700000,3700000,2300000,5600000,-2800000,-1600000,20710294,-5577000,-8072000,-8356000,-5106000,-4397000,-3628000,-15309000,-5460000,-2363000,-7250000,-5384000,-6636000,-2636000,-5299000,-6569000,-7053000,-1542000,-919000,-5254000,16694000,-3559000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-300000,-1200000,-600000,-800000,700000,3700000,2300000,5600000,-2800000,-700000,363764,-5577000,-8072000,-333000,3949000,1288000,1948000,-3662000,-1031000,2474000,-3441000,5769000,925000,43000,-86000,1073000,-2496000,-5833000,3606000,2165000,9709000,2285000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,697385,- -,819000,486000,4435000,5723000,7671000,4009000,2978000,5452000,2011000,7780000,8705000,8748000,8662000,9735000,7239000,1406000,5012000,7177000,16886000,19171000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1000000,700000,900000,1800000,2000000,2900000,1300000,900000,700000,1000000,333621,697000,- -,819000,486000,4435000,5723000,7671000,4009000,2978000,5452000,2011000,7780000,8705000,8748000,8662000,9735000,7239000,1406000,5012000,7177000,16886000
100,Free Cash Flow,- -,- -,- -,- -,- -,-100000,2300000,1600000,1600000,400000,-2900000,-2800000,-6400000,2900000,- -,-17365559,3757000,8340000,7990000,8862000,5269000,5158000,8109000,3277000,3890000,2648000,5158000,5028000,9776000,8193000,7697000,5442000,-3554000,4512000,7196000,-7014000,7156000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000095011700002729/0000950117-00-002729-index.html,https://www.sec.gov/Archives/edgar/data/779544/000095011701501900/0000950117-01-501900-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000093041307009678/0000930413-07-009678-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041308007367/0000930413-08-007367-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041310000001/0000930413-10-000001-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311000028/0000930413-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311008132/0000930413-11-008132-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041312006712/0000930413-12-006712-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041313005875/0000930413-13-005875-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041314004937/0000930413-14-004937-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041315004879/0000930413-15-004879-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041316009088/0000930413-16-009088-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041317004111/0000930413-17-004111-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041318003621/0000930413-18-003621-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954419000035/0000779544-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954420000047/0000779544-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954421000032/0000779544-21-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
