,https://roic.ai/company/VOLT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,4000000,5900000,-1600000,-6300000,22200000,-71400000,14500000,-108000000,-98000000,-45600000,-24100000,-90978000,68956000,101398000,-9038000,-51567000,-41292000,58680000,29973000,-128663000,38496000,55510000,-43403000,-24483000,14346000,27331000,-30223000,9751000,18143000,-3604000,30007000,22020000,15281000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,11000000,9300000,7900000,8500000,30800000,14500000,34100000,-16300000,19600000,6800000,4900000,-22778000,89258000,108462000,36175000,31202000,27477000,80482000,49076000,-62147000,48459000,-23366000,-28352000,-40437000,-31089000,18845000,40087000,-7611000,4569000,-5496000,7368000,18154000,23867000
84,CAPEX,- -,- -,- -,- -,-13900000,-10900000,-6800000,-6800000,-11300000,-14900000,-11900000,-21700000,-15500000,-29200000,-64800000,-38573000,-27112000,-14692000,-17990000,-30737000,-28511000,-22365000,-31406000,-27119000,-20524000,-13244000,-17917000,-13702000,-11622000,-5267000,-8552000,-17550000,-9312000,-3565000,-9053000,-5268000,-3112000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1779000,-76000,- -,- -,-1864000,- -,-83503000,-71401000,-1074000,- -,- -,- -,-1822000,- -,- -,- -,-1446000,81102000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-17600000,-8100000,-200000,-4500000,-6800000,-22400000,-13700000,-7300000,-6400000,-1300000,-5800000,-13177000,-2001000,-1089000,-833000,-1419000,-904000,-1491000,-6931000,-2026000,-1630000,-3170000,-2943000,-1696000,-1894000,-507000,-645000,-387000,-380000,-443000,-221000,-582000,-500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,37200000,11500000,20000000,10700000,3400000,19500000,11800000,7600000,7000000,300000,4500000,12062000,7326000,840000,870000,1476000,1119000,1296000,6357000,1661000,1422000,3251000,2856000,1920000,2251000,1407000,1304000,1415000,884000,755000,391000,822000,532000
88,Other Investing Activites,- -,- -,- -,- -,1300000,4000000,100000,100000,100000,16600000,-400000,-1200000,31500000,300000,-1500000,-1269000,5186000,28454000,518000,22433000,1885000,1348000,352000,171298000,4410000,788000,3795000,7658000,312000,2308000,-3535000,36808000,372000,19000,41000,399000,20000
89,Cash Used for Investing Activites,- -,- -,- -,- -,7000000,-3500000,13100000,-500000,-14600000,-1200000,-14200000,-22600000,16600000,-29900000,-67600000,-42736000,-16677000,13513000,-17435000,-10111000,-26411000,-104715000,-103029000,142740000,-16322000,-12375000,-14209000,-7642000,-10953000,-2059000,-11428000,18840000,72666000,-3234000,-8842000,-4629000,-3060000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-684000,-731000,-652000,-708000,-835000,-39476000,-59338000,-29445000,-77050000,-124696000,-20000000,-15000000,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,300000,100000,7200000,1500000,200000,2626000,141000,34000,55000,1368000,1247000,5335000,344000,166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3500000,-9600000,-3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22979000,-18754000,-226000,- -,- -,- -,- -,- -,-4262000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-17000000,1400000,-8500000,600000,-4300000,-36300000,-10900000,26300000,-2600000,-1900000,62900000,63783000,-76142000,-95782000,-1000,3251000,-1803000,-4395000,78789000,22834000,-33889000,-31670000,36302000,31063000,26130000,21349000,39541000,18059000,28760000,122956000,23899000,19580000,-580000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-20400000,-8100000,-11900000,600000,-4300000,-36300000,-10600000,26400000,4600000,-400000,63100000,66409000,-76001000,-95748000,54000,4619000,-556000,940000,56154000,4246000,-34799000,-32401000,35650000,30355000,25295000,-18127000,-24059000,-11386000,-48290000,-1740000,3899000,4580000,-580000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-600000,-800000,100000,-300000,700000,-1000000,-1000000,500000,- -,1000000,400000,802000,-304000,-1081000,-357000,264000,-422000,-214000,-284000,-4253000,498000,461000,394000,-360000,1378000,-386000,-924000,-3645000,1746000,-1844000,-525000,-116000,-51000
97,Net Change In Cash,- -,- -,- -,- -,-20400000,-8100000,-11900000,600000,-4300000,-36300000,-10600000,26400000,4600000,-400000,800000,1697000,-3724000,25146000,18437000,25974000,88000,-23507000,1917000,80586000,-2164000,-67681000,-6517000,-18084000,-15369000,-741000,3465000,-3802000,30691000,-12314000,1900000,17989000,20176000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32400000,34099000,18474000,43620000,62057000,88031000,88119000,38481000,40398000,120929000,118765000,51084000,44567000,26483000,11114000,9105000,10188000,6386000,37077000,24763000,38444000,56433000,76609000
99,Cash at the Beginning of Period,- -,- -,- -,- -,17400000,14400000,11200000,20300000,28600000,41100000,17000000,25400000,13300000,54200000,31600000,32402000,22198000,18474000,43620000,62057000,88031000,61988000,38481000,40343000,120929000,118765000,51084000,44567000,26483000,9846000,6723000,10188000,6386000,37077000,36544000,38444000,56433000
100,Free Cash Flow,- -,- -,- -,- -,-2900000,-1600000,1100000,1700000,19500000,-400000,22200000,-38000000,4100000,-22400000,-59900000,-61351000,62146000,93770000,18185000,465000,-1034000,58117000,17670000,-89266000,27935000,-36610000,-46269000,-54139000,-42711000,13578000,31535000,-25161000,-4743000,-9061000,-1685000,12886000,20755000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000095012395000109/0000950123-95-000109-index.html,https://www.sec.gov/Archives/edgar/data/103872/000095012396000306/0000950123-96-000306-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000100547701000553/0001005477-01-000553-index.html,- -,https://www.sec.gov/Archives/edgar/data/103872/000116923203000723/0001169232-03-000723-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752304000661/0001157523-04-000661-index.html,https://www.sec.gov/Archives/edgar/data/103872/000115752305000267/0001157523-05-000267-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000115752309000729/0001157523-09-000729-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/d576658d10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000119312513444053/0001193125-13-444053-index.html,https://www.sec.gov/Archives/edgar/data/103872/000162828015000162/visi-11022014x10k.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387216000017/0000103872-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387217000006/0000103872-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387218000006/0000103872-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387219000012/0000103872-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387220000006/0000103872-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/103872/000010387221000006/0000103872-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103872/000010387222000007/0000103872-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
