,https://roic.ai/company/PEI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51400000,-46400000,-177500000,-140600000,-160600000,-160400000,-195900000,25151000,-214553000,-258966000,-222827000,-155081000,-170244000,-658263000,-50406000,-84876000,-52654000,-190070000,-57989000,-89581000,-184233000,-158958000,-165653000,-383954000,-125854000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,900000,1800000,1200000,2300000,-3800000,-8319000,161000,50892666,-6275000,129647000,-39551000,15714000,-1464000,18952000,-387857000,217666000,17759000,-20716000,-63719000,3603000,534932000,-613768000,83495000,-13406000,94205000,-115268000,140271000,125970000,10748000,116519000,197802000,-123590000,60823000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,14400000,13700000,13600000,13100000,13000000,15909000,16672000,7554991,15219000,31138000,32311000,44123000,37655000,28541000,69196000,132430000,129084000,158754000,149486000,124963000,136148000,116791000,105262000,120324000,136219000,145075000,135661000,147609000,136409000,134864000,111392000,5873000,68978000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-48300000,-37144000,-38058000,-512748,-3901000,-156710000,-63773000,-50543000,-43697000,-35249000,-520705000,-204710000,-64674000,-148504000,-213761000,-313487000,-167794000,-55964000,-61807000,-5336000,-5261000,-5446000,-6255000,-6101000,-6066000,-12022000,-568000,-150000,-234000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4006000,- -,- -,- -,-3682000,-250000,-19184000,-25046000,-14910000,-73434000,-58112000,-72939000,-34269000,-1698000
86,Purchases of Investments,- -,- -,- -,- -,-2200000,-8000000,-6200000,-4100000,-7400000,-14971000,-983000,- -,-2326000,-15030000,-8299000,-5093000,-1732000,-1686000,-4863000,-1211000,-299520000,-99787000,-57835000,-36941000,-2269000,-9070000,-252000,-3682000,-61129000,-39184000,-345032000,-14910000,-73434000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,17900000,14500000,- -,- -,1649000,- -,- -,- -,- -,- -,- -,- -,36148000,17762000,32286000,- -,- -,- -,- -,- -,- -,- -,- -,- -,35221000,123000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,3300000,12200000,16000000,-11600000,-900000,19091000,-1041000,-1083014,12327000,12006000,7199000,19286000,20001000,12888000,220487000,101991000,1308000,48436000,-3067000,-306216000,-61706000,146063000,40287000,-79933000,94182000,91674000,-8535000,32313000,14051000,-106295000,-58411000,-43079000,-20010000
89,Cash Used for Investing Activites,- -,- -,- -,- -,1100000,4200000,9800000,-15700000,-38700000,-18524000,-40082000,-1595762,7749000,-159734000,-64873000,-36350000,-25428000,-24047000,-305081000,-103930000,-326738000,-182093000,-242377000,-353239000,-103405000,81029000,-21772000,-88178000,30741000,31650000,-379099000,1971000,-98279000,-41567000,-131350000,-77348000,-21708000
90,Debt Repayment,- -,- -,- -,- -,-400000,-4200000,-6100000,-5200000,-400000,-17040000,-821000,-622629,-6736000,-36516000,-22110000,-20976000,-25654000,-22207000,-60489000,-155813000,-513246000,-129169000,-87135000,-533504000,-104650000,-994998000,-91481000,-630942000,-602664000,-94703000,-293411000,-298195000,-167945000,-6655000,-89298000,-877127000,-166336000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,9200000,100000,330000,100000,- -,175000,206000,293000,644000,48348000,10784000,205293000,19060000,30747000,8055000,174117000,3217000,659000,162113000,533000,1788000,223494000,3270000,1393000,1288000,2085000,1410000,1256000,572000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1148000,-24202000,-2545000,-284915000,-624000,-114000,-1035000,-1883000,-6510000,-2417000,-4632000,-5776000,-2177000,-115000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-15400000,-16100000,-16300000,-6100000,-16316000,-25061000,-25431000,-25658000,-33954000,-1707000,-5649000,-101236000,-106041000,-8768000,-95134000,-94702000,-32474000,-32949000,-34779000,-43059000,-64164000,-70836000,-73933000,-74220000,-86054000,-86520000,-91162000,-31769000,- -
94,Other Financing Activites,- -,- -,- -,- -,-13600000,-14200000,-14000000,- -,41600000,36115000,39377000,823251,278000,194778000,76910000,37143000,3200000,11931000,131806000,208000000,791698000,148726000,398075000,835750000,168293000,637133000,23591000,658769000,279031000,-3621000,597587000,210672000,334329000,-3040000,186345000,1011402000,125912000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-14000000,-18400000,-21400000,- -,25900000,3305000,22356000,-5899378,-22599000,133407000,29662000,-8847000,-8060000,-1199000,270961000,-31137000,178956000,16299000,105008000,210137000,31714000,-229736000,-104019000,-19954000,-166720000,-170522000,225860000,-162632000,-32585000,-94805000,7141000,103078000,-40424000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-14000000,-18400000,-21400000,- -,25900000,690000,-1054000,59851,369000,4811000,-2900000,-1074000,4167000,3295000,35076000,-2637000,-18698000,-7040000,12117000,-18139000,64457000,-31916000,-20529000,12192000,240000,6203000,-17578000,-13052000,5545000,-1508000,-12817000,31603000,6846000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2152000,1098000,1767561,1399000,6135000,3235000,6091000,10258000,13553000,48629000,40340000,21642000,15808000,27925000,9786000,74243000,42327000,21798000,33990000,34230000,40433000,22855000,9803000,15348000,32445000,19628000,51231000,58077000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,2400000,1900000,3900000,1200000,1462000,2152000,1707710,1030000,1324000,6135000,7165000,6091000,10258000,13553000,42977000,40340000,22848000,15808000,27925000,9786000,74243000,42327000,21798000,33990000,34230000,40433000,22855000,9803000,33953000,32445000,19628000,51231000
100,Free Cash Flow,- -,- -,- -,- -,14400000,13700000,13600000,13100000,-35300000,-21235000,-21386000,7042243,11318000,-125572000,-31462000,-6420000,-6042000,-6708000,-451509000,-72280000,64410000,10250000,-64275000,-188524000,-31646000,60827000,43455000,114988000,130958000,139629000,129406000,141508000,130343000,122842000,110824000,5723000,68744000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011695000545/0000950116-95-000545-index.html,https://www.sec.gov/Archives/edgar/data/77281/000095011696001387/0000950116-96-001387-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011601000544/0000950116-01-000544-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77281/000095011605001038/0000950116-05-001038-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095011606000776/0000950116-06-000776-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000089322007000542/0000893220-07-000542-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312508043701/0001193125-08-043701-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312509042504/0001193125-09-042504-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312510058453/0001193125-10-058453-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312511052256/0001193125-11-052256-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312512088875/0001193125-12-088875-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000119312513086626/0001193125-13-086626-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728114000019/0000077281-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728115000010/0000077281-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728116000093/0000077281-16-000093-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728117000012/0000077281-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728118000018/0000077281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000007728119000017/0000077281-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459020010906/0001564590-20-010906-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000156459021013558/0001564590-21-013558-index.htm,https://www.sec.gov/Archives/edgar/data/77281/000095017022003786/0000950170-22-003786-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
