,https://roic.ai/company/AJRD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,2072800000,2119000000,1108000000,1230000000,1270000000,1078000000,1113000000,1131000000,1164000000,1455000000,1458000000,1330000000,1432000000,1743000000,1230000000,1324000000,1464000000,1636000000,1907000000,1495000000,1057000000,1021400000,995200000,1005700000,935700000,991500000,939500000,919300000,1755300000,1921600000,2034900000,2249500000,2258700000,2490100000,2707800000,2899900000,2433600000
48,Accounts Payable,- -,- -,- -,- -,120000000,100000000,113000000,95000000,102000000,104000000,99000000,81000000,102000000,119000000,44000000,47000000,83000000,89000000,114000000,55000000,57000000,32600000,28900000,32700000,18400000,27100000,33800000,56100000,122500000,103500000,105200000,96200000,100900000,88700000,127300000,99100000,132200000
49,Short-Term Debt,- -,10000000,31000000,13000000,26000000,2000000,1000000,1000000,23000000,7000000,21000000,43000000,25000000,14000000,9000000,- -,17000000,22000000,52000000,23000000,1000000,21300000,1500000,2000000,17800000,66000000,2800000,2700000,2900000,5300000,5300000,55600000,25000000,273100000,284700000,299900000,166700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,15500000,2100000,800000,19800000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2100000,66000000,- -,600000,100100000,104400000,198500000,203700000,221800000,237800000,272600000,262300000,407200000,366500000
52,Other Current Liabilities,573200000,633000000,501000000,388000000,302000000,263000000,265000000,312000000,216000000,256000000,256000000,246000000,263000000,297000000,318000000,281000000,365000000,262000000,321000000,260000000,214000000,225300000,213400000,211600000,159200000,268100000,262600000,159700000,249900000,260000000,239900000,210100000,231100000,243900000,195600000,649500000,210400000
53,Total Current Liabilities,573200000,643000000,532000000,401000000,448000000,365000000,379000000,408000000,341000000,367000000,376000000,370000000,390000000,430000000,371000000,328000000,465000000,373000000,487000000,338000000,272000000,279200000,245900000,248400000,261400000,361200000,299800000,318600000,479700000,567300000,554100000,583700000,594800000,878300000,869900000,1455700000,875800000
54,Long-Term Debt,254700000,198000000,473000000,674000000,496000000,345000000,355000000,344000000,416000000,378000000,383000000,263000000,84000000,356000000,149000000,190000000,197000000,365000000,486000000,554000000,443000000,441100000,444800000,438600000,420800000,326700000,323600000,246000000,696300000,776900000,646700000,608000000,591400000,352300000,306700000,360100000,335900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,8600000,8000000,7400000,13900000,13300000,12700000,12100000,- -,- -,- -
56,Deferred Tax Liabilities,144500000,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,8300000,9600000,7600000,4500000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,149900000,160000000,200000000,191000000,171000000,168000000,166000000,166000000,172000000,717000000,664000000,641000000,677000000,613000000,630000000,611000000,492000000,538000000,506000000,462000000,415000000,397100000,356200000,345500000,539000000,496200000,514000000,732700000,521500000,740900000,965700000,1008900000,957400000,826100000,954500000,850600000,688400000
58,Total Non-Current Liabilities,549100000,428000000,673000000,865000000,667000000,513000000,521000000,510000000,588000000,1095000000,1047000000,904000000,761000000,969000000,779000000,801000000,689000000,903000000,992000000,1016000000,858000000,838200000,801300000,792400000,969400000,830500000,851300000,989500000,1225800000,1525200000,1626300000,1630200000,1561500000,1190500000,1261200000,1210700000,1024300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86800000,81300000,84700000
