,https://roic.ai/company/KBH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3977000,8074000,8054000,6713000,5699000,9099000,17143000,16850000,14633000,15861000,18312000,21531000,28904000
77,Change in Working Capital,- -,- -,- -,- -,-150200000,64400000,-138000000,-82100000,40100000,135600000,80000000,-361900000,156600000,299400000,354500000,232721000,539807000,80986000,-161412000,1058760000,1130998000,452375000,-1762800000,-807296000,-223453000,-102061000,-305381000,59680000,869763000,735868000,297497000,153084000,3462000,215063000,-49479000,91760000,-728560000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11153000,-31283000,-20463000,18965000,-12508000,-49778000,44428000,- -,- -
79,Inventory,- -,- -,- -,- -,-204400000,-91100000,107700000,-41200000,-44200000,-137600000,-80300000,232900000,5200000,-125700000,-38800000,-96078000,-137103000,-186588000,-464494000,-952346000,-1660229000,-481980000,779875000,545850000,433075000,-129334000,-12345000,30347000,-563189000,-780131000,34852000,-98321000,126085000,-270126000,-165347000,-183233000,-897750000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59763000,35504000,1991000,32723000,66594000,126710000,-40583000,4091000,181625000
81,Other Working Capital,- -,- -,- -,- -,1137700000,1202100000,1064100000,982000000,1022100000,1157700000,1237700000,875800000,1032400000,1331800000,1686300000,1919021000,2458828000,2539814000,2378402000,3437162000,4568160000,5020535000,3257735000,2450439000,2226986000,2124925000,1819544000,1879224000,2748987000,3484855000,3782352000,3935436000,3938898000,4153961000,4104482000,4196242000,19579000
82,Other Non-Cash Items,- -,- -,- -,- -,4300000,-180500000,274900000,-800000,6700000,-303500000,-163100000,782800000,-253000000,-426100000,-409100000,-446124000,-708504000,1764000,217402000,-1623932000,-2046585000,-72304000,3658408000,1894126000,665937000,26102000,126519000,24403000,-1360768000,-1471195000,-264545000,-133742000,206390000,-374124000,-87027000,-177556000,15207000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-49300000,-43300000,180600000,-24300000,56900000,-111100000,-52900000,330800000,-29000000,-12800000,106800000,64544000,45920000,356990000,462158000,-112129000,-52915000,715732000,1194294000,341322000,349912000,-133964000,-347545000,34617000,-443486000,-630691000,181185000,188655000,513219000,221512000,251042000,310678000,-37296000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178700000,-11600000,-18500000,-12189000,-31145000,-13052000,-23170000,-23997000,-22115000,- -,- -,-1375000,-420000,-242000,-1749000,-2391000,-5795000,-4677000,-4784000,-8085000,-7370000,-40459000,-28841000,-39399000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24292000,-53724000,-27548000,- -,-121546000,- -,- -,- -,- -,- -,- -,- -,- -,-14359000,-38987000,-6626000,-1295000,-7659000,-12737000,-6289000,2278000,1315000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19200000,- -,- -,- -,- -,-237000,- -,-237786000,-241551000,-59625000,-19922000,-15669000,-67260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,56600000,53400000,53000000,86700000,84000000,49700000,13800000,18100000,10000000,12900000,- -,- -,4270000,9892000,13313000,5911000,454000,57971000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-6200000,-30800000,1200000,-3300000,-5300000,-12200000,-3800000,-92000000,-3800000,4000000,-3200000,17855000,13393000,-4010000,-114939000,-117629000,-74431000,568000,728337000,-108331000,- -,- -,80600000,989000,-2391000,-5795000,-4677000,-4784000,-8085000,-7370000,5804000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,50400000,22600000,54200000,83400000,78700000,37500000,10000000,-73900000,6200000,-161800000,-34000000,-24937000,-48250000,-52811000,-114678000,-256671000,-97974000,-201362000,486786000,-167956000,-21297000,-16089000,13098000,-760000,-16750000,-44782000,-11303000,-6079000,-15744000,-20107000,-40944000,-26563000,-38084000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-536382000,- -,-189461000,-618943000,-291690000,-36918000,-222783000,-67845000,-376708000,-384751000,-1637347000,-24934000,-797325000
91,Common Stock Issued,- -,- -,- -,- -,81800000,- -,- -,35700000,109200000,- -,- -,- -,- -,- -,- -,113118000,37909000,57230000,36818000,64270000,101749000,65052000,12310000,6958000,3074000,1851000,1796000,593000,109503000,137045000,- -,- -,23162000,20011000,30524000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73700000,- -,- -,- -,- -,-81900000,-169228000,- -,-190784000,-108332000,-66125000,-134713000,-394080000,-6896000,-967000,-616000,-350000,- -,-1799000,-8488000,-546000,-567000,-88359000,-6673000,-35039000,- -,- -,-188175000
93,Dividends Paid,- -,- -,- -,- -,-132600000,-8300000,-8500000,-10000000,-15300000,-19600000,-19600000,-16100000,-11700000,-11900000,-14200000,-11465000,-11183000,-12371000,-11809000,-39163000,-129729000,-78258000,-77170000,-62967000,-19097000,-19223000,-19240000,-10599000,-8366000,-8982000,-9186000,-8586000,-8642000,-8892000,-20370000,-38065000,-54052000
94,Other Financing Activites,- -,- -,- -,- -,125400000,-60000000,-203000000,-69800000,-220400000,146600000,51100000,-274400000,93000000,181700000,-11700000,32682000,223856000,-109602000,-456023000,505895000,233376000,393554000,-1069764000,-318614000,260849000,-101756000,50996000,704505000,666112000,411119000,264227000,14873000,-753000,61524000,1296834000,6555000,724539000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,74600000,-68300000,-211500000,-44100000,-126500000,53300000,31500000,-290500000,81300000,169800000,-107800000,-34893000,250582000,-255527000,-539346000,464877000,70683000,-13732000,-1141520000,-375590000,-292172000,-119478000,-155909000,73757000,467071000,501718000,31691000,-149917000,-369614000,-347147000,-330359000,-56444000,-315013000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,4714000,248252000,48652000,-191866000,96077000,-80206000,500638000,539560000,-202224000,36443000,-269531000,-490356000,107614000,6835000,-173755000,201573000,32659000,127861000,-145742000,-120261000,227671000,-390393000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,33081000,281333000,329985000,138119000,234196000,153990000,654628000,1343742000,1141518000,1177961000,908430000,418074000,525688000,532523000,358768000,560341000,593000000,720861000,575119000,454858000,682529000,292136000
99,Cash at the Beginning of Period,- -,- -,- -,- -,40800000,116600000,27500000,50900000,65900000,75100000,54800000,43400000,9800000,68200000,63400000,28367000,33081000,281333000,329985000,138119000,234196000,153990000,804182000,1343742000,1141518000,1177961000,908430000,418074000,525688000,532523000,358768000,560341000,593000000,720861000,575119000,454858000,682529000
100,Free Cash Flow,- -,- -,- -,- -,-49300000,-43300000,180600000,-24300000,56900000,-111100000,-52900000,330800000,-29000000,-191500000,95200000,46044000,33731000,325845000,449106000,-135299000,-76912000,693617000,1194294000,341322000,348537000,-134384000,-347787000,32868000,-445877000,-636486000,176508000,183871000,505134000,214142000,210583000,281837000,-76695000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014895000095/0000950148-95-000095-index.html,https://www.sec.gov/Archives/edgar/data/795266/000095014896000247/0000950148-96-000247-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014899000393/0000950148-99-000393-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795266/000095014802000487/0000950148-02-000487-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095014803000439/0000950148-03-000439-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095014804000446/0000950148-04-000446-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012905001329/0000950129-05-001329-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095013406002390/0000950134-06-002390-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012407000811/0000950124-07-000811-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012408000386/0000950124-08-000386-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095013409001433/0000950134-09-001433-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012310006846/0000950123-10-006846-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000095012311007291/0000950123-11-007291-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000119312512028044/0001193125-12-028044-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526613000005/0000795266-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526614000007/0000795266-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526615000006/0000795266-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526616000089/0000795266-16-000089-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526617000006/0000795266-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526618000005/0000795266-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526619000005/0000795266-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526620000007/0000795266-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526621000012/0000795266-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/795266/000079526622000010/0000795266-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
