,https://roic.ai/company/AERG,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,8000000,6600000,19000000,64000000,81100000,75900000,59700000,57500000,239000,13059,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1133462,507188
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3482,62290,30536,2028,2028,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,600000,2200000,2500000,12800000,14200000,36500000,75200000,91000000,93400000,91000000,92400000,41503000,5321274,2400000,2500000,3800000,2400000,1600000,2500000,1300000,300000,300000,391230,55140,348900,864830,1370340,5768420,2932619,507188
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720,690,690,136,136,107,107,107,107,107,14,14,14,14,14,14,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,70846,100000,100000,100000,100000,100000,100000,100000,100000,100000,91790,91790,154790,157790,201700,206570,190529,207562
64,Retained Earnings,- -,-900000,-900000,-6200000,-4600000,-2100000,1100000,2700000,4700000,4400000,-21100000,-32600000,-41700000,-3261005,-6900000,-25900000,-40800000,-53700000,-63400000,-66500000,-73000000,-76700000,-78400000,-79296430,-79189530,-79682140,-80472180,-83479930,-89036270,-92266764,-97692217
65,Other Comprehensive Income/Loss,- -,- -,- -,-100000,-300000,-400000,-800000,-1500000,-2800000,-4600000,-5200000,-6600000,- -,- -,-1300000,-2000000,-2900000,-3700000,-3600000,-3500000,-3700000,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,4000000,4700000,9500000,20200000,21900000,31600000,113700000,107900000,106394000,45507000,103133000,- -,- -,29331182,62449230,69262570,77633373,80552481,82210543,82801998,81787215,79249828,79236838,79179424,79179429,79452626,82637745,85907522,93778591,100452876
67,Total Stockholders Equity,- -,3100000,3800000,3200000,15300000,19400000,31900000,114900000,109800000,106194000,19207000,63933000,-2036000,7216617,21231902,34649920,25663260,20333509,13652617,12310650,6202105,2587322,949935,32305,81698,-347907,-861750,-640471,-2922164,1702370,2968221
68,Total Liabilities And Stockholders Equity,- -,3700000,6000000,5700000,28100000,33600000,68400000,190100000,200800000,199594000,110207000,156333000,39467000,12537891,23631902,37149920,29463260,22733509,15252617,14810650,7502105,2887322,1249935,423535,136838,993,3080,729869,2846256,4634989,3475409
69,Minority Interest,- -,- -,- -,- -,- -,- -,100000,-63300000,-63300000,-61094000,-1307000,-56933000,57092000,- -,68098,50080,36740,-33509,47383,-10650,-2105,12678,-49935,5,2,-3,- -,1,4,- -,-2290259
70,Total Liabilities & Equity,- -,3700000,6000000,5700000,28100000,33600000,68500000,126800000,137500000,138500000,108900000,99400000,96559000,12537891,23700000,37200000,29500000,22700000,15300000,14800000,7500000,2900000,1200000,423540,136840,990,3080,729870,2846260,4634989,1185150
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000089155400500063/0000891554-00-500063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420409014274/0001144204-09-014274-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420410013621/0001144204-10-013621-index.html,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420412018030/0001144204-12-018030-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420413018747/0001144204-13-018747-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420414022417/0001144204-14-022417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/879911/000114420416091316/0001144204-16-091316-index.html,https://www.sec.gov/Archives/edgar/data/879911/000114420417018119/0001144204-17-018119-index.html,https://www.sec.gov/Archives/edgar/data/879911/000161577418002699/0001615774-18-002699-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000161577419005086/0001615774-19-005086-index.html,https://www.sec.gov/Archives/edgar/data/879911/000121390020008513/0001213900-20-008513-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390021021158/0001213900-21-021158-index.htm,https://www.sec.gov/Archives/edgar/data/879911/000121390022016299/0001213900-22-016299-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-130000,-1000000,-80000,-5220000,1570000,2520000,3180000,5530000,2050000,-350000,-25430000,-11490000,-9137000,-3261005,-3620000,-17510000,-13660000,-8720000,-9440000,-2930000,-6360000,-3500000,-1420000,-718830,-223850,-492610,-790050,-3007750,-5556340,-3230494,-5425453
74,Depreciation and Amortization,- -,60000,200000,300000,900000,1100000,2300000,2900000,4500000,5573000,5686000,2865000,3180000,887154,965918,947734,1004728,822197,586884,396738,338315,192970,40831,5770,- -,- -,- -,- -,14738,17102,989895
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1000000,2300000,200000,800000,-1125000,-1148000,-146000,- -,9577,38414,-47991,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3701413,1765424,967695,256124,62849,16430,2143,- -,63000,89013,380982,2157385,1500825,1236806
77,Change in Working Capital,-180000,2700000,-2100000,-900000,3600000,2100000,-3200000,44500000,-13800000,-7800000,-20200000,-2200000,-8232000,8993270,13938730,14900000,-15800000,- -,-5900000,-1000000,-6000000,-1100000,-1600000,-867690,49390,-429610,-513840,-258800,-3003890,5690805,723894
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537115,1652909,-947348,1527548,446780,46089,1875,- -,- -,- -,- -,-9888,9888,- -
79,Inventory,- -,- -,-400000,-2800000,600000,-900000,400000,-700000,-2500000,4143000,1800000,1195000,-1115000,-320334,-1007366,-2911277,-23168,1216249,-628290,50103,615700,74793,28931,5953,- -,- -,- -,- -,-5930,5930,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265038,-454815,441596,-551679,-201400,-105571,-6392,-4967,66987,13757,629772,-222140,-232341,42936
81,Other Working Capital,- -,2700000,600000,-300000,3300000,5400000,2200000,46700000,32900000,25100000,4900000,2700000,-5532000,3461270,17400000,32300000,16500000,16500000,10600000,9600000,3600000,2500000,900000,32310,81700,-347910,-861750,-1120550,-4124440,1566365,2290259
82,Other Non-Cash Items,10000,-2760000,380000,3620000,-5670000,-4120000,5920000,-45330000,5650000,13881000,41918000,9436000,14740000,-12197899,-15897641,-6474233,20688284,172983,7525902,1162688,6928646,1712789,1501796,854553,3568,723060,1014461,1093961,3137966,-4138522,-738936
83,Cash Provided by Operating Activities,-300000,-1000000,-1600000,-2200000,400000,600000,10500000,7800000,-800000,10179000,826000,-1535000,551000,-5568903,-4574579,-8184490,-7766988,-4023407,-5461790,-1402879,-4836915,-2631392,-1460943,-724054,-170892,-136160,-200416,-1791607,-3250141,-160284,-3213794
84,CAPEX,- -,- -,-100000,-500000,-200000,-300000,-500000,-29100000,-28400000,-4317000,-1327000,-791000,-797000,-1115672,-1139571,-941099,-445084,-2701025,-46633,-80675,-237206,-15141,- -,- -,- -,- -,- -,-38887,-12419,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-799000,-863000,-111000,-17000,-573234,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2000000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1600000,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4000000,1000000,7500000,- -,225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-300000,-1300000,-500000,-15900000,-1800000,-29100000,-800000,-2500000,-968000,4530000,-350000,-555000,110690,- -,6747,17180,- -,1833,14061,4000,1505695,5200,8950,1000,- -,- -,- -,- -,- -,-207367
89,Cash Used for Investing Activites,- -,-2300000,200000,-1100000,-15600000,-2100000,-29600000,-29900000,-30900000,-6084000,2340000,-1252000,-1369000,-1578216,-12139571,2565648,572096,4798975,-44800,158386,-233206,1490554,5200,8950,1000,- -,- -,-38887,-12419,- -,-207367
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13937,-2028,- -,- -,- -,- -,- -,- -,- -,- -,-361468,-31576,-1480951,- -
91,Common Stock Issued,- -,4100000,700000,3800000,7500000,1500000,5300000,19000000,100000,4693000,- -,1000,- -,1224478,18831000,27413637,113837,- -,- -,- -,- -,- -,14,- -,- -,- -,62500,2230000,853999,1644100,108000
