,https://roic.ai/company/USEG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-100000,-100000,-800000,-2200000,-1400000,-1900000,-900000,-2200000,-1000000,-3100000,-1000000,-7269700,-2911600,-411200,-92700,-4705500,-376000,-649300,-9881500,-20149900,-17912000,-45680000,-50528000,-42413000,-20799000,-31044000,-3620000,-193000,-299000,-1312000,-376000,-1174000,-1408000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-710900,-1604700,-7516600,- -,-877000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-800000,-800000,-700000,-1400000,- -,-300000,-200600,- -,- -,- -,- -,- -,-654600,-7000200,-53351800,- -,- -,-11000,-116000,-48000,-122000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,- -,- -,- -,600000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,656300,5930200,14351000,92600100,1841800,33928000,4565000,846000,101000,- -,- -,- -,- -,- -,- -,- -,45000,- -
88,Other Investing Activites,- -,- -,- -,- -,300000,5100000,4800000,-400000,700000,7500000,1000000,3400000,4100000,4700000,400000,-8400,3085700,1978300,7056700,-1009700,871000,2390800,18561200,5505000,2011000,1256000,31863000,21551000,17283000,11624000,-566000,-193000,2000000,-1299000,-281000,-455000,-3129000
89,Cash Used for Investing Activites,- -,- -,- -,- -,300000,5000000,4000000,-2600000,-1200000,4800000,-500000,500000,1700000,1600000,-900000,-7478700,174100,1567100,6964000,-5058900,5714300,13833200,86763000,-66154900,17150000,-39859000,-17830000,-20877000,-3564000,-19542000,-566000,-193000,1701000,-1310000,-281000,-1109000,-3325000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-362400,-17888000,-200000,-11365000,-12484000,-12821000,-11000000,- -,- -,- -,-600000,-1165000,-259000,-92000
91,Common Stock Issued,- -,- -,- -,- -,- -,700000,700000,- -,100000,- -,1400000,3300000,2400000,1800000,- -,4000000,288400,- -,1728900,3127800,3492100,4434100,3559000,1527600,24516000,294000,-146000,- -,- -,- -,- -,1317000,-27000,1666000,- -,4468000,5283000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,-200000,- -,-100000,- -,-20600,- -,- -,- -,- -,- -,-1466200,-5554100,-1399000,- -,- -,- -,- -,- -,-29000,-3000,-27000,-203000,- -,-2001000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2108300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,-1100000,-300000,700000,-300000,1000000,-400000,-800000,3100000,1300000,843300,1310400,467500,-675500,6257000,7500,-160500,272400,13298500,38000,- -,33069000,10051000,2000000,7945000,-125000,-103000,4000,- -,- -,940000,-145000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,600000,-400000,-300000,800000,-300000,2400000,2900000,1400000,4900000,1200000,4843300,1578200,467500,1053400,9384800,3499600,4273600,256900,8909600,5267000,94000,21558000,-2433000,-10821000,-3055000,-154000,1211000,-50000,863000,-1165000,3148000,5046000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,600000,-400000,-300000,800000,-300000,- -,- -,- -,- -,4500000,-9256600,-230800,-823200,2343800,-242300,3156200,9974800,55318700,-63857800,24969000,-27393000,7062000,-10049000,3030000,-1845000,-656000,-836000,759000,-937000,-808000,1322000,1568000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,916400,685500,1741100,4084800,3842500,6998700,16973500,72292200,8434400,33403000,6010000,12874000,2825000,5855000,4010000,3354000,2518000,3277000,2340000,1532000,2854000,4422000
99,Cash at the Beginning of Period,- -,- -,- -,- -,100000,100000,4900000,5600000,1800000,500000,1200000,400000,1000000,1400000,5700000,10173000,916300,2564300,1741000,4084800,3842500,6998700,16973500,72292200,8434000,33403000,5812000,12874000,2825000,5855000,4010000,3354000,2518000,3277000,2340000,1532000,2854000
100,Free Cash Flow,- -,- -,- -,- -,-400000,-1000000,-3700000,-3200000,-2300000,-5700000,-3400000,-5000000,-3600000,-5300000,3300000,-13890900,-4894700,-3269000,-5766300,-9273700,-6433700,-8781300,-41582700,-26762400,-15360000,-33308000,-47194000,-29152000,-3384000,-10292000,-3556000,-2046000,-1191000,-1802000,262000,-1891000,-1561000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826999000056/0001028269-99-000056-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000102826901500078/0001028269-01-500078-index.html,- -,https://www.sec.gov/Archives/edgar/data/101594/000010159404000073/0000101594-04-000073-index.html,https://www.sec.gov/Archives/edgar/data/101594/000010159405000093/0000101594-05-000093-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159406000094/0000101594-06-000094-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159407000080/0000101594-07-000080-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000114036108006664/0001140361-08-006664-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159409000017/0000101594-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159410000013/0000101594-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159411000018/0000101594-11-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159412000017/0000101594-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159413000008/0000101594-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159414000007/0000101594-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000010159415000002/0000101594-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577416004967/0001615774-16-004967-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000161577417001735/0001615774-17-001735-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315218004053/0001493152-18-004053-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315219014181/0001493152-19-014181-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315220005194/0001493152-20-005194-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315221006877/0001493152-21-006877-index.htm,https://www.sec.gov/Archives/edgar/data/101594/000149315222007884/0001493152-22-007884-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
