,https://roic.ai/company/AVY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,85200000,154600000,10500000,163200000,58100000,-50900000,30900000,-15600000,- -,84400000,-118400000,123800000,202400000,-132600000,- -,148700000,32600000,374700000,-182300000,- -,1029500000,-505100000,273000000,-334800000,- -,109600000,473100000,-206200000,-230000000,663500000,- -,47400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,89700000,230500000,167800000,239200000,265000000,187900000,304000000,368400000,- -,422800000,409900000,375500000,522800000,334900000,- -,441600000,510800000,499400000,539700000,- -,569000000,422700000,513400000,320100000,- -,374200000,585300000,650100000,457900000,746500000,- -,1046800000
84,CAPEX,- -,- -,- -,- -,- -,-149000000,-122500000,-87800000,-100600000,-163300000,-190300000,-187600000,-177300000,- -,-190600000,-198300000,-135400000,-151800000,-201400000,- -,-188300000,-195300000,-254800000,-191600000,- -,-102800000,-131000000,-154100000,-181400000,- -,-175000000,-206600000,-226100000,-256600000,-257200000,- -,-272100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64700000,-63900000,-397400000,-6900000,- -,-2800000,22000000,-1291900000,-131200000,- -,- -,21500000,800000,481200000,- -,- -,-237200000,-319300000,-3800000,-6500000,- -,-1470000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-6700000,- -,- -,- -,-100000,-8300000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,- -,- -,300000,- -,100000,- -,300000,- -,- -,18500000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,7100000,20500000,33500000,10500000,6000000,77600000,10000000,-11700000,- -,-26900000,-52500000,-69000000,-26200000,42700000,- -,23500000,18400000,3500000,12100000,- -,-33100000,-21000000,-59100000,-12700000,- -,-22800000,-21200000,-29600000,-20500000,-25100000,- -,-12900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-141900000,-102000000,-54300000,-90100000,-157300000,-112700000,-177600000,-189000000,- -,-217500000,-315500000,-268300000,-575400000,-165600000,- -,-167600000,-154900000,-1543200000,-293500000,- -,-105800000,-104200000,-160000000,339400000,- -,-170400000,-435400000,-547700000,-232500000,-251000000,- -,-1737900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300600000,-1500000,-1800000,-437200000,- -,-1600000,-2700000,-343000000,-84000000,-18600000,- -,-13400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,- -,20700000,19700000,17400000,22100000,5500000,- -,11100000,54100000,38100000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-20800000,-74000000,-82900000,-105700000,-35100000,-109300000,-99300000,- -,-192600000,-134400000,-17900000,-10400000,-300000,- -,-40900000,-157700000,-63200000,-9800000,- -,- -,-13500000,-235200000,-283500000,- -,-355500000,-262400000,-129700000,-392900000,-237700000,- -,-180900000
93,Dividends Paid,- -,- -,- -,- -,- -,-41100000,-47100000,-49600000,-52100000,-55100000,-59100000,-68100000,-86800000,- -,-101800000,-123700000,-135400000,-148500000,-160200000,- -,-168700000,-171800000,-171800000,-175000000,- -,-134900000,-106500000,-110400000,-112000000,- -,-125100000,-142500000,-155500000,-175000000,-189700000,- -,-220600000
94,Other Financing Activites,- -,- -,- -,- -,- -,72600000,-61400000,8700000,-11900000,50200000,42800000,27800000,-6800000,- -,83100000,149400000,36800000,193800000,-11700000,- -,-62000000,-122400000,1252300000,-26400000,- -,2800000,-150000000,49800000,286500000,- -,158700000,301400000,544300000,443800000,-24300000,- -,1019200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,31500000,-129300000,-114900000,-146900000,-110600000,-51400000,-149600000,-179600000,- -,-190600000,-89000000,-99100000,57000000,-166700000,- -,-260500000,-397800000,1055400000,-208500000,- -,-432700000,-271500000,-297600000,-546200000,- -,-323500000,-106200000,-83900000,-208100000,-470300000,- -,604300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,300000,-400000,- -,-300000,200000,100000,- -,-300000,- -,500000,-900000,-400000,-700000,4100000,- -,200000,1900000,1400000,-3700000,- -,2100000,3500000,1600000,2900000,- -,-4900000,-7400000,10800000,-9700000,-3500000,- -,-2800000
97,Net Change In Cash,- -,- -,- -,- -,- -,31500000,-129300000,-114900000,-146900000,-110600000,-51400000,-149600000,-179600000,- -,-190600000,4500000,7700000,3700000,6700000,- -,13700000,-40000000,13000000,34000000,- -,32600000,50500000,57400000,116200000,- -,-124600000,36300000,29300000,7600000,21700000,- -,-89600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,19100000,22800000,29500000,- -,98500000,58500000,71500000,105500000,- -,138100000,178000000,235400000,351600000,- -,227000000,195100000,224400000,232000000,253700000,- -,162700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,26900000,6500000,5300000,3900000,5800000,3100000,27000000,3800000,- -,3300000,6900000,11400000,19100000,22800000,- -,84800000,98500000,58500000,71500000,- -,105500000,127500000,178000000,235400000,- -,351600000,158800000,195100000,224400000,232000000,- -,252300000
100,Free Cash Flow,- -,- -,- -,- -,- -,-59300000,108000000,80000000,138600000,101700000,-2400000,116400000,191100000,- -,232200000,211600000,240100000,371000000,133500000,- -,253300000,315500000,244600000,348100000,- -,466200000,291700000,359300000,138700000,- -,199200000,378700000,424000000,201300000,489300000,- -,774700000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8818/000089843095000424/0000898430-95-000424-index.html,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8818/000119312504039235/0001193125-04-039235-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000095012906002659/0000950129-06-002659-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095013407004370/0000950134-07-004370-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095013408003581/0000950134-08-003581-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000095014809000021/0000950148-09-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000095012310018494/0000950123-10-018494-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000119312512078843/0001193125-12-078843-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746913001812/0001047469-13-001812-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746914001386/0001047469-14-001386-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000104746915001200/0001047469-15-001200-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746917000881/0001047469-17-000881-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746918000931/0001047469-18-000931-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000104746919000747/0001047469-19-000747-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000110465920025360/0001104659-20-025360-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/8818/000119312522049910/0001193125-22-049910-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
