,https://roic.ai/company/CRS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-29200000,-4200000,27100000,-10700000,-70600000,33500000,46300000,-8300000,152200000,-168200000,-39600000,26400000,50100000,54300000,42300000,220800000,245400000,161600000,-248400000,-89900000,50900000,160100000,-66700000,164800000,-96400000,-15600000,-36400000,-14300000,117900000,4700000,-6000000,-3100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,-62500000,-56900000,-31100000,12600000,5600000,25400000,48200000,-34600000,-86800000,-5300000,90300000,-14900000
79,Inventory,- -,- -,- -,- -,-12600000,-10700000,29600000,63100000,16900000,-29500000,-59600000,-17300000,-17200000,18900000,-16700000,27800000,51200000,8200000,-4300000,-49800000,3600000,-8100000,17400000,13400000,-19100000,-116100000,-77300000,-14900000,-37000000,36000000,1600000,-74600000,400000,-94000000,31300000,238500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85700000,60800000,34500000,10200000,16400000,16800000,-59900000,-7600000,42500000,10700000,20100000,-109900000,22400000
81,Other Working Capital,- -,- -,- -,- -,131100000,126900000,154000000,143300000,72700000,106200000,152500000,144200000,296400000,128200000,88600000,115000000,165100000,219400000,261700000,482500000,727900000,889500000,641100000,551200000,602100000,762200000,695500000,860300000,763900000,748300000,711900000,697600000,815500000,820200000,814200000,811100000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-7800000,-7800000,116000000,100700000,-73000000,-96100000,-25700000,-200600000,159000000,-34600000,-12500000,135000000,-500000,-47800000,-271700000,-256200000,-168100000,144000000,118400000,4900000,-228400000,-14800000,-209200000,89600000,46800000,153200000,-75800000,-170300000,-94900000,101900000,382300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,55500000,46900000,61800000,95000000,99500000,43800000,50000000,74100000,108400000,87400000,62400000,118600000,143700000,92200000,94100000,142500000,237600000,275100000,218500000,145500000,115200000,64200000,160300000,215200000,239600000,282600000,256900000,129300000,209200000,232400000,231800000,250000000
84,CAPEX,- -,- -,- -,- -,-22600000,-31300000,-35000000,-20600000,-26600000,-36900000,-48600000,-93600000,-277300000,-176200000,-105000000,-50500000,-26700000,-8500000,-8000000,-13800000,-19300000,-47100000,-118900000,-116300000,-44200000,-79600000,-171900000,-336900000,-349200000,-170500000,-95200000,-98500000,-135000000,-180300000,-171400000,-100500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,142900000,13400000,- -,-51600000,-14700000,7900000,- -,- -,6300000,-17000000,-7000000,-79000000,- -,20000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,-172400000,-450400000,-680300000,-366200000,-49500000,-145000000,-91300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41200000,94600000,476000000,449400000,722200000,44800000,55300000,166000000,30500000,100000,300000,300000,900000,900000,700000,2900000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1400000,800000,1700000,400000,-68400000,-13700000,21400000,-58800000,27100000,121900000,13400000,15300000,3600000,11000000,1600000,16500000,1000000,- -,1500000,100000,1000000,1100000,1200000,1200000,300000,200000,5400000,2500000,1900000,11800000,200000,1600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-21200000,-30500000,-33300000,-20200000,-95000000,-50600000,-27200000,-152400000,-250200000,-54300000,-98600000,-35200000,-23100000,2500000,-35200000,-75100000,7300000,-278000000,381500000,-107500000,-132900000,-55400000,-154900000,-327700000,-348600000,-170000000,-82600000,-112100000,-139400000,-244600000,-171200000,-78900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-22000000,-12400000,-253700000,-101000000,- -,- -,-4900000,-122100000,-55000000,-163900000,-200800000,-420000000
91,Common Stock Issued,- -,- -,- -,- -,1400000,400000,200000,1000000,4200000,1700000,4600000,1900000,149600000,2100000,400000,5500000,3000000,- -,12800000,54200000,15000000,4200000,700000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-30700000,-3600000,-17600000,-11600000,- -,-3000000,- -,- -,- -,-35000000,- -,- -,- -,- -,- -,- -,- -,-28900000,-425200000,-46100000,- -,- -,- -,- -,- -,-124500000,-123900000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-20800000,-20500000,-21300000,-20900000,-20800000,-21000000,-23300000,-24400000,-28500000,-30700000,-30800000,-30700000,-31000000,-14500000,-9300000,-11400000,-16500000,-25700000,-30600000,-31500000,-31900000,-32100000,-33700000,-38300000,-38500000,-37900000,-34800000,-34100000,-34400000,-38600000,-38800000,-39100000
94,Other Financing Activites,- -,- -,- -,- -,15700000,8200000,14800000,-6900000,-28200000,44400000,-10900000,106400000,54500000,-16400000,70600000,-59900000,-81700000,-45800000,-39600000,-22500000,7800000,7500000,-32200000,- -,200000,258400000,4000000,294800000,9400000,3000000,500000,123400000,10500000,183100000,347400000,383000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-34400000,-15500000,-23900000,-38400000,-44800000,22100000,-29600000,83900000,175600000,-80000000,40200000,-85100000,-109700000,-60300000,-36100000,20300000,6300000,-42900000,-487300000,-100500000,-53500000,213900000,-283400000,155500000,-29100000,-159400000,-163100000,-32800000,-78900000,-19400000,107800000,-76100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-700000,-200000,-100000,- -,- -,- -,- -,- -,400000,300000,-500000,-1600000,-6200000,-10200000,-700000,-3500000,4400000,-3500000,3500000,600000,-3200000,800000,-100000,-1000000,2400000,-2300000,-700000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46900000,4000000,-1700000,10900000,34800000,23100000,87200000,249600000,-52000000,102500000,-63200000,-74700000,227100000,-281500000,46500000,-137500000,-50000000,12000000,-15700000,-10100000,-29200000,166100000,94300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,9500000,7800000,18700000,53500000,76600000,163800000,413400000,300800000,403300000,340100000,265400000,492500000,211000000,257500000,120000000,70000000,82000000,66300000,56200000,27000000,193100000,287400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3700000,3700000,4700000,9300000,45800000,5400000,20100000,13200000,18600000,52400000,5500000,9500000,7800000,18700000,53500000,76600000,163800000,352800000,300800000,403300000,340100000,265400000,492500000,211000000,257500000,120000000,70000000,82000000,66300000,56200000,27000000,193100000
100,Free Cash Flow,- -,- -,- -,- -,32900000,15600000,26800000,74400000,72900000,6900000,1400000,-19500000,-168900000,-88800000,-42600000,68100000,117000000,83700000,86100000,128700000,218300000,228000000,99600000,29200000,71000000,-15400000,-11600000,-121700000,-109600000,112100000,161700000,30800000,74200000,52100000,60400000,149500000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/17843/000001784394000033/0000017843-94-000033-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784395000018/0000017843-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784396000019/0000017843-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784397000017/0000017843-97-000017-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784398000073/0000017843-98-000073-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784399000050/0000017843-99-000050-index.html,https://www.sec.gov/Archives/edgar/data/17843/000001784300000021/0000017843-00-000021-index.html,- -,https://www.sec.gov/Archives/edgar/data/17843/000095016802002770/0000950168-02-002770-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465903020580/0001104659-03-020580-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312504151806/0001193125-04-151806-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312505182991/0001193125-05-182991-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312506181084/0001193125-06-181084-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312507191767/0001193125-07-191767-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312508183570/0001193125-08-183570-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312509179024/0001193125-09-179024-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312510194135/0001193125-10-194135-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000119312511231043/0001193125-11-231043-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465912059558/0001104659-12-059558-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465913065850/0001104659-13-065850-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000110465914063147/0001104659-14-063147-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784315000026/0000017843-15-000026-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784316000094/0000017843-16-000094-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784317000050/0000017843-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784318000047/0000017843-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784319000058/0000017843-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784320000071/0000017843-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/17843/000001784321000030/0000017843-21-000030-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
