,https://roic.ai/company/BDX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013094001784/0000950130-94-001784-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013095002805/0000950130-95-002805-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013097005591/0000950130-97-005591-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013098005912/0000950130-98-005912-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013099006997/0000950130-99-006997-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095011701501836/0000950117-01-501836-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011702003172/0000950117-02-003172-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011703005430/0000950117-03-005430-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011704004429/0000950117-04-004429-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000093041306008311/c45480_10-k.htm,https://www.sec.gov/Archives/edgar/data/10795/000093041307008926/0000930413-07-008926-index.html,https://www.sec.gov/Archives/edgar/data/10795/000093041308006967/0000930413-08-006967-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012309066233/0000950123-09-066233-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/0000950123-10-108757-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012311100266/0000950123-11-100266-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/0001193125-12-478705-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312513456802/0001193125-13-456802-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312514426571/0001193125-14-426571-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828015008984/0001628280-15-008984-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828016021658/0001628280-16-021658-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079517000021/0000010795-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079518000036/0000010795-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/0000010795-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079520000055/0000010795-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079521000091/0000010795-21-000091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,168900000,182300000,189800000,200800000,71700000,227200000,251700000,283600000,300100000,236600000,275700000,392897000,401652000,479982000,547056000,467402000,722263000,752280000,890033000,1126996000,1231603000,1317610000,1270994000,1169927000,1293000000,1185000000,695000000,976000000,1100000000,311000000,1233000000,874000000,2092000000
74,Depreciation and Amortization,- -,- -,- -,- -,121900000,135700000,149900000,169600000,189800000,203700000,207800000,200500000,209800000,228700000,258900000,288255000,305700000,304865000,344456000,357224000,387496000,405095000,441341000,477422000,470193000,502113000,504089000,510938000,546000000,562000000,891000000,1114000000,1088000000,1978000000,2253000000,2154000000,2273000000
75,Deferred Income Tax,- -,- -,- -,- -,-23400000,11800000,17700000,7100000,-21500000,-31400000,-13600000,-13500000,-29700000,-32300000,4600000,37246000,37400000,57202000,-1029000,-31345000,63229000,-129259000,-115489000,80088000,60041000,28055000,30047000,22147000,36000000,-32000000,-336000000,-426000000,-236000000,-240000000,-381000000,-302000000,-304000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86574000,79374000,73363000,89045000,100000000,113000000,166000000,196000000,174000000,322000000,261000000,244000000,237000000
77,Change in Working Capital,- -,- -,- -,- -,-74400000,87200000,112200000,7600000,6700000,133700000,-40800000,-96800000,123700000,-183500000,-96500000,-47261000,191127000,177988000,618941000,296057000,84687000,-67015000,42833000,546339000,671765000,-36284000,11526000,498913000,398984000,153000000,-2237000000,308000000,13324000000,-15096000000,814000000,2124000000,302000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82805000,-73933000,-26515000,-30069000,-1000000,-7000000,-2000000,-128000000,-93000000,-170000000,-51000000,-48000000,-95000000
79,Inventory,- -,- -,- -,- -,-55600000,-24000000,-17400000,-6200000,-31200000,31000000,-7900000,-10100000,-24100000,-54100000,-131600000,-64663000,-32290000,21112000,-43818000,30096000,-44346000,-103897000,-126863000,-43617000,-98344000,-116500000,-117539000,-92413000,-145000000,-189000000,200000000,69000000,-46000000,246000000,-149000000,-125000000,-104000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687000000
81,Other Working Capital,- -,- -,- -,- -,300900000,388100000,500300000,507900000,514600000,648300000,607500000,510700000,634400000,450900000,354400000,307139000,498266000,676254000,1295195000,1591252000,1675939000,1608924000,1651757000,2198096000,2869861000,2833577000,2845103000,3344016000,3743000000,3896000000,1659000000,1967000000,15291000000,195000000,1009000000,3133000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-46100000,-158000000,-215500000,-76900000,73100000,-53700000,67100000,86600000,-161200000,251300000,-10900000,-55644000,-157234000,-184004000,-603724000,8196000,-31501000,115299000,-18282000,-543746000,-803360000,-146600000,-174019000,-530742000,-866984000,-237000000,2550000000,391000000,-12900000000,15590000000,-852000000,-1555000000,47000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,146900000,259000000,254100000,308200000,319800000,479500000,472200000,460400000,442700000,500800000,431800000,615493000,778645000,836033000,905700000,1097534000,1226174000,1076400000,1240436000,1687099000,1716816000,1744268000,1716000000,1760228000,1507000000,1744000000,1729000000,2559000000,2550000000,2865000000,3328000000,3539000000,4647000000
84,CAPEX,- -,- -,- -,- -,-314400000,-263600000,-211100000,-185600000,-184200000,-135800000,-127600000,-162400000,-371100000,-717900000,-685800000,-376372000,-370754000,-259703000,-261043000,-265718000,-317628000,-482101000,-578728000,-651287000,-700691000,-632465000,-605257000,-553644000,-588000000,-653000000,-633000000,-718000000,-727000000,-895000000,-957000000,-810000000,-1231000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21272000,-30953000,- -,- -,-24251000,- -,-231464000,-339528000,-41259000,51022000,-21377000,-492081000,-103424000,600000000,-40000000,-8414000000,158000000,-9000000,-14747000000,477000000,-164000000,-508000000
86,Purchases of Investments,- -,- -,- -,- -,-3600000,-27900000,-50100000,-11100000,-10300000,-6000000,- -,- -,- -,-3200000,- -,-9273000,-25468000,-3397000,-4399000,-41447000,-44946000,-28305000,-34048000,-51987000,-338228000,- -,- -,-137855000,-225000000,-171000000,- -,-1000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,59500000,- -,69600000,5200000,2500000,- -,3500000,103050000,7632000,7652000,1975000,- -,- -,- -,- -,- -,840000,- -,121589000,- -,- -,- -,840000000,- -,13000000,11000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,231400000,5200000,-37700000,-133000000,-38100000,9400000,113900000,47300000,4500000,-48700000,-133500000,-99532000,-122386000,-105673000,-85888000,-63818000,-19437000,-44656000,-85922000,-38491000,-85900000,-46123000,-63588000,-99206000,-98000000,-84000000,-111000000,-108000000,-160000000,-198000000,-261000000,-257000000,-1372000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-86600000,-286300000,-298900000,-329700000,-173100000,-132400000,55900000,-109900000,-364100000,-769800000,-815800000,-403399000,-541929000,-361121000,-349355000,-395234000,-382011000,-786526000,-1038226000,-783024000,-1072957000,-699965000,-1039337000,-894129000,-311000000,-948000000,-8318000000,-669000000,-883000000,-15829000000,-741000000,-1231000000,-1880000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-311000,-200269000,34216000,-42346000,- -,- -,-6000000,-752000000,-3980000000,-3996000000,-4744000000,-4664000000,-5112000000
91,Common Stock Issued,- -,- -,- -,- -,10900000,78600000,13500000,15800000,13000000,30900000,19800000,35400000,29400000,46000000,26800000,34724000,82925000,38069000,86618000,176072000,123494000,147796000,130679000,85396000,32403000,50093000,84148000,- -,- -,- -,- -,- -,- -,- -,485000000,2917000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-77100000,-60000000,-10900000,-3800000,-64100000,-210300000,-299700000,-325900000,-150000000,-44500000,- -,- -,- -,-223961000,-349998000,-449930000,-549999000,-448882000,-450124000,-450001000,-550006000,-750000000,-1500001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1750000000
93,Dividends Paid,- -,- -,- -,- -,-38700000,-42500000,-47600000,-49300000,-53800000,-57000000,-58300000,-61700000,-67200000,-75300000,-88100000,-95749000,-101329000,-102459000,-104148000,-152376000,-182236000,-212431000,-239810000,-278506000,-316877000,-345713000,-361199000,-367611000,-386000000,-421000000,-485000000,-562000000,-677000000,-927000000,-984000000,-1026000000,-1048000000
94,Other Financing Activites,- -,- -,- -,- -,31100000,37900000,78600000,85900000,-57900000,-55100000,-82700000,-59500000,95800000,315500000,426000000,-158471000,-182717000,-25389000,75863000,-78191000,84234000,171344000,-166774000,57283000,755095000,23202000,1028454000,39785000,-582000000,-386000000,6681000000,-447000000,15634000000,4865000000,2020000000,2795000000,4604000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-73800000,14000000,33600000,48600000,-162800000,-291500000,-420900000,-411700000,-92000000,241700000,364700000,-219496000,-201121000,-313740000,-291665000,-504425000,-524507000,-342173000,-726029000,-585828000,-79696000,-1222687000,-714382000,-370172000,-968000000,-807000000,6190000000,-1761000000,10977000000,-58000000,-3223000000,22000000,-3306000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2600000,-6000000,-100000,-800000,-1500000,200000,-3600000,-2300000,-9200000,-2100000,-4000000,-3334000,-2662000,-186000,12091000,1617000,3856000,9698000,15041000,748000,-390000,5790000,-2815000,5939000,-7000000,-20000000,-38000000,-12000000,-6000000,-17000000,-12000000,-3000000,15000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29300000,-23400000,-10736000,32933000,160986000,276771000,199492000,323512000,-42601000,-488807000,318995000,563767000,-178255000,-40707000,495883000,219000000,-29000000,-437000000,117000000,12638000000,-13039000000,-646000000,2327000000,-525000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83300000,59900000,49196000,82129000,243115000,519886000,719378000,1042890000,1000289000,511482000,830477000,1394244000,1215989000,1175282000,1671165000,1890000000,1861000000,1424000000,1541000000,14179000000,1140000000,590000000,2917000000,2392000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,77200000,61000000,41700000,30300000,56600000,39100000,94900000,198500000,135200000,112600000,83300000,59932000,49196000,82129000,243115000,519886000,719378000,1042890000,1000289000,511482000,830477000,1394244000,1215989000,1175282000,1671000000,1890000000,1861000000,1424000000,1541000000,14179000000,1236000000,590000000,2917000000
100,Free Cash Flow,- -,- -,- -,- -,-167500000,-4600000,43000000,122600000,135600000,343700000,344600000,298000000,71600000,-217100000,-254000000,239121000,407891000,576330000,644657000,831816000,908546000,594299000,661708000,1035812000,1016125000,1111803000,1110743000,1206584000,919000000,1091000000,1096000000,1841000000,1823000000,1970000000,2371000000,2729000000,3416000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013094001784/0000950130-94-001784-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013095002805/0000950130-95-002805-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095013097005591/0000950130-97-005591-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013098005912/0000950130-98-005912-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095013099006997/0000950130-99-006997-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000095011701501836/0000950117-01-501836-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011702003172/0000950117-02-003172-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011703005430/0000950117-03-005430-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095011704004429/0000950117-04-004429-index.html,- -,https://www.sec.gov/Archives/edgar/data/10795/000093041306008311/c45480_10-k.htm,https://www.sec.gov/Archives/edgar/data/10795/000093041307008926/0000930413-07-008926-index.html,https://www.sec.gov/Archives/edgar/data/10795/000093041308006967/0000930413-08-006967-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012309066233/0000950123-09-066233-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012310108757/0000950123-10-108757-index.html,https://www.sec.gov/Archives/edgar/data/10795/000095012311100266/0000950123-11-100266-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312512478705/0001193125-12-478705-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312513456802/0001193125-13-456802-index.html,https://www.sec.gov/Archives/edgar/data/10795/000119312514426571/0001193125-14-426571-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828015008984/0001628280-15-008984-index.html,https://www.sec.gov/Archives/edgar/data/10795/000162828016021658/0001628280-16-021658-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079517000021/0000010795-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079518000036/0000010795-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079519000044/0000010795-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/10795/000001079520000055/0000010795-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/10795/000001079521000091/0000010795-21-000091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
