,https://roic.ai/company/MRO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-332000000,208000000,422000000,245000000,-464000000,565000000,1000000,244000000,-456000000,-280000000,1701000000,2490000000,715000000,-819000000,-456000000,2941000000,-2338000000,4007000000,-340000000,1803000000,2769000000,7646000000,2794000000,3616000000,781000000,3928000000,1790000000,8690000000,1542000000,2942000000,564000000,2255000000
83,Cash Provided by Operating Activities,1202000000,1014000000,995000000,827000000,719000000,1044000000,1503000000,1246000000,1431000000,2016000000,3158000000,3636000000,2405000000,2761000000,3730000000,4738000000,5488000000,6521000000,6782000000,5268000000,5873000000,6524000000,4017000000,5270000000,5487000000,1565000000,1073000000,2129000000,3234000000,2749000000,1473000000,3239000000
84,CAPEX,-1000000000,-960000000,-1193000000,-910000000,-753000000,-642000000,-751000000,-1038000000,-1956000000,-1378000000,-1425000000,-1639000000,-1574000000,-1892000000,-2237000000,-2890000000,-3433000000,-4466000000,-7146000000,-6231000000,-4762000000,-3295000000,-4940000000,-4766000000,-5160000000,-3476000000,-1245000000,-1974000000,-2753000000,-2550000000,-1343000000,-1046000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-506000000,-1160000000,-252000000,- -,-506000000,-741000000,-3926000000,- -,- -,- -,-4470000000,-1033000000,-74000000,-21000000,- -,-902000000,-1827000000,32000000,-229000000,6000000,14000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000000,- -,- -,- -,- -,- -,- -,-114000000,-117000000,-23000000,-45000000,- -,- -,- -,- -,-925000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,93000000,235000000,55000000,73000000,57000000,61000000,61000000,1002000000,55000000,- -,- -,- -,- -,- -
88,Other Investing Activites,527000000,57000000,208000000,174000000,273000000,131000000,171000000,-75000000,-48000000,204000000,567000000,-344000000,68000000,1163000000,-51000000,269000000,2006000000,345000000,1735000000,781000000,2131000000,25000000,477000000,258000000,3374000000,197000000,1218000000,1744000000,1251000000,-39000000,34000000,22000000
89,Cash Used for Investing Activites,-473000000,-903000000,-985000000,-736000000,-480000000,-511000000,-580000000,-1113000000,-2004000000,-1174000000,-923000000,-2489000000,-2666000000,-981000000,-2288000000,-3127000000,-2168000000,-8102000000,-5435000000,-5238000000,-2621000000,-7667000000,-5439000000,-4521000000,-1746000000,-3202000000,-874000000,-2057000000,-1470000000,-2818000000,-1303000000,-1010000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000000,-665000000,-2877000000,-145000000,-182000000,-68000000,-1069000000,-1000000,-2810000000,- -,-602000000,-527000000,-1400000000
91,Common Stock Issued,- -,113000000,596000000,1000000,176000000,- -,2000000,34000000,613000000,89000000,1000000,12000000,2000000,17000000,1047000000,85000000,50000000,27000000,9000000,4000000,- -,77000000,- -,- -,- -,- -,1236000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-256000000,-49000000,-1000000,-1000000,- -,-79000000,- -,- -,- -,- -,-105000000,-1000000,-302000000,-304000000,-4000000,-7000000,-1698000000,-822000000,-402000000,- -,- -,-300000000,- -,-500000000,-1000000000,- -,- -,-11000000,-713000000,-362000000,-92000000,-734000000
93,Dividends Paid,-315000000,-327000000,-340000000,-201000000,-201000000,-199000000,-201000000,-219000000,-246000000,-257000000,-274000000,-341000000,-285000000,- -,-348000000,-436000000,-547000000,-637000000,-681000000,-679000000,-704000000,-567000000,-480000000,-508000000,-543000000,-460000000,-162000000,-170000000,-169000000,-162000000,-64000000,-141000000
94,Other Financing Activites,-458000000,160000000,-426000000,261000000,-372000000,-206000000,-770000000,58000000,306000000,-699000000,-1626000000,-960000000,673000000,-601000000,-168000000,-1987000000,-386000000,1616000000,-119000000,1480000000,11000000,1372000000,2225000000,28000000,18000000,1991000000,1000000,988000000,23000000,591000000,397000000,-116000000
95,Cash Used/Provided by Financing Activities,-1029000000,-103000000,-171000000,60000000,-397000000,-484000000,-969000000,-127000000,673000000,-867000000,-2004000000,-1290000000,88000000,-888000000,527000000,-2345000000,-2581000000,184000000,-1193000000,724000000,-1358000000,-2295000000,1600000000,-1162000000,-1593000000,462000000,1074000000,-2003000000,-859000000,-535000000,-286000000,-2391000000
96,Effect of Forex Changes on Cash,3000000,-1000000,-4000000,-1000000,1000000,- -,1000000,-2000000,1000000,-1000000,-2000000,-4000000,4000000,16000000,4000000,-18000000,16000000,11000000,-68000000,18000000,- -,-20000000,13000000,-7000000,-14000000,-2000000,-4000000,4000000,-2000000,- -,- -,- -
97,Net Change In Cash,-1029000000,-103000000,-171000000,60000000,-157000000,49000000,-45000000,4000000,101000000,-26000000,229000000,98000000,-169000000,908000000,1973000000,-752000000,-32000000,-1386000000,86000000,772000000,1894000000,-3458000000,191000000,-420000000,2134000000,-1177000000,1269000000,-1925000000,899000000,-604000000,-116000000,-162000000
98,Cash at the End of Period,- -,- -,- -,- -,28000000,77000000,32000000,36000000,137000000,111000000,340000000,195000000,488000000,1396000000,3369000000,2617000000,2585000000,1199000000,1285000000,2057000000,3951000000,493000000,684000000,264000000,2398000000,1221000000,2490000000,563000000,1462000000,858000000,742000000,580000000
99,Cash at the Beginning of Period,490000000,193000000,200000000,35000000,185000000,28000000,77000000,32000000,36000000,137000000,111000000,97000000,657000000,488000000,1396000000,3369000000,2617000000,2585000000,1199000000,1285000000,2057000000,3951000000,493000000,684000000,264000000,2398000000,1221000000,2488000000,563000000,1462000000,858000000,742000000
100,Free Cash Flow,202000000,54000000,-198000000,-83000000,-34000000,402000000,752000000,208000000,-525000000,638000000,1733000000,1997000000,831000000,869000000,1493000000,1848000000,2055000000,2055000000,-364000000,-963000000,1111000000,3229000000,-923000000,504000000,327000000,-1911000000,-172000000,155000000,481000000,199000000,130000000,2193000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101778/000095012896000203/0000950128-96-000203-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013297000130/0000950132-97-000130-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013298000178/0000950132-98-000178-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013299000185/0000950132-99-000185-index.html,https://www.sec.gov/Archives/edgar/data/101778/000091205700011287/0000912057-00-011287-index.html,https://www.sec.gov/Archives/edgar/data/101778/000095013201000164/0000950132-01-000164-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924302000577/0000899243-02-000577-index.html,https://www.sec.gov/Archives/edgar/data/101778/000089924303000495/0000899243-03-000495-index.html,https://www.sec.gov/Archives/edgar/data/101778/000119312504036535/0001193125-04-036535-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746905006086/0001047469-05-006086-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000095012906002297/0000950129-06-002297-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000104746907001533/0001047469-07-001533-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312508043692/0001193125-08-043692-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312509041003/0001193125-09-041003-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000119312510042898/0001193125-10-042898-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/101778/000010177813000006/0000101778-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177814000014/0000101778-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177815000007/0000101778-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177816000047/0000101778-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177817000046/0000101778-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177818000026/0000101778-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177819000022/0000101778-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177820000023/0000101778-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177821000018/0000101778-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/101778/000010177822000016/0000101778-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
