,https://roic.ai/company/ORCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-157100000,-178900000,127900000,56300000,102500000,168600000,267401000,519456000,489928000,561966000,2620245000,25435000,-278531000,301000000,1995000000,-6648000000,4628000000,-1548000000,4578000000,1358000000,2881000000,12669000000,-347000000,4185000000,4929000000,14143000000,-787000000,3232000000,6432000000,-29013000000,7184000000,-3537000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000000,-362000000,-729000000,-8000000,267000000,24000000,208000000,96000000,18000000,-117000000,-272000000,-690000000,141000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-11900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,-28000000,150000000,-66000000,57000000,-96000000,88000000,-88000000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691000000,-360000000,-120000000,-720000000,-541000000,48000000,247000000,-13000000,-37000000,-264000000,-102000000,-496000000,-23000000
81,Other Working Capital,- -,- -,- -,- -,285700000,106800000,234700000,291000000,393500000,562100000,829501000,1348957000,1838885000,2400851000,5021096000,5046531000,4768000000,5069000000,7064000000,416000000,5044000000,3496000000,8074000000,9432000000,12313000000,24982000000,24635000000,28820000000,33749000000,47892000000,47105000000,50337000000,56769000000,27756000000,34940000000,31403000000
82,Other Non-Cash Items,- -,- -,- -,- -,16500000,225400000,-16600000,83400000,-76100000,-175900000,-175676000,-581468000,-40693000,-440376000,-6367681000,-772279000,934531000,-2000000,-1791000000,6883000000,-4283000000,1611000000,-4042000000,-632000000,-2531000000,-13055000000,525000000,-4455000000,-4428000000,-12991000000,2006000000,-1756000000,1348000000,29100000000,-7887000000,3350000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,28600000,89400000,242300000,317500000,443500000,568700000,889157000,1030504000,1614579000,1807099000,2923564000,2179118000,3243000000,3023000000,3177000000,3552000000,4541000000,5520000000,7402000000,8255000000,8681000000,11214000000,13743000000,14224000000,14921000000,14336000000,13561000000,14126000000,15386000000,14551000000,13139000000,15887000000
84,CAPEX,- -,- -,- -,- -,-89300000,-60700000,-46600000,-41300000,-250700000,-262000000,-308392000,-390741000,-328358000,-346592000,-263443000,-313259000,-278000000,-291000000,-189000000,-188000000,-236000000,-319000000,-243000000,-529000000,-230000000,-450000000,-648000000,-650000000,-580000000,-1391000000,-1189000000,-2021000000,-1736000000,-1660000000,-1564000000,-2135000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10656000000,-3953000000,-5005000000,-7643000000,-1159000000,-5606000000,-1847000000,-4702000000,-3305000000,-3488000000,-6239000000,-650000000,-11221000000,-1724000000,-363000000,-124000000,-41000000
86,Purchases of Investments,- -,- -,- -,- -,-500000,- -,-23200000,-81300000,- -,-176500000,-238960000,-524313000,-1196066000,-1250501000,-886571000,-1583811000,-6087000000,-4713000000,-10310000000,-7101000000,-2986000000,-5405000000,-5624000000,-9315000000,-15703000000,-31009000000,-38625000000,-32160000000,-32316000000,-31421000000,-24562000000,-25867000000,-25282000000,-1400000000,-5731000000,-37982000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5000000,- -,- -,44500000,130800000,177491000,252077000,803402000,1080907000,8517673000,725155000,4384000000,5942000000,8009000000,12194000000,3676000000,5756000000,4281000000,8404000000,11220000000,27120000000,35594000000,30159000000,28845000000,20004000000,21247000000,17615000000,23117000000,29980000000,17262000000,27060000000
88,Other Investing Activites,- -,- -,- -,- -,-28700000,-50700000,-46600000,-35400000,-63700000,-188100000,-181627000,-114404000,-201499000,-286058000,-474602000,-82790000,-157000000,-43000000,-71000000,-2000000,140000000,2000000,153000000,-529000000,-230000000,-345000000,-648000000,-650000000,-580000000,-1391000000,-1189000000,-2021000000,-1736000000,-1660000000,-1564000000,-2135000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-118500000,-106400000,-116400000,-158000000,-269900000,-495800000,-551488000,-777381000,-922521000,-802244000,6893057000,-1254705000,-2138000000,895000000,-2561000000,-5753000000,-3359000000,-4971000000,-9076000000,-2599000000,-10319000000,-6081000000,-8381000000,-5956000000,-7539000000,-19047000000,-5154000000,-21494000000,-5625000000,26557000000,9843000000,-13098000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1004000000,-3582000000,-3143000000,-1405000000,-2950000000,- -,-1500000000,-2000000000,-4094000000,-9800000000,-4500000000,-4500000000,-2631000000
91,Common Stock Issued,- -,- -,- -,- -,33900000,19700000,22200000,31700000,38700000,60600000,92791000,174082000,204292000,602223000,1128292000,535902000,332000000,356000000,354000000,596000000,632000000,924000000,1288000000,760000000,874000000,1376000000,733000000,1527000000,2135000000,1802000000,1425000000,2181000000,2402000000,2155000000,1588000000,1786000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-43600000,-81200000,-75900000,-113087000,-528209000,-489823000,-1086953000,-5306771000,-4340784000,-2792000000,-2653000000,-1499000000,-1343000000,-2067000000,-3937000000,-2023000000,-3972000000,-992000000,-1160000000,-5856000000,-11021000000,-9813000000,-8087000000,-10529000000,-3844000000,-11853000000,-36643000000,-19905000000,-21600000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303000000,-1004000000,-1061000000,-1205000000,-1433000000,-2178000000,-2255000000,-2541000000,-2631000000,-3140000000,-2932000000,-3070000000,-3063000000
94,Other Financing Activites,- -,- -,- -,- -,55400000,53800000,-98600000,-12400000,-8800000,-700000,-67995000,297005000,2685000,17000,-4757000,-126000,-5000000,-157000000,-144000000,2631000000,2962000000,1874000000,4016000000,97000000,7368000000,4504000000,1634000000,5377000000,5788000000,19890000000,3789000000,17474000000,12409000000,-136000000,19755000000,15130000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,89300000,73500000,-76400000,-24300000,-51300000,-16000000,-88291000,-57122000,-282846000,-484713000,-4183236000,-3805008000,-2465000000,-2454000000,-1289000000,1884000000,1527000000,-1139000000,3281000000,-4422000000,2664000000,516000000,-6099000000,-8500000000,-4068000000,9850000000,-9856000000,9086000000,-9982000000,-42056000000,-6132000000,-10378000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,600000,200000,2200000,-3900000,-2000000,18500000,-13794000,-21581000,-25693000,-8108000,10106000,-99445000,6000000,178000000,74000000,73000000,56000000,149000000,437000000,-501000000,-107000000,600000000,-471000000,-110000000,-158000000,-1192000000,-115000000,-86000000,57000000,-158000000,-125000000,448000000
97,Net Change In Cash,- -,- -,- -,- -,89300000,73500000,-76400000,-24300000,-51300000,-16000000,235584000,174420000,383519000,512034000,5643491000,-2980040000,-1354000000,1642000000,-599000000,-244000000,2765000000,-441000000,2044000000,733000000,919000000,6249000000,-1208000000,-342000000,3156000000,3947000000,-1564000000,1632000000,-164000000,-1106000000,16725000000,-7141000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,715742000,890162000,1273681000,1785715000,7429206000,4449166000,3095000000,4737000000,4138000000,3894000000,6659000000,6218000000,8262000000,8995000000,9914000000,16163000000,14955000000,14613000000,17769000000,21716000000,20152000000,21784000000,21620000000,20514000000,37239000000,30098000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,44900000,44800000,101500000,153300000,284600000,404800000,480158000,715742000,890162000,1273681000,1785715000,7429206000,4449000000,3095000000,4737000000,4138000000,3894000000,6659000000,6218000000,8262000000,8995000000,9914000000,16163000000,14955000000,14613000000,17769000000,21716000000,20152000000,21784000000,21620000000,20514000000,37239000000
100,Free Cash Flow,- -,- -,- -,- -,-60700000,28700000,195700000,276200000,192800000,306700000,580765000,639763000,1286221000,1460507000,2660121000,1865859000,2965000000,2732000000,2988000000,3364000000,4305000000,5201000000,7159000000,7726000000,8451000000,10764000000,13095000000,13574000000,14341000000,12945000000,12372000000,12105000000,13650000000,12891000000,11575000000,13752000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312506151154/d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095013407014478/0000950134-07-014478-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095013408012257/0000950134-08-012257-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000095012309018689/0000950123-09-018689-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312510151896/0001193125-10-151896-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312511174819/0001193125-11-174819-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312512284007/d369484d10k.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312513272832/0001193125-13-272832-index.html,- -,https://www.sec.gov/Archives/edgar/data/1341439/000119312515235239/0001193125-15-235239-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312516628942/0001193125-16-628942-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312517214833/0001193125-17-214833-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.html,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/0001564590-20-030125-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/0001564590-21-033616-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
