,https://roic.ai/company/STAR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-22000000,-7200000,400000,- -,- -,- -,100000,100000,3700000,-247600000,-143900000,-176652000,-321100000,-1149070000,-974354000,-465433000,-1406121000,1200034000,-235825000,-938212000,686881000,3668691000,1533249000,1335040000,1155317000,941645000,207090000,480804000,717923000,859829000,258624000,291300000,619584000
89,Cash Used for Investing Activites,-22000000,-7200000,400000,- -,39400000,-1400000,200000,1300000,-6000000,-1271300000,-143900000,-176652000,-321100000,-1149070000,-974354000,-465433000,-1406121000,-2532475000,-4745080000,-27943000,726221000,3738823000,1471429000,1267047000,893447000,159793000,184028000,466543000,269485000,778859000,-398096000,31179000,514016000
90,Debt Repayment,- -,- -,- -,- -,- -,-27900000,- -,- -,- -,- -,-7500000,-791119000,-402303000,-2644929000,-2546378000,-7435700000,-7310174000,-8075018000,-27539969000,-12985244000,-2203650000,-3399793000,-4470002000,-4608133000,-1984102000,-1471174000,-432383000,-1437557000,-1915052000,-944800000,-1482558000,-913501000,-73559000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63940000,-29858000,-7476000,-78849000,-4628000,-20985000,- -,-69511000,-99335000,-285928000,-8304000,-68289000,-54565000,-122618000
93,Dividends Paid,-4000000,-5200000,-5200000,-5200000,-38600000,- -,- -,- -,- -,-38600000,-110600000,-238973000,-301105000,-268066000,-306642000,-358717000,-381574000,-411764000,-477225000,-317754000,-42320000,-42320000,-42320000,-42320000,-49020000,-51320000,-51320000,-51320000,-48444000,-44723000,-57554000,-56160000,-58279000
94,Other Financing Activites,23900000,-100000,-300000,400000,-900000,28000000,- -,- -,3000000,1264800000,163800000,1002619000,752591000,3713536000,3553268000,7905050000,8608898000,10575399000,32199493000,13368382000,1201426000,38395000,3003488000,3479484000,1598349000,1331536000,667695000,719301000,2228699000,539888000,1429772000,769248000,4321000
95,Cash Used/Provided by Financing Activities,19900000,-5300000,-5500000,-4800000,-39500000,100000,- -,- -,3000000,1226200000,45700000,-27473000,49183000,800541000,700248000,110633000,917150000,2088617000,4182299000,1444000,-1074402000,-3411194000,-1587683000,-1175597000,-455758000,-190958000,114481000,-868911000,-20725000,-457939000,-178629000,-254978000,-250135000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,478000,7000,-28000,19000,12000,273000,-124000
97,Net Change In Cash,19900000,-5300000,-5500000,-4800000,-39500000,100000,- -,- -,3000000,1226200000,24300000,-11656000,-7082000,264000,64156000,8332000,26948000,-9419000,-1444000,392030000,-271905000,280233000,-148039000,-100482000,257224000,-41507000,239040000,-382357000,328944000,296811000,-622338000,-201640000,243430000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34400000,22752000,15670000,15934000,80090000,88422000,115370000,105951000,104507000,496537000,224632000,504865000,356826000,256344000,513568000,472061000,711101000,328744000,657688000,974544000,352206000,150566000,393996000
99,Cash at the Beginning of Period,6300000,7900000,- -,100000,100000,2500000,900000,900000,100000,300000,10100000,34408000,22752000,15670000,15934000,80090000,88422000,115370000,105951000,104507000,496537000,224632000,504865000,356826000,256344000,513568000,472061000,711101000,328744000,677733000,974544000,352206000,150566000
100,Free Cash Flow,3600000,4600000,5200000,4900000,2500000,-400000,-200000,-200000,3200000,54900000,97500000,183458000,239451000,341295000,329650000,341162000,460001000,434439000,516509000,315637000,55525000,-90259000,-95954000,-275002000,-392232000,-153129000,-229691000,-153612000,-78255000,-213166000,-203085000,-34866000,-51018000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095651/000091205701505831/0000912057-01-505831-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000091205702012640/0000912057-02-012640-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746903010592/0001047469-03-010592-index.html,https://www.sec.gov/Archives/edgar/data/1095651/000104746904007908/0001047469-04-007908-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746905006685/0001047469-05-006685-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465906016965/0001104659-06-016965-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000110465907015152/0001104659-07-015152-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746908002058/0001047469-08-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746909001990/0001047469-09-001990-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746910001576/0001047469-10-001576-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746911002559/0001047469-11-002559-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000104746912001896/0001047469-12-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000144530513000422/0001445305-13-000422-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565114000007/0001095651-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565115000007/0001095651-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565116000037/0001095651-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565117000004/0001095651-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565118000004/0001095651-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565119000006/0001095651-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565120000012/0001095651-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565121000006/0001095651-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1095651/000109565122000004/0001095651-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
