,https://roic.ai/company/SCL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44414000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,42000000,44200000,48600000,48900000,63300000,70300000,63800000,61900000,68700000,68872000,72628000,80095000,71521000,77882000,96344000,87974000,92954000,116288000,186297000,222199000,246516000,275911000,339557000,326043000,376329000,388276000,468483000,463948000,479675000,489097000,412892000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-300000,-5500000,-10300000,7600000,-28300000,9300000,12600000,-4400000,-21500000,2980000,-3943000,-21180000,13575000,-7681000,-22892000,12287000,-14900000,-73282000,-16732000,-84708000,-74747000,-54372000,-45602000,-30674000,-17341000,34865000,-59645000,-35912000,17015000,11590000,-53630000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,29900000,38800000,35300000,51000000,35000000,65800000,62900000,58800000,50600000,53532000,53426000,46067000,45568000,43863000,42092000,38828000,47075000,29130000,166441000,66126000,77377000,108969000,150314000,81955000,183273000,212162000,198863000,171131000,218428000,235216000,72135000
84,CAPEX,- -,- -,- -,- -,- -,- -,-33700000,-34400000,-25400000,-42900000,-39200000,-44900000,-35600000,-44100000,-33200000,-28442000,-34014000,-36135000,-32872000,-33766000,-41519000,-45970000,-39815000,-49778000,-42631000,-73748000,-83166000,-83159000,-92865000,-101819000,-119349000,-103076000,-78613000,-86647000,-105572000,-125792000,-388964000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24640000,-2185000,- -,- -,- -,- -,5850000,8910000,- -,-20235000,-13562000,- -,-68212000,- -,-1871000,-23510000,-4339000,-22852000,-9000000,-13519000,-184473000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2300000,-7500000,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3594000,780000,1615000,537000,698000,908000,901000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-3100000,-2000000,-2400000,-700000,-100000,-3600000,400000,-19600000,-500000,-1122000,1891000,2833000,-1318000,5680000,-37000,-2524000,-1353000,6299000,4295000,-4051000,-6274000,-4827000,-7179000,-8310000,-5651000,-3935000,269000,1684000,1905000,277000,2126000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-36800000,-36400000,-27800000,-45900000,-46800000,-48500000,-40200000,-63700000,-33700000,-29564000,-56763000,-35487000,-34190000,-28086000,-41556000,-48494000,-35318000,-43046000,-34742000,-97254000,-101387000,-87449000,-167558000,-109221000,-125970000,-130521000,-82683000,-107815000,-112667000,-139034000,-376829000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17507000,-40772000,-10427000,-52454000,-18460000,-17618000,-12656000,-13098000,-15069000,-20714000,-20714000,-46429000,-23571000,-37858000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1700000,1100000,1397000,3151000,2599000,2256000,685000,506000,3297000,1825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1300000,-2000000,-200000,-300000,-100000,-3500000,-8900000,-8400000,-8300000,-8732000,-4632000,-2023000,-2706000,-30000,- -,- -,- -,- -,-1927000,-4906000,-1508000,-2098000,-2275000,-7924000,-2000000,-2408000,-6000000,-15500000,-13184000,-15253000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-3600000,-4200000,-5100000,-5300000,-5500000,-5800000,-6100000,-6400000,-6700000,-7004000,-7056000,-7339000,-7579000,-7731000,-7869000,-8149000,-8431000,-8863000,-9557000,-10570000,-11513000,-12757000,-14474000,-15387000,-16300000,-17329000,-18907000,-20857000,-23097000,-25405000,-28083000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,12400000,4400000,-3600000,1400000,18100000,-6300000,-9200000,13400000,- -,-10062000,14281000,-3094000,-2043000,-7011000,17145000,3101000,-5244000,43477000,10296000,68276000,63371000,3840000,110620000,21115000,74329000,5034000,-4876000,5423000,-7784000,-705000,183274000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,7500000,-1800000,-8900000,-4200000,12500000,-15600000,-21900000,300000,-13900000,-24401000,5744000,-9857000,-10072000,-14087000,9782000,-1751000,-11850000,17107000,-41960000,42373000,-2104000,-29475000,76253000,-14852000,42931000,-29772000,-50497000,-51648000,-90494000,-64934000,117333000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1719000,-1759000,-259000,336000,62000,145000,463000,-672000,521000,1435000,-985000,731000,-2537000,-6014000,-9306000,-2269000,7468000,-10368000,-78000,3307000,-3391000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,7500000,-1800000,-8900000,900000,12500000,-15600000,-21900000,300000,3000000,-433000,688000,-1036000,1047000,2026000,10380000,-11272000,370000,2519000,90260000,12680000,-27099000,-7224000,56472000,-48132000,90928000,49600000,73151000,1300000,15189000,34555000,-190752000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -,4000000,3536000,4224000,3188000,4235000,6261000,16641000,5369000,5739000,8258000,98518000,111198000,84099000,76875000,133347000,85215000,176143000,225743000,298894000,300194000,315383000,349938000,159186000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1600000,2300000,2900000,1500000,2500000,3100000,4800000,5500000,1000000,3969000,3536000,4224000,3188000,4235000,6261000,16641000,5369000,5739000,8258000,98518000,111198000,84099000,76875000,133347000,85215000,176143000,225743000,298894000,300194000,315383000,349938000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-3800000,4400000,9900000,8100000,-4200000,20900000,27300000,14700000,17400000,25090000,19412000,9932000,12696000,10097000,573000,-7142000,7260000,-20648000,123810000,-7622000,-5789000,25810000,57449000,-19864000,63924000,109086000,120250000,84484000,112856000,109424000,-316829000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/0000950131-94-000378-index.html,https://www.sec.gov/Archives/edgar/data/94049/000095012495000943/0000950124-95-000943-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94049/000119312504041610/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312505042706/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312506045672/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312507049148/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312508047239/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312509040288/0001193125-09-040288-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312510042807/0001193125-10-042807-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312511049619/d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000119312512081957/0001193125-12-081957-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312513079199/0001193125-13-079199-index.html,https://www.sec.gov/Archives/edgar/data/94049/000119312514069059/d648187d10k.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459015001079/scl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459016013219/0001564590-16-013219-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459017002324/0001564590-17-002324-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459018003442/0001564590-18-003442-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459019004767/0001564590-19-004767-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459020007326/0001564590-20-007326-index.html,https://www.sec.gov/Archives/edgar/data/94049/000156459021009289/0001564590-21-009289-index.htm,https://www.sec.gov/Archives/edgar/data/94049/000156459022006982/0001564590-22-006982-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
