,https://roic.ai/company/HSC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34198000,111207000,4395000,-58011000,22016000,-34504000,7026000,41650000,16041000,-32012000,-16881000,-3464000,34221000,-19781000
79,Inventory,- -,- -,- -,- -,-59700000,-1400000,109100000,13600000,9200000,-7300000,-1600000,3100000,-13000000,-25000000,15900000,966000,11893000,-13280000,-2078000,-22278000,-25908000,-20347000,-106495000,-24238000,35798000,12599000,7976000,2365000,18510000,-19991000,-44806000,-12313000,19557000,-14706000,-42484000,-12281000,-7783000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22144000,-54701000,36529000,-2713000,-37649000,14319000,-28901000,-401000,-20285000,12554000,18347000,13407000,-14452000,14118000
81,Other Working Capital,- -,- -,- -,- -,211200000,226600000,284700000,316900000,182800000,254400000,145300000,214500000,341200000,112600000,182500000,190236000,241393000,228552000,269276000,346527000,352620000,320847000,471367000,317062000,418236000,387082000,377163000,428868000,231986000,116262000,158399000,149736000,117964000,188038000,187918000,277868000,-17761000
82,Other Non-Cash Items,- -,- -,- -,- -,3100000,-80900000,-40800000,-65500000,203800000,-96400000,184600000,-79600000,-365300000,175100000,-82700000,-26996000,-58812000,20828000,-39088000,-112368000,-45536000,-8368000,-284685000,149687000,-97024000,110588000,9764000,140377000,394464000,182485000,-88467000,120283000,13556000,-141372000,-649172000,-170608000,11279000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,129500000,63600000,151500000,108100000,232200000,161400000,258800000,217200000,148500000,189300000,214000000,259448000,240601000,253754000,262788000,270465000,315279000,409239000,471740000,574276000,434458000,401427000,298776000,198879000,188255000,225846000,121507000,159785000,176892000,192022000,-163000,53818000,72197000
84,CAPEX,- -,- -,- -,- -,-67600000,-71100000,-53800000,-42700000,-420500000,-90900000,-113900000,-150300000,-152000000,-318100000,-224100000,-482509000,-156073000,-114340000,-143824000,-204235000,-290239000,-340173000,-443583000,-457617000,-165320000,-192348000,-313101000,-265023000,-246147000,-207978000,-123552000,-69340000,-98314000,-132168000,-186284000,-120541000,-158684000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4914000,-3332000,-23718000,-12264000,-394493000,-34333000,-254639000,-15539000,-103241000,-27643000,-1938000,-740000,300190000,-32957000,-30108000,165614000,- -,-56389000,32555000,-395636000,- -
86,Purchases of Investments,- -,- -,- -,- -,-7600000,- -,- -,- -,-3100000,-15800000,-3100000,-14300000,-81600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2758000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,22600000,32400000,5500000,26600000,71500000,44000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,24700000,21000000,-4400000,18200000,3300000,1100000,14200000,-15200000,358600000,40600000,29400000,23457000,35774000,63743000,22751000,6897000,39547000,15051000,312097000,29738000,-799000,17968000,59217000,46495000,8642000,12255000,23287000,26613000,-5011000,27414000,22984000,-4784000,33877000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-50500000,-50100000,-58200000,-24500000,-397700000,-73200000,-97300000,-153200000,196500000,-233500000,-194700000,-459052000,-125213000,-53929000,-144791000,-209602000,-645185000,-359455000,-386125000,-443418000,-269360000,-202023000,-255822000,-219268000,62685000,-228680000,-130373000,122887000,-103325000,-161143000,-132192000,-520644000,-124449000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-996173000,-566841000,-821038000,-297854000,-184372000,-498600000,-131007000,-399533000,-979567000,-108280000,-116988000,-661620000,-139887000,-464848000
91,Common Stock Issued,- -,- -,- -,- -,300000,100000,1200000,7700000,4500000,7200000,5700000,5700000,5900000,3900000,2300000,1792000,4773000,14011000,8758000,16656000,9097000,11574000,11765000,- -,- -,698000,2403000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-6200000,- -,-2600000,-37600000,-36300000,- -,-14100000,-30700000,-113200000,-169300000,-71900000,-7917000,-167000,- -,- -,- -,- -,- -,- -,-128577000,- -,- -,-5788000,- -,- -,-941000,-12143000,- -,- -,-30011000,-31838000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-31500000,-31500000,-31500000,-34400000,-35100000,-35100000,-37400000,-37900000,-39100000,-40300000,-37000000,-37594000,-38261000,-40286000,-42688000,-45170000,-49928000,-54516000,-59725000,-65632000,-63813000,-71826000,-66146000,-66068000,-66211000,-66322000,-65730000,-4105000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-41300000,16000000,49800000,-88400000,240500000,-75100000,-82300000,-30000000,-20800000,71400000,97700000,254465000,-65535000,-179205000,-91571000,-27998000,410156000,-41254000,-29727000,1034843000,466571000,720645000,327831000,245894000,316147000,176476000,499860000,691399000,24565000,121461000,819192000,626845000,525086000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-78700000,-15400000,16900000,-152700000,173600000,-103000000,-128100000,-92900000,-167200000,-134300000,-8900000,210746000,-99190000,-205480000,-125501000,-56512000,369325000,-84196000,-77687000,-155539000,-164083000,-171521000,-39554000,-4546000,-248664000,-21794000,22454000,-292273000,-83715000,-25538000,125734000,486958000,60238000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-500000,1000000,-500000,-800000,300000,-400000,-300000,-1800000,-2100000,-1400000,-600000,-5986000,-5211000,8380000,17582000,9532000,-12583000,14743000,12645000,-5816000,1833000,2171000,-6454000,-999000,-3921000,-6134000,3325000,1724000,4478000,-4404000,-793000,-195000,-527000
97,Net Change In Cash,- -,- -,- -,- -,-78700000,-15400000,16900000,-152700000,173600000,-103000000,-128100000,-92900000,-167200000,-134300000,9700000,5156000,10987000,2725000,10078000,13883000,26836000,-19669000,20573000,-30497000,2848000,30054000,-3054000,-25934000,-1645000,-30762000,16913000,-7877000,-5670000,937000,-7414000,19937000,7459000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51300000,56422000,67409000,70132000,80210000,94093000,120929000,101260000,121833000,91336000,94184000,124238000,121184000,95250000,93605000,62843000,79756000,71879000,66209000,67146000,59732000,79669000,87128000
99,Cash at the Beginning of Period,- -,- -,- -,- -,11600000,11400000,10500000,120200000,50400000,58700000,43600000,76700000,45900000,221600000,41600000,51266000,56422000,67407000,70132000,80210000,94093000,120929000,101260000,121833000,91336000,94184000,124238000,121184000,95250000,93605000,62843000,79756000,71879000,66209000,67146000,59732000,79669000
100,Free Cash Flow,- -,- -,- -,- -,61900000,-7500000,97700000,65400000,-188300000,70500000,144900000,66900000,-3500000,-128800000,-10100000,-223061000,84528000,139414000,118964000,66230000,25040000,69066000,28157000,116659000,269138000,209079000,-14325000,-66144000,-57892000,17868000,-2045000,90445000,78578000,59854000,-186447000,-66723000,-86487000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000004587695000007/0000045876-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012397002557/0000950123-97-002557-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000095012302002758/y58444e10-k405.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261306000595/form10-k_14195.htm,- -,https://www.sec.gov/Archives/edgar/data/45876/000107261308000597/form-10k_15722.htm,https://www.sec.gov/Archives/edgar/data/45876/000107261309000388/0001072613-09-000388-index.html,https://www.sec.gov/Archives/edgar/data/45876/000107261310000302/0001072613-10-000302-index.html,https://www.sec.gov/Archives/edgar/data/45876/000104746911001273/a2202115z10-k.htm,https://www.sec.gov/Archives/edgar/data/45876/000104746912001683/0001047469-12-001683-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587613000041/0000045876-13-000041-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587614000028/hsc-201310k.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587615000026/hsc-201410kq4.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587616000095/0000045876-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587617000006/0000045876-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587618000014/0000045876-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587619000007/0000045876-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587620000026/0000045876-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/45876/000004587621000016/0000045876-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/45876/000004587622000009/0000045876-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
