,https://roic.ai/company/FL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
82,Other Non-Cash Items,- -,- -,- -,- -,-30000000,-38000000,139000000,-251000000,662000000,-686000000,-422000000,358000000,420000000,230000000,-168000000,45000000,-237000000,-255000000,-259000000,-356000000,-326000000,-311000000,412000000,384000000,65000000,-132000000,-134000000,-136000000,-112000000,-137000000,-75000000,59000000,417000000,593000000,4000000,280000000,314000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,372000000,513000000,251000000,376000000,124000000,-340000000,520000000,468000000,218000000,277000000,108000000,181000000,184000000,347000000,264000000,290000000,354000000,181000000,283000000,383000000,345000000,326000000,497000000,416000000,530000000,712000000,745000000,816000000,813000000,781000000,696000000,1062000000,666000000
84,CAPEX,- -,- -,- -,- -,-311000000,-396000000,-359000000,-330000000,-359000000,-218000000,-167000000,-134000000,-284000000,-578000000,-158000000,-94000000,-116000000,-150000000,-144000000,-156000000,-155000000,-165000000,-148000000,-146000000,-89000000,-97000000,-152000000,-163000000,-206000000,-190000000,-228000000,-266000000,-274000000,-187000000,-187000000,-159000000,-209000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,- -,-242000000,1000000,- -,- -,-106000000,- -,- -,- -,- -,-81000000,- -,-2000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-61000000,-19000000,- -,-64000000,- -,- -,- -,- -,- -,- -,- -,- -,-2884000000,-2798000000,-1992000000,-1378000000,-23000000,- -,- -,- -,-88000000,-23000000,- -,- -,- -,-15000000,-89000000,-50000000,-9000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,39000000,- -,- -,- -,26000000,- -,- -,- -,7000000,19000000,- -,- -,2875000000,2767000000,2041000000,1641000000,- -,16000000,9000000,- -,39000000,60000000,9000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,51000000,21000000,2000000,61000000,26000000,381000000,133000000,53000000,-107000000,173000000,307000000,18000000,1000000,6000000,-15000000,-17000000,-2000000,8000000,2000000,3000000,-88000000,-96000000,-149000000,-163000000,-204000000,-185000000,-228000000,-266000000,-274000000,-185000000,-185000000,-159000000,-1376000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-260000000,-375000000,-357000000,-291000000,-352000000,163000000,-98000000,-55000000,-391000000,-405000000,149000000,-69000000,-96000000,-162000000,-159000000,-424000000,-187000000,-108000000,117000000,-272000000,-72000000,-87000000,-149000000,-212000000,-248000000,-176000000,-230000000,-266000000,-289000000,-274000000,-235000000,-168000000,-1376000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,-2000000,-1000000,-3000000,-2000000,-1000000,- -,- -,- -,-353000000,-204000000
91,Common Stock Issued,- -,- -,- -,- -,20000000,21000000,21000000,22000000,13000000,7000000,7000000,7000000,16000000,10000000,5000000,9000000,9000000,10000000,27000000,33000000,14000000,12000000,9000000,2000000,3000000,13000000,18000000,43000000,27000000,17000000,64000000,29000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4000000,-15000000,-6000000,-4000000,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,-8000000,-50000000,- -,- -,-50000000,-104000000,-129000000,-229000000,-305000000,-419000000,-432000000,-477000000,-376000000,-337000000,-38000000,-11000000
93,Dividends Paid,- -,- -,- -,- -,-117000000,-132000000,-140000000,-145000000,-152000000,-116000000,-20000000,- -,- -,- -,- -,- -,- -,-4000000,-21000000,-39000000,-49000000,-61000000,-77000000,-93000000,-94000000,-93000000,-101000000,-109000000,-118000000,-127000000,-139000000,-147000000,-157000000,-158000000,-164000000,-73000000,-101000000
94,Other Financing Activites,- -,- -,- -,- -,-41000000,-30000000,251000000,18000000,346000000,283000000,-479000000,-94000000,-47000000,232000000,-287000000,-176000000,80000000,-52000000,-12000000,173000000,-35000000,-85000000,-20000000,-94000000,- -,3000000,9000000,16000000,12000000,17000000,40000000,22000000,18000000,7000000,8000000,338000000,164000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-142000000,-156000000,126000000,-109000000,207000000,171000000,-492000000,-87000000,-31000000,242000000,-282000000,-167000000,89000000,-46000000,-6000000,167000000,-105000000,-142000000,-138000000,-185000000,-94000000,-127000000,-178000000,-181000000,-309000000,-401000000,-456000000,-529000000,-616000000,-527000000,-493000000,-126000000,-152000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,5000000,12000000,-1000000,4000000,29000000,21000000,11000000,-18000000,-8000000,-2000000,-6000000,2000000,4000000,3000000,-8000000,2000000,2000000,1000000,5000000,-29000000,18000000,2000000,-15000000,6000000,5000000,-26000000,-5000000,4000000,50000000,-30000000,-7000000,8000000,-6000000
97,Net Change In Cash,- -,- -,- -,- -,-142000000,-156000000,126000000,-109000000,207000000,171000000,-492000000,-87000000,-31000000,242000000,-31000000,-53000000,181000000,142000000,91000000,35000000,64000000,-68000000,267000000,-103000000,197000000,114000000,155000000,29000000,-22000000,109000000,54000000,25000000,-42000000,-50000000,-39000000,776000000,-868000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000000,109000000,215000000,357000000,448000000,225000000,289000000,221000000,488000000,385000000,582000000,696000000,851000000,880000000,858000000,967000000,1021000000,1046000000,1031000000,981000000,942000000,1718000000,850000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,81000000,56000000,50000000,69000000,49000000,57000000,72000000,13000000,328000000,81000000,193000000,162000000,34000000,215000000,357000000,190000000,225000000,289000000,221000000,488000000,385000000,582000000,696000000,851000000,880000000,858000000,967000000,1021000000,1073000000,1031000000,981000000,942000000,1718000000
100,Free Cash Flow,- -,- -,- -,- -,61000000,117000000,-108000000,46000000,-235000000,-558000000,353000000,334000000,-66000000,-301000000,-50000000,87000000,68000000,197000000,120000000,134000000,199000000,16000000,135000000,237000000,256000000,229000000,345000000,253000000,324000000,522000000,517000000,550000000,539000000,594000000,509000000,903000000,457000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850209/000120677408000652/footlocker_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000120677409000650/0001206774-09-000650-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420410016376/0001144204-10-016376-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420411017589/v213718_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420412017162/0001144204-12-017162-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420413019239/0001144204-13-019239-index.html,https://www.sec.gov/Archives/edgar/data/850209/000114420414019510/v367190_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420415019391/v403865_10k.htm,https://www.sec.gov/Archives/edgar/data/850209/000114420416090138/0001144204-16-090138-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020917000003/0000850209-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020918000004/0000850209-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/850209/000155837019002753/0001558370-19-002753-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020920000007/0000850209-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/850209/000085020921000003/0000850209-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/850209/000085020922000003/0000850209-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
