,https://roic.ai/company/CRMT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,-300000,- -,- -,-100000,-2200000,-100000,-300000,-3300000,-3100000,-2000000,-5844111,-5124894,-1012749,-2688792,-1646360,-531636,-1312189,-454000,-3538000,-1181000,-10857000,-20347000,-39367000,-17305000,-12754000,-20020000,-14214000,-20486000,-42301000,-26577000,-16009000,-10616000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,-40000,-40000,-40000,-40000,-40000,-40000,-40000,-40000,-40000,-40000,-40000
94,Other Financing Activites,- -,3500000,1000000,-6000000,- -,-1800000,26200000,5600000,-1000000,11900000,43700000,17807765,22125187,3244567,-13823737,-3434100,6610970,14443353,-5115000,2141000,89884000,122796000,148832000,326267000,332571000,329626000,383241000,373411000,390348000,435193000,456068000,442244000,78891000
95,Cash Used/Provided by Financing Activities,- -,4200000,1000000,-6000000,-100000,9300000,33500000,5300000,-4300000,8900000,41700000,11963654,17061230,2345316,-15015410,-2496943,7018509,13611135,-5488000,-1075000,-11661000,-2572000,-12116000,-7208000,6850000,-14765000,-7989000,-9955000,-6847000,-7702000,-20285000,46777000,5403000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4200000,1000000,-6000000,-100000,9300000,33500000,5300000,-4300000,8900000,6400000,-3067225,-7649968,1557084,-2966640,344563,-669172,-204353,2000,-104000,15000,100000,-45000,53000,-4000,17000,501000,-188000,-168000,588000,730000,57808000,-56667000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,9843310,2193342,3750426,783786,1128349,459177,254824,257000,153000,168000,268000,223000,276000,272000,289000,790000,602000,434000,1022000,1752000,59560000,2893000
99,Cash at the Beginning of Period,- -,300000,700000,1000000,600000,100000,1800000,1700000,700000,21100000,6500000,12910535,9843310,2193342,3750426,783786,1128349,459177,255000,257000,153000,168000,268000,223000,276000,272000,289000,790000,602000,434000,1022000,1752000,59560000
100,Free Cash Flow,- -,-1000000,-700000,-300000,-400000,-8400000,-33500000,-7700000,-2400000,-32000000,-22100000,52377724,90079493,-604720,3175109,2841506,-7687681,-12772482,5593000,516000,11614000,1652000,12063000,7244000,-7062000,14780000,8378000,9760000,5747000,7736000,20873000,15495000,-62764000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013400005980/0000950134-00-005980-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000095013402008609/0000950134-02-008609-index.html,- -,https://www.sec.gov/Archives/edgar/data/799850/000104746904022753/a2139674z10-k.htm,https://www.sec.gov/Archives/edgar/data/799850/000110465905032475/a05-12195_110k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811206002159/t10969_10k.htm,https://www.sec.gov/Archives/edgar/data/799850/000118811207002125/0001188112-07-002125-index.html,https://www.sec.gov/Archives/edgar/data/799850/000118811208002122/0001188112-08-002122-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184309000662/0001171843-09-000662-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184310001126/0001171843-10-001126-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184311001836/0001171843-11-001836-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184312002294/f10k_061512.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184313002561/0001171843-13-002561-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184314002771/0001171843-14-002771-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184315003406/0001171843-15-003406-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184316010722/0001171843-16-010722-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184317003603/0001171843-17-003603-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184318004631/0001171843-18-004631-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184319004116/0001171843-19-004116-index.html,https://www.sec.gov/Archives/edgar/data/799850/000117184320004544/0001171843-20-004544-index.htm,https://www.sec.gov/Archives/edgar/data/799850/000117184321004687/0001171843-21-004687-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
