,https://roic.ai/company/DAN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,-168900000,-193600000,-192600000,-191600000,-195700000,210600000,245800000,278400000,334500000,487700000,519000000,523000000,548000000,478000000,394000000,361000000,310000000,- -,279000000,388000000,397000000,314000000,307000000,277000000,262000000,213000000,174000000,182000000,233000000,270000000,339000000,365000000,389000000
75,Deferred Income Tax,- -,- -,- -,- -,-27300000,-3200000,-20300000,-300000,31100000,59400000,11700000,63900000,57400000,64600000,66000000,118000000,-116000000,-135000000,-35000000,-125000000,751000000,- -,-29000000,213000000,-20000000,-10000000,-14000000,-80000000,-10000000,-199000000,-10000000,-480000000,179000000,-64000000,-137000000,-35000000,-1000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,19000000,16000000,16000000,14000000,17000000,23000000,16000000,19000000,14000000,17000000
77,Change in Working Capital,- -,- -,- -,- -,59100000,-104100000,211800000,481400000,-642300000,-32000000,314000000,71000000,-93600000,562600000,-921000000,316000000,986000000,274000000,-789000000,-2247000000,2706000000,-398000000,447000000,139000000,100000000,30000000,87000000,254000000,-204000000,-310000000,-352000000,149000000,-20000000,157000000,30000000,83000000,-458000000
78,Accounts Receivable,- -,- -,- -,- -,66600000,-3900000,9500000,-31400000,-98700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434000000,107000000,-96000000,-264000000,146000000,12000000,-32000000,- -,-86000000,-141000000,- -,134000000,-66000000,-189000000
79,Inventory,- -,- -,- -,- -,32900000,15700000,87000000,-2300000,8900000,-82800000,-81800000,-16400000,25400000,-71500000,-183000000,128000000,166000000,3000000,5000000,-173000000,81000000,- -,-5000000,14000000,299000000,-108000000,-99000000,38000000,50000000,-56000000,-28000000,-13000000,-146000000,- -,35000000,69000000,-471000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210000000,-184000000,178000000,204000000,-173000000,60000000,66000000,-22000000,70000000,234000000,- -,-96000000,82000000,254000000
81,Other Working Capital,- -,- -,- -,- -,144200000,40100000,251900000,733300000,91000000,59000000,373000000,444000000,350400000,913000000,-8000000,308000000,1294000000,1568000000,779000000,-1468000000,1238000000,840000000,1287000000,1426000000,1526000000,1556000000,1643000000,1897000000,1693000000,1383000000,1031000000,1180000000,1160000000,1317000000,1347000000,1430000000,-11000000
82,Other Non-Cash Items,- -,- -,- -,- -,328000000,587300000,271900000,339800000,1211900000,-400000,-481800000,-23100000,30300000,-853400000,431000000,-307000000,-481000000,86000000,543000000,1984000000,-2378000000,1189000000,-198000000,-1777000000,162000000,-57000000,-241000000,-431000000,269000000,471000000,421000000,-124000000,28000000,-238000000,160000000,-10000000,14000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,323000000,362000000,284300000,247300000,484600000,465800000,377800000,696200000,697700000,795600000,608000000,984000000,639000000,521000000,335000000,55000000,-216000000,52000000,-52000000,-1019000000,208000000,287000000,370000000,339000000,577000000,510000000,406000000,384000000,554000000,568000000,637000000,386000000,158000000
84,CAPEX,- -,- -,- -,- -,-228500000,-229200000,-150200000,-113900000,-177900000,-710600000,-810000000,-782800000,-878300000,-1207800000,-1287000000,-853000000,-475000000,-377000000,-305000000,-330000000,-297000000,-314000000,-254000000,-250000000,-99000000,-120000000,-196000000,-164000000,-209000000,-234000000,-260000000,-322000000,-393000000,-325000000,-426000000,-326000000,-369000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-475800000,-829000000,-18000000,-511000000,-21000000,-31000000,- -,-5000000,- -,-17000000,414000000,17000000,3000000,118000000,-279000000,-4000000,-7000000,9000000,- -,-44000000,-184000000,-150000000,-667000000,15000000,-16000000
86,Purchases of Investments,- -,- -,- -,- -,-72300000,-82200000,-83600000,-218600000,-8300000,- -,- -,- -,-85600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,-84000000,-84000000,-43000000,-93000000,-35000000,-37000000,-33000000,-49000000,-58000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,155300000,107800000,260000000,47200000,10500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,- -,36000000,28000000,47000000,94000000,28000000,52000000,35000000,41000000,65000000
88,Other Investing Activites,- -,- -,- -,- -,-247600000,-249200000,17600000,-315900000,-591500000,287700000,178400000,141300000,706000000,1302600000,204000000,570000000,575000000,933000000,514000000,1275000000,243000000,260000000,188000000,89000000,-1000000,4000000,-5000000,7000000,42000000,35000000,-2000000,- -,3000000,-2000000,-32000000,-8000000,85000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-393100000,-452800000,43800000,-601200000,-767200000,-422900000,-631600000,-641500000,-733700000,-734200000,-1101000000,-794000000,79000000,525000000,209000000,940000000,-54000000,-71000000,348000000,-144000000,-98000000,2000000,-344000000,-161000000,-222000000,-246000000,-258000000,-365000000,-581000000,-462000000,-1123000000,-327000000,-293000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-373200000,-314900000,-372500000,-461200000,-623700000,-376000000,-504000000,-501000000,-467000000,-272000000,-1457000000,-61000000,- -,- -,-1288000000,-250000000,-137000000,-880000000,-32000000,-71000000,-388000000,-69000000,-382000000,-730000000,-34000000,-423000000,-480000000,-1177000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-811000000,-260000000,-311000000,-81000000,- -,-25000000,-25000000,- -,-23000000
93,Dividends Paid,- -,- -,- -,- -,-65400000,-65600000,-65700000,-69700000,-73800000,-82000000,-91200000,-99700000,-108600000,-198300000,-206000000,-187000000,-140000000,-6000000,-14000000,-73000000,-55000000,- -,- -,-18000000,- -,-73000000,-40000000,-61000000,-58000000,-40000000,-37000000,-35000000,-35000000,-58000000,-58000000,-15000000,-58000000
94,Other Financing Activites,- -,- -,- -,- -,162400000,159900000,-274600000,425800000,358600000,446900000,614300000,578700000,772300000,568100000,956000000,950000000,-57000000,-199000000,-96000000,434000000,514000000,-49000000,166000000,2011000000,18000000,66000000,772000000,53000000,790000000,434000000,14000000,410000000,645000000,-63000000,985000000,483000000,1131000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,97000000,94300000,-340300000,356100000,284800000,-8300000,208200000,106500000,202500000,-253900000,374000000,-122000000,-698000000,-672000000,-382000000,-1096000000,398000000,-49000000,166000000,705000000,32000000,-144000000,-148000000,-55000000,-150000000,-254000000,-403000000,-88000000,-120000000,-180000000,479000000,-12000000,-127000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,-40000000,28000000,42000000,-37000000,5000000,-8000000,-118000000,-75000000,-15000000,43000000,-16000000,5000000,2000000,-18000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45600000,161200000,166500000,-192500000,-119000000,68000000,20000000,372000000,160000000,-97000000,128000000,-68000000,566000000,-494000000,170000000,187000000,-159000000,128000000,197000000,-135000000,-330000000,-84000000,-104000000,-90000000,-2000000,49000000,-280000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66600000,227800000,394300000,230200000,111000000,179000000,199000000,571000000,731000000,634000000,762000000,719000000,1271000000,777000000,947000000,1134000000,931000000,1059000000,1256000000,1121000000,791000000,707000000,603000000,520000000,518000000,567000000,287000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,55100000,82000000,85500000,73200000,75400000,- -,112200000,66600000,227800000,422700000,230000000,111000000,179000000,199000000,571000000,731000000,634000000,787000000,705000000,1271000000,777000000,947000000,1090000000,931000000,1059000000,1256000000,1121000000,791000000,707000000,610000000,520000000,518000000,567000000
100,Free Cash Flow,- -,- -,- -,- -,94500000,132800000,134100000,133400000,306700000,-244800000,-432200000,-86600000,-180600000,-412200000,-679000000,131000000,164000000,144000000,30000000,-275000000,-513000000,-262000000,-306000000,-1269000000,109000000,167000000,174000000,175000000,368000000,276000000,146000000,62000000,161000000,243000000,211000000,60000000,-211000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015296000796/0000950152-96-000796-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015297001669/0000950152-97-001669-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015298001593/0000950152-98-001593-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015299001305/0000950152-99-001305-index.html,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015201500070/0000950152-01-500070-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012302001898/0000950123-02-001898-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095015203002163/l99096ae10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/26780/000095015205001912/l11933ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015206003614/l17856be10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015207002289/l24221ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015208001968/l30266ae10vk.htm,https://www.sec.gov/Archives/edgar/data/26780/000095015209002661/0000950152-09-002661-index.html,https://www.sec.gov/Archives/edgar/data/26780/000095012310016351/0000950123-10-016351-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420411010809/v209951_10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000114420412010573/0001144204-12-010573-index.html,https://www.sec.gov/Archives/edgar/data/26780/000114420413010507/0001144204-13-010507-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678014000005/dan-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678015000004/dan-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/26780/000002678016000019/0000026780-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678017000004/0000026780-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678018000004/0000026780-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678019000004/0000026780-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/26780/000002678020000006/0000026780-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/26780/000143774921003221/0001437749-21-003221-index.htm,https://www.sec.gov/Archives/edgar/data/26780/000143774922004203/0001437749-22-004203-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
