,https://roic.ai/company/PSO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-73800000,-60300000,-100700000,-62000000,-213100000,-312100000,168800000,-54000000,-430000000,-147294400,404679240,90023250,-2240000,-14051440,-292077080,-313892060,-128833000,286583160,4000000,-696000000,-382000000,146000000,-568000000,-458000000,-1669000000,-421000000,-617000000,-426000000,-191000000,-275000000,-257000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,99500000,113800000,109200000,183700000,39600000,77900000,132300000,315000000,42000000,153320080,491396220,338984100,228480000,407703520,709015200,455796130,463405750,713599150,819000000,1006000000,872000000,776000000,356000000,455000000,211000000,410000000,298000000,462000000,369000000,389000000,326000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-81200000,-70400000,-71300000,-60700000,-100200000,-89800000,-110300000,-125000000,-102000000,-139260160,-165175200,-126032550,-104720000,-125126400,-76131960,-96977900,-119003000,-119502250,-120000000,-132000000,-144000000,-151000000,-182000000,-182000000,-247000000,-245000000,-232000000,-200000000,-193000000,-134000000,-176000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132100000,-33500000,-12200000,-53000000,-24000000,-131895440,-35099730,-21108900,-3000000,-1042720,-2000000,- -,- -,-6145830,-10000000,-7000000,-12000000,-29000000,-78000000,-25000000,-36000000,-30000000,-21000000,-12000000,-12000000,-6000000,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633900000,53700000,147600000,244000000,624000000,669520,22023360,3104250,- -,17204880,- -,- -,- -,4780090,- -,- -,75000000,23000000,15000000,21000000,30000000,134000000,20000000,16000000,7000000,- -,48000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,153800000,-61700000,151900000,-281600000,-590300000,-63100000,-212000000,-2159000000,-213000000,-1844527600,6194070,803379900,-4280000,-16162160,-22989880,-279704680,57988750,-245833200,-240000000,154000000,-391000000,-799000000,-149000000,-69000000,1424000000,-57000000,734000000,277000000,-265000000,650000000,-78000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,72600000,-132100000,80600000,-342300000,-188700000,-132700000,-186900000,-2093000000,285000000,-2115013680,-172057500,659342700,-112000000,-125126400,-101121840,-376682580,-61014250,-366701190,-312000000,71000000,-395000000,-883000000,-330000000,-148000000,1332000000,-41000000,651000000,211000000,-325000000,591000000,-80000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-116500000,-116900000,-31300000,-79400000,- -,-149200000,- -,- -,-1112000000,- -,- -,-681000000,-159000000,-524000000,-79000000,-145000000,-391000000,-275000000,-345000000,-16000000,-326000000,- -,-225000000,-538000000,-300000000,-249000000,-1294000000,-441000000,-48000000,-230000000,-167000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,4100000,5500000,13900000,9700000,11800000,14100000,- -,- -,18000000,1961024080,19958670,6208500,5040000,4170880,4068120,11229020,12102000,6145830,8000000,12000000,21000000,11000000,14000000,11000000,11000000,7000000,5000000,6000000,7000000,6000000,6000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9905840,-20921760,-36239110,-72107750,-46435160,-33000000,-77000000,-60000000,- -,-47000000,-9000000,-23000000,-27000000,-149000000,-153000000,-52000000,-182000000,-16000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106500000,-113000000,- -,-143277280,-158292900,-181288200,-187600000,-194988640,-222003120,-219986710,-238006000,-255393380,-293000000,-292000000,-318000000,-346000000,-372000000,-397000000,-423000000,-424000000,-318000000,-136000000,-147000000,-146000000,-149000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,55200000,97500000,-2500000,122000000,254900000,156700000,231500000,2037000000,799000000,202195040,-246386340,-31114950,133800000,471864000,-2943560,41897180,244767500,422499920,283000000,281000000,-107000000,312000000,186000000,399000000,371000000,-4000000,-3000000,-5000000,138000000,253000000,-88000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-57200000,-13900000,-19900000,52300000,266700000,21600000,125000000,1924000000,-295000000,2019941840,-384720570,-887194650,-207760000,-252859600,-320800320,-348099620,-444244250,-148182790,-380000000,-92000000,-790000000,-23000000,-444000000,-534000000,-364000000,-697000000,-1759000000,-729000000,-102000000,-299000000,-414000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-7000000,-20800000,3900000,1500000,-3700000,18200000,- -,- -,-50000000,- -,- -,- -,- -,- -,12785520,-43895260,3025500,-102430500,-36000000,-1000000,-60000000,-24000000,21000000,-2000000,-19000000,81000000,16000000,-49000000,-33000000,-2000000,-8000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,107900000,-53000000,173800000,-104800000,113900000,-15000000,125000000,1924000000,-18000000,58248240,-66070080,111132150,-90720000,30238880,299878560,-312881330,-38827250,96284670,91000000,984000000,-373000000,-154000000,-397000000,-229000000,1160000000,-247000000,-794000000,-105000000,-91000000,679000000,-176000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,-118000000,-37200000,136600000,31800000,409500000,124000000,- -,- -,280000000,425145200,327597480,575527950,560000000,612598000,843844320,530826400,492652250,585219590,680000000,1664000000,1291000000,1137000000,740000000,511000000,1671000000,1424000000,630000000,525000000,434000000,1113000000,937000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,-225900000,15800000,-37200000,136600000,295600000,139000000,- -,- -,298000000,366896960,393667560,464395800,650720000,582359120,543965760,843707730,531479500,488934920,589000000,680000000,1664000000,1291000000,1137000000,740000000,511000000,1671000000,1424000000,630000000,525000000,434000000,1113000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,18300000,43400000,37900000,123000000,-60600000,-11900000,22000000,190000000,-60000000,14059920,326221020,212951550,123760000,282577120,632883240,358818230,344402750,594096900,699000000,874000000,728000000,625000000,174000000,273000000,-36000000,165000000,66000000,262000000,176000000,255000000,150000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/938323/000091205702023537/0000912057-02-023537-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000104746903020606/0001047469-03-020606-index.htm,- -,https://www.sec.gov/Archives/edgar/data/938323/000115697305001000/0001156973-05-001000-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000115697306000511/0001156973-06-000511-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000115697307000689/0001156973-07-000689-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000115697308000473/0001156973-08-000473-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000115697309000180/0001156973-09-000180-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000095012310030499/0000950123-10-030499-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000095012311029128/0000950123-11-029128-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312512133924/0001193125-12-133924-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312513121941/0001193125-13-121941-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312514117876/0001193125-14-117876-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312515106592/0001193125-15-106592-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312516514379/0001193125-16-514379-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312517109310/0001193125-17-109310-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312518106891/0001193125-18-106891-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312519097487/0001193125-19-097487-index.htm,https://www.sec.gov/Archives/edgar/data/938323/000119312520094164/0001193125-20-094164-index.htm,- -,- -
102,Forex Rate,1.439,1.4819,1.8867,1.8089,1.6115,1.9335,1.8675,1.5105,1.477,1.5665,1.5508,1.713,1.6475,1.6542,1.6181,1.4959,1.4545,1.6113,1.7857,1.9186,1.7214,1.959,1.9849,1.4628,1.6157,1.5601,1.5535,1.6251,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673,1.3529
