,https://roic.ai/company/CSPI,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1000000,-400000,-1300000,1000000,-300000,-200000,-100000,500000,12000,481000,1862000,533000,-1552000,-138000,-3601000,1486000,-2058000,2175000,58000,-938000,496000,1436000,-1038000,78000,-471000,-660000,-2562000,-777000,2105000,1263000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3250000,-656000,4461000,-1648000,6483000,-2401000,7232000,- -,5729000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,19800000,21900000,23100000,22860000,22800000,19880000,21630000,23460000,21609000,21928000,18212000,14049000,15423000,16671000,19599000,26110000,23573000,22709000,22003000,22008000,26538000,25793000,24935000,22700000,24434000,25696000,34354000,26507000,28612000,31207000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,-5100000,2440000,-40000,4420000,550000,-2630000,2853000,62000,7367000,1944000,-1674000,-2881000,-6217000,-3475000,1957000,8132000,-2514000,338000,-2530000,-665000,-250000,-918000,-429000,-2621000,-21570000,3890000,-2646000,-3909000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,4100000,1600000,-1600000,3400000,800000,2000000,4300000,2100000,2678000,-1858000,1496000,-2557000,1898000,-101000,-2075000,9404000,-280000,3365000,-1931000,1543000,6306000,227000,1123000,-2340000,5004000,2659000,3017000,-3329000,244000,1903000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-800000,-800000,-1000000,-1100000,-1100000,-700000,-1100000,-805000,-611000,-488000,-464000,-846000,-618000,-552000,-520000,-436000,-402000,-483000,-339000,-551000,-858000,-590000,-724000,-735000,-358000,-438000,-832000,-230000,-98000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2827000,- -,- -,- -,- -,-2443000,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-107400000,-104800000,-130000000,-159100000,-188900000,-198800000,-52300000,-19100000,-36884000,-48209000,-28538000,-15335000,-4771000,-3506000,-1985000,-11331000,-16550000,-124000,-1224000,-143000,-143000,-200000,-170000,-193000,-161000,-150000,-150000,-144000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,108200000,105600000,129500000,159700000,189200000,199300000,48300000,- -,35746000,45159000,28484000,20068000,2197000,3470000,3035000,5814000,19240000,5000000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-1200000,400000,-100000,-8000000,-100000,18400000,- -,3097000,- -,- -,3000,354000,-124000,448000,-149000,- -,- -,- -,- -,17000,6000,- -,- -,- -,14233000,- -,-115000,-68000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,-2500000,- -,-900000,-8600000,-4800000,-1800000,-1943000,-564000,-542000,1442000,-3417000,-300000,374000,-5589000,-338000,4474000,-607000,-482000,-694000,-1041000,-1254000,-917000,-896000,-508000,13645000,-976000,-345000,-166000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1501000,- -,-25000,- -,- -,- -,- -,- -,- -,-70000,-1064000,-2356000,-1237000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,100000,200000,200000,- -,100000,259000,63000,44000,28000,102000,568000,353000,723000,296000,180000,114000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-300000,- -,- -,-300000,-230000,-313000,- -,-2000,- -,-75000,-132000,-421000,-758000,-934000,-383000,-645000,-97000,- -,- -,- -,- -,- -,- -,- -,-46000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,-1384000,-1545000,-1618000,-1670000,-1722000,-1921000,-2467000,-1262000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,100000,1766000,- -,- -,- -,- -,114000,161000,216000,263000,216000,253000,1281000,4496000,283000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,-900000,- -,200000,- -,-100000,29000,-250000,44000,26000,102000,493000,221000,402000,1304000,-2255000,-269000,-596000,-847000,-1270000,-1384000,-1402000,-1407000,-1506000,-1738000,-2250000,832000,-954000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-400000,-590000,147000,1002000,383000,1168000,-199000,439000,787000,-879000,-174000,-566000,-122000,-146000,210000,-656000,-608000,-779000,137000,-238000,-453000,434000,-40000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,-900000,- -,200000,- -,-200000,174000,-2525000,2000000,-706000,-249000,-107000,-1041000,5004000,-193000,5410000,-3373000,343000,4619000,-1874000,-2171000,-5267000,1922000,782000,14686000,-7008000,1165000,743000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3923000,1398000,3835000,3129000,2880000,9724000,8683000,13687000,13494000,18904000,15531000,15874000,20493000,18619000,16448000,11181000,13103000,13885000,25107000,18099000,19264000,20007000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,6300000,10700000,12400000,8600000,11100000,10900000,4300000,3900000,3749000,3923000,1835000,3835000,3129000,9831000,9724000,8683000,13687000,13494000,18904000,15531000,15874000,20493000,18619000,16448000,11181000,13103000,10421000,25107000,18099000,19264000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,3600000,800000,-2400000,2400000,-300000,900000,3600000,1000000,1873000,-2469000,1008000,-3021000,1052000,-719000,-2627000,8884000,-716000,2963000,-2414000,1204000,5755000,-631000,533000,-3064000,4269000,2301000,2579000,-4161000,14000,1805000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000090389395000061/0000903893-95-000061-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/356037/000104746998042277/0001047469-98-042277-index.html,https://www.sec.gov/Archives/edgar/data/356037/000091205799006593/0000912057-99-006593-index.html,https://www.sec.gov/Archives/edgar/data/356037/000035603700000020/0000356037-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701601503966/0000927016-01-503966-index.html,https://www.sec.gov/Archives/edgar/data/356037/000092701602006062/0000927016-02-006062-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312503098665/0001193125-03-098665-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312505009940/0001193125-05-009940-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312506057352/0001193125-06-057352-index.htm,- -,https://www.sec.gov/Archives/edgar/data/356037/000119312507271436/0001193125-07-271436-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312508260881/0001193125-08-260881-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000119312509258092/0001193125-09-258092-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774910004526/0001437749-10-004526-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912000518/0001437749-12-000518-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000143774912013044/0001437749-12-013044-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603713000072/0000356037-13-000072-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603714000030/0000356037-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000162828015009925/0001628280-15-009925-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000005/0000356037-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603717000061/0000356037-17-000061-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603718000042/0000356037-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603719000049/0000356037-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603720000023/0000356037-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/356037/000035603721000021/0000356037-21-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
