,https://roic.ai/company/HPQ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/47217/000089161895000009/0000891618-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089843096000245/0000898430-96-000245-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089161897000198/0000891618-97-000198-index.html,https://www.sec.gov/Archives/edgar/data/47217/0000891618-98-000244-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/47217/000091205701002796/0000912057-01-002796-index.html,https://www.sec.gov/Archives/edgar/data/47217/000101287002000299/0001012870-02-000299-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746903002015/a2096381z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746904001113/a2125373z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905000929/a2148694z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905028479/a2165549z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746906015253/a2174889z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746907010151/0001047469-07-010151-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746908013240/0001047469-08-013240-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746909010806/0001047469-09-010806-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/0001047469-10-010444-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746911010094/0001047469-11-010094-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746912011417/0001047469-12-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746913011417/0001047469-13-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746914009977/0001047469-14-009977-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746915009251/0001047469-15-009251-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721716000093/0000047217-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721717000043/0000047217-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721718000052/0000047217-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721719000071/0000047217-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721720000045/0000047217-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/0000047217-21-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,829000000,739000000,755000000,549000000,1177000000,1599000000,2433000000,2586000000,3119000000,2945000000,3491000000,3697000000,408000000,-903000000,2539000000,3497000000,2398000000,6198000000,7264000000,8329000000,7660000000,8761000000,7074000000,-12650000000,5113000000,5013000000,4554000000,2496000000,2526000000,5327000000,3152000000,2844000000,6503000000
74,Depreciation and Amortization,- -,- -,- -,- -,462000000,566000000,624000000,673000000,846000000,1006000000,1139000000,1297000000,1556000000,1869000000,1316000000,1368000000,1369000000,2119000000,2527000000,2395000000,2344000000,2353000000,2705000000,3356000000,4773000000,4820000000,4984000000,5095000000,4611000000,4334000000,4061000000,332000000,354000000,528000000,744000000,789000000,785000000
75,Deferred Income Tax,- -,- -,- -,- -,-6000000,78000000,-41000000,-35000000,-137000000,-156000000,-102000000,-284000000,-232000000,-1263000000,-171000000,-689000000,-970000000,-351000000,-279000000,26000000,-162000000,693000000,415000000,1035000000,379000000,197000000,166000000,-711000000,-410000000,-34000000,-700000000,401000000,238000000,-3653000000,133000000,70000000,-605000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,635000000,668000000,685000000,635000000,500000000,560000000,709000000,182000000,224000000,268000000,297000000,278000000,330000000
77,Change in Working Capital,- -,- -,- -,- -,-789000000,- -,- -,- -,- -,4279000000,1016000000,2073000000,2360000000,-1617000000,-790000000,726000000,-706000000,4424000000,2601000000,-53000000,-2439000000,540000000,-4272000000,-9353000000,10747000000,-4755000000,-4202000000,3392000000,872000000,1567000000,3186000000,-9936000000,246000000,-3650000000,-1372000000,-456000000,-1141000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1269000000,1014000000,2437000000,507000000,565000000,-453000000,-491000000,-761000000,575000000,-80000000
79,Inventory,- -,- -,- -,- -,-324000000,-145000000,-181000000,-267000000,-1056000000,-582000000,-1740000000,-356000000,-279000000,563000000,-171000000,-845000000,1096000000,765000000,-638000000,-1341000000,-208000000,-1109000000,-633000000,89000000,1532000000,-270000000,-1252000000,890000000,-4000000,-580000000,-330000000,-291000000,-1346000000,-136000000,-68000000,-386000000,-2164000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153000000,-698000000,275000000,-1414000000,541000000,1912000000,31000000,928000000,2161000000,1429000000,-53000000,-35000000,1257000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,4279000000,5295000000,7368000000,9728000000,8111000000,7321000000,8047000000,7341000000,11765000000,14366000000,14313000000,11874000000,12414000000,8142000000,-1211000000,9536000000,4781000000,579000000,3971000000,4843000000,6410000000,9596000000,-340000000,-94000000,-3744000000,-5116000000,-5572000000,-154000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-584000000,214000000,101000000,-744000000,-4504000000,-2873000000,-2216000000,-2482000000,3508000000,-812000000,-677000000,2460000000,155000000,-1331000000,-777000000,5887000000,1569000000,3503000000,11224000000,-10815000000,2231000000,3932000000,14810000000,922000000,893000000,-5320000000,9755000000,89000000,5708000000,1700000000,791000000,537000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,496000000,799000000,1552000000,1288000000,1142000000,2224000000,1613000000,3456000000,4321000000,5442000000,3034000000,4425000000,2561000000,5444000000,6057000000,5088000000,8028000000,11353000000,9615000000,14591000000,13379000000,11922000000,12639000000,10571000000,11608000000,12333000000,6490000000,3230000000,3677000000,4528000000,4654000000,4316000000,6409000000
84,CAPEX,- -,- -,- -,- -,-857000000,-955000000,-862000000,-1032000000,-1405000000,-1257000000,-1601000000,-2201000000,-2338000000,-1997000000,-1134000000,-1737000000,-1527000000,-1710000000,-1995000000,-2126000000,-1995000000,-2536000000,-3040000000,-2990000000,-3695000000,-4133000000,-4539000000,-3706000000,-3199000000,-3853000000,-3603000000,-433000000,-402000000,-546000000,-671000000,-580000000,-582000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62000000,- -,- -,- -,- -,- -,- -,- -,- -,-149000000,-1124000000,-641000000,-855000000,-6793000000,-11248000000,-391000000,-7977000000,-10391000000,-54000000,-167000000,-43000000,-2398000000,468000000,- -,-1036000000,-458000000,- -,-854000000
86,Purchases of Investments,- -,- -,- -,- -,-58000000,-42000000,-512000000,-782000000,-1634000000,-3090000000,-3499000000,-7386000000,-5213000000,-4059000000,-1015000000,-1131000000,-434000000,-351000000,-596000000,-715000000,-1729000000,-46000000,-282000000,-178000000,-160000000,-51000000,-96000000,-972000000,-1243000000,-1086000000,-259000000,-126000000,-1919000000,-1532000000,-112000000,-856000000,-28000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,174000000,53000000,46000000,883000000,1283000000,2439000000,3669000000,7074000000,4158000000,4773000000,1048000000,1004000000,742000000,381000000,875000000,1064000000,2066000000,94000000,425000000,280000000,171000000,200000000,68000000,662000000,1153000000,1347000000,302000000,133000000,535000000,2226000000,803000000,417000000,304000000
88,Other Investing Activites,- -,- -,- -,- -,-411000000,-22000000,-86000000,-335000000,152000000,360000000,256000000,338000000,381000000,488000000,473000000,738000000,670000000,4798000000,353000000,447000000,542000000,556000000,567000000,425000000,495000000,602000000,999000000,617000000,653000000,843000000,424000000,6000000,69000000,172000000,- -,3000000,148000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1152000000,-966000000,-1414000000,-1266000000,-1604000000,-1610000000,-1175000000,-2175000000,-3012000000,-795000000,-628000000,-1126000000,-549000000,3118000000,-1512000000,-2454000000,-1757000000,-2787000000,-9123000000,-13711000000,-3580000000,-11359000000,-13959000000,-3453000000,-2803000000,-2792000000,-5534000000,48000000,-1717000000,-716000000,-438000000,-1016000000,-1012000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9566000000,-1323000000,-2336000000,-7108000000,-5875000000,-6037000000,-15867000000,-2188000000,-87000000,-3694000000,-1536000000,-1849000000,-1245000000
91,Common Stock Issued,- -,- -,- -,- -,223000000,220000000,251000000,293000000,308000000,300000000,361000000,363000000,419000000,467000000,660000000,748000000,354000000,377000000,482000000,570000000,1161000000,2538000000,3103000000,1810000000,1837000000,2617000000,896000000,716000000,288000000,297000000,371000000,48000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-140000000,- -,-79000000,-530000000,-314000000,-325000000,-686000000,-1089000000,-724000000,-2424000000,-2643000000,-5570000000,-1240000000,-671000000,-751000000,-3309000000,-3514000000,-7779000000,-10887000000,-9620000000,-5140000000,-11042000000,-10117000000,-1619000000,-1532000000,-2728000000,-2883000000,-1161000000,-1412000000,-2557000000,-2405000000,-3107000000,-6249000000
93,Dividends Paid,- -,- -,- -,- -,-85000000,-102000000,-120000000,-183000000,-228000000,-280000000,-358000000,-450000000,-532000000,-625000000,-650000000,-638000000,-621000000,-801000000,-977000000,-972000000,-926000000,-894000000,-846000000,-796000000,-766000000,-771000000,-844000000,-1015000000,-1105000000,-1184000000,-1250000000,-858000000,-894000000,-899000000,-970000000,-997000000,-938000000
94,Other Financing Activites,- -,- -,- -,- -,750000000,220000000,-642000000,414000000,944000000,159000000,861000000,807000000,-285000000,-1091000000,1592000000,165000000,277000000,-472000000,-303000000,-448000000,-1744000000,58000000,3031000000,6586000000,6962000000,7606000000,10835000000,5166000000,281000000,3081000000,20973000000,-10264000000,1142000000,1507000000,66000000,2980000000,2470000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,748000000,338000000,-590000000,-6000000,710000000,-146000000,178000000,-369000000,-1122000000,-3673000000,-1041000000,-5295000000,-1230000000,-1567000000,-1549000000,-4159000000,-5023000000,-6077000000,-5599000000,-2020000000,-6673000000,-2913000000,-1566000000,-3860000000,-7943000000,-6571000000,1344000000,-14423000000,-1251000000,-5643000000,-4845000000,-2973000000,-5962000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,748000000,338000000,-590000000,-6000000,710000000,468000000,616000000,912000000,187000000,974000000,1365000000,-1996000000,782000000,6995000000,2996000000,-1525000000,1248000000,2489000000,-5107000000,-1140000000,3126000000,-2350000000,-2886000000,3258000000,862000000,2970000000,2300000000,-11145000000,709000000,-1831000000,-629000000,327000000,-565000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357000000,1973000000,2885000000,3072000000,4046000000,5411000000,3415000000,4197000000,11192000000,14188000000,12663000000,13911000000,16400000000,11293000000,10153000000,13279000000,10929000000,8043000000,11301000000,12163000000,15133000000,17433000000,6288000000,6997000000,5166000000,4537000000,4864000000,4299000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,814000000,906000000,1077000000,625000000,641000000,889000000,1357000000,1973000000,2885000000,3072000000,4046000000,5411000000,3415000000,4197000000,11192000000,14188000000,12663000000,13911000000,16400000000,11293000000,10153000000,13279000000,10929000000,8043000000,11301000000,12163000000,15133000000,17433000000,6288000000,6997000000,5166000000,4537000000,4864000000
100,Free Cash Flow,- -,- -,- -,- -,-361000000,-156000000,690000000,256000000,-263000000,967000000,12000000,1255000000,1983000000,3445000000,1900000000,2688000000,1034000000,3734000000,4062000000,2962000000,6033000000,8817000000,6575000000,11601000000,9684000000,7789000000,8100000000,6865000000,8409000000,8480000000,2887000000,2797000000,3275000000,3982000000,3983000000,3736000000,5827000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47217/000089161895000009/0000891618-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089843096000245/0000898430-96-000245-index.html,https://www.sec.gov/Archives/edgar/data/47217/000089161897000198/0000891618-97-000198-index.html,https://www.sec.gov/Archives/edgar/data/47217/0000891618-98-000244-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/47217/000091205701002796/0000912057-01-002796-index.html,https://www.sec.gov/Archives/edgar/data/47217/000101287002000299/0001012870-02-000299-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746903002015/a2096381z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746904001113/a2125373z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905000929/a2148694z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746905028479/a2165549z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746906015253/a2174889z10-k.htm,https://www.sec.gov/Archives/edgar/data/47217/000104746907010151/0001047469-07-010151-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746908013240/0001047469-08-013240-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746909010806/0001047469-09-010806-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/0001047469-10-010444-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746911010094/0001047469-11-010094-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746912011417/0001047469-12-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746913011417/0001047469-13-011417-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746914009977/0001047469-14-009977-index.html,https://www.sec.gov/Archives/edgar/data/47217/000104746915009251/0001047469-15-009251-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721716000093/0000047217-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721717000043/0000047217-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721718000052/0000047217-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721719000071/0000047217-19-000071-index.html,https://www.sec.gov/Archives/edgar/data/47217/000004721720000045/0000047217-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721721000060/0000047217-21-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
