,https://roic.ai/company/LUMN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,7700000,-17300000,-14700000,-60600000,-106700000,-205500000,-44600000,-34900000,-38500000,-78600000,-23100000,-366866000,-993683000,-92202000,-8444000,-271771000,-323214000,-327448000,-444136000,97017000,-583604000,132087000,-496000000,-982000000,-502000000,-342000000,-1954000000,-187000000,-663000000,-1711000000,-2490000000,-3458000000,-408000000
82,Other Non-Cash Items,- -,- -,- -,1000000,27400000,-3100000,78500000,50800000,87400000,-183400000,-14000000,-130800000,-67200000,-218300000,244882000,419119000,-1390441000,40152000,306636000,80239000,-98265000,191031000,-644889000,423312000,-1222181000,-164913000,600000000,386000000,-542000000,1274000000,-1787000000,-151000000,3985000000,7297000000,3473000000,139000000
83,Cash Provided by Operating Activities,- -,- -,- -,58200000,86800000,93900000,146300000,166800000,199800000,215700000,264700000,297300000,467800000,408700000,562466000,665362000,795402000,1067964000,955831000,964739000,840719000,1029986000,853300000,1573715000,2044704000,4201000000,6065000000,5559000000,5188000000,5152000000,4608000000,3878000000,7032000000,6680000000,6524000000,6501000000
84,CAPEX,- -,- -,- -,-62400000,-65400000,-95700000,-140100000,-204200000,-200800000,-196600000,-222900000,-181200000,-536500000,-411000000,-449537000,-506727000,-386267000,-377939000,-385316000,-414872000,-314071000,-326045000,-286817000,-756544000,-863769000,-2411000000,-2919000000,-3048000000,-3047000000,-2872000000,-2981000000,-3106000000,-3175000000,-3628000000,-3729000000,-2900000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1540856000,-47131000,-2245026000,-86243000,-2000000,-75453000,- -,-306805000,- -,76906000,- -,-1252000000,- -,-160000000,-93000000,-4000000,-39000000,-7294000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,-5222000,-2667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-65100000,-4800000,-28500000,-141100000,-62300000,-79500000,-31200000,-18900000,-1321900000,160900000,480800000,76317000,278192000,2766000,-456000,-995000,8933000,125562000,16329000,-102178000,794000,4716000,16000000,229000000,60000000,63000000,23000000,26000000,1529000000,97000000,-3570000000,-3564000000,-2712000000
89,Cash Used for Investing Activites,- -,- -,- -,-132800000,-70200000,-124200000,-271200000,-266500000,-280300000,-227800000,-241800000,-1503100000,-375600000,69800000,-1914076000,-275666000,-2628527000,-464638000,-413311000,-481392000,-193731000,-619188000,-388995000,-678844000,-859053000,-3647000000,-2690000000,-3148000000,-3077000000,-2853000000,-2994000000,-8871000000,-3078000000,-3570000000,-3564000000,-2712000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1097064000,-499931000,-3072000000,-5464000000,-2136000000,-804000000,-1282000000,-2502000000,-1963000000,-1936000000,-4457000000,-7415000000,-3598000000
91,Common Stock Issued,- -,- -,- -,87000000,6000000,6400000,8800000,3500000,4800000,6500000,10100000,14200000,15000000,19200000,7996000,7351000,29125000,33980000,29485000,448538000,97803000,49404000,14599000,56823000,130260000,103000000,110000000,73000000,50000000,11000000,6000000,5000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-401013000,-551759000,-802188000,-460676000,-347264000,-15563000,-16515000,-31000000,-37000000,-1586000000,-650000000,-819000000,-16000000,-17000000,- -,- -,- -,-1000000000
93,Dividends Paid,- -,- -,- -,-12200000,-13000000,-13400000,-14100000,-15700000,-17200000,-19400000,-21800000,-22700000,-24200000,-25400000,-26815000,-28653000,-30156000,-32017000,-31861000,-31862000,-29203000,-29052000,-220266000,-560697000,-878005000,-1556000000,-1811000000,-1301000000,-1228000000,-1198000000,-1167000000,-1453000000,-2312000000,-1100000000,-1109000000,-1087000000
94,Other Financing Activites,- -,- -,- -,27300000,-21000000,16400000,128300000,111900000,90200000,26400000,-11300000,1231900000,-103200000,-421400000,1332828000,-374071000,1834321000,-405769000,-175097000,-356633000,-46578000,38260000,297551000,640110000,89676000,3979000000,3907000000,2496000000,481000000,987000000,2161000000,8786000000,225000000,3646000000,4274000000,1878000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,102100000,-28000000,9400000,123000000,99700000,77800000,13500000,-23000000,1223400000,-112400000,-427600000,1314009000,-395373000,1833290000,-403806000,-578486000,-491716000,-780166000,-402064000,-255380000,-976391000,-1174515000,-577000000,-3295000000,-2454000000,-2151000000,-2301000000,-1518000000,5358000000,-4023000000,-1911000000,-4250000000,-3807000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000000,3000000,- -,- -,- -,- -,-2000000,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50900000,-37601000,-5677000,165000,199520000,-35966000,-8369000,-133178000,8734000,208925000,-81520000,11136000,-45000000,83000000,-43000000,-40000000,-2000000,96000000,363000000,-69000000,1199000000,-1290000000,-18000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56600000,19039000,13362000,3661000,203181000,167215000,158846000,25668000,34402000,243327000,161807000,172943000,128000000,211000000,168000000,128000000,126000000,222000000,587000000,518000000,1717000000,427000000,409000000
99,Cash at the Beginning of Period,- -,- -,- -,16500000,44000000,32600000,11600000,9800000,9800000,7200000,8500000,8400000,26000000,5700000,56640000,19039000,3496000,3661000,203181000,167215000,158846000,25668000,34402000,243327000,161807000,173000000,128000000,211000000,168000000,128000000,126000000,224000000,587000000,518000000,1717000000,427000000
100,Free Cash Flow,- -,- -,- -,-4200000,21400000,-1800000,6200000,-37400000,-1000000,19100000,41800000,116100000,-68700000,-2300000,112929000,158635000,409135000,690025000,570515000,549867000,526648000,703941000,566483000,817171000,1180935000,1790000000,3146000000,2511000000,2141000000,2280000000,1627000000,772000000,3857000000,3052000000,2795000000,3601000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892605000025/0000018926-05-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000001892609000008/0000018926-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18926/000104746912001666/0001047469-12-001666-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000104746913002037/0001047469-13-002037-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000144530514000656/0001445305-14-000656-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892615000008/0000018926-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892616000047/0000018926-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892617000013/0000018926-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892618000012/0000018926-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892619000006/0000018926-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892620000009/0000018926-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892621000017/0000018926-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/18926/000001892622000007/0000018926-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
