,https://roic.ai/company/TXN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,453700000,541000000,590000000,610000000,617000000,665000000,756000000,904000000,1109000000,1144000000,1055000000,1376000000,1828000000,1689000000,1528000000,1549000000,1558000000,1221000000,1070000000,1059000000,925000000,913000000,1015000000,1299000000,1297000000,1230000000,1133000000,955000000,904000000,954000000,1050000000,992000000,954000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-93000000,-59000000,-12000000,-46000000,-51000000,-148000000,-50000000,-9000000,1000000,19000000,13000000,75000000,68000000,-194000000,-200000000,34000000,-182000000,146000000,-188000000,-119000000,65000000,50000000,-61000000,-55000000,-202000000,112000000,-105000000,81000000,-137000000,15000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000,186000000,190000000,269000000,263000000,287000000,277000000,286000000,252000000,242000000,232000000,217000000,224000000,230000000
77,Change in Working Capital,- -,- -,- -,- -,64500000,- -,- -,- -,- -,1818000000,512000000,-362000000,1639000000,-957000000,777000000,1875000000,-1107000000,-3000000,1317000000,2756000000,-1426000000,-1063000000,-883000000,-635000000,269000000,552000000,-750000000,471000000,472000000,-166000000,-587000000,674000000,1283000000,-853000000,1015000000,1211000000,-165000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865000000,-364000000,-231000000,112000000,311000000,16000000,-49000000,77000000,-108000000,-7000000,71000000,133000000,-340000000,-287000000
79,Inventory,- -,- -,- -,- -,-36700000,-81000000,55000000,50000000,-88000000,-60000000,-253000000,245000000,-34000000,74000000,-211000000,-372000000,482000000,-39000000,-194000000,-272000000,-25000000,-248000000,11000000,43000000,177000000,-304000000,-17000000,5000000,26000000,-53000000,93000000,-99000000,-167000000,-282000000,216000000,46000000,45000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000000,-284000000,-194000000,-188000000,72000000,51000000,-7000000,-93000000,63000000,33000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1818000000,2330000000,1968000000,3607000000,2650000000,3427000000,5302000000,4195000000,4192000000,5509000000,8265000000,6839000000,5776000000,4893000000,4258000000,4527000000,5079000000,4329000000,4800000000,5272000000,5106000000,4519000000,5193000000,6476000000,5623000000,6638000000,7849000000,7000000
82,Other Non-Cash Items,- -,- -,- -,- -,-11400000,192000000,236000000,37000000,-96000000,-1630000000,-643000000,330000000,-2489000000,707000000,-1200000000,-4125000000,1280000000,637000000,-1967000000,-3088000000,1510000000,-1839000000,1528000000,955000000,-353000000,-875000000,605000000,-443000000,-884000000,-209000000,505000000,-660000000,-860000000,1381000000,-731000000,-1746000000,-47000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,798500000,694000000,417000000,801000000,934000000,1532000000,1667000000,884000000,1916000000,1251000000,2029000000,2185000000,1819000000,1992000000,2151000000,3146000000,3772000000,2460000000,4406000000,3330000000,2643000000,3820000000,3256000000,3414000000,3384000000,3892000000,4268000000,4614000000,5363000000,7189000000,6649000000,6139000000,8756000000
84,CAPEX,- -,- -,- -,- -,-862500000,-909000000,-504000000,-429000000,-730000000,-1076000000,-1439000000,-2063000000,-1238000000,-1031000000,-1373000000,-2762000000,-1790000000,-802000000,-800000000,-1298000000,-1330000000,-1272000000,-686000000,-763000000,-753000000,-1199000000,-816000000,-495000000,-412000000,-385000000,-551000000,-531000000,-695000000,-1131000000,-847000000,-649000000,-2462000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313000000,- -,-152000000,-469000000,-3000000,- -,-69000000,-128000000,-8000000,-19000000,-205000000,-87000000,-19000000,-155000000,-199000000,-5425000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-44800000,-15000000,-151000000,-354000000,- -,-779000000,-733000000,-27000000,-2457000000,-2244000000,-2524000000,-5542000000,-3989000000,-3172000000,-4402000000,-3696000000,-5868000000,-6861000000,-5065000000,-1755000000,-2282000000,-2518000000,-3659000000,-2803000000,-3907000000,-3107000000,-2767000000,-3503000000,-4555000000,-5641000000,-3444000000,-5786000000,-10124000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,75500000,225000000,122000000,- -,19000000,732000000,1076000000,202000000,479000000,2537000000,2491000000,6376000000,4153000000,2934000000,4510000000,3841000000,5483000000,8429000000,5992000000,1355000000,2094000000,2711000000,3712000000,2259000000,4249000000,2966000000,2892000000,3390000000,4095000000,6708000000,2309000000,5545000000,8478000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,48000000,- -,- -,- -,150000000,2011000000,-580000000,- -,107000000,- -,- -,-22000000,- -,47000000,3000000000,61000000,- -,- -,148000000,16000000,- -,67000000,149000000,124000000,-6000000,28000000,-14000000,62000000,-681000000,-2449000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-831800000,-699000000,-533000000,-735000000,-711000000,-1123000000,-1096000000,-2051000000,-1205000000,-1470000000,-1875000000,-1824000000,-1626000000,-1109000000,-842000000,-1161000000,-1687000000,3091000000,215000000,-1182000000,-1096000000,-1057000000,-6172000000,-1039000000,-3000000,-377000000,-302000000,-650000000,-1127000000,-78000000,-1920000000,-922000000,-4095000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000000,-1375000000,-1500000000,-1000000000,-1000000000,-1000000000,-625000000,-500000000,-750000000,-500000000,-550000000
91,Common Stock Issued,- -,- -,- -,- -,46800000,8000000,325000000,25000000,100000000,110000000,111000000,35000000,140000000,196000000,398000000,242000000,183000000,167000000,157000000,192000000,520000000,419000000,761000000,210000000,109000000,407000000,690000000,523000000,1314000000,616000000,442000000,472000000,483000000,373000000,539000000,470000000,377000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-225000000,-146000000,-150000000,- -,- -,- -,-86000000,-253000000,-467000000,-155000000,-395000000,-370000000,-284000000,-753000000,-4151000000,-5302000000,-4886000000,-2122000000,-954000000,-2454000000,-1973000000,-1800000000,-2868000000,-2831000000,-2741000000,-2132000000,-2556000000,-5100000000,-2960000000,-2553000000,-527000000
93,Dividends Paid,- -,- -,- -,- -,-97300000,-94000000,-90000000,-98000000,-86000000,-79000000,-111000000,-129000000,-131000000,-133000000,-134000000,-141000000,-147000000,-147000000,-147000000,-154000000,-173000000,-199000000,-425000000,-537000000,-567000000,-592000000,-644000000,-819000000,-1175000000,-1323000000,-1444000000,-1646000000,-2104000000,-2555000000,-3008000000,-3426000000,-3886000000
94,Other Financing Activites,- -,- -,- -,- -,-32300000,72000000,163000000,62000000,-32000000,-90000000,23000000,957000000,-544000000,-72000000,139000000,-314000000,-132000000,-29000000,-165000000,-435000000,264000000,-486000000,73000000,19000000,1000000,13000000,4716000000,1520000000,1059000000,595000000,578000000,496000000,1068000000,1453000000,1449000000,1462000000,1449000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-82800000,-14000000,173000000,-157000000,-168000000,-59000000,23000000,863000000,-621000000,-262000000,-64000000,-368000000,-491000000,-379000000,-439000000,-1150000000,-3540000000,-5568000000,-4477000000,-2430000000,-1411000000,-2626000000,2589000000,-1951000000,-3170000000,-3943000000,-4165000000,-3810000000,-3734000000,-6329000000,-4730000000,-4547000000,-3137000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-7000000,4000000,-8000000,-5000000,-7000000,6000000,10000000,-16000000,-23000000,6000000,-60000000,-29000000,-16000000,14000000,-1000000,15000000,6000000,2000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-82800000,-14000000,173000000,-157000000,48000000,356000000,604000000,-400000000,51000000,-475000000,30000000,-36000000,-314000000,518000000,869000000,850000000,-1449000000,-31000000,145000000,-282000000,136000000,137000000,-327000000,424000000,211000000,-428000000,-199000000,154000000,502000000,782000000,-1000000,670000000,1524000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,404000000,760000000,1364000000,964000000,1015000000,540000000,662000000,745000000,431000000,949000000,1818000000,2668000000,1219000000,1183000000,1328000000,1046000000,1182000000,1319000000,992000000,1416000000,1627000000,1199000000,1000000000,1154000000,1656000000,2438000000,2437000000,3107000000,4631000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,541300000,418000000,403000000,452000000,356000000,404000000,760000000,1364000000,964000000,1015000000,632000000,781000000,745000000,431000000,949000000,1818000000,2668000000,1214000000,1183000000,1328000000,1046000000,1182000000,1319000000,992000000,1416000000,1627000000,1199000000,1000000000,1154000000,1656000000,2438000000,2437000000,3107000000
100,Free Cash Flow,- -,- -,- -,- -,-64000000,-215000000,-87000000,372000000,204000000,456000000,228000000,-1179000000,678000000,220000000,656000000,-577000000,29000000,1190000000,1351000000,1848000000,2442000000,1188000000,3720000000,2567000000,1890000000,2621000000,2440000000,2919000000,2972000000,3507000000,3717000000,4083000000,4668000000,6058000000,5802000000,5490000000,6294000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97476/000093066103000885/0000930661-03-000885-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312504031317/0001193125-04-031317-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312505038623/0001193125-05-038623-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312506041333/0001193125-06-041333-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312507042451/0001193125-07-042451-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000120677409000314/0001206774-09-000314-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/0001140361-11-012312-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747612000010/0000097476-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/0000097476-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/0000097476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
