,https://roic.ai/company/DIS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,399800000,832900000,1249400000,2339700000,2790500000,2585300000,3616300000,-2322000000,1848000000,1850000000,2493000000,1605000000,810000000,30000000,-355000000,-1690000000,-323000000,-648000000,-77000000,75000000,2955000000,1225000000,1669000000,896000000,2405000000,1884000000,424000000,124000000,-3706000000,-1035000000,-3217000000,8623000000,2580000000
82,Other Non-Cash Items,- -,- -,- -,- -,36400000,-436500000,-344300000,-828500000,366200000,293800000,-754000000,5483300000,-4322000000,-491000000,-114000000,1507000000,2189000000,862000000,501000000,2522000000,-708000000,1709000000,-1068000000,-587000000,-3534000000,1977000000,-648000000,190000000,-879000000,-413000000,1325000000,-12000000,3713000000,-2805000000,-7254000000,-6836000000,5145000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1275600000,1358900000,1503300000,1838100000,2145200000,2807300000,3510100000,4625000000,7064000000,5115000000,5588000000,6434000000,3048000000,2286000000,2901000000,4644000000,4269000000,6058000000,5421000000,5446000000,5064000000,6578000000,6994000000,7966000000,9452000000,9780000000,10909000000,13213000000,12343000000,14295000000,6606000000,7618000000,5567000000
84,CAPEX,- -,- -,- -,- -,-1308800000,-716300000,-1038000000,-544400000,-793700000,-1026100000,-896500000,-1745000000,-1922000000,-2527000000,-2453000000,-2104000000,-1795000000,-1086000000,-1049000000,-1427000000,-1823000000,-1299000000,-1566000000,-1586000000,-1753000000,-2110000000,-3559000000,-3784000000,-2796000000,-3311000000,-4265000000,-4773000000,-3623000000,-4465000000,-4876000000,-4022000000,-3578000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000000,-480000000,-2845000000,-130000000,-48000000,-9000000,- -,-588000000,-660000000,-517000000,-2323000000,380000000,-1073000000,-2046000000,-7000000,166000000,-805000000,-417000000,-1581000000,-9901000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-194300000,-692800000,-621600000,-1923800000,-1033200000,-18000000,-56000000,-13000000,-39000000,-82000000,-88000000,-9000000,-14000000,-67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6300000,74200000,- -,- -,- -,1494100000,1460300000,409000000,31000000,238000000,202000000,207000000,235000000,601000000,40000000,14000000,- -,1154000000,1535000000,84000000,231000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-426700000,-539800000,-500600000,-686500000,-1244400000,-1430900000,-1819000000,-12110000000,-3954000000,-3363000000,-3020000000,-1757000000,113000000,163000000,119000000,44000000,141000000,-82000000,-2000000,- -,-57000000,-90000000,-107000000,98000000,166000000,-27000000,-146000000,-180000000,-71000000,710000000,10659000000,385000000,415000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1729200000,-1181900000,-1732900000,-1923700000,-2659700000,-2886700000,-2288400000,-13464000000,-5901000000,-5665000000,-5310000000,-3770000000,-2015000000,-3176000000,-1034000000,-1484000000,-1691000000,-227000000,-621000000,-2162000000,-2096000000,-4523000000,-3286000000,-4759000000,-4676000000,-3345000000,-4245000000,-5758000000,-4111000000,-5336000000,-4118000000,-3637000000,-3163000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1617000000,-1371000000,-1096000000,-3822000000,-1502000000,-1648000000,-2221000000,-2205000000,-2364000000,-1871000000,-38881000000,-3533000000,-3737000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,180000000,184000000,204000000,482000000,177000000,47000000,51000000,201000000,394000000,1282000000,1245000000,636000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-427500000,-181100000,- -,-31600000,-570700000,-348700000,-462000000,-633000000,-30000000,-19000000,-166000000,-1073000000,- -,- -,-335000000,-2420000000,-6898000000,-6923000000,-4453000000,-138000000,-2669000000,-4993000000,-3015000000,-4087000000,-6527000000,-6095000000,-7499000000,-9368000000,-3577000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-61800000,-74100000,-87200000,-105300000,-128600000,-153200000,-180000000,-271000000,-342000000,-412000000,- -,-434000000,-438000000,-428000000,-429000000,-430000000,-490000000,-519000000,-637000000,-664000000,-648000000,-653000000,-756000000,-1076000000,-1324000000,-1508000000,-3063000000,-2313000000,-2445000000,-2515000000,-2895000000,-1587000000,- -
94,Other Financing Activites,- -,- -,- -,- -,468200000,763600000,564200000,69600000,272900000,627200000,196600000,8688000000,-329000000,618000000,-176000000,-2118000000,77000000,1892000000,-1145000000,-2137000000,-381000000,992000000,2774000000,528000000,-149000000,1943000000,3612000000,4928000000,2699000000,2973000000,5865000000,5026000000,5218000000,-880000000,40686000000,13600000000,-648000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,406400000,262000000,295900000,-35700000,112700000,-96700000,-332100000,8040000000,-1124000000,360000000,9000000,-2236000000,-1257000000,1511000000,-1523000000,-2701000000,-2897000000,-5143000000,-3541000000,-3953000000,-2552000000,-2750000000,-3233000000,-2985000000,-4214000000,-6710000000,-5514000000,-6991000000,-8959000000,-8843000000,-1090000000,8480000000,-4385000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-20000000,-18000000,-235000000,-302000000,-123000000,31000000,-25000000,-98000000,38000000,30000000
97,Net Change In Cash,- -,- -,- -,- -,406400000,262000000,295900000,-35700000,112700000,-96700000,-332100000,8040000000,-1124000000,360000000,287000000,428000000,-224000000,621000000,344000000,459000000,-319000000,688000000,1259000000,-669000000,416000000,-695000000,463000000,202000000,544000000,-510000000,848000000,341000000,-696000000,91000000,1300000000,12499000000,-1951000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,842000000,618000000,1239000000,1583000000,2042000000,1723000000,2411000000,3670000000,3001000000,3417000000,2722000000,3185000000,3387000000,3931000000,3421000000,4269000000,4610000000,4064000000,4155000000,5455000000,17954000000,16003000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,428000000,380800000,819800000,886100000,764800000,363000000,186900000,1077000000,278000000,317000000,127000000,414000000,842000000,618000000,1239000000,1583000000,2042000000,1723000000,2411000000,3670000000,3001000000,3417000000,2722000000,3185000000,3387000000,3931000000,3421000000,4269000000,4760000000,4064000000,4155000000,5455000000,17954000000
100,Free Cash Flow,- -,- -,- -,- -,-33200000,642600000,465300000,1293700000,1351500000,1781200000,2613600000,2880000000,5142000000,2588000000,3135000000,4330000000,1253000000,1200000000,1852000000,3217000000,2446000000,4759000000,3855000000,3860000000,3311000000,4468000000,3435000000,4182000000,6656000000,6469000000,6644000000,8440000000,8720000000,9830000000,1730000000,3596000000,1989000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/0001744489-19-000225-index.html,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000197/0001744489-20-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/0001744489-21-000220-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
