,https://roic.ai/company/LXU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,15500000,-32400000,20600000,-275900000,40200000,239735000,1624000,21915000,-22354000,-11723000,91705000,11776000,-26020000,19015000,-4438000,-48076000,-15172000,-14956000,-98188000,-20078000,-1468000,-15989000,-100113000,81362000,-116962000,-45239000,167085000,-82440000,2577000,20882000,27644000,-3138000,-71840000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-5700000,26000000,35400000,24400000,-18600000,6686000,-344000,13313000,-20484000,-4241000,-3146000,7432000,743000,26797000,13199000,1597000,10936000,17411000,46637000,31855000,57517000,44201000,89688000,99251000,53881000,66577000,31449000,-23884000,815000,17622000,2099000,-2513000,87627000
84,CAPEX,- -,- -,- -,- -,-14900000,-16300000,-3900000,-5300000,-10500000,-15647000,-17810000,-19950000,-12633000,-9620000,-7645000,-7736000,-7446000,-10029000,-7177000,-9600000,-15315000,-14701000,-14808000,-32556000,-28891000,-34475000,-44221000,-142863000,-166582000,-223003000,-442696000,-212543000,-35425000,-37050000,-36081000,-30471000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23841000,6660000,61000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-177700000,-243300000,-114900000,-57200000,-86900000,-3068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10051000,-30009000,-10014000,-10032000,-209990000,-104000000,-25000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,97100000,256500000,1300000,87100000,56900000,- -,1586000,2266000,283000,427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30057000,10012000,20037000,- -,274490000,64500000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-18400000,20900000,51900000,1000000,27200000,-16426000,-20337000,-23278000,-15969000,19355000,11447000,3213000,7589000,590000,2520000,-426000,4741000,-3720000,2960000,3069000,-28009000,-26036000,-44594000,-81455000,-13051000,37329000,46304000,9136000,739000,1920000,95000,2045000,-34694000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-113900000,17800000,-65600000,25600000,-13300000,-19494000,-18751000,-21012000,-15686000,19782000,3802000,-4523000,143000,-9439000,-4657000,-10026000,-10574000,-18421000,-11848000,-29487000,-38060000,-25988000,-44596000,-121669000,-389623000,-12023000,-354003000,-203407000,-10845000,-28470000,-35925000,-28426000,-34694000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-524726000,-555662000,-690118000,-225759000,-24537000,-26613000,-74988000,-203310000,-25600000,-395042000,-39901000,-62297000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,196000,72000,- -,- -,32000,33000,1770000,820000,248000,298000,1915000,846000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4956000,-1445000,-175000,-2145000,-3567000,-230000,-1645000,- -,- -,- -,-271000,-597000,-95000,-1292000,-4821000,-3200000,-2421000,- -,-39000,- -,- -,- -,-71966000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2000000,-2000000,-1900000,-1800000,-2700000,-4043000,-4003000,-4009000,- -,-3473000,-1742000,- -,- -,- -,- -,- -,- -,-262000,-2934000,-306000,-306000,-305000,-305000,-300000,-300000,-300000,-300000,-8028000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,103900000,1400000,6800000,-38300000,13000000,23253000,23353000,11890000,41433000,-11952000,2987000,-1331000,-3353000,-15928000,-9214000,5711000,3620000,-1329000,23491000,-10107000,524310000,545744000,703314000,221607000,406309000,15420000,338345000,87738000,9232000,395589000,70470000,86709000,12947000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,101900000,-600000,4900000,-40100000,10300000,14254000,17905000,7899000,39484000,-18920000,1015000,-2976000,-3321000,-15895000,-7444000,6260000,3271000,-1388000,21180000,-14388000,-3922000,-12644000,12891000,-4491000,381472000,-11493000,263057000,-195566000,-16368000,547000,30569000,24412000,12947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171000,-1190000,200000,3314000,-3379000,1671000,-67000,-2435000,1463000,1098000,-2169000,3633000,-2398000,55969000,-12020000,15535000,5207000,57983000,-26909000,45730000,43061000,-59497000,-67178000,-26398000,-7571000,-3257000,-6527000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2610000,1420000,1620000,4934000,1555000,3130000,3063000,628000,2091000,3189000,1020000,4653000,2255000,58224000,46204000,61739000,66946000,124929000,98020000,143750000,186811000,127314000,60017000,33619000,26048000,22791000,16264000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,23300000,5500000,48700000,23300000,33300000,2781000,2610000,1420000,1620000,4934000,1459000,3130000,3063000,628000,2091000,3189000,1020000,4653000,2255000,58224000,46204000,61739000,66946000,124929000,98020000,143750000,186811000,127195000,60017000,33619000,26048000,22791000,- -
100,Free Cash Flow,- -,- -,- -,- -,-20600000,9700000,31500000,19100000,-29100000,-8961000,-18154000,-6637000,-33117000,-13861000,-10791000,-304000,-6703000,16768000,6022000,-8003000,-4379000,2710000,31829000,-701000,28626000,9726000,45467000,-43612000,-112701000,-156426000,-411247000,-236427000,-34610000,-19428000,-33982000,-32984000,87627000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071402000010/0000060714-02-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071404000030/lsb10k04.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000119312506070789/d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071407000053/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000006071408000010/form_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/60714/000006071410000004/0000060714-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/60714/000006071411000006/form_10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000095012312003694/0000950123-12-003694-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312513084410/0001193125-13-084410-index.html,https://www.sec.gov/Archives/edgar/data/60714/000119312514070134/d635174d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000119312515070433/d838912d10k.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459016013735/0001564590-16-013735-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459017002567/0001564590-17-002567-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459018003240/0001564590-18-003240-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459019004486/0001564590-19-004486-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459020006380/0001564590-20-006380-index.html,https://www.sec.gov/Archives/edgar/data/60714/000156459021008804/0001564590-21-008804-index.htm,https://www.sec.gov/Archives/edgar/data/60714/000156459022006694/0001564590-22-006694-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
