,https://roic.ai/company/BIG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,-13200000,17700000,-26500000,20300000,22000000,32200000,36100000,43200000,215500000,112900000,293100000,-166400000,66700000,-103400000,-13900000,45714000,-81714000,-65000000,117500000,-284000000,-35024000,224724000,-70700000,-87900000,39100000,82700000,-93100000,-134616000,-200000,116581000,57078000,-296314000,392036000,-298784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-18700000,-1400000,- -,-40900000,- -,-49300000,-86200000,-184000000,64300000,-186200000,- -,-9019000,- -,-70917000,-53359000,-65447000,58924000,77907000,10243000,11326000,5279000,-30809000,-54512000,-92721000,1385000,63336000,1687000,-8707000,-14100000,-96772000,48295000,-19028000,-297503000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73889000,-7045000,31555000,43460000,-27468000,-6864000,23345000,18217000,-49269000,45677000,-18662000,20193000,189063000
81,Other Working Capital,- -,- -,108800000,126500000,100000000,120300000,142300000,174500000,210600000,253800000,469300000,582200000,875300000,708900000,775600000,672200000,658300000,704014000,622300000,557300000,674800000,390800000,355776000,580500000,509800000,421900000,461000000,543700000,450600000,315984000,315784000,432365000,489443000,193129000,585165000,286381000
82,Other Non-Cash Items,- -,- -,700000,-42000000,51100000,800000,-43400000,-67300000,-58400000,-107200000,-260200000,-131400000,-447400000,221371000,63097000,225756000,23989000,-29772000,28032000,183931000,58005000,349872000,7235000,-142888000,44303000,80971000,-61030000,-92907000,158375000,213179000,27124000,-222452000,-125625000,191709000,-734466000,112447000
83,Cash Provided by Operating Activities,- -,- -,25600000,-15900000,44900000,53800000,34900000,29400000,59700000,29400000,69500000,149500000,56200000,251935000,-307934000,150933000,218218000,184910000,71261000,212965000,381477000,307932000,211063000,392026000,315257000,318471000,281133000,198334000,318562000,342352000,311925000,250368000,234060000,338970000,399349000,193762000
84,CAPEX,- -,- -,-13700000,-32000000,-7900000,-18100000,-40400000,-46000000,-41600000,-48100000,-93600000,-146500000,-166600000,-147236000,-114847000,-107561000,-102057000,-163718000,-135291000,-68503000,-35878000,-60360000,-88735000,-78708000,-107563000,-131293000,-131273000,-104786000,-93460000,-125989000,-89782000,-158351000,-377024000,-265203000,-135220000,-160804000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1835000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115125000,- -,-488075000,-436040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122625000,- -,488075000,436040000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,500000,200000,400000,200000,1000000,500000,-6700000,-400000,-176300000,-4100000,1500000,356000,277078000,6123000,5938000,-216000,35000,1801000,5457000,1596000,543000,-77937000,-114552000,-122547000,-130357000,-97495000,-90749000,-113193000,-84701000,-140902000,-247601000,-74480000,452987000,-160841000
89,Cash Used for Investing Activites,- -,- -,-13200000,-31800000,-7500000,-17900000,-39400000,-45500000,-48300000,-48500000,-269900000,-150600000,-165100000,-146880000,162231000,-101438000,-96119000,-163934000,-127756000,-66702000,-30421000,-58764000,-88192000,-77937000,-114552000,-120712000,-130357000,-97495000,-90749000,-113193000,-84701000,-156508000,-376473000,-74480000,452987000,-159686000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-344312000,-2463000,-18617000,-1321000,-95289000,-17265000,-4433000,-4514000,-4134000,-3908000,-73469000,-3648000,-50418000
91,Common Stock Issued,- -,- -,200000,500000,300000,500000,600000,1000000,1000000,5000000,194800000,18800000,33300000,10105000,2127000,12353000,16087000,3704000,12224000,7015000,59033000,38288000,11212000,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21200000,- -,- -,- -,-1138000,- -,- -,-75000000,-15000,-150450000,-714911000,-37508000,-1849000,-350823000,-363957000,-304038000,-214000,-250671000,-201867000,-254304000,-165757000,-111750000,-55347000,-175642000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27828000,-38530000,-38466000,-44671000,-50608000,-48421000,-46964000,-41653000
94,Other Financing Activites,- -,- -,-1300000,38100000,-41300000,-1300000,- -,4700000,3100000,-13200000,22700000,5500000,109800000,-94729000,77900000,-62549000,- -,-460000,-52211000,-154074000,20308000,182929000,-98933000,280920000,46387000,76319000,147085000,4307000,46444000,17554000,67080000,120714000,303537000,-80566000,-119247000,-447839000
95,Cash Used/Provided by Financing Activities,- -,- -,-1100000,38600000,-41000000,-800000,600000,5700000,4100000,-8200000,217500000,3100000,143100000,-84624000,80027000,-51334000,16087000,3244000,-114987000,-147074000,-71109000,-493694000,-125229000,-65129000,-306899000,-306255000,-158274000,-91196000,-249320000,-227276000,-230204000,-93848000,137271000,-257803000,-345501000,-539910000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-496000,-468000,-1595000,5139000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1100000,38600000,-41000000,-800000,600000,5700000,4100000,-8200000,217500000,3100000,143100000,20431000,-65676000,-1839000,138186000,24220000,-171482000,-811000,279947000,-244526000,-2358000,248960000,-106194000,-108992000,-7966000,8048000,-16368000,1883000,-2980000,12000,-5142000,6687000,506835000,-505834000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96337000,30661000,28822000,167008000,191228000,2521000,1710000,281657000,37131000,34773000,283733000,177539000,68547000,60581000,68629000,52261000,54144000,51164000,51176000,46034000,52721000,559556000,- -
99,Cash at the Beginning of Period,- -,- -,5400000,16800000,7500000,3900000,39100000,35200000,24900000,40400000,13000000,39700000,41700000,75906000,96337000,30661000,28822000,167008000,174003000,2521000,1710000,281657000,37131000,34773000,283733000,177539000,68547000,60581000,68629000,52261000,54144000,51164000,51176000,46034000,52721000,559556000
100,Free Cash Flow,- -,- -,11900000,-47900000,37000000,35700000,-5500000,-16600000,18100000,-18700000,-24100000,3000000,-110400000,104699000,-422781000,43372000,116161000,21192000,-64030000,144462000,345599000,247572000,122328000,313318000,207694000,187178000,149860000,93548000,225102000,216363000,222143000,92017000,-142964000,73767000,264129000,32958000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015295000707/0000950152-95-000707-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015296001984/0000950152-96-001984-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015297003107/0000950152-97-003107-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/768835/000095015200003270/0000950152-00-003270-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015201501312/0000950152-01-501312-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015202003748/0000950152-02-003748-index.html,https://www.sec.gov/Archives/edgar/data/768835/000095015203004335/l00215ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000095015204002511/l06594ae10vk.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677405000641/d16721_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677406000762/d19008_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000120677407000893/0001206774-07-000893-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677408000667/0001206774-08-000667-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677409000649/0001206774-09-000649-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677410000795/0001206774-10-000795-index.html,https://www.sec.gov/Archives/edgar/data/768835/000120677411000661/biglots_10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883512000045/0000768835-12-000045-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883513000024/0000768835-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883514000016/0000768835-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883515000022/big-2015131x10k.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883516000096/0000768835-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883517000033/0000768835-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883518000030/0000768835-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883519000021/0000768835-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883520000033/0000768835-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/768835/000076883521000028/0000768835-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/768835/000076883522000038/0000768835-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
