,https://roic.ai/company/QCOM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-273668000,- -,-320655000,- -,- -,- -,- -,- -,-298000000,-54000000,-94000000,-3130000000,-833000000,-192000000,-883000000,-2997000000,-812000000,-1544000000,-326000000,-252000000,-185000000,-1377000000
86,Purchases of Investments,- -,- -,-14100000,-99300000,- -,-84300000,-587900000,-978745000,-269833000,-858108000,-2385822000,-1484568000,-1942901000,-4839839000,-8593000000,-8055000000,-12924000000,-8492000000,-8086000000,-10443000000,-9917000000,-11442000000,-19520000000,-17263000000,-16876000000,-16560000000,-18192000000,-19772000000,-5985000000,- -,-6213000000,-5907000000
87,Sales/Maturities of Investments,- -,- -,- -,18800000,- -,98400000,422100000,662862000,702376000,158036000,1789681000,1977894000,1306775000,3440470000,5465000000,8082000000,10983000000,7998000000,6689000000,5623000000,10474000000,10679000000,12918000000,16861000000,16411000000,16738000000,15615000000,42421000000,9460000000,207000000,2499000000,5875000000
88,Other Investing Activites,- -,- -,-100000,- -,-16300000,-17000000,-25700000,-57887000,-244977000,-75049000,247009000,-528557000,28936000,609305000,134000000,-227000000,3000000,-586000000,273000000,-583000000,-1302000000,-596000000,558000000,-984000000,-291000000,-753000000,-99000000,-2642000000,1232000000,-761000000,-1364000000,-1947000000
89,Cash Used for Investing Activites,- -,-6700000,-22500000,-130100000,-85000000,-102400000,-408100000,-536885000,-134000000,-955358000,-785982000,-149422000,-1069423000,-1028933000,-3326000000,-776000000,-2623000000,-1898000000,-2819000000,-5457000000,-839000000,-4489000000,-6877000000,-1578000000,-1639000000,-3572000000,-3488000000,18463000000,4381000000,-806000000,-5263000000,-3356000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1555000000,-591000000,-439000000,- -,-3083000000,-8200000000,-9309000000,-16627000000,-6492000000,-5065000000,-2885000000
91,Common Stock Issued,- -,400000,68900000,155200000,6500000,499200000,24300000,32519000,49825000,1311925000,143768000,132690000,119671000,191473000,335000000,423000000,703000000,573000000,1184000000,642000000,689000000,2647000000,1714000000,1525000000,1439000000,787000000,668000000,497000000,603000000,414000000,329000000,347000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5773000,-158488000,- -,-953000000,-1500000000,-1482000000,-1670000000,-285000000,-3016000000,-142000000,-1313000000,-4610000000,-4549000000,-11246000000,-3923000000,-1342000000,-22580000000,-1793000000,-2450000000,-3366000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134776000,-308000000,-524000000,-698000000,-862000000,-982000000,-1093000000,-1177000000,-1346000000,-1583000000,-2055000000,-2586000000,-2880000000,-2990000000,-3252000000,-3466000000,-2968000000,-2882000000,-3008000000
94,Other Financing Activites,- -,600000,-6900000,19400000,-300000,21000000,63100000,671683000,35851000,-41621000,-116148000,895000,6709000,-12050000,- -,- -,403000000,660000000,161000000,-97000000,1099000000,1914000000,1016000000,734000000,216000000,14161000000,8923000000,19285000000,10583000000,4453000000,4361000000,2114000000
95,Cash Used/Provided by Financing Activities,- -,1000000,62000000,174600000,6200000,520200000,87400000,704202000,85676000,1270304000,27620000,133585000,120607000,-113841000,27000000,-1054000000,-1092000000,-1111000000,-1307000000,-833000000,-2405000000,1518000000,-757000000,-4845000000,-5480000000,-2261000000,-5522000000,5879000000,-31487000000,-6386000000,-5707000000,-6798000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13009000,3105000,-3923000,-1049000,-720000,- -,- -,- -,2000000,-3000000,-5000000,-2000000,-14000000,-19000000,-5000000,-3000000,-20000000,-4000000,48000000,-41000000,-32000000,24000000,27000000
97,Net Change In Cash,- -,1000000,62000000,174600000,-52400000,520200000,-390500000,138694000,-72991000,484170000,56855000,671731000,18102000,638390000,-831000000,856000000,-463000000,804000000,-571000000,877000000,830000000,1915000000,-1655000000,2335000000,1765000000,-347000000,-1614000000,29083000000,-23252000000,62000000,-5132000000,409000000
98,Cash at the End of Period,- -,- -,- -,- -,45100000,- -,110100000,248837000,175846000,660016000,716871000,1388602000,1406704000,2045094000,1214000000,2070000000,1607000000,2411000000,1840000000,2717000000,3547000000,5462000000,3807000000,6142000000,7907000000,7560000000,5946000000,35029000000,11777000000,11839000000,6707000000,7116000000
99,Cash at the Beginning of Period,- -,3800000,100000,40200000,97500000,45000000,500600000,110143000,248837000,175846000,660016000,716871000,1388602000,1406704000,2045000000,1214000000,2070000000,1607000000,2411000000,1840000000,2717000000,3547000000,5462000000,3807000000,6142000000,7907000000,7560000000,5946000000,35029000000,11777000000,11839000000,6707000000
100,Free Cash Flow,- -,-4700000,-7700000,-36900000,-42200000,-61800000,-286400000,-191738000,-346233000,1996000,648930000,577300000,826389000,1543015000,2136000000,2110000000,2568000000,2993000000,2161000000,6411000000,2586000000,4307000000,4714000000,7730000000,7702000000,4512000000,6861000000,4003000000,3111000000,6399000000,4407000000,8648000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639296001149/0000936392-96-001149-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000091205700047095/0000912057-00-047095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639201500225/0000936392-01-500225-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/804328/000093639205000362/a14009e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639206000996/a24679e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639207000836/0000936392-07-000836-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012309057827/0000950123-09-057827-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/0000950123-10-100207-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/0001234452-12-000371-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/0001234452-13-000483-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/0001234452-14-000320-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/0001234452-15-000271-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/0001234452-16-000552-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/0001234452-17-000190-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
