,https://roic.ai/company/SLB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,519700000,552300000,659600000,708800000,790200000,776200000,820200000,885200000,972500000,1136300000,1020900000,1270754000,1896119000,1545053000,1570851000,1307931000,1350969000,1561410000,1953987000,2268508000,2476000000,2759000000,3281000000,3500000000,3666000000,4094000000,4078000000,4094000000,3837000000,3556000000,3589000000,2566000000,2120000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26200000,46500000,-76000000,-21700000,-20757000,14216000,-48702000,-12286000,6774000,30482000,4598000,21866000,-5698000,373000000,-109000000,-35000000,-76000000,-105000000,- -,- -,- -,- -,- -,-1011000000,-1248000000,-31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171559000,186000000,198000000,272000000,335000000,315000000,329000000,326000000,267000000,343000000,345000000,405000000,397000000,324000000
77,Change in Working Capital,- -,- -,- -,- -,-116600000,- -,- -,- -,- -,- -,- -,1568200000,873100000,2445200000,245000000,-1629194000,-2015201000,-752583000,2839869000,-1215842000,680628000,-308310000,819665000,1218495000,1621973000,842000000,2768000000,1787000000,912000000,-2182000000,2273000000,-3923000000,-5653000000,-970000000,187000000,-4000000,404000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1300000,18700000,-3700000,17400000,2700000,-37400000,-99300000,-144800000,-184400000,-122600000,-43600000,-194640000,-259290000,72383000,96606000,-166698000,-180099000,-222142000,-356294000,-299142000,64000000,-67000000,-991000000,-643000000,188000000,-36000000,625000000,800000000,108000000,-10000000,-314000000,86000000,75000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,928000000,654000000,-36000000,-2656000000,-1680000000,-737000000,-824000000,-161000000,-3330000000,160000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568200000,2441300000,4886500000,5131500000,3502306000,1487105000,734522000,3574391000,2358549000,3039177000,2730867000,3550532000,4769027000,6391000000,7233000000,10001000000,11788000000,12700000000,10518000000,12791000000,8868000000,3215000000,2245000000,2432000000,2428000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-52200000,-145000000,-467100000,-371600000,330500000,-369200000,-275100000,-1876600000,-1479800000,-2216600000,-90300000,1353719000,1150821000,3792785000,-2676852000,573932000,-1265161000,-186140000,-1713096000,-2189983000,-2524973000,-2463000000,-5114000000,-4348000000,-1734000000,3540000000,-177000000,7510000000,8641000000,644000000,12398000000,11751000000,-47000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,770900000,977600000,1008200000,998800000,1455500000,943100000,1194300000,1402100000,1708000000,2303100000,1520600000,1709118000,1568172000,2216558000,2104584000,1896665000,3003885000,4781409000,6258938000,6897682000,5266000000,5494000000,6169000000,6688000000,9786000000,11219000000,8572000000,6261000000,5663000000,5713000000,5431000000,2944000000,4651000000
84,CAPEX,- -,- -,- -,- -,-662300000,-675400000,-921300000,-809500000,-691100000,-782800000,-938800000,-1158000000,-1496000000,-1887400000,-927300000,-1323015000,-2052635000,-1365996000,-1025264000,-1215847000,-1592511000,-2467807000,-3191041000,-4068184000,-2625000000,-2914000000,-4016000000,-5046000000,-4337000000,-4297000000,-2896000000,-2685000000,-2383000000,-2260000000,-1955000000,-1217000000,-1180000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-920603000,-5231449000,-176586000,- -,-42834000,-108782000,-584097000,-1118690000,-345164000,-514000000,-702000000,-186000000,-845000000,-1210000000,-1008000000,-443000000,-2398000000,-847000000,287000000,563000000,401000000,6000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-120200000,-172600000,-181300000,- -,- -,-218900000,-846200000,-2292200000,-295100000,- -,- -,- -,-1145700000,- -,-706762000,-2406331000,-88815000,- -,- -,- -,- -,-1228000000,-648000000,-740000000,-6801000000,-1031000000,-1609000000,-981000000,-781000000,-1444000000,-474000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,108400000,28100000,353700000,157600000,- -,50200000,129200000,- -,- -,- -,- -,551619000,2430911000,51334000,554440000,1368333000,- -,700986000,- -,- -,- -,1023000000,351000000,- -,- -,446000000,- -,5544000000,3277000000,1943000000,317000000,- -,787000000
88,Other Investing Activites,- -,- -,- -,- -,329500000,-96200000,28200000,62800000,-494800000,-66500000,-131500000,-15600000,282200000,103100000,-388600000,-137233000,517589000,70794000,129905000,1572237000,363570000,-339482000,-201750000,-4797391000,-3510000000,-3259000000,-3690000000,-4089000000,-4147000000,-4278000000,-3008000000,-2739000000,-2600000000,-2289000000,-2110000000,-1310000000,-1238000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-224400000,-743500000,-659600000,-761700000,-1367200000,-799100000,-941100000,-1392500000,-2060000000,-4076500000,-1611000000,-1829232000,-4335584000,-1420454000,-1486619000,1681889000,-2044485000,-5096731000,-4600296000,-5142555000,-4024000000,-2938000000,-3525000000,-6162000000,-6005000000,-5580000000,-10252000000,-624000000,-1779000000,-1040000000,-2011000000,-2353000000,-919000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-601094000,-1754000000,-1882000000,-5111000000,-1817000000,-3141000000,-2878000000,-3771000000,-5630000000,-2961000000,-2861000000,-4799000000,-5163000000,-2076000000
91,Common Stock Issued,- -,- -,- -,- -,39800000,62600000,72800000,69800000,70800000,61600000,73700000,180100000,145600000,139200000,623500000,229370000,121760000,175085000,1572105000,278108000,- -,441545000,622058000,177189000,96000000,179000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-59400000,-81800000,- -,- -,- -,-148100000,-40600000,- -,- -,- -,- -,- -,- -,- -,- -,-320224000,-611641000,-1067842000,-1355000000,-1818841000,-500000000,-1717000000,-2998000000,-972000000,-2596000000,-4678000000,-2182000000,-778000000,-969000000,-400000000,-278000000,-26000000,- -
93,Dividends Paid,- -,- -,- -,- -,-285400000,-285500000,-286200000,-288600000,-290800000,-292400000,-327200000,-366800000,-370800000,-388400000,-410500000,-426465000,-430328000,-433134000,-437023000,-441219000,-481583000,-567673000,-771350000,-964140000,-1006000000,-1040000000,-1300000000,-1432000000,-1608000000,-1968000000,-2419000000,-2647000000,-2778000000,-2770000000,-2769000000,-1734000000,-699000000
94,Other Financing Activites,- -,- -,- -,- -,-229300000,64500000,-144100000,-17000000,155100000,228900000,55700000,241800000,556700000,1980500000,-95300000,345338000,3092966000,-554235000,-1693420000,-3107081000,102504000,1484476000,-126136000,1382478000,1976000000,3051000000,6709000000,3882000000,5146000000,3628000000,9746000000,3627000000,1675000000,1011000000,4128000000,6050000000,-49000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-534300000,-240200000,-357500000,-235800000,-64900000,-150000000,-238400000,55100000,331500000,1731300000,117700000,148243000,2784398000,-812284000,-558338000,-3590416000,-990720000,290506000,-1630428000,-1824408000,-1188000000,-1409000000,-2700000000,-339000000,-2199000000,-5896000000,1374000000,-5428000000,-5033000000,-5020000000,-3718000000,-873000000,-2824000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6586000,6455000,1173000,-1229000,-321000,3202000,-2406000,- -,- -,-3000000,13000000,-15000000,-85000000,-31000000,-73000000,19000000,-19000000,2000000,-11000000,5000000
97,Net Change In Cash,- -,- -,- -,- -,-534300000,-240200000,-357500000,-235800000,-64900000,-150000000,-238400000,64800000,-20600000,-42100000,27300000,28129000,16986000,-9594000,66082000,-10689000,-32549000,-25137000,31416000,-8305000,54000000,1147000000,-59000000,200000000,1567000000,-342000000,-337000000,136000000,-1130000000,-366000000,-296000000,-293000000,913000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137300000,116700000,105300000,132600000,160718000,177704000,168110000,234192000,223503000,190954000,165817000,197233000,188928000,243000000,1764000000,1705000000,1905000000,3472000000,3130000000,2793000000,2929000000,1799000000,1433000000,1137000000,844000000,1757000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,41700000,53900000,47900000,39000000,40300000,63700000,57700000,72500000,137300000,147400000,105300000,132589000,160718000,177704000,168110000,234192000,223503000,190954000,165817000,197233000,189000000,617000000,1764000000,1705000000,1905000000,3472000000,3130000000,2793000000,2929000000,1799000000,1433000000,1137000000,844000000
100,Free Cash Flow,- -,- -,- -,- -,108600000,302200000,86900000,189300000,764400000,160300000,255500000,244100000,212000000,415700000,593300000,386103000,-484463000,850562000,1079320000,680818000,1411374000,2313602000,3067897000,2829498000,2641000000,2580000000,2153000000,1642000000,5449000000,6922000000,5676000000,3576000000,3280000000,3453000000,3476000000,1727000000,3471000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87347/000095013003001530/0000950130-03-001530-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312504033890/0001193125-04-033890-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312505041937/0001193125-05-041937-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312506037849/0001193125-06-037849-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312507033647/0001193125-07-033647-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312508029168/0001193125-08-029168-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312509024868/0001193125-09-024868-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312510023041/0001193125-10-023041-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000095012311009144/0000950123-11-009144-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312512034426/0001193125-12-034426-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000119312513031766/0001193125-13-031766-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459014000090/0001564590-14-000090-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459015000337/0001564590-15-000337-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459016012009/0001564590-16-012009-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459017000589/0001564590-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459018000821/0001564590-18-000821-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459019000928/0001564590-19-000928-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459020001578/0001564590-20-001578-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459021002477/0001564590-21-002477-index.htm,https://www.sec.gov/Archives/edgar/data/87347/000156459022002421/0001564590-22-002421-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
