,https://roic.ai/company/TRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,13100000,15000000,- -,27100000,29500000,30300000,30900000,29100000,29000000,26800000,24800000,24700000,24500000,19800000,16300000,16922000,31447000,30515000,24979000,72229000,71689000,90725000,95427000,63967000,31358000,84660000,93606000,83540000,74470000,49845000,38572000,25530000,93424000,80006000,67048000,55576000,- -
82,Other Non-Cash Items,-3300000,-4100000,- -,-24300000,-3000000,-500000,-2800000,3300000,-100000,1600000,-400000,-300000,-11000000,-2500000,-800000,-1178000,-15827000,2502000,8121000,-43762000,4063000,-14616000,-5306000,29090000,31740000,-51868000,-24804000,7513000,9294000,23671000,16564000,6996000,-64678000,14670000,8930000,16008000,-12435000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3300000,3400000,100000,3500000,3400000,1800000,-1200000,2600000,-5900000,-1100000,-100000,1366000,2190000,4755000,52000,4989000,6336000,2190000,8163000,4313000,1361000,3199000,9484000,14092000,9536000,13218000,16968000,5585000,9830000,14354000,16045000,15481000,2816000
84,CAPEX,- -,- -,- -,- -,-700000,-1200000,-800000,-1300000,-1500000,-2400000,-3400000,-2300000,-3600000,-7700000,-25700000,-10200000,-17441000,-10240000,-8354000,-6664000,-11138000,-11789000,-9887000,-20402000,-20957000,-14196000,-13649000,-20669000,-21558000,-24775000,-27252000,-21764000,-21709000,-22580000,-25222000,- -,-20879000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10971000,-494000,-4457000,-6154000,-3415000,-79656000,-52000,-2000000,-310000,-52000,-3100000,-2160000,-2900000
86,Purchases of Investments,- -,- -,- -,- -,- -,-31500000,- -,-25900000,-20100000,-11600000,-4700000,-9800000,-5300000,-2900000,-7200000,-3830000,-36353000,-9282000,-7905000,-69023000,-12188000,-26504000,-28399000,-32732000,-18775000,-46732000,-39448000,-16984000,-21392000,-8525000,-15574000,-5983000,-52716000,-28392000,-28219000,-5610000,-14586000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,23200000,-2300000,- -,20600000,14200000,8800000,9900000,8400000,6600000,10000000,2989000,35189000,9665000,8864000,22202000,7738000,14910000,28697000,42438000,38400000,15720000,19143000,19809000,29779000,20844000,24157000,11750000,8126000,35219000,53418000,41843000,6249000
88,Other Investing Activites,- -,- -,- -,- -,-200000,-200000,100000,26000000,100000,- -,500000,-200000,-4200000,-300000,5400000,7208000,783000,5686000,663000,1705000,195000,20303000,3758000,-4213000,880000,12134000,20243000,725000,8975000,-480000,6856000,12371000,-1605000,-20021000,-21271000,-14295000,-3415000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-900000,-9700000,-3000000,-1200000,-900000,200000,1200000,-2400000,-4700000,-4300000,-17500000,-3833000,-17822000,-4171000,-6732000,-51780000,-15393000,-3080000,-5831000,-14909000,-11423000,-33568000,-18168000,-23273000,-7611000,-92592000,-12661000,-10242000,-68214000,-13246000,828000,19778000,-14652000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10530000,-16433000,-35000,-1539000,-310000,-24444000,-24634000,-13815000,-24908000,-4046000,-9004000,-4819000,-4295000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,29998000,1649000,2823000,2607000,2508000,4136000,2144000,1226000,- -,- -,- -,- -,- -,- -,- -,- -,89867000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-600000,-600000,-600000,-600000,-600000,-600000,-600000,-600000,-600000,-600000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-300000,-300000,-300000,-1800000,-1600000,-1600000,- -,1100000,11500000,5800000,17900000,4234000,-5763000,-187000,245000,41553000,-29000,1302000,316000,2948000,17395000,68146000,5064000,-433000,197000,100425000,16619000,17800000,12274000,-1095000,3329000,-2226000,-1791000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-900000,-900000,-900000,-2400000,-2200000,-2200000,- -,500000,10900000,5200000,17300000,4330000,24235000,1462000,3068000,44160000,2479000,5438000,2460000,4174000,6865000,51713000,5029000,-1972000,-113000,75981000,-8015000,3985000,77233000,-5307000,-5675000,-7045000,-6086000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,1863000,8603000,2046000,-3612000,-2631000,-6578000,4548000,4792000,-6422000,-3197000,21344000,-3655000,-11153000,1812000,-3393000,-3708000,-672000,18849000,-4199000,11198000,28214000,-17922000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,2286000,10889000,12935000,9323000,6692000,114000,4662000,9454000,3032000,683000,22027000,18372000,7219000,9031000,5638000,1930000,1258000,20107000,15908000,27106000,55320000,37398000
99,Cash at the Beginning of Period,- -,- -,- -,- -,25900000,11000000,3800000,- -,- -,200000,100000,- -,700000,1000000,700000,423000,2286000,10889000,12935000,9323000,6692000,114000,4662000,9454000,3880000,683000,22027000,18372000,7219000,9031000,5638000,1930000,1258000,20107000,15908000,27106000,55320000
100,Free Cash Flow,- -,- -,- -,- -,2600000,2200000,-700000,2200000,1900000,-600000,-4600000,300000,-9500000,-8800000,-25800000,-8834000,-15251000,-5485000,-8302000,-1675000,-4802000,-9599000,-1724000,-16089000,-19596000,-10997000,-4165000,-6577000,-12022000,-11557000,16968000,5585000,9830000,14354000,16045000,15481000,-18063000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843099001221/0000898430-99-001221-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96869/000089843003002121/0000898430-03-002121-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312504042213/0001193125-04-042213-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312505051499/0001193125-05-051499-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312506055002/0001193125-06-055002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312507042550/0001193125-07-042550-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312508043580/0001193125-08-043580-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312509042772/0001193125-09-042772-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312510044758/0001193125-10-044758-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312511057714/0001193125-11-057714-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000119312512109149/0001193125-12-109149-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000144530513000628/0001445305-13-000628-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686914000005/0000096869-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686915000003/0000096869-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686916000013/0000096869-16-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686917000002/0000096869-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686918000005/0000096869-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686919000004/0000096869-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686920000007/0000096869-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686921000005/0000096869-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/96869/000009686922000005/0000096869-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
