,https://roic.ai/company/MSI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8440000000,11753000000,12281000000,14006000000,16506000000,20499000000,23246000000,19222000000,19913000000,19409000000,17558000000,18976000000,21451000000,19365000000,18362000000,15720000000,14590000000,8655000000,9389000000,8162000000,7657000000,8483000000,9415000000,9935000000,10685000000,11325000000,11417000000,12212000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000000,- -,- -,- -,- -,1838000000,6574000000,6764000000,6947000000,7017000000,7343000000,7508000000,7197000000,6792000000,6831000000,23000000,3000000,3000000,3000000,3000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,5917000000,7461000000,8343000000,9504000000,8254000000,8780000000,9727000000,5434000000,2582000000,3103000000,1722000000,5897000000,9086000000,8579000000,3878000000,3827000000,4460000000,1016000000,1625000000,2425000000,3410000000,1716000000,1148000000,467000000,1051000000,1239000000,1127000000,1350000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6657000000,-8110000000,-9830000000,-11524000000,-12839000000,-12602000000,-13857000000,-13895000000,-14328000000,-13515000000,-6049000000,-5801000000,-5452000000,-5333000000,-2205000000,-2286000000,-2222000000,-2876000000,-3300000000,-2287000000,-1855000000,-1866000000,-2317000000,-2562000000,-2765000000,-2440000000,-2446000000,-2379000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,8072000000,11697000000,13282000000,15292000000,16807000000,18328000000,16168000000,15388000000,16038000000,16084000000,10315000000,9069000000,6311000000,5409000000,1003000000,8211000000,8644000000,7071000000,4937000000,3518000000,1178000000,42000000,203000000,351000000,419000000,499000000,759000000,987000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9096000000,11048000000,11795000000,13272000000,12222000000,16344000000,18612000000,13691000000,11239000000,12689000000,13331000000,16673000000,17142000000,15447000000,9507000000,9775000000,10885000000,5214000000,3265000000,3659000000,2735000000,-106000000,-964000000,-1742000000,-1293000000,-700000000,-558000000,-40000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17536000000,22801000000,24076000000,27278000000,28728000000,36843000000,41858000000,32913000000,31152000000,32098000000,30889000000,35649000000,38593000000,34812000000,27869000000,25495000000,25475000000,13869000000,12654000000,11821000000,10392000000,8377000000,8451000000,8193000000,9392000000,10625000000,10859000000,12172000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000000,485000000,485000000,- -,- -,- -,- -,- -,- -,- -,108000000,102000000,60000000,25000000,30000000,31000000,10000000,12000000,15000000,17000000,17000000,17000000,17000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,17536000000,22801000000,24076000000,27278000000,28728000000,37327000000,42343000000,33398000000,31152000000,32098000000,30889000000,35649000000,38593000000,34812000000,27869000000,25603000000,25577000000,13929000000,12679000000,11851000000,10423000000,8387000000,8463000000,8208000000,9409000000,10642000000,10876000000,12189000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/68505/000091205796004991/0000912057-96-004991-index.html,https://www.sec.gov/Archives/edgar/data/68505/000095013197002031/0000950131-97-002031-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/68505/000095013701500523/0000950137-01-500523-index.html,https://www.sec.gov/Archives/edgar/data/68505/000091205702012645/0000912057-02-012645-index.html,- -,https://www.sec.gov/Archives/edgar/data/68505/000119312504040743/0001193125-04-040743-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013705002687/0000950137-05-002687-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013706002484/0000950137-06-002484-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013707003011/0000950137-07-003011-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013708002935/0000950137-08-002935-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000095013709001324/0000950137-09-001324-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000104746910000905/0001047469-10-000905-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000119312511039822/0001193125-11-039822-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000119312512063569/0001193125-12-063569-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000144530513000205/0001445305-13-000205-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850514000005/0000068505-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850515000003/0000068505-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850516000017/0000068505-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850517000002/0000068505-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850518000009/0000068505-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850519000006/0000068505-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850520000006/0000068505-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850521000008/0000068505-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/68505/000006850522000010/0000068505-22-000010-index.htm
