,https://roic.ai/company/VGR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50103000,- -,- -,- -,1486000,917000,452000,6297000,-20446000,-33204000,-32931000,-26364000,-41662000,-70272000,-44357000,-45376000,-19478000,-52909000,-12884000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,-36824000,-168670000,-75095000,-69173000,-12606000,-4940000,-64901000,-47412000,-6462000,-13317000,-29784000,-31039000,-10647000,-175964000,-318731000,-224146000,-117261000,-165164000,-34860000,-96989000,-109558000,-124080000
87,Sales/Maturities of Investments,- -,- -,- -,- -,11300000,2800000,1000000,- -,- -,- -,- -,- -,8900000,58811000,17551000,111795000,136741000,68933000,7538000,30733000,71000,8334000,2332000,29589000,97833000,3903000,118309000,157943000,287109000,140656000,133457000,64445000,100077000,125072000,117132000
88,Other Investing Activites,- -,- -,- -,- -,-12100000,-13400000,7400000,26900000,75700000,29900000,56400000,152300000,192700000,321301000,51911000,14357000,-8845000,20620000,71874000,-2425000,-330000,-29910000,-2128000,-24491000,7695000,35536000,-7933000,-18984000,-15054000,20420000,36585000,33356000,26722000,4711000,-55022000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16800000,-18000000,5200000,23900000,66900000,-4300000,36300000,131300000,128000000,315685000,-176308000,-95682000,49829000,72653000,64177000,-44665000,-51943000,-33895000,-6816000,-45132000,41285000,-4139000,-91952000,-221434000,-22363000,-542000,-40498000,43463000,-23099000,7341000,-61970000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-757786000,-1031137000,-1083468000,-1085350000,-1400375000,-911389000,-174599000,-115979000,-1000679000,-339240000,-532945000,-340682000,-862973000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,67185000,2957000,1749000,3324000,3626000,2571000,5100000,86000,- -,- -,- -,611000,- -,- -,- -,- -,43230000,- -,- -,52563000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2800000,-25300000,-3800000,- -,-5600000,-4200000,- -,- -,- -,- -,- -,- -,-1346000,-202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-12900000,-11500000,-15700000,-5900000,-100000,- -,-7300000,-6100000,-13900000,-30759000,-46751000,-54477000,-59997000,-64106000,-70252000,-90138000,-99249000,-103870000,-115778000,-117459000,-125299000,-137114000,-144711000,-167328000,-188151000,-198947000,-211488000,-225367000,-238249000,-128231000,-131798000
94,Other Financing Activites,- -,- -,- -,- -,-38600000,109300000,-10500000,14700000,-39100000,10900000,-1200000,-127900000,-158300000,-142529000,192396000,41071000,-31654000,-20438000,5315000,51927000,128242000,19402000,873062000,1217095000,1072539000,1306838000,1413623000,1284674000,154637000,370994000,985672000,620102000,457969000,127663000,630694000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-54300000,72500000,-30000000,8800000,-44800000,6700000,-8500000,-124000000,-172200000,-173288000,212830000,-10449000,-91248000,-81422000,-61311000,-35640000,34093000,-84382000,-502000,68499000,-136228000,84985000,-131463000,205957000,-208113000,56068000,-183265000,55495000,-313225000,-288687000,-364077000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1400000,- -,800000,-100000,- -,-100000,100000,-1400000,-1200000,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-54300000,72500000,-30000000,8800000,-900000,-1500000,2900000,2600000,12700000,137390000,60248000,-117734000,-25219000,35196000,71055000,-34290000,91348000,-27012000,-1651000,90371000,-58902000,164932000,-171389000,91899000,-85997000,153162000,-92177000,280792000,-212253000,-13799000,-170828000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,3400000,1900000,4800000,7400000,20100000,157513000,217761000,100027000,74808000,110004000,181059000,146769000,238117000,211105000,209454000,299825000,240923000,405855000,234466000,326365000,240368000,393530000,301353000,591729000,379476000,365677000,194849000
99,Cash at the Beginning of Period,- -,- -,- -,- -,81600000,33600000,17800000,15800000,4300000,3400000,1900000,4800000,7400000,20123000,157513000,217761000,100027000,74808000,110004000,181059000,146769000,238117000,211105000,209454000,299825000,240923000,405855000,234466000,326365000,240368000,393530000,310937000,591729000,379476000,365677000
100,Free Cash Flow,- -,- -,- -,- -,8500000,-81200000,18800000,-47100000,-31800000,-37900000,-45200000,-24300000,-3300000,-32500000,-53374000,-108239000,7306000,39671000,57894000,36457000,104009000,84956000,1819000,43613000,24203000,72821000,38751000,83972000,133502000,70945000,111717000,164152000,111496000,248484000,-13506000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59440/000095014405003085/0000950144-05-003085-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014406002439/0000950144-06-002439-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014407002355/0000950144-07-002355-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014408001553/0000950144-08-001553-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095014409001779/0000950144-09-001779-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012310019359/0000950123-10-019359-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000095012311018301/0000950123-11-018301-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944012000012/0000059440-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944013000007/0000059440-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944014000007/0000059440-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944015000009/0000059440-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944016000072/0000059440-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944017000007/0000059440-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944018000007/0000059440-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944019000004/0000059440-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944020000004/0000059440-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944021000018/0000059440-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/59440/000005944022000010/0000059440-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
