,https://roic.ai/company/MO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,2946000000,3540000000,3927000000,4939000000,3091000000,4725000000,5450000000,6303000000,6310000000,5372000000,7675000000,8510000000,8560000000,11102000000,9204000000,9416000000,10435000000,12022000000,9786000000,4930000000,3206000000,3905000000,3390000000,4180000000,4535000000,5070000000,5241000000,14239000000,10222000000,6963000000,-1293000000,4467000000,2475000000
74,Depreciation and Amortization,- -,- -,- -,- -,1194000000,1367000000,1497000000,1542000000,1619000000,2326000000,1671000000,1691000000,1700000000,1690000000,1702000000,1717000000,2337000000,1331000000,1440000000,1607000000,1675000000,1804000000,980000000,215000000,291000000,276000000,253000000,225000000,212000000,208000000,225000000,204000000,209000000,227000000,226000000,257000000,244000000
75,Deferred Income Tax,- -,- -,- -,- -,371000000,385000000,-358000000,583000000,31000000,24000000,314000000,163000000,69000000,276000000,144000000,1006000000,685000000,1585000000,984000000,388000000,-989000000,-508000000,-255000000,-138000000,43000000,124000000,-443000000,406000000,-86000000,-129000000,-132000000,3119000000,-3126000000,-57000000,-95000000,-164000000,-1160000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-819000000,- -,- -,- -,339000000,- -,-404000000,215000000,2219000000,1482000000,-973000000,-12616000000,6360000000,1737000000,1630000000,2338000000,-2704000000,1102000000,3383000000,-174000000,-6153000000,1360000000,347000000,-1424000000,1468000000,-327000000,-197000000,877000000,-2333000000,-14446000000,13544000000,1404000000,3000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,78000000,-8000000,3000000,-27000000,10000000,- -,-8000000,- -,- -
79,Inventory,- -,- -,- -,- -,-431000000,-699000000,-468000000,-304000000,396000000,-387000000,-5000000,-952000000,-531000000,-192000000,-39000000,741000000,-293000000,38000000,251000000,-140000000,-524000000,-1010000000,-889000000,185000000,51000000,7000000,24000000,33000000,-133000000,-184000000,-33000000,-34000000,-171000000,-129000000,42000000,2000000,57000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162000000,-25000000,48000000,-60000000,5000000,-76000000,-5000000,-7000000,-6000000,-55000000,27000000,-79000000,53000000,163000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,339000000,339000000,-65000000,150000000,2369000000,3851000000,2878000000,-9738000000,-3378000000,-1641000000,-11000000,2327000000,-377000000,725000000,4108000000,3934000000,-2219000000,-859000000,-512000000,-1936000000,-468000000,-795000000,-992000000,-115000000,-2448000000,-16894000000,-3350000000,-1946000000,16000000
82,Other Non-Cash Items,- -,- -,- -,- -,-58000000,93000000,1193000000,-182000000,1887000000,-136000000,-344000000,-738000000,-1958000000,-700000000,2827000000,12427000000,-9049000000,-5143000000,-2442000000,-2859000000,2643000000,-834000000,-3590000000,48000000,6056000000,-2898000000,66000000,516000000,-1754000000,-159000000,673000000,-14648000000,-50000000,15704000000,-4545000000,2421000000,6843000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3634000000,5385000000,6259000000,6882000000,6967000000,6939000000,6687000000,7634000000,8340000000,8120000000,11375000000,11044000000,8893000000,10612000000,10816000000,10890000000,11060000000,13586000000,10304000000,4881000000,3443000000,2767000000,3613000000,3903000000,4375000000,4663000000,5810000000,3791000000,4922000000,8391000000,7837000000,8385000000,8405000000
84,CAPEX,- -,- -,- -,- -,-1246000000,-1355000000,-1724000000,-1573000000,-4753000000,-1726000000,-1621000000,-2398000000,-1874000000,-1821000000,-1749000000,-1682000000,-1922000000,-2009000000,-1974000000,-1913000000,-2206000000,-2454000000,-1458000000,-241000000,-273000000,-168000000,-105000000,-124000000,-131000000,-163000000,-229000000,-189000000,-199000000,-238000000,-246000000,-231000000,-169000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4932000000,- -,-2898000000,- -,-10244000000,- -,- -,- -,- -,-102000000,- -,3150000000,-415000000,-15000000,-421000000,- -,1176000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1577000000,-597000000,-582000000,- -,- -,-652000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-9000000,- -,- -,- -,- -,- -,-132000000,-3000000,-5000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,793000000,312000000,490000000,1049000000,716000000,369000000,354000000,741000000,133000000,72000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,27000000,-3311000000,-590000000,206000000,1129000000,1071000000,1512000000,343000000,1907000000,-733000000,-933000000,-15824000000,-994000000,-462000000,-453000000,497000000,2253000000,1836000000,-925000000,394000000,-304000000,-53000000,-103000000,-129000000,-114000000,-90000000,-237000000,-180000000,-180000000,-13045000000,-1977000000,-143000000,36000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1219000000,-4666000000,-2314000000,-2944000000,-4221000000,-1237000000,-109000000,-2055000000,-619000000,-2554000000,-2682000000,-17506000000,-2916000000,-2471000000,-2427000000,-1416000000,-4885000000,-618000000,-5281000000,796000000,-9764000000,259000000,387000000,920000000,602000000,177000000,-15000000,3708000000,-467000000,-12988000000,-2398000000,-143000000,1212000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4103000000,-1257000000,-781000000,-24000000,-3464000000,-4613000000,-869000000,-2019000000,-1742000000,- -,-864000000,-13944000000,-4000000000,-7165000000
91,Common Stock Issued,- -,- -,- -,- -,79000000,80000000,119000000,115000000,39000000,54000000,291000000,448000000,205000000,265000000,74000000,112000000,9204000000,724000000,443000000,827000000,985000000,486000000,423000000,89000000,89000000,104000000,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-221000000,-703000000,-2449000000,-1218000000,-1532000000,-2120000000,-2770000000,-805000000,- -,-3329000000,-3597000000,-3960000000,-6390000000,-1149000000,-688000000,-1175000000,-1254000000,- -,-1166000000,- -,- -,-1327000000,-1082000000,-634000000,-939000000,-554000000,-1030000000,-2917000000,-1673000000,-845000000,- -,-1675000000
93,Dividends Paid,- -,- -,- -,- -,-1101000000,-1351000000,-1678000000,-2028000000,-2291000000,-2487000000,-2939000000,-3462000000,-3885000000,-3984000000,-4338000000,-4500000000,-4769000000,-5068000000,-5285000000,-5672000000,-6191000000,-6815000000,-6652000000,-1409000000,-2693000000,-2958000000,-3222000000,-3400000000,-3612000000,-3892000000,-4179000000,-4512000000,-4807000000,-5415000000,-6069000000,-6290000000,-6446000000
94,Other Financing Activites,- -,- -,- -,- -,-1424000000,701000000,-1683000000,1336000000,-60000000,-1752000000,-859000000,-622000000,-1036000000,-175000000,96000000,10643000000,-6915000000,2569000000,532000000,-2449000000,1247000000,-6783000000,2550000000,4004000000,4137000000,1052000000,1500000000,2753000000,4157000000,1006000000,5000000,1985000000,-47000000,12668000000,16146000000,4894000000,5257000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2446000000,-791000000,-3945000000,-3026000000,-3530000000,-5717000000,-5627000000,-6406000000,-5521000000,-3894000000,-7497000000,2658000000,-6440000000,-8165000000,-5459000000,-7982000000,-5134000000,-14366000000,-3679000000,-2585000000,276000000,-2583000000,-3044000000,-5193000000,-4702000000,-4694000000,-6747000000,-5299000000,-7771000000,4716000000,-4712000000,-5396000000,-10029000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-19000000,100000000,-20000000,-17000000,-55000000,17000000,3000000,-71000000,-158000000,127000000,-177000000,-359000000,-21000000,136000000,282000000,475000000,-527000000,160000000,347000000,-126000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-2446000000,-791000000,-3945000000,-3026000000,-839000000,2000000,954000000,-898000000,2042000000,1799000000,1019000000,-4163000000,-484000000,112000000,3212000000,1967000000,514000000,-1238000000,1717000000,3074000000,-6045000000,443000000,956000000,-370000000,275000000,146000000,-952000000,2200000000,-3316000000,119000000,727000000,2846000000,-412000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,182000000,184000000,1138000000,240000000,2282000000,4081000000,5100000000,937000000,453000000,565000000,3777000000,5744000000,6258000000,5020000000,6498000000,7916000000,1871000000,2314000000,3270000000,2900000000,3175000000,3321000000,2369000000,4569000000,1253000000,1433000000,2160000000,5006000000,4594000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,168000000,118000000,146000000,126000000,1021000000,182000000,184000000,1138000000,240000000,2282000000,4081000000,5100000000,937000000,453000000,565000000,3777000000,5744000000,6258000000,4781000000,4842000000,7916000000,1871000000,2314000000,3270000000,2900000000,3175000000,3321000000,2369000000,4569000000,1314000000,1433000000,2160000000,5006000000
100,Free Cash Flow,- -,- -,- -,- -,2388000000,4030000000,4535000000,5309000000,2214000000,5213000000,5066000000,5236000000,6466000000,6299000000,9626000000,9362000000,6971000000,8603000000,8842000000,8977000000,8854000000,11132000000,8846000000,4640000000,3170000000,2599000000,3508000000,3779000000,4244000000,4500000000,5581000000,3602000000,4723000000,8153000000,7591000000,8154000000,8236000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764180/000095013095000460/0000950130-95-000460-index.html,https://www.sec.gov/Archives/edgar/data/764180/000095014696000483/0000950146-96-000483-index.html,- -,https://www.sec.gov/Archives/edgar/data/764180/0001047469-98-008784-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764180/000119312504040664/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000095012305003146/y06457e10vk.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312506051165/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312507044345/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312508041586/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312509041005/0001193125-09-041005-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312510039027/0001193125-10-039027-index.html,https://www.sec.gov/Archives/edgar/data/764180/000119312511045778/d10k.htm,https://www.sec.gov/Archives/edgar/data/764180/000119312512064660/0001193125-12-064660-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418013000024/0000764180-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418014000025/a2013form10-kq42013.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418015000022/a2014form10-kq42014.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418016000128/0000764180-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418017000028/0000764180-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/0000764180-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/0000764180-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/0000764180-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/764180/000076418021000037/0000764180-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418022000019/0000764180-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
