,https://roic.ai/company/TSRI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,800000,- -,- -,- -,- -,829687,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,- -,- -,-300000,- -,-300000,- -,- -,-4200000,-6417782,-1419141,- -,- -,- -,- -,- -,- -,- -,-1219930,-2292,-25740,-152829,-81911,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,-9358,-11136429,-2740807,-1781525,-1461764,-1461764,-850900,- -,- -,- -,-2970093,- -,- -,- -,- -,-1962062,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,-57644,-83175,-73319,-69578,-49246,- -,-45461,-49468,-70727,-48781,-26147,-109435,-87641,-63924,-46727,-52700,7131563,-436985
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-100000,-1600000,- -,-300000,- -,-900000,- -,2300000,-3400000,-6417782,-1419141,1000,-9358,-10364386,-2823982,-1854844,-1531342,-1511010,-2070830,-47753,-75208,-223556,-3100785,-26147,-109435,-87641,-63924,-2008789,-52700,7131563,-436985
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-100000,-1600000,- -,-300000,- -,- -,- -,- -,-200000,1875560,2098078,-414465,-730798,-2794302,302480,89463,-760475,-311821,2486770,1594759,-1166583,2868895,-5633588,960806,827823,844367,1209819,-400539,-1628448,6035033,-2359376
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,4110283,6208361,5793896,5063098,2268796,2571276,2660739,1900264,1588443,4075213,5669972,4645854,7514749,1881161,2841967,3669790,4514157,5723976,5323437,3694989,9730022,7370646
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1100000,6100000,4200000,1400000,3300000,600000,3000000,2900000,2400000,2234723,4110283,6208361,5793896,5063098,2268796,2571276,2660739,1900264,1588443,4075213,5812437,4645854,7514749,1881161,2841967,3669790,4514157,5723976,5323437,3694989,9730022
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-500000,100000,-200000,200000,600000,-1800000,-1300000,7500000,5642542,4649110,4099463,3291819,1110185,4536589,940698,1261738,1266293,1613434,143995,-841094,343917,-1043803,490953,688258,1216008,737743,1109250,-1586748,-1588530,1177723
101,SEC Link,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000095011000000829/0000950110-00-000829-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98338/000107261307001794/0001072613-07-001794-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261308001648/0001072613-08-001648-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261309001263/0001072613-09-001263-index.html,https://www.sec.gov/Archives/edgar/data/98338/000107261310000720/0001072613-10-000720-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261311000627/0001072613-11-000627-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000107261312000523/0001072613-12-000523-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390013004066/0001213900-13-004066-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390014005350/0001213900-14-005350-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390015005568/0001213900-15-005568-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390016015370/0001213900-16-015370-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390017008805/0001213900-17-008805-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390018011517/0001213900-18-011517-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390019016899/0001213900-19-016899-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390020022549/0001213900-20-022549-index.htm,https://www.sec.gov/Archives/edgar/data/98338/000121390021044375/0001213900-21-044375-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
