,https://roic.ai/company/PDCE,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,200000,-200000,-600000,-100000,-900000,-200000,400000,900000,-1900000,100000,-900000,18900000,-15000000,-4000000,3280700,2638900,-1649100,4460200,-6767000,-25294900,55011200,-79392000,85778000,-2630000,-16742000,-38190000,-9404000,143793000,-82065000,389000,98530000,-145659000,-150142000,109354000,-414409000,15205000
78,Accounts Receivable,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17475000,27479000,2122000,-3451000,6843000,-41509000,-34598000,24769000,-32627000,-60546000,12025000,-88304000,139664000,-153717000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,200000,-300000,300000,-400000,100000,-520300,-20000,-56200,-1383600,357000,-3397600,1987000,1285000,-2062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10282000,-7566000,-3812000,- -,-5050000,-11485000,21453000,-30310000,-162000,31378000,16261000,-29578000,-66183000,40183000
81,Other Working Capital,- -,- -,800000,1000000,800000,200000,100000,-800000,-1000000,-600000,300000,-1600000,-1500000,-2400000,16500000,1500000,-2500000,780700,3419600,1770500,6230700,-536300,-25831200,29180000,-50212000,35566000,32936000,16194000,-21996000,-31400000,112393000,30328000,30717000,129247000,-16412000,-166554000,-57200000,-471609000,-21371000
82,Other Non-Cash Items,- -,- -,-1600000,-1700000,300000,400000,-300000,-800000,1100000,1600000,500000,2700000,1400000,11800000,-11200000,18400000,2800000,12581500,-3622500,5442000,23495600,16167800,71087800,-347075200,23048000,-125767000,237951000,155848000,173276000,386721000,40676000,57327000,500311000,751408000,1046058000,1009534000,783963000,1373399000,960874000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1600000,- -,- -,- -,3600000,5900000,4900000,3700000,5300000,16900000,18100000,13600000,10700000,35330500,28570300,28172900,73607900,71866900,112371600,67390000,60304000,139101000,143895000,151813000,166834000,174721000,159165000,236689000,411073000,486263000,588563000,889302000,858226000,870079000,1547796000
84,CAPEX,- -,- -,- -,- -,-1200000,- -,- -,- -,-2300000,-2800000,-2600000,-5600000,-3900000,-10400000,-13700000,-26600000,-27800000,-27932100,-42661100,-19777000,-73042300,-45391800,-106468500,-146180000,-238988000,-323153000,-143033000,-320774000,-480390000,-659952000,-404606000,-628592000,-604668000,-1514071000,-757930000,-1137431000,-889954000,-692410000,-584002000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18512000,-255661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44693000,202076000,3610000,125000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49890000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49890000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,400000,- -,300000,2100000,1800000,1300000,1900000,-55200,7399400,-1408900,2433000,3247100,12426800,155066000,227228000,-323041000,-142278000,-142881000,-310507000,-139716000,-207450000,-474135000,-604263000,-435403000,-701358000,-952594000,-866641000,-550957000,-578929000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1200000,- -,- -,- -,-2200000,-2600000,-2200000,-5300000,-3600000,-8300000,-11900000,-25300000,-25900000,-27987300,-35261700,-21185900,-70609300,-42144700,-94041700,-9626000,-267421000,-323041000,-142278000,-300932000,-456401000,-451939000,-217108000,-474135000,-604263000,-1509126000,-716986000,-1087927000,-677772000,-687159000,-578804000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-459500000,-399586000,-494500000,-183713000,-1061590000,-283500000,-200000000,-416208000,-237000000,-519375000,-1040000000,-1607452000,-2089408000,-1481072000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,100000,25000000,- -,- -,95600,- -,78800,- -,3584400,11600,31000,183000,- -,48490000,125506000,- -,164496000,275847000,- -,202851000,855074000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-1900000,- -,- -,-1000000,- -,- -,- -,- -,- -,-3695100,-748700,-2749100,-7878800,-66489000,-646000,-5549000,-364000,-788000,-3143000,-1500000,-4133000,-5392000,-6056000,-6935000,-6672000,-5147000,-158366000,-33164000,-162833000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83615000
94,Other Financing Activites,- -,- -,- -,- -,-500000,- -,- -,- -,-1400000,-1400000,500000,100000,-600000,2900000,-5300000,- -,9300000,8050000,10650000,-3000000,28000000,-32000000,2577000,112910000,98005000,615188000,330837000,541329000,430289000,1170031000,260515000,265661000,397387000,654974000,591045000,1063246000,1576928000,1941312000,789734000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-500000,- -,- -,- -,-1400000,-1200000,-1400000,- -,-600000,2000000,19700000,- -,9300000,8145600,10650000,-6616300,27251300,-31164700,-5290200,46452000,97542000,150139000,-20623000,171547000,243433000,271437000,248729000,60269000,177974000,1266113000,64998000,18099000,-188890000,-181260000,-937786000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,- -,- -,- -,-1400000,-1200000,-1400000,- -,-600000,2000000,19700000,- -,-5800000,15488800,3958600,370700,30249900,-1442500,13039700,104216000,-109575000,-33801000,-19006000,22428000,-46134000,-5781000,190786000,-177177000,-15216000,243250000,-63425000,-180526000,-8436000,1660000,31206000
98,Cash at the End of Period,- -,- -,- -,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,43933700,47892300,48263000,78512900,77070400,90110100,194326000,84751000,50950000,31944000,54372000,8238000,2457000,193243000,16066000,850000,244100000,180675000,9399000,963000,2623000,33829000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2600000,- -,- -,- -,7100000,7100000,9200000,10600000,8900000,10100000,20600000,46600000,34900000,28444900,43933700,47892300,48263000,78512900,77070400,90110000,194326000,84751000,50950000,31944000,54372000,8238000,2457000,193243000,16066000,850000,244100000,189925000,9399000,963000,2623000
100,Free Cash Flow,- -,- -,- -,- -,400000,- -,- -,- -,1300000,3100000,2300000,-1900000,1400000,6500000,4400000,-13000000,-17100000,7398400,-14090800,8395900,565600,26475100,5903100,-78790000,-178684000,-184052000,862000,-168961000,-313556000,-485231000,-245441000,-391903000,-193595000,-1027808000,-169367000,-248129000,-31728000,177669000,963794000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77877/000007787702000003/0000077877-02-000003-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787703000003/0000077877-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787704000012/0000077877-04-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787705000019/0000077877-05-000019-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787706000037/0000077877-06-000037-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000114036107010649/0001140361-07-010649-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000114036108007391/0001140361-08-007391-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000114036109005340/0001140361-09-005340-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000114036110009868/0001140361-10-009868-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787711000011/0000077877-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787712000013/0000077877-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787713000017/0000077877-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787714000013/0000077877-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787715000012/0000077877-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787716000070/0000077877-16-000070-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787717000006/0000077877-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787718000008/0000077877-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787719000009/0000077877-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787720000010/0000077877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787721000020/0000077877-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77877/000007787722000019/0000077877-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
