,https://roic.ai/company/YELL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31290000,31205000,15510000,3800000,5800000,14000000,24400000,21000000,22000000,20300000,18600000,21000000,16100000
77,Change in Working Capital,- -,- -,- -,- -,-10000000,7900000,-16900000,2800000,36500000,18100000,-9534000,14848000,-75911000,11623000,-19506000,-41337000,-105878000,131997000,31792000,46245000,-167537000,-40844000,417764000,-448627000,-75141000,142138000,-99657000,412888000,16677000,34400000,-65100000,12700000,58000000,-63000000,8300000,-198000000,-137100000
78,Accounts Receivable,- -,- -,- -,- -,-13900000,5700000,1100000,12100000,-27100000,-17263000,-34064000,-1944000,-69241000,23331000,37085000,36136000,18764000,-141133000,-7430000,-70230000,-68395000,-26292000,107497000,236860000,312024000,4859000,-36288000,13500000,-4600000,-11100000,40700000,-21000000,-38600000,16600000,7100000,-40000000,-158700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,3900000,-4200000,-7900000,-3900000,1100000,46060000,40273000,-3115000,14915000,-1803000,-18366000,10843000,-14214000,5928000,21294000,34284000,-13185000,-9618000,-9320000,-53904000,-141053000,-15793000,4987000,13500000,13300000,-5700000,-11100000,-1100000,10900000,6100000,-14800000,-3600000,16800000
81,Other Working Capital,- -,- -,- -,- -,-11500000,-3600000,-20500000,-17700000,18800000,36900000,27366000,42214000,-33697000,-22074000,-41580000,-82917000,-188795000,-56798000,-25006000,21239000,-146298000,-187142000,230622000,-218005000,-293146000,-151008000,-250665000,162223000,178900000,213300000,148200000,160900000,218900000,155900000,164200000,-33800000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,307600000,271300000,273700000,239800000,226700000,9137000,-81084000,106236000,13635000,62127000,97211000,61725000,33423000,-75820000,-29904000,15682000,73922000,-138891000,349079000,1536900000,234208000,16974000,213943000,-489788000,-56677000,-115600000,26900000,-111500000,-143000000,100700000,-218800000,232000000,-36100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,179500000,219500000,147000000,139400000,138800000,157448000,44166000,197521000,116686000,154575000,250036000,227113000,84853000,43058000,155736000,435718000,497677000,532304000,392598000,219820000,-378297000,1097000,-25968000,-25900000,12100000,28500000,140800000,103100000,60700000,224800000,21500000,122000000,10200000
84,CAPEX,- -,- -,- -,- -,-193400000,-169400000,-110500000,-86200000,-76900000,-182885000,-163426000,-58384000,-118189000,-111466000,-159275000,-164804000,-113186000,-86337000,-103327000,-201818000,-304718000,-377687000,-393763000,-162276000,-37292000,-19560000,-71628000,-66400000,-66900000,-69200000,-108000000,-100600000,-103300000,-145400000,-143200000,-140000000,-497600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6244000,5106000,- -,- -,- -,-164507000,- -,-14300000,-18042000,-513338000,-10463000,-753892000,-25627000,- -,- -,31948000,34290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-18300000,-16700000,-8100000,-8957000,-7759000,-1684000,- -,- -,- -,- -,- -,- -,- -,- -,-46043000,- -,- -,-46133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,10400000,11300000,14700000,8429000,9650000,7098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,11200000,7100000,5800000,7500000,-13800000,31945000,23172000,12026000,30684000,18036000,10090000,29967000,6302000,-20865000,4193000,42023000,60358000,74343000,52676000,121475000,139424000,90892000,-85008000,86200000,43400000,27600000,-13400000,18300000,93700000,36400000,25900000,55500000,3600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-182200000,-162300000,-112600000,-84100000,-84100000,-157712000,-133257000,-40944000,-87505000,-93430000,-313692000,-134837000,-121184000,-125244000,-612472000,-170258000,-1044295000,-328971000,-341087000,-86934000,134080000,105622000,-156636000,19800000,-23500000,-41600000,-121400000,-67700000,-9600000,-109000000,-117300000,-84500000,-494000000
90,Debt Repayment,- -,- -,- -,- -,-104600000,-100800000,-80400000,-14700000,-95600000,-17701000,-24457000,-32011000,-18644000,-7575000,-125564000,-31045000,-35412000,-44600000,-60342000,-246544000,- -,-194992000,-196298000,-364816000,-308853000,-283711000,-46687000,-25600000,-9200000,-892700000,-16700000,-70700000,-79300000,-31900000,-579000000,-135000000,-3800000
91,Common Stock Issued,- -,- -,- -,- -,- -,4700000,100000,300000,- -,- -,- -,- -,4983000,1085000,1103000,6984000,16638000,107496000,4685000,15859000,11203000,5686000,6530000,- -,- -,15906000,- -,- -,- -,250000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-16900000,-200000,-400000,- -,- -,- -,- -,-8695000,-46836000,-14824000,-24997000,- -,- -,-2921000,- -,-49999000,-19997000,-34997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-21000000,-23300000,-26400000,-26400000,-26400000,-26416000,-13210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,124500000,83000000,69100000,- -,62200000,48057000,135006000,-125627000,-11832000,- -,200000000,-40000000,50000000,28790000,561766000,-3452000,561286000,- -,155096000,499046000,325509000,206315000,286795000,39900000,-11800000,650600000,- -,-1800000,-16900000,-2000000,556400000,465800000,324400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1100000,-53300000,-37800000,-41200000,-59800000,3940000,97339000,-157638000,-34188000,-53326000,60715000,-89058000,31226000,91686000,503188000,-234137000,522490000,-209303000,-69669000,134230000,16656000,-61490000,240108000,14300000,-21000000,7900000,-16700000,-72500000,-96200000,-33900000,-22600000,330800000,320600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3676000,8248000,-1061000,-5007000,7819000,-2941000,3218000,-5105000,9500000,46452000,31323000,-24128000,-5970000,-18158000,267116000,-227561000,45229000,57504000,8200000,-32400000,-5200000,2700000,-37100000,-45100000,81900000,-118400000,369000000,-163200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,17613000,25861000,24800000,19793000,25522000,22581000,25799000,20694000,28714000,75166000,106489000,82361000,76391000,58233000,325349000,97788000,143017000,200521000,208700000,176300000,171100000,173800000,136700000,91600000,227600000,109200000,478000000,314800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8200000,4400000,8300000,4800000,19000000,13937000,17613000,25861000,24800000,17703000,25522000,22581000,25799000,19214000,28714000,75166000,106489000,82361000,76391000,58233000,325349000,97788000,143017000,200500000,208700000,176300000,171100000,173800000,136700000,145700000,227600000,109000000,478000000
100,Free Cash Flow,- -,- -,- -,- -,-13900000,50100000,36500000,53200000,61900000,-25437000,-119260000,139137000,-1503000,43109000,90761000,62309000,-28333000,-43279000,52409000,233900000,192959000,154617000,-1165000,57544000,-415589000,-18463000,-97596000,-92300000,-54800000,-40700000,32800000,2500000,-42600000,79400000,-121700000,-18000000,-487400000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/0000950124-94-000601-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095012495000900/0000950124-95-000900-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013796000379/0000950137-96-000379-index.html,https://www.sec.gov/Archives/edgar/data/716006/000095013797001237/0000950137-97-001237-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000095013701000911/0000950137-01-000911-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716006/000119312505050743/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312506054641/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312507044346/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312508043208/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312509042369/0001193125-09-042369-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312510058523/0001193125-10-058523-index.html,https://www.sec.gov/Archives/edgar/data/716006/000119312511066014/d10k.htm,https://www.sec.gov/Archives/edgar/data/716006/000119312512083494/0001193125-12-083494-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600613000003/0000716006-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600614000006/yrcw-201310k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600615000013/yrcw-201410k.htm,https://www.sec.gov/Archives/edgar/data/716006/000071600616000049/0000716006-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600617000004/0000716006-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600618000004/0000716006-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000071600619000004/0000716006-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459020010103/0001564590-20-010103-index.html,https://www.sec.gov/Archives/edgar/data/716006/000156459021005530/0001564590-21-005530-index.htm,https://www.sec.gov/Archives/edgar/data/716006/000095017022000779/0000950170-22-000779-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
